nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M048__00010.1,12.2260273380071,45.767318599999996,M048,_,00010,1
M048__00300.1,12.273167645298823,45.71169312,M048,_,00300,1
M048__00290.1,12.275441027220815,45.70547898,M048,_,00290,1
M048__00280.1,12.273345865435669,45.716055025,M048,_,00280,1
M048__00270.1,12.260102099731832,45.712122765000004,M048,_,00270,1
M048__00260.1,12.27200822572057,45.724533629999996,M048,_,00260,1
M048__00240.1,12.273741861801778,45.73686289,M048,_,00240,1
M048__00170.1,12.23834831834748,45.706897385000005,M048,_,00170,1
M048__00150.1,12.23618177371523,45.7165267,M048,_,00150,1
M048__00140.1,12.253452471412913,45.72684237,M048,_,00140,1
M048__00110.1,12.230614158381531,45.73137921,M048,_,00110,1
M048__00100.1,12.24983460980279,45.743654265,M048,_,00100,1
M048__00090.1,12.246012604633549,45.740981065,M048,_,00090,1
M048__00080.1,12.229119977367409,45.741184965,M048,_,00080,1
M048__00060.1,12.242495973743553,45.753717949999995,M048,_,00060,1
M048__00050.1,12.234438263305128,45.752455575,M048,_,00050,1
M048__00030.1,12.214618456213346,45.756648999999996,M048,_,00030,1
M048__00010.10,12.225055198683192,45.76371508,M048,_,00010,10
M048__00300.10,12.276325616889455,45.7098297,M048,_,00300,10
M048__00280.10,12.276436026450138,45.715291045,M048,_,00280,10
M048__00230.10,12.265292530269189,45.735125685,M048,_,00230,10
M048__00220.10,12.273532820314237,45.743655954999994,M048,_,00220,10
M048__00180.10,12.247658522121103,45.70604799,M048,_,00180,10
M048__00170.10,12.239644211008681,45.70604492,M048,_,00170,10
M048__00160.10,12.24995417998639,45.714520975,M048,_,00160,10
M048__00120.10,12.244565824455362,45.731740205,M048,_,00120,10
M048__00080.10,12.229381186665236,45.74019163,M048,_,00080,10
M048__00070.10,12.213826473118488,45.743591845,M048,_,00070,10
M048__00050.10,12.237991071964956,45.75215196,M048,_,00050,10
M048__00040.10,12.228371246461428,45.751283595,M048,_,00040,10
M048__00030.10,12.223299911151841,45.755034255,M048,_,00030,10
M048__00020.10,12.245240025358559,45.76567131,M048,_,00020,10
M048__00030.100,12.209954886098124,45.747107979999996,M048,_,00030,100
M048__00300.100,12.277940965073292,45.706530099999995,M048,_,00300,100
M048__00280.100,12.285013049266137,45.70952663,M048,_,00280,100
M048__00250.100,12.263152442353093,45.71301225,M048,_,00250,100
M048__00240.100,12.282089132481453,45.72739106,M048,_,00240,100
M048__00220.100,12.283842782529067,45.739684795,M048,_,00220,100
M048__00200.100,12.267484807284015,45.737012205,M048,_,00200,100
M048__00190.100,12.254913213605082,45.687550055,M048,_,00190,100
M048__00180.100,12.255761496348368,45.70318194,M048,_,00180,100
M048__00130.100,12.255412541679203,45.71748291,M048,_,00130,100
M048__00080.100,12.22641221596125,45.73494069,M048,_,00080,100
M048__00070.100,12.221090478574244,45.74118312,M048,_,00070,100
M048__00050.100,12.241693094319558,45.744266315000004,M048,_,00050,100
M048__00040.1000,12.223522709413468,45.751297385,M048,_,00040,1000
M048__00260.1000,12.284900823977411,45.719534644999996,M048,_,00260,1000
M048__00250.1000,12.260195011653863,45.714738049999994,M048,_,00250,1000
M048__00230.1000,12.260500790029553,45.727479015,M048,_,00230,1000
M048__00220.1000,12.27306467800714,45.74058298,M048,_,00220,1000
M048__00180.1000,12.25860522021407,45.704348525,M048,_,00180,1000
M048__00040.1001,12.223385871320446,45.75134837,M048,_,00040,1001
M048__00260.1001,12.284990650223094,45.719474315,M048,_,00260,1001
