nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M073__00050.1026,13.340922579506568,45.892505175,M073,_,00050,1026
M073__00050.1031,13.341724049019913,45.892549115,M073,_,00050,1031
M073__00050.106,13.347707766286735,45.891073675,M073,_,00050,106
M073__00050.114,13.348303952226768,45.890280845,M073,_,00050,114
M073__00050.118,13.348987463984168,45.88965757,M073,_,00050,118
M073__00050.129,13.34742989927,45.889938349999994,M073,_,00050,129
M073__00050.13,13.346534261792101,45.89432498,M073,_,00050,13
M073__00050.130,13.347618092636965,45.889887470000005,M073,_,00050,130
M073__00050.14,13.34664319528882,45.894026170000004,M073,_,00050,14
M073__00050.164,13.345438035459619,45.892603815,M073,_,00050,164
M073__00050.166,13.34583912815344,45.892709125,M073,_,00050,166
M073__00050.175,13.344597953882332,45.89167082,M073,_,00050,175
M073__00050.179,13.344926852720054,45.88648576,M073,_,00050,179
M073__00050.180,13.344582239339662,45.886954195,M073,_,00050,180
M073__00050.181,13.344200889392436,45.88685468,M073,_,00050,181
M073__00050.182,13.34400250524419,45.887702555000004,M073,_,00050,182
M073__00050.183,13.343682520571962,45.88779531,M073,_,00050,183
M073__00050.184,13.343770198870484,45.886829905,M073,_,00050,184
M073__00050.185,13.34347787344813,45.886761205,M073,_,00050,185
M073__00050.192,13.342017563329147,45.88741832,M073,_,00050,192
M073__00050.193,13.342553340576002,45.88778662,M073,_,00050,193
M073__00050.194,13.341834436735958,45.88775541,M073,_,00050,194
M073__00050.195,13.34347139010368,45.888668945000006,M073,_,00050,195
M073__00050.196,13.343173092285063,45.8888436,M073,_,00050,196
M073__00050.197,13.342794884520915,45.889136795,M073,_,00050,197
M073__00050.199,13.34220961420069,45.888996135,M073,_,00050,199
M073__00050.200,13.341171552150584,45.8881202,M073,_,00050,200
M073__00050.203,13.34052991027507,45.888754,M073,_,00050,203
M073__00050.204,13.340797789672566,45.889071365,M073,_,00050,204
M073__00050.207,13.340096022981536,45.889742805,M073,_,00050,207
M073__00050.209,13.339821214563075,45.890184485,M073,_,00050,209
M073__00050.210,13.33964183248726,45.890943320000005,M073,_,00050,210
M073__00050.213,13.33838958041721,45.89044232,M073,_,00050,213
M073__00050.214,13.337815331573445,45.89037367,M073,_,00050,214
M073__00050.220,13.338232473742725,45.88784908,M073,_,00050,220
