nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M078__00010.1,13.064620265296677,42.9804446,M078,_,00010,1
M078__00930.1,13.145699952103852,42.978815695,M078,_,00930,1
M078__00920.1,13.128186348190752,42.98659906,M078,_,00920,1
M078__00910.1,13.10929189160685,42.984495325,M078,_,00910,1
M078__00900.1,13.138427461261454,42.993947305000006,M078,_,00900,1
M078__00890.1,13.132534474697604,42.99943164,M078,_,00890,1
M078__00880.1,13.120808027093382,42.996280264999996,M078,_,00880,1
M078__00870.1,13.112325662552934,42.993248625,M078,_,00870,1
M078__00860.1,13.122449174217818,43.006446505,M078,_,00860,1
M078__00850.1,13.103049207508045,43.000368519999995,M078,_,00850,1
M078__00840.1,13.11579340726631,43.000807019999996,M078,_,00840,1
M078__00830.1,12.987274179377529,42.88386861,M078,_,00830,1
M078__00820.1,12.97412797607143,42.88369979,M078,_,00820,1
M078__00810.1,12.990852326134172,42.897857404999996,M078,_,00810,1
M078__00800.1,12.97141848004282,42.892759135,M078,_,00800,1
M078__00790.1,13.118697060281413,42.89827322,M078,_,00790,1
M078__00780.1,13.10725238076391,42.9011061,M078,_,00780,1
M078__00770.1,13.101203001662878,42.903277765,M078,_,00770,1
M078__00760.1,12.969155995386044,42.90296807,M078,_,00760,1
M078__00750.1,13.117386836081918,42.912151945000005,M078,_,00750,1
M078__00740.1,13.108691718194862,42.911281595,M078,_,00740,1
M078__00730.1,13.093943324139193,42.9116304,M078,_,00730,1
M078__00720.1,13.087834541062618,42.903326695000004,M078,_,00720,1
M078__00710.1,13.06991041898041,42.906076415,M078,_,00710,1
M078__00700.1,13.122131667966421,42.921217909999996,M078,_,00700,1
M078__00680.1,13.095497356111556,42.923034470000005,M078,_,00680,1
M078__00670.1,13.087792811954891,42.921482585,M078,_,00670,1
M078__00660.1,13.065923138025543,42.91500343,M078,_,00660,1
M078__00650.1,12.982555923498417,42.91363194,M078,_,00650,1
M078__00640.1,12.975278254322932,42.913161935000005,M078,_,00640,1
M078__00630.1,13.113764597014821,42.924812665,M078,_,00630,1
M078__00620.1,13.086681870444158,42.929489829999994,M078,_,00620,1
M078__00610.1,13.069874479464206,42.92376949,M078,_,00610,1
M078__00600.1,13.06376929113622,42.927382775,M078,_,00600,1
M078__00590.1,13.038406885866358,42.918616205,M078,_,00590,1
M078__00580.1,13.021515871999235,42.920588955,M078,_,00580,1
M078__00570.1,12.980794519522057,42.92531942,M078,_,00570,1
M078__00560.1,12.976941172588099,42.92488366,M078,_,00560,1
M078__00550.1,13.095925738300242,42.931900819999996,M078,_,00550,1
M078__00540.1,13.093586167556769,42.93259463,M078,_,00540,1
M078__00530.1,13.0681006414089,42.92835698499999,M078,_,00530,1
M078__00520.1,13.065640764004257,42.933489234999996,M078,_,00520,1
M078__00510.1,13.058787101599277,42.928472495,M078,_,00510,1
M078__00500.1,13.049540225948563,42.93012341,M078,_,00500,1
M078__00470.1,13.010788870997928,42.929775254999996,M078,_,00470,1
M078__00460.1,13.093139792837075,42.938767999999996,M078,_,00460,1
M078__00450.1,13.088954462944915,42.94358264,M078,_,00450,1
M078__00440.1,13.082046591532706,42.940521015,M078,_,00440,1
M078__00430.1,13.066751352162493,42.938326700000005,M078,_,00430,1
M078__00420.1,13.030010455542783,42.9421564,M078,_,00420,1
M078__00410.1,13.028485690550085,42.93847074,M078,_,00410,1
M078__00400.1,13.019107462864596,42.9360813,M078,_,00400,1
M078__00390.1,13.002263383948009,42.93764582,M078,_,00390,1
M078__00380.1,12.981345579079,42.936209505,M078,_,00380,1
M078__00370.1,12.978331783247995,42.939684455,M078,_,00370,1
M078__00360.1,12.973272965595317,42.93756954,M078,_,00360,1
M078__00350.1,13.101558317193724,42.944431914999996,M078,_,00350,1
M078__00340.1,13.087349534856893,42.946626734999995,M078,_,00340,1
M078__00330.1,13.07480992704675,42.94643215,M078,_,00330,1
M078__00320.1,13.06109607771413,42.94582002,M078,_,00320,1
M078__00310.1,13.026783083717795,42.946954399999996,M078,_,00310,1
M078__00300.1,13.005832499658695,42.944130395,M078,_,00300,1
M078__00290.1,12.984964613298413,42.942236745,M078,_,00290,1
M078__00280.1,12.961831130405201,42.940491855,M078,_,00280,1
M078__00270.1,12.948917805615896,42.940942545,M078,_,00270,1
M078__00260.1,13.104122615695161,42.94710363,M078,_,00260,1
M078__00250.1,13.085353767502001,42.954811805000006,M078,_,00250,1
M078__00240.1,13.075308195557053,42.95517404,M078,_,00240,1
M078__00230.1,13.063593773137217,42.95481096,M078,_,00230,1
M078__00220.1,13.04749537210095,42.953561605,M078,_,00220,1
M078__00210.1,13.032221271035974,42.9521536,M078,_,00210,1
M078__00200.1,13.027254728470648,42.956155115,M078,_,00200,1
M078__00190.1,13.02302037833541,42.95362624,M078,_,00190,1
M078__00180.1,13.007894674266051,42.95259479,M078,_,00180,1
M078__00170.1,12.999802975538849,42.95148708,M078,_,00170,1
M078__00160.1,12.99030727709717,42.955334095,M078,_,00160,1
M078__00150.1,12.975314213107932,42.95171406,M078,_,00150,1
M078__00140.1,12.97333929484043,42.94585419,M078,_,00140,1
M078__00130.1,13.10390859101657,42.96271657,M078,_,00130,1
M078__00120.1,13.111214029593087,42.971257165,M078,_,00120,1
M078__00110.1,13.097967283106652,42.96518316,M078,_,00110,1
M078__00100.1,13.07712823837123,42.962659335,M078,_,00100,1
M078__00090.1,13.061550963903091,42.967554445000005,M078,_,00090,1
M078__00080.1,13.056005883122168,42.96394359,M078,_,00080,1
M078__00070.1,13.042707424997056,42.95978628,M078,_,00070,1
M078__00060.1,12.999709922115954,42.959377545,M078,_,00060,1
M078__00050.1,12.980095798302248,42.954016245000005,M078,_,00050,1
M078__00040.1,13.028725890076997,42.961990955000005,M078,_,00040,1
M078__00030.1,13.047636302427188,42.969927545000004,M078,_,00030,1
M078__00020.1,13.05888496242029,42.97639192,M078,_,00020,1
M078__00010.10,13.062523375641629,42.979562855,M078,_,00010,10
M078__00930.10,13.143101846061942,42.97416206,M078,_,00930,10
M078__00910.10,13.114021956334206,42.982820605,M078,_,00910,10
M078__00900.10,13.140753076986542,42.993777405,M078,_,00900,10
M078__00890.10,13.131311137539234,42.984102125,M078,_,00890,10
M078__00880.10,13.12567435865208,42.99508344,M078,_,00880,10
M078__00870.10,13.116484160499144,42.992790805,M078,_,00870,10
M078__00850.10,13.109502357659112,43.000721444999996,M078,_,00850,10
M078__00840.10,13.116095883988132,43.010004550000005,M078,_,00840,10
M078__00830.10,12.985612090883231,42.8832838,M078,_,00830,10
M078__00820.10,12.985457085007095,42.88499956,M078,_,00820,10
M078__00810.10,12.997077551154138,42.897395675,M078,_,00810,10
M078__00800.10,12.977476102314622,42.89342651,M078,_,00800,10
M078__00790.10,13.1229515534404,42.896268025,M078,_,00790,10
M078__00780.10,13.107353887322052,42.89973718,M078,_,00780,10
M078__00770.10,13.102019121429265,42.90165197,M078,_,00770,10
M078__00760.10,12.971815124010003,42.902726189999996,M078,_,00760,10
M078__00750.10,13.116371709579644,42.911840375,M078,_,00750,10
M078__00740.10,13.107383868473114,42.909482,M078,_,00740,10
M078__00730.10,13.093101064028794,42.906389015,M078,_,00730,10
M078__00720.10,13.089160106362922,42.90048947,M078,_,00720,10
M078__00710.10,13.08045300149617,42.905266745,M078,_,00710,10
M078__00700.10,13.124756678340043,42.920070115,M078,_,00700,10
M078__00690.10,13.118090736170284,42.91914542,M078,_,00690,10
M078__00680.10,13.10088722069224,42.919640584999996,M078,_,00680,10
M078__00670.10,13.084599899072302,42.92097907,M078,_,00670,10
M078__00660.10,13.06548823826564,42.913033155,M078,_,00660,10
M078__00650.10,12.98348812401223,42.912940765,M078,_,00650,10
M078__00640.10,12.972026345710116,42.90998309,M078,_,00640,10
M078__00630.10,13.12124605501856,42.922461424999995,M078,_,00630,10
M078__00620.10,13.087596207578084,42.92909332,M078,_,00620,10
M078__00610.10,13.068702600705404,42.922475455,M078,_,00610,10
M078__00600.10,13.067806311585844,42.92345071,M078,_,00600,10
