nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M168__00010.1,8.74848107657549,40.015186889999995,M168,_,00010,1
M168__00110.1,8.689454300190894,39.95876959,M168,_,00110,1
M168__00080.1,8.713604324650062,39.96715459,M168,_,00080,1
M168__00070.1,8.708592625750276,39.972544165,M168,_,00070,1
M168__00060.1,8.707891811331422,39.979312445000005,M168,_,00060,1
M168__00050.1,8.727836222473808,39.98065375,M168,_,00050,1
M168__00040.1,8.711856120728463,39.980832565,M168,_,00040,1
M168__00030.1,8.734789417706605,39.99732835499999,M168,_,00030,1
M168__00020.1,8.728665003262243,39.99988382,M168,_,00020,1
M168__00010.10,8.736551057637636,40.009013705,M168,_,00010,10
M168__00120.10,8.705165110450645,39.956184934999996,M168,_,00120,10
M168__0010.10,8.708654934598938,39.958841135,M168,_,0010,10
M168__00090.10,8.698762355364345,39.960927095,M168,_,00090,10
M168__00070.10,8.709331458098665,39.971301305,M168,_,00070,10
M168__00050.10,8.730867696972966,39.9773632,M168,_,00050,10
M168__00030.10,8.742594284723792,39.986599765,M168,_,00030,10
M168__00040.100,8.717144919350893,39.975634775,M168,_,00040,100
M168__00120.100,8.70170000704925,39.95409815,M168,_,00120,100
M168__00110.100,8.700132985247361,39.9560976,M168,_,00110,100
M168__00090.100,8.705728673995026,39.959090425,M168,_,00090,100
M168__00080.100,8.722552536724084,39.96421794,M168,_,00080,100
M168__00070.100,8.711198323933338,39.970393654999995,M168,_,00070,100
M168__00060.100,8.704923877019151,39.969422879999996,M168,_,00060,100
M168__00050.100,8.71983389877068,39.967407825,M168,_,00050,100
M168__00100.1001,8.718633820645707,39.95349341,M168,_,00100,1001
M168__00100.1002,8.718368709164071,39.95372254,M168,_,00100,1002
M168__00100.1003,8.71871364607328,39.953578545,M168,_,00100,1003
M168__00100.1004,8.718448654377253,39.953808385,M168,_,00100,1004
M168__00100.1005,8.718796145897414,39.953637035,M168,_,00100,1005
M168__00100.1006,8.7185077190602,39.953853865,M168,_,00100,1006
M168__0010.1008,8.707820154331712,39.957319235,M168,_,0010,1008
M168__00040.101,8.711312565091974,39.975481795,M168,_,00040,101
M168__00120.101,8.70225398363025,39.954088999999996,M168,_,00120,101
M168__00110.101,8.70047556019377,39.95616941,M168,_,00110,101
M168__00090.101,8.70487859919511,39.958894255000004,M168,_,00090,101
M168__00080.101,8.72336768378269,39.96461722,M168,_,00080,101
M168__00060.101,8.705050481883177,39.968985995,M168,_,00060,101
M168__00050.101,8.732639276251767,39.96641848,M168,_,00050,101
