nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M199__00010.1,11.49509876256366,45.74623679,M199,_,00010,1
M199__00160.1,11.480247217561926,45.723677645,M199,_,00160,1
M199__00150.1,11.468875521956907,45.729314245,M199,_,00150,1
M199__00130.1,11.490278857164483,45.742255830000005,M199,_,00130,1
M199__00100.1,11.500866708104741,45.72656911,M199,_,00100,1
M199__00090.1,11.502699523769909,45.73830161,M199,_,00090,1
M199__00080.1,11.491300299999192,45.737947515,M199,_,00080,1
M199__00060.1,11.524773591514922,45.727895935,M199,_,00060,1
M199__00050.1,11.533963761924735,45.732190485,M199,_,00050,1
M199__00040.1,11.521151070552849,45.73316102,M199,_,00040,1
M199__00030.1,11.527895943003838,45.73900131,M199,_,00030,1
M199__00020.10,11.513216673678363,45.745852995,M199,_,00020,10
M199__00160.10,11.485375615627142,45.720248985,M199,_,00160,10
M199__00150.10,11.472743389767775,45.72786698,M199,_,00150,10
M199__00130.10,11.48958867270845,45.74152750499999,M199,_,00130,10
M199__00120.10,11.481434789397976,45.73874707,M199,_,00120,10
M199__00110.10,11.489793715565444,45.724059755,M199,_,00110,10
M199__00100.10,11.50075708539383,45.723044775,M199,_,00100,10
M199__00090.10,11.502511898226837,45.73658392,M199,_,00090,10
M199__00080.10,11.493435962446338,45.737271135,M199,_,00080,10
M199__00070.10,11.49228073792313,45.744323795,M199,_,00070,10
M199__00060.10,11.526218497760862,45.727251624999994,M199,_,00060,10
M199__00040.10,11.51881785295995,45.732224360000004,M199,_,00040,10
M199__00010.100,11.49881959385329,45.74317293,M199,_,00010,100
M199__00150.100,11.479987878456848,45.725014625,M199,_,00150,100
M199__00140.100,11.480277482453086,45.72891926,M199,_,00140,100
M199__00130.100,11.485526235487693,45.735295535,M199,_,00130,100
M199__00120.100,11.476546100269655,45.733892565000005,M199,_,00120,100
M199__00100.100,11.502950216548083,45.722186535,M199,_,00100,100
M199__00090.100,11.507890308318576,45.732554875,M199,_,00090,100
M199__00070.100,11.49800542687801,45.73904256,M199,_,00070,100
M199__00050.100,11.536323295837391,45.724488109999996,M199,_,00050,100
M199__00040.100,11.511017455105822,45.72375682,M199,_,00040,100
M199__00030.100,11.529344675733906,45.731295294999995,M199,_,00030,100
M199__00020.100,11.514692311335718,45.74185292,M199,_,00020,100
M199__00030.1000,11.525463669072165,45.73823813,M199,_,00030,1000
M199__00080.1000,11.498645362154807,45.728729085,M199,_,00080,1000
M199__00040.1000,11.517182314609219,45.728273279999996,M199,_,00040,1000
M199__00080.1001,11.498697299397747,45.728774675,M199,_,00080,1001
M199__00020.1002,11.512053602192442,45.741686785,M199,_,00020,1002
M199__00140.1002,11.47751869195072,45.727920785,M199,_,00140,1002
M199__00080.1002,11.495933121619862,45.727153605,M199,_,00080,1002
M199__00030.1002,11.52668921552003,45.731009755,M199,_,00030,1002
M199__00020.1003,11.51206607972333,45.741847504999996,M199,_,00020,1003
M199__00080.1003,11.495812910769157,45.72701333,M199,_,00080,1003
M199__00020.1004,11.512281584284072,45.74201317,M199,_,00020,1004
M199__00140.1004,11.477942101803801,45.72769445,M199,_,00140,1004
M199__00040.1004,11.513094283164069,45.72468457,M199,_,00040,1004
M199__00030.1004,11.526811559311682,45.73044745999999,M199,_,00030,1004
M199__00020.1005,11.512499928895448,45.74202681,M199,_,00020,1005
M199__00080.1005,11.492009426740863,45.730632475,M199,_,00080,1005
M199__00030.1005,11.531657929851312,45.727734675,M199,_,00030,1005
M199__00020.1006,11.511773398044362,45.741470754999995,M199,_,00020,1006
M199__00140.1006,11.479090690854587,45.727765829999996,M199,_,00140,1006
M199__00080.1006,11.497492249143987,45.728890570000004,M199,_,00080,1006
M199__00040.1006,11.512785386447025,45.725284509999994,M199,_,00040,1006
M199__00030.1006,11.531443279799024,45.72772005,M199,_,00030,1006
M199__00020.1007,11.511948505332242,45.741293995,M199,_,00020,1007
M199__00140.1007,11.479067838177816,45.727712725,M199,_,00140,1007
M199__00080.1007,11.493160221724938,45.731387445,M199,_,00080,1007
M199__00040.1007,11.512824616971882,45.72553364,M199,_,00040,1007
M199__00020.1008,11.512202541167792,45.741164659999995,M199,_,00020,1008
M199__00080.1008,11.492765777451254,45.731511999999995,M199,_,00080,1008
M199__00040.1008,11.510312791409163,45.723847315,M199,_,00040,1008
M199__00030.1008,11.531114557448294,45.73172255,M199,_,00030,1008
M199__00020.1009,11.51290043334357,45.741435175,M199,_,00020,1009
M199__00080.1009,11.49246418951411,45.731797979999996,M199,_,00080,1009
M199__00040.1009,11.51025236297558,45.72411851,M199,_,00040,1009
M199__00010.101,11.499365253540937,45.743527945,M199,_,00010,101
M199__00150.101,11.4721639580393,45.72217008,M199,_,00150,101
M199__00140.101,11.480550459391615,45.72898648,M199,_,00140,101
M199__00130.101,11.485182544983083,45.735044255000005,M199,_,00130,101
M199__00120.101,11.47613439925801,45.733126229999996,M199,_,00120,101
M199__00110.101,11.494832540151702,45.721040875,M199,_,00110,101
M199__00100.101,11.506292566117239,45.721521995,M199,_,00100,101
M199__00090.101,11.508349156587618,45.732590529999996,M199,_,00090,101
M199__00070.101,11.498917004331158,45.73999703,M199,_,00070,101
M199__00030.101,11.529933467428625,45.730927105,M199,_,00030,101
M199__00020.1010,11.513101652731605,45.741228590000006,M199,_,00020,1010
M199__00080.1010,11.492728087911557,45.731895275,M199,_,00080,1010
M199__00040.1010,11.516840572380676,45.723829785,M199,_,00040,1010
M199__00020.1011,11.513281965302873,45.74107001,M199,_,00020,1011
M199__00140.1011,11.479043991283977,45.72782807,M199,_,00140,1011
M199__00080.1011,11.492893181164607,45.731779645,M199,_,00080,1011
M199__00040.1011,11.520681153574266,45.731454575,M199,_,00040,1011
M199__00020.1012,11.511116489051721,45.740546565,M199,_,00020,1012
M199__00080.1012,11.492720649618626,45.731649250000004,M199,_,00080,1012
M199__00040.1012,11.51944311545224,45.72739171,M199,_,00040,1012
M199__00020.1013,11.51337846723006,45.739536385,M199,_,00020,1013
M199__00140.1013,11.479207593700949,45.727606425000005,M199,_,00140,1013
M199__00080.1013,11.492861521504292,45.73130831,M199,_,00080,1013
M199__00040.1013,11.519828338254566,45.732289425,M199,_,00040,1013
M199__00020.1014,11.514314801062376,45.739538905,M199,_,00020,1014
M199__00080.1014,11.49280611177143,45.73130831,M199,_,00080,1014
M199__00040.1014,11.51986860639592,45.727827250000004,M199,_,00040,1014
M199__00030.1014,11.525252376591853,45.733280699999995,M199,_,00030,1014
M199__00020.1015,11.514001006522363,45.73966384,M199,_,00020,1015
M199__00080.1015,11.498954576907671,45.730917445,M199,_,00080,1015
M199__00040.1015,11.519698556494443,45.728622205,M199,_,00040,1015
M199__00030.1015,11.525228832756612,45.73317206,M199,_,00030,1015
M199__00020.1016,11.519744894235973,45.73997670999999,M199,_,00020,1016
M199__00030.1016,11.525022373073373,45.733211475000004,M199,_,00030,1016
