nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M271A_00010.1,14.534159377015436,37.078762170000005,M271,A,00010,1
M271B_00110.1,14.537710175723493,37.092510024999996,M271,B,00110,1
M271B_00080.1,14.559605090772628,37.104068385,M271,B,00080,1
M271B_00070.1,14.553687801446118,37.100604204999996,M271,B,00070,1
M271B_00050.1,14.545438889481158,37.09371916,M271,B,00050,1
M271B_00040.1,14.534836691217741,37.099999935,M271,B,00040,1
M271B_00010.1,14.5640261855309,37.1065604,M271,B,00010,1
M271A_00190.1,14.543815558090706,37.055849304999995,M271,A,00190,1
M271A_00180.1,14.536321580134212,37.065806945,M271,A,00180,1
M271A_00170.1,14.543195483058767,37.06271435,M271,A,00170,1
M271A_00160.1,14.550053088385116,37.072077765,M271,A,00160,1
M271A_00150.1,14.552985310239105,37.07192609,M271,A,00150,1
M271A_00140.1,14.563294634208116,37.071453065,M271,A,00140,1
M271A_00130.1,14.584690279600897,37.088854855,M271,A,00130,1
M271A_00120.1,14.57873078054789,37.078753985000006,M271,A,00120,1
M271A_00100.1,14.574441310167362,37.094512769999994,M271,A,00100,1
M271A_00080.1,14.565985255885156,37.0940935,M271,A,00080,1
M271A_00070.1,14.564991886732287,37.08185827,M271,A,00070,1
M271A_0006.1,14.555467923101524,37.086138355,M271,A,0006,1
M271A_0004.1,14.549870748113776,37.088287425000004,M271,A,0004,1
M271A_00030.1,14.541531705814911,37.075312745000005,M271,A,00030,1
M271A_00020.1,14.539130690147648,37.077905130000005,M271,A,00020,1
M271A_00010.10,14.535397095490763,37.07846036,M271,A,00010,10
M271B_00110.10,14.540833917800349,37.09153891,M271,B,00110,10
M271B_00090.10,14.577488300780384,37.101679329999996,M271,B,00090,10
M271B_00080.10,14.563503502576523,37.10001907,M271,B,00080,10
M271B_00070.10,14.556395183107492,37.09951144,M271,B,00070,10
M271B_00060.10,14.549441942814449,37.090215545,M271,B,00060,10
M271B_00040.10,14.537341215839731,37.092897125,M271,B,00040,10
M271B_00020.10,14.575960337856376,37.10335163,M271,B,00020,10
M271B_00010.10,14.561400349140335,37.103276955,M271,B,00010,10
M271A_00190.10,14.548147314703478,37.05878431,M271,A,00190,10
M271A_00180.10,14.54112528228643,37.060947495,M271,A,00180,10
M271A_00170.10,14.542835086323745,37.067711294999995,M271,A,00170,10
M271A_00160.10,14.548514892091337,37.0629584,M271,A,00160,10
M271A_00150.10,14.561199707171077,37.06343258,M271,A,00150,10
M271A_00140.10,14.571176500327873,37.066034785,M271,A,00140,10
M271A_00100.10,14.577046897082333,37.09208315,M271,A,00100,10
M271A_00090.10,14.571299199170603,37.09137697,M271,A,00090,10
M271A_00050.10,14.557844866204947,37.093610865,M271,A,00050,10
M271A_0004.10,14.548836097399988,37.086856245,M271,A,0004,10
