nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M319A_01010.1,10.408365007651156,44.01904991,M319,A,01010,1
M319B_0403.1,10.370842845589,44.023224549999995,M319,B,0403,1
M319B_0304.1,10.373260643031664,44.027079425,M319,B,0304,1
M319B_02010.1,10.36603090512871,44.057972785000004,M319,B,02010,1
M319B_01020.1,10.374992793925301,44.057944504999995,M319,B,01020,1
M319A_0302.1,10.40011915011266,44.00170482,M319,A,0302,1
M319A_0206.1,10.445748187712121,44.01917366000001,M319,A,0206,1
M319A_01010.10,10.413667224066213,44.01973183,M319,A,01010,10
M319B_0403.10,10.370850915352571,44.022561165,M319,B,0403,10
M319B_0304.10,10.373770060819485,44.027222394999995,M319,B,0304,10
M319B_02010.10,10.366316401149327,44.057793794999995,M319,B,02010,10
M319B_01020.10,10.371645779096113,44.060949719999996,M319,B,01020,10
M319A_0302.10,10.400951512310165,44.00180997,M319,A,0302,10
M319A_0206.10,10.445943271233975,44.018630625,M319,A,0206,10
M319A_01040.100,10.431085811519967,44.014039894999996,M319,A,01040,100
M319B_0403.100,10.369697118066274,44.020633555,M319,B,0403,100
M319B_0304.100,10.374377766912804,44.026266035,M319,B,0304,100
M319B_02040.100,10.367790401987065,44.048749495,M319,B,02040,100
M319B_01020.100,10.386303376748579,44.059456710000006,M319,B,01020,100
M319A_01080.1000,10.436181428910002,44.0007191,M319,A,01080,1000
M319B_04050.1000,10.370654138311878,44.01101791,M319,B,04050,1000
M319B_03040.1000,10.385771718460486,44.029814565,M319,B,03040,1000
M319B_02140.1000,10.358749618513464,44.028385875,M319,B,02140,1000
M319B_01070.1000,10.401874836130755,44.057289170000004,M319,B,01070,1000
M319B_01070.1001,10.402150029201593,44.05742538,M319,B,01070,1001
M319B_04050.1001,10.37564849498992,44.013632525,M319,B,04050,1001
M319B_03040.1001,10.3853115224472,44.02906738,M319,B,03040,1001
M319B_02140.1001,10.358649280532353,44.028331165,M319,B,02140,1001
M319B_02140.1002,10.358670788103428,44.02846553,M319,B,02140,1002
M319B_04040.1002,10.363343235485662,44.012688935,M319,B,04040,1002
M319B_03040.1002,10.385278169570547,44.02836276,M319,B,03040,1002
M319A_01080.1003,10.436309734222945,44.001761445,M319,A,01080,1003
M319B_04040.1003,10.366399403513874,44.0116804,M319,B,04040,1003
M319B_03050.1003,10.386374993084539,44.0277868,M319,B,03050,1003
M319B_01070.1004,10.402492921182636,44.057171170000004,M319,B,01070,1004
M319B_04050.1004,10.369671211283897,44.01145081,M319,B,04050,1004
M319B_03040.1004,10.384584845853862,44.0274349,M319,B,03040,1004
M319B_02090.1004,10.35767040767696,44.033729375,M319,B,02090,1004
M319A_01070.1005,10.435223678419842,44.001337469999996,M319,A,01070,1005
M319B_04050.1005,10.37005482879049,44.011116465,M319,B,04050,1005
M319B_03040.1005,10.384438656906479,44.02755291,M319,B,03040,1005
M319B_02140.1005,10.357573179466748,44.033473455,M319,B,02140,1005
M319A_01070.1006,10.434996478928626,44.001828485,M319,A,01070,1006
M319B_04040.1006,10.369182072264145,44.010140965000005,M319,B,04040,1006
M319B_03040.1006,10.384288581331063,44.027702774999995,M319,B,03040,1006
M319B_02140.1006,10.357849035674032,44.03349660000001,M319,B,02140,1006
M319A_01070.1007,10.434752030311472,44.00194367500001,M319,A,01070,1007
M319B_04040.1007,10.366853911485247,44.009053445,M319,B,04040,1007
M319B_03040.1007,10.384088289111808,44.027754535,M319,B,03040,1007
M319B_02140.1007,10.357514807142191,44.033378655,M319,B,02140,1007
