nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M326A_00010.1,11.300768734760922,44.083404,M326,A,00010,1
M326B_00370.1,11.30475140328764,43.936392409999996,M326,B,00370,1
M326B_00350.1,11.295791416785615,43.938466455,M326,B,00350,1
M326B_00340.1,11.281018964209306,43.939104404999995,M326,B,00340,1
M326B_00330.1,11.281460513704483,43.943404705000006,M326,B,00330,1
M326B_00320.1,11.26964830835275,43.94408909,M326,B,00320,1
M326B_00310.1,11.26080268528914,43.945846605,M326,B,00310,1
M326B_00300.1,11.253459760484033,43.94080098,M326,B,00300,1
M326B_00290.1,11.244151540195858,43.94605128,M326,B,00290,1
M326B_00270.1,11.31332714708832,43.94713230000001,M326,B,00270,1
M326B_00260.1,11.302989950411828,43.948220075,M326,B,00260,1
M326B_00250.1,11.287074109684973,43.95365262,M326,B,00250,1
M326B_00240.1,11.280154130671612,43.956826065,M326,B,00240,1
M326B_00230.1,11.256676654040545,43.95271192,M326,B,00230,1
M326B_00220.1,11.251503984730938,43.953409359999995,M326,B,00220,1
M326B_00210.1,11.33187907723584,43.956847159999995,M326,B,00210,1
M326B_00200.1,11.31483908041446,43.95625509,M326,B,00200,1
M326B_00190.1,11.298234528828413,43.953912755000005,M326,B,00190,1
M326B_00180.1,11.263217749823692,43.957410565,M326,B,00180,1
M326B_00160.1,11.3221592278198,43.96558001,M326,B,00160,1
M326B_00140.1,11.2952349791491,43.964081315,M326,B,00140,1
M326B_00090.1,11.313005114098416,43.974468375,M326,B,00090,1
M326B_00080.1,11.301588986815133,43.96717101,M326,B,00080,1
M326B_00070.1,11.297366266222381,43.97659197,M326,B,00070,1
M326B_00060.1,11.313561623109013,43.98526095,M326,B,00060,1
M326B_00050.1,11.311333229353263,43.98809694,M326,B,00050,1
M326B_00040.1,11.29659392933631,43.985612205,M326,B,00040,1
M326B_00030.1,11.318954062297134,44.00162394,M326,B,00030,1
M326B_00020.1,11.303008383255193,43.996542195,M326,B,00020,1
M326A_00730.1,11.355059474028955,43.97573502,M326,A,00730,1
M326A_00720.1,11.339703119577003,43.96636573,M326,A,00720,1
M326A_00710.1,11.342528507623951,43.97392138,M326,A,00710,1
M326A_00700.1,11.357204141373927,43.98212778,M326,A,00700,1
M326A_00690.1,11.341759298114173,43.980136515,M326,A,00690,1
M326A_00670.1,11.361131373715402,43.9936013,M326,A,00670,1
M326A_00650.1,11.348863617137528,43.998927525,M326,A,00650,1
M326A_00630.1,11.326147611321066,43.99676991,M326,A,00630,1
M326A_00620.1,11.379444218895433,44.002890949999994,M326,A,00620,1
M326A_00600.1,11.355359447009437,43.999388870000004,M326,A,00600,1
M326A_00590.1,11.359814619119282,44.008172724999994,M326,A,00590,1
M326A_00570.1,11.325719633276652,44.0070956,M326,A,00570,1
M326A_00560.1,11.31450727479935,44.009140535,M326,A,00560,1
M326A_00550.1,11.373076561270988,44.01491798,M326,A,00550,1
M326A_00540.1,11.383003677996019,44.02394331,M326,A,00540,1
M326A_00530.1,11.360858102869322,44.020591545,M326,A,00530,1
M326A_00510.1,11.342391432607464,44.016521229999995,M326,A,00510,1
M326A_00500.1,11.346521802469287,44.024533344999995,M326,A,00500,1
