nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M372A_00010.1,9.366074796527622,45.182543460000005,M372,A,00010,1
M372B_00060.1,9.3457282743563,45.181468075,M372,B,00060,1
M372B_00050.1,9.345167009347104,45.17729846,M372,B,00050,1
M372B_00030.1,9.354327268151959,45.19179009,M372,B,00030,1
M372B_00020.1,9.340588679151532,45.190516555,M372,B,00020,1
M372B_00010.1,9.333762652233181,45.18633937,M372,B,00010,1
M372A_00090.1,9.375074269183223,45.148754225000005,M372,A,00090,1
M372A_00080.1,9.356704514355933,45.148683835,M372,A,00080,1
M372A_00070.1,9.37484595732268,45.1580914,M372,A,00070,1
M372A_00060.1,9.365860150530693,45.158629245,M372,A,00060,1
M372A_00050.1,9.352974994300542,45.160332249999996,M372,A,00050,1
M372A_00040.1,9.345866259107794,45.169484600000004,M372,A,00040,1
M372A_00020.1,9.372365886036421,45.18198212,M372,A,00020,1
M372A_00010.10,9.368354067290428,45.1824061,M372,A,00010,10
M372B_00050.10,9.34902076820855,45.178127605,M372,B,00050,10
M372B_00030.10,9.359624215383331,45.191118305,M372,B,00030,10
M372B_00020.10,9.34461091987861,45.18955664,M372,B,00020,10
M372B_00010.10,9.335265078453634,45.186902595,M372,B,00010,10
M372A_00090.10,9.383119085650229,45.147688445,M372,A,00090,10
M372A_00080.10,9.365276108089947,45.146076985,M372,A,00080,10
M372A_00070.10,9.380307512715028,45.15750103,M372,A,00070,10
M372A_00060.10,9.365871571367837,45.158217095,M372,A,00060,10
M372A_00040.10,9.347672387757997,45.168344225,M372,A,00040,10
M372A_00010.100,9.356770593377178,45.17150078,M372,A,00010,100
M372B_00050.100,9.345761728164474,45.170717695,M372,B,00050,100
M372B_00020.100,9.348865709769429,45.185198225,M372,B,00020,100
M372A_00070.100,9.384951929558348,45.156077185,M372,A,00070,100
M372A_00050.100,9.367034621950534,45.1588143,M372,A,00050,100
M372A_00040.100,9.351591558649513,45.165752350000005,M372,A,00040,100
M372A_00020.100,9.380348529476947,45.17253642,M372,A,00020,100
M372A_00070.1000,9.372517330763518,45.152096495,M372,A,00070,1000
M372A_00060.1001,9.37068288904166,45.15605504,M372,A,00060,1001
M372A_00070.1001,9.372559257967193,45.152016095,M372,A,00070,1001
M372A_00070.1003,9.377622948648241,45.15333221,M372,A,00070,1003
M372A_00070.1004,9.37751302781899,45.15448207,M372,A,00070,1004
M372A_00070.1005,9.37747058909913,45.154165559999996,M372,A,00070,1005
M372A_00060.1006,9.372685595045873,45.15760132,M372,A,00060,1006
M372A_00060.1007,9.372509844792225,45.157498939999996,M372,A,00060,1007
M372A_00010.101,9.35736876182738,45.1714038,M372,A,00010,101
M372B_00060.101,9.346651590200224,45.179023195,M372,B,00060,101
M372B_00050.101,9.346865570522175,45.170577275,M372,B,00050,101
M372B_00020.101,9.345414874691887,45.185785505,M372,B,00020,101
M372A_00070.101,9.385315963065464,45.156193220000006,M372,A,00070,101
M372A_00060.101,9.36690988126298,45.158148690000004,M372,A,00060,101
M372A_00040.101,9.352205981822229,45.16573218,M372,A,00040,101
M372A_00030.101,9.374980715810391,45.15934456,M372,A,00030,101
M372A_00020.101,9.380739211359883,45.173044555000004,M372,A,00020,101
M372A_00070.1010,9.374354909576589,45.156073570000004,M372,A,00070,1010
M372A_00070.1011,9.375217848830683,45.155884915,M372,A,00070,1011
M372A_00060.1012,9.373384916781859,45.157427235,M372,A,00060,1012
