nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A043__00010.1,16.17698564197015,38.563626049999996,A043,_,00010,1
A043__00360.1,16.22671360677495,38.507399555000006,A043,_,00360,1
A043__00350.1,16.219017420076838,38.52079225,A043,_,00350,1
A043__00340.1,16.21570812134007,38.530795525,A043,_,00340,1
A043__00330.1,16.203837469158245,38.527100204999996,A043,_,00330,1
A043__00310.1,16.20525591854065,38.532509590000004,A043,_,00310,1
A043__00300.1,16.196250744014648,38.528383545,A043,_,00300,1
A043__00280.1,16.205135149318938,38.54547382,A043,_,00280,1
A043__00270.1,16.197178706709924,38.540511555,A043,_,00270,1
A043__00260.1,16.19594657999677,38.532821935,A043,_,00260,1
A043__00250.1,16.207321379896676,38.554052665,A043,_,00250,1
A043__00240.1,16.197969955686965,38.545757210000005,A043,_,00240,1
A043__00230.1,16.19620829566157,38.545822985,A043,_,00230,1
A043__00220.1,16.178358409379804,38.53896119,A043,_,00220,1
A043__00190.1,16.175738138592777,38.541227660000004,A043,_,00190,1
A043__00180.1,16.198780571233108,38.55555475,A043,_,00180,1
A043__00160.1,16.1821373888273,38.548309200000006,A043,_,00160,1
A043__00150.1,16.175423032938863,38.548525565000006,A043,_,00150,1
A043__00130.1,16.166809863413327,38.545515275,A043,_,00130,1
A043__00110.1,16.17779507224018,38.557256390000006,A043,_,00110,1
A043__00100.1,16.171615076265944,38.557639065000004,A043,_,00100,1
A043__00090.1,16.171899174475886,38.553594595,A043,_,00090,1
A043__00080.1,16.165366241509908,38.549284115,A043,_,00080,1
A043__00070.1,16.16115472183361,38.55313272,A043,_,00070,1
A043__00060.1,16.152558650123822,38.552096645000006,A043,_,00060,1
A043__00050.1,16.168824208227058,38.559640959999996,A043,_,00050,1
A043__00040.1,16.1595617706418,38.556870975,A043,_,00040,1
A043__00030.1,16.15530066137287,38.55696031,A043,_,00030,1
A043__00020.1,16.190061121898886,38.564581425,A043,_,00020,1
A043__00010.10,16.176541025023944,38.562846465,A043,_,00010,10
A043__00350.10,16.229333126783658,38.517770895,A043,_,00350,10
A043__00340.10,16.216588402849382,38.530753225,A043,_,00340,10
A043__00330.10,16.204141476237474,38.525337395,A043,_,00330,10
A043__00320.10,16.201985417849468,38.521649605,A043,_,00320,10
A043__00290.10,16.21599380094029,38.543813325,A043,_,00290,10
A043__00280.10,16.205885976164925,38.543184175,A043,_,00280,10
A043__00270.10,16.197445443491784,38.53965966,A043,_,00270,10
A043__00260.10,16.184831835920534,38.53510009,A043,_,00260,10
A043__00250.10,16.208041009853325,38.55335567,A043,_,00250,10
A043__00240.10,16.20045467982557,38.545812905000005,A043,_,00240,10
A043__00230.10,16.196574162247014,38.54488906,A043,_,00230,10
A043__00220.10,16.17847684388147,38.53848659,A043,_,00220,10
