nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A082__00020.10,10.349882597082502,45.653165494999996,A082,_,00020,10
A082__00050.100,10.351760481314734,45.649531089999996,A082,_,00050,100
A082__00020.1000,10.361963800168414,45.65308777,A082,_,00020,1000
A082__00020.1001,10.360604033237085,45.660486135,A082,_,00020,1001
A082__00020.1002,10.361947880950042,45.653247394999994,A082,_,00020,1002
A082__00020.1003,10.3613354163687,45.652910685,A082,_,00020,1003
A082__00020.1004,10.361231640573617,45.653085794999996,A082,_,00020,1004
A082__00020.1007,10.360885347407045,45.65347844,A082,_,00020,1007
A082__00020.1008,10.361389454933542,45.653985575,A082,_,00020,1008
A082__00020.1009,10.361893740024739,45.654123874999996,A082,_,00020,1009
A082__00020.1010,10.363558737023292,45.65443029,A082,_,00020,1010
A082__00020.1012,10.363276958006324,45.65383813,A082,_,00020,1012
A082__00020.1013,10.363123516553381,45.653692379999995,A082,_,00020,1013
A082__00020.1014,10.362856508040014,45.653649895,A082,_,00020,1014
A082__00020.1015,10.352314921446531,45.65478736,A082,_,00020,1015
A082__00020.1016,10.353830635594225,45.655842840000005,A082,_,00020,1016
A082__00100.1017,10.356632183927129,45.625784655,A082,_,00100,1017
A082__00020.1018,10.363161095019201,45.653276105,A082,_,00020,1018
A082__00020.1019,10.353192449183187,45.655975905000005,A082,_,00020,1019
A082__00020.1020,10.352893051940885,45.655793505,A082,_,00020,1020
A082__00020.1022,10.364962539918698,45.65395679,A082,_,00020,1022
A082__00020.1023,10.365623724564623,45.6541664,A082,_,00020,1023
A082__00020.1024,10.352879283295014,45.656418970000004,A082,_,00020,1024
A082__00020.1027,10.368264355396184,45.655261095,A082,_,00020,1027
A082__00020.1028,10.349390877693953,45.65466893,A082,_,00020,1028
A082__00050.103,10.35173403372635,45.649753794999995,A082,_,00050,103
A082__00020.1030,10.349710035897658,45.654687429999996,A082,_,00020,1030
A082__00020.1033,10.349106823567553,45.654927005000005,A082,_,00020,1033
A082__00020.1036,10.3487882742316,45.655048504999996,A082,_,00020,1036
A082__00050.104,10.35187095834262,45.649874749999995,A082,_,00050,104
A082__0001.1041,10.342647079129264,45.657338249999995,A082,_,0001,1041
A082__00020.1044,10.350761610951487,45.656432269999996,A082,_,00020,1044
A082__00020.1045,10.368858037444866,45.653812245,A082,_,00020,1045
A082__00020.1046,10.369426217472201,45.65377973,A082,_,00020,1046
A082__00020.1047,10.370843651929096,45.65397792,A082,_,00020,1047
A082__00020.1048,10.370637918134364,45.654372335000005,A082,_,00020,1048
A082__00020.1049,10.370320675612112,45.654426029999996,A082,_,00020,1049
A082__00010.1050,10.341839375545874,45.655851725,A082,_,00010,1050
A082__00020.1056,10.370558230409044,45.656555735,A082,_,00020,1056
A082__00020.1057,10.37000961152177,45.65631859,A082,_,00020,1057
A082__00020.1058,10.370589907487862,45.65693228,A082,_,00020,1058
A082__00020.1062,10.36805295649491,45.656026405,A082,_,00020,1062
A082__00020.1063,10.368496619735517,45.655960289999996,A082,_,00020,1063
A082__00020.1065,10.36962109823975,45.656292199999996,A082,_,00020,1065
A082__00020.1067,10.369476897142262,45.656866820000005,A082,_,00020,1067
A082__00020.1068,10.369795556975227,45.65706285500001,A082,_,00020,1068
A082__00020.1069,10.36922834032663,45.657232645,A082,_,00020,1069
A082__00020.107,10.364019924159628,45.659460255,A082,_,00020,107
A082__00020.1070,10.368998873317857,45.656638244999996,A082,_,00020,1070
A082__00020.1073,10.36828940178229,45.656975325000005,A082,_,00020,1073
A082__00020.1074,10.368734930577865,45.657382495,A082,_,00020,1074
A082__00020.1075,10.35001326913368,45.65609259,A082,_,00020,1075
A082__00020.1076,10.368994314909035,45.65787337,A082,_,00020,1076
A082__00020.1077,10.367225398393892,45.65854511,A082,_,00020,1077
A082__00020.1078,10.367347253453985,45.65822559,A082,_,00020,1078
A082__00020.1079,10.368234293274577,45.657390375000006,A082,_,00020,1079
A082__00050.108,10.351848901705551,45.650006180000005,A082,_,00050,108
A082__00020.1080,10.368382837534497,45.657723739999994,A082,_,00020,1080
A082__00020.1082,10.366952459813296,45.657586285,A082,_,00020,1082
A082__00020.1083,10.367509939575545,45.65722829,A082,_,00020,1083
A082__00020.1084,10.367459859104992,45.657011675,A082,_,00020,1084
A082__00020.1085,10.367341350550571,45.65687787,A082,_,00020,1085
A082__00020.1087,10.367291670334545,45.656652185,A082,_,00020,1087
A082__00020.1089,10.367793725619833,45.655996695,A082,_,00020,1089
A082__00020.1090,10.356131564220764,45.65657331,A082,_,00020,1090
A082__00020.1091,10.366699601157997,45.65589822,A082,_,00020,1091
A082__00020.1092,10.366316645124126,45.655940935000004,A082,_,00020,1092
A082__00020.1093,10.366215729010325,45.655006985,A082,_,00020,1093
A082__00020.1094,10.355226459404077,45.656369575,A082,_,00020,1094
A082__00020.1096,10.36586259202755,45.656074125,A082,_,00020,1096
A082__00020.1097,10.36498765460701,45.654943335,A082,_,00020,1097
A082__00020.1098,10.354614453092184,45.65694712,A082,_,00020,1098
A082__00020.1099,10.36408802115389,45.654850725,A082,_,00020,1099
A082__00020.11,10.350319131177624,45.65323572,A082,_,00020,11
A082__00050.110,10.351720772338755,45.650051645,A082,_,00050,110
A082__00020.1100,10.363642803433901,45.65478257,A082,_,00020,1100
A082__00020.1101,10.364031017404841,45.65507399,A082,_,00020,1101
A082__00040.1102,10.340832594808738,45.648426560000004,A082,_,00040,1102
A082__00020.1103,10.363507680939318,45.655340185,A082,_,00020,1103
A082__00020.1104,10.36456392730511,45.655754195,A082,_,00020,1104
A082__00020.1105,10.362705549559312,45.655767005,A082,_,00020,1105
A082__00020.1106,10.36300014309844,45.65497374,A082,_,00020,1106
A082__00020.1107,10.356810815470832,45.65789656,A082,_,00020,1107
A082__00050.111,10.351752576352219,45.64995562,A082,_,00050,111
A082__00020.1110,10.362561669160137,45.65527847,A082,_,00020,1110
A082__00020.1111,10.360907452997317,45.65588893,A082,_,00020,1111
A082__00020.1113,10.360728948290287,45.654797915,A082,_,00020,1113
A082__00020.1114,10.356722919404477,45.657268255,A082,_,00020,1114
A082__00020.1115,10.35729262542856,45.65650862,A082,_,00020,1115
A082__00020.1116,10.359698645690965,45.658586835,A082,_,00020,1116
A082__00020.1117,10.361073364258754,45.654788175,A082,_,00020,1117
A082__00020.1118,10.361076362552701,45.655267905,A082,_,00020,1118
A082__00020.1119,10.360623178519546,45.65543841,A082,_,00020,1119
A082__00020.1120,10.361083460333413,45.65614031,A082,_,00020,1120
A082__00020.1121,10.362470775635462,45.655507375,A082,_,00020,1121
A082__00020.1122,10.361971583904861,45.657083075,A082,_,00020,1122
A082__00020.1123,10.365475412375616,45.656515459999994,A082,_,00020,1123
A082__00020.1125,10.354793748974403,45.65864666,A082,_,00020,1125
A082__00020.1126,10.359683018984969,45.657014965,A082,_,00020,1126
A082__00010.1127,10.333813891550129,45.65559218,A082,_,00010,1127
A082__00020.1128,10.353568587837248,45.65855485,A082,_,00020,1128
A082__00020.1129,10.362220318039824,45.658223605,A082,_,00020,1129
A082__00020.113,10.357586447532762,45.653064595000004,A082,_,00020,113
A082__00020.1130,10.363022729493295,45.658402265,A082,_,00020,1130
A082__00020.1131,10.36360154139086,45.658127480000005,A082,_,00020,1131
A082__00020.1132,10.363719988981547,45.658487055,A082,_,00020,1132
A082__00020.1133,10.364679721406027,45.658347315,A082,_,00020,1133
A082__00020.1134,10.365062709187164,45.657745704999996,A082,_,00020,1134
A082__00020.1137,10.366321839560813,45.65729129,A082,_,00020,1137
A082__00020.1138,10.366485989938113,45.657234105,A082,_,00020,1138
A082__00020.1139,10.365796343064789,45.658471335,A082,_,00020,1139
A082__00020.114,10.355875542663306,45.651725565,A082,_,00020,114
A082__00020.1140,10.365642125459814,45.65834955,A082,_,00020,1140
A082__00020.1142,10.365424131021133,45.659416885,A082,_,00020,1142
A082__00020.1145,10.35037104224542,45.65825548,A082,_,00020,1145
A082__00020.1147,10.349674116138791,45.657609675,A082,_,00020,1147
A082__00010.1148,10.34703548710837,45.65440101,A082,_,00010,1148
A082__00020.1149,10.364813764731789,45.660528465,A082,_,00020,1149
A082__00040.115,10.349343746351607,45.637695435,A082,_,00040,115
A082__00010.1150,10.348289392734053,45.65833863,A082,_,00010,1150
A082__00020.1152,10.365092949196644,45.658704835,A082,_,00020,1152
