nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A108__00010.1,7.230896820182017,45.70466414,A108,_,00010,1
A108__00690.1,7.253517381269082,45.605996669999996,A108,_,00690,1
A108__00680.1,7.229454843936831,45.64060123,A108,_,00680,1
A108__00670.1,7.254813407456005,45.635981220000005,A108,_,00670,1
A108__00650.1,7.2814814198324065,45.660229545,A108,_,00650,1
A108__00640.1,7.27132008828629,45.650197175,A108,_,00640,1
A108__00630.1,7.259543944241938,45.646334955,A108,_,00630,1
A108__00620.1,7.260209226390433,45.650184495,A108,_,00620,1
A108__00610.1,7.2520222216322505,45.64827021,A108,_,00610,1
A108__00600.1,7.250323066362191,45.65235673,A108,_,00600,1
A108__00590.1,7.243569570121341,45.65345046,A108,_,00590,1
A108__00580.1,7.240080045748458,45.65526783,A108,_,00580,1
A108__00570.1,7.2204450898265975,45.657560385,A108,_,00570,1
A108__00560.1,7.249575968624348,45.671917035,A108,_,00560,1
A108__00550.1,7.2517977298768646,45.681019140000004,A108,_,00550,1
A108__00540.1,7.243865407187502,45.680841494999996,A108,_,00540,1
A108__00530.1,7.244960139953461,45.676447159999995,A108,_,00530,1
A108__00520.1,7.239009581945895,45.67586465,A108,_,00520,1
A108__00510.1,7.238187011457248,45.67221282,A108,_,00510,1
A108__00500.1,7.2336443107738955,45.668653,A108,_,00500,1
A108__00490.1,7.229689018618362,45.672802645000004,A108,_,00490,1
A108__00480.1,7.228569143326375,45.676097515,A108,_,00480,1
A108__00470.1,7.232599157210068,45.675829324999995,A108,_,00470,1
A108__00460.1,7.236691864831599,45.68237121,A108,_,00460,1
A108__00450.1,7.2281751471285745,45.683115495,A108,_,00450,1
A108__00440.1,7.224541867312123,45.68508686,A108,_,00440,1
A108__00430.1,7.222634281422623,45.676964330000004,A108,_,00430,1
A108__00420.1,7.223038246999758,45.6687018,A108,_,00420,1
A108__00410.1,7.216848167669816,45.665144425,A108,_,00410,1
A108__00400.1,7.213235241119438,45.67038444,A108,_,00400,1
A108__00390.1,7.2114836858229365,45.674187795,A108,_,00390,1
A108__00380.1,7.210908180078899,45.677757035,A108,_,00380,1
A108__00370.1,7.213442494173361,45.681141600000004,A108,_,00370,1
A108__00360.1,7.216938812424443,45.688246205,A108,_,00360,1
A108__00350.1,7.2178976914442945,45.689198774999994,A108,_,00350,1
A108__00340.1,7.229946901390371,45.68938205,A108,_,00340,1
A108__00330.1,7.23128970323149,45.686740025000006,A108,_,00330,1
A108__00320.1,7.23179673404783,45.686904045000006,A108,_,00320,1
A108__00300.1,7.245533457807859,45.68558634,A108,_,00300,1
A108__00290.1,7.241616457842855,45.688129090000004,A108,_,00290,1
A108__00280.1,7.253219943749457,45.697141065,A108,_,00280,1
A108__00270.1,7.254185251160753,45.690205614999996,A108,_,00270,1
A108__00260.1,7.248153490675409,45.687751675,A108,_,00260,1
A108__00250.1,7.254630679750016,45.688326204999996,A108,_,00250,1
A108__00240.1,7.261325784888314,45.69006896,A108,_,00240,1
A108__00230.1,7.2601157138276875,45.694597439999995,A108,_,00230,1
A108__00220.1,7.262672389700825,45.697652355,A108,_,00220,1
A108__00210.1,7.259218929783718,45.699675315,A108,_,00210,1
A108__00200.1,7.253011817310793,45.695000685,A108,_,00200,1
A108__00170.1,7.247019677908879,45.699749205,A108,_,00170,1
A108__00160.1,7.243172078283906,45.696494035,A108,_,00160,1
A108__00150.1,7.235996376391206,45.693642095,A108,_,00150,1
A108__00140.1,7.234277810766061,45.69347004,A108,_,00140,1
A108__00130.1,7.226972342941885,45.697424895,A108,_,00130,1
A108__00120.1,7.2312144395810325,45.700402495000006,A108,_,00120,1
A108__00110.1,7.235718819294517,45.70036733,A108,_,00110,1
A108__00100.1,7.240709294189461,45.70090994,A108,_,00100,1
A108__00090.1,7.241226366332871,45.70069782,A108,_,00090,1
A108__00080.1,7.248267017874597,45.70050742,A108,_,00080,1
A108__00070.1,7.248688719939162,45.70557961,A108,_,00070,1
A108__00060.1,7.252206147223398,45.71067253,A108,_,00060,1
A108__00030.1,7.237041746178516,45.702081365,A108,_,00030,1
A108__00020.1,7.235880617610174,45.70535038,A108,_,00020,1
A108__00010.10,7.2317998131248356,45.70413413,A108,_,00010,10
A108__00680.10,7.235623431073818,45.64461034,A108,_,00680,10
A108__00670.10,7.255889626785621,45.63416028,A108,_,00670,10
A108__00660.10,7.288097699839951,45.639713900000004,A108,_,00660,10
A108__00640.10,7.273372180501278,45.648758459999996,A108,_,00640,10
A108__00630.10,7.260726630018834,45.646147595,A108,_,00630,10
A108__00620.10,7.260657501556199,45.64955698,A108,_,00620,10
A108__00610.10,7.252565468920807,45.64771872,A108,_,00610,10
A108__00600.10,7.251301176627523,45.65130395,A108,_,00600,10
A108__00590.10,7.246262851375906,45.652649735,A108,_,00590,10
A108__00580.10,7.242225515716708,45.653190665,A108,_,00580,10
A108__00570.10,7.231431000515757,45.66311209,A108,_,00570,10
A108__00550.10,7.2532616747578595,45.681992574999995,A108,_,00550,10
A108__00540.10,7.246011254894778,45.680166755,A108,_,00540,10
A108__00530.10,7.245807510735687,45.675987899999996,A108,_,00530,10
A108__00520.10,7.2399190431149325,45.67594502,A108,_,00520,10
A108__00510.10,7.238393609837686,45.66940104,A108,_,00510,10
A108__00500.10,7.233947956455928,45.668724315,A108,_,00500,10
A108__00490.10,7.230795393627162,45.67265848,A108,_,00490,10
A108__00480.10,7.229681637865451,45.67740786,A108,_,00480,10
A108__00470.10,7.234138430325301,45.676199425,A108,_,00470,10
A108__00460.10,7.237933269005165,45.68257247,A108,_,00460,10
A108__00450.10,7.229202984926454,45.680146449999995,A108,_,00450,10
A108__00440.10,7.225162620913334,45.684013815,A108,_,00440,10
A108__00430.10,7.223150583170753,45.676572535,A108,_,00430,10
A108__00420.10,7.223333102114143,45.66886838,A108,_,00420,10
A108__00410.10,7.219422244027836,45.664141955000005,A108,_,00410,10
A108__00400.10,7.214084220178277,45.668783094999995,A108,_,00400,10
A108__00390.10,7.213180138027912,45.671633130000004,A108,_,00390,10
A108__00380.10,7.211409632349161,45.675750820000005,A108,_,00380,10
A108__00370.10,7.219535247005713,45.683120525,A108,_,00370,10
A108__00360.10,7.22192956647136,45.68608227,A108,_,00360,10
A108__00350.10,7.219529185480033,45.691232555,A108,_,00350,10
A108__00340.10,7.22857038253529,45.688061935,A108,_,00340,10
A108__00330.10,7.232242177429653,45.68607846,A108,_,00330,10
A108__00320.10,7.234666851996434,45.68826709,A108,_,00320,10
A108__00310.10,7.242195318265324,45.687383065,A108,_,00310,10
A108__00300.10,7.249032812093178,45.685607129999994,A108,_,00300,10
A108__00290.10,7.242988522685239,45.68956136,A108,_,00290,10
A108__00280.10,7.2520990375070395,45.694907215,A108,_,00280,10
A108__00260.10,7.252195687123486,45.686280695,A108,_,00260,10
A108__00250.10,7.254489094388298,45.686771375,A108,_,00250,10
A108__00240.10,7.2622357513207785,45.68922193,A108,_,00240,10
A108__00230.10,7.261853211958537,45.693760055,A108,_,00230,10
A108__00220.10,7.264929641122803,45.698586415,A108,_,00220,10
A108__00210.10,7.260667286138459,45.699931385,A108,_,00210,10
A108__00200.10,7.254380656753296,45.696355264999994,A108,_,00200,10
A108__00190.10,7.261321971417589,45.707434140000004,A108,_,00190,10
A108__00180.10,7.255742105474646,45.70352185,A108,_,00180,10
A108__00170.10,7.247966798452408,45.700364640000004,A108,_,00170,10
A108__00160.10,7.244848932022881,45.696857124999994,A108,_,00160,10
A108__00150.10,7.237411198369049,45.693238385,A108,_,00150,10
A108__00140.10,7.233545144614155,45.691874139999996,A108,_,00140,10
A108__00130.10,7.226274888537432,45.696269380000004,A108,_,00130,10
A108__00120.10,7.233597268873936,45.70060136,A108,_,00120,10
A108__00110.10,7.234544002267669,45.70002966,A108,_,00110,10
A108__00100.10,7.240894475497894,45.70042619,A108,_,00100,10
A108__00090.10,7.241144999370166,45.699861795000004,A108,_,00090,10
A108__00070.10,7.249699711961179,45.706135945,A108,_,00070,10
A108__00060.10,7.25357720493218,45.710736225,A108,_,00060,10
A108__00040.10,7.24424959654794,45.70474657,A108,_,00040,10
A108__00030.10,7.2382647774838,45.702092365,A108,_,00030,10
A108__00010.100,7.232839584475471,45.701642555,A108,_,00010,100
A108__00640.100,7.27295891551139,45.6471803,A108,_,00640,100
A108__00630.100,7.263665354906021,45.64524885,A108,_,00630,100
A108__00620.100,7.270390366131004,45.647843035,A108,_,00620,100
A108__00610.100,7.2539922645642925,45.64531651,A108,_,00610,100
A108__00600.100,7.251063148799528,45.64986863,A108,_,00600,100
A108__00590.100,7.245553483371854,45.650127485,A108,_,00590,100
A108__00570.100,7.23319697906147,45.663473825,A108,_,00570,100
A108__00560.100,7.2488297443403376,45.654281819999994,A108,_,00560,100
A108__00540.100,7.245430057869802,45.67734403,A108,_,00540,100
A108__00530.100,7.248632354907864,45.67372987,A108,_,00530,100
A108__00520.100,7.242532623370396,45.672430399999996,A108,_,00520,100
A108__00510.100,7.240271560187234,45.669514425,A108,_,00510,100
A108__00490.100,7.2312196073465165,45.67058078,A108,_,00490,100
A108__00480.100,7.232622439282769,45.676698380000005,A108,_,00480,100
A108__00470.100,7.235950198010365,45.6756087,A108,_,00470,100
A108__00460.100,7.2370739758281015,45.68062071,A108,_,00460,100
A108__00450.100,7.232260692082685,45.68037047,A108,_,00450,100
A108__00440.100,7.223097946352167,45.68071678,A108,_,00440,100
A108__00430.100,7.223901550420308,45.67563595,A108,_,00430,100
A108__00420.100,7.231775342405715,45.667451905,A108,_,00420,100
A108__00400.100,7.224062916018818,45.66595735,A108,_,00400,100
A108__00390.100,7.222058828480479,45.672566259999996,A108,_,00390,100
A108__00370.100,7.221739205740054,45.681825065,A108,_,00370,100
A108__00350.100,7.222260153625875,45.689211075,A108,_,00350,100
A108__00340.100,7.226720233713758,45.684626054999995,A108,_,00340,100
A108__00330.100,7.2342240120809524,45.682628025,A108,_,00330,100
A108__00310.100,7.242515758385384,45.686817645,A108,_,00310,100
A108__00250.100,7.259861516414062,45.68922632,A108,_,00250,100
