nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A138__00010.1,9.72149691799174,44.51279882,A138,_,00010,1
A138__00830.1,9.706919501038895,44.396568415000004,A138,_,00830,1
A138__00820.1,9.692221744171801,44.397174135,A138,_,00820,1
A138__00810.1,9.66359088580048,44.39165647,A138,_,00810,1
A138__00800.1,9.684455361984567,44.398499885,A138,_,00800,1
A138__00790.1,9.683336421113449,44.402880145,A138,_,00790,1
A138__00780.1,9.67653611872266,44.394832449999996,A138,_,00780,1
A138__00770.1,9.681260637294539,44.401899799999995,A138,_,00770,1
A138__00760.1,9.6752756901831,44.39983426,A138,_,00760,1
A138__00730.1,9.705230601182109,44.41946723,A138,_,00730,1
A138__00720.1,9.689356290813352,44.410356480000004,A138,_,00720,1
A138__00710.1,9.682778755024184,44.410108715,A138,_,00710,1
A138__00700.1,9.679552719580041,44.406569544999996,A138,_,00700,1
A138__00690.1,9.672582331035635,44.40275137,A138,_,00690,1
A138__00680.1,9.66731056721494,44.411146815,A138,_,00680,1
A138__00670.1,9.664712326984143,44.41079105,A138,_,00670,1
A138__00660.1,9.740006305850882,44.428229705,A138,_,00660,1
A138__00650.1,9.735245013299231,44.427797565000006,A138,_,00650,1
A138__00640.1,9.706101323148847,44.426535,A138,_,00640,1
A138__00620.1,9.689753641939056,44.42566849000001,A138,_,00620,1
A138__00610.1,9.673909638721,44.420737025,A138,_,00610,1
A138__00600.1,9.654957667542824,44.41779632,A138,_,00600,1
A138__00590.1,9.669714563651162,44.42374543,A138,_,00590,1
A138__00580.1,9.64355266032295,44.427591199999995,A138,_,00580,1
A138__00570.1,9.63614211121691,44.428310859999996,A138,_,00570,1
A138__00560.1,9.624699362255335,44.432306225000005,A138,_,00560,1
A138__00550.1,9.74397940290342,44.436424835,A138,_,00550,1
A138__00540.1,9.73032031852885,44.437679564999996,A138,_,00540,1
A138__00530.1,9.708161363019045,44.435058425,A138,_,00530,1
A138__00520.1,9.70467661088151,44.434860325,A138,_,00520,1
A138__00510.1,9.683524404253781,44.425586894999995,A138,_,00510,1
A138__00500.1,9.679103221631607,44.42888455000001,A138,_,00500,1
A138__00480.1,9.666814435219411,44.435305514999996,A138,_,00480,1
A138__00460.1,9.65276784438003,44.441502685,A138,_,00460,1
A138__00450.1,9.626981626173212,44.43387294,A138,_,00450,1
A138__00440.1,9.635698071354046,44.4402915,A138,_,00440,1
A138__00430.1,9.746718628937138,44.44601417,A138,_,00430,1
A138__00420.1,9.72925379379652,44.446038564999995,A138,_,00420,1
A138__00410.1,9.719957572416662,44.44851434,A138,_,00410,1
A138__00400.1,9.715177673194662,44.44939316,A138,_,00400,1
A138__00390.1,9.699214316926849,44.448704585,A138,_,00390,1
A138__00380.1,9.683348417985073,44.447788939999995,A138,_,00380,1
A138__00370.1,9.677422231486627,44.446836155,A138,_,00370,1
A138__00360.1,9.65052102637804,44.44738568,A138,_,00360,1
A138__00350.1,9.64281153274628,44.449647305,A138,_,00350,1
A138__00340.1,9.74171819972851,44.45602646,A138,_,00340,1
A138__00330.1,9.743658972667564,44.464533615,A138,_,00330,1
A138__00320.1,9.735297807283096,44.448268825,A138,_,00320,1
A138__00310.1,9.735495120936543,44.45584495,A138,_,00310,1
A138__00300.1,9.714329350641737,44.464340585,A138,_,00300,1
A138__00290.1,9.71105991462619,44.459960665,A138,_,00290,1
A138__00280.1,9.698789277115326,44.454332495,A138,_,00280,1
A138__00270.1,9.693613227023324,44.46222879,A138,_,00270,1
A138__00260.1,9.675636650695623,44.453784420000005,A138,_,00260,1
A138__00250.1,9.673742897981256,44.458898035000004,A138,_,00250,1
A138__00240.1,9.658340518435386,44.448981005,A138,_,00240,1
A138__00230.1,9.745907331979101,44.47192683,A138,_,00230,1
A138__00220.1,9.741526889581344,44.477352345,A138,_,00220,1
A138__00210.1,9.726024817705552,44.472745384999996,A138,_,00210,1
A138__00200.1,9.702824612103353,44.470502665,A138,_,00200,1
A138__00190.1,9.700786033843508,44.46439904,A138,_,00190,1
A138__00180.1,9.691924405984135,44.468366665000005,A138,_,00180,1
A138__00170.1,9.680328209468186,44.474337475,A138,_,00170,1
A138__00160.1,9.661080516676064,44.467623395,A138,_,00160,1
A138__00140.1,9.723716793847643,44.481596775,A138,_,00140,1
A138__00130.1,9.705893079277793,44.47439248,A138,_,00130,1
A138__00120.1,9.693575687630705,44.481182585,A138,_,00120,1
A138__00110.1,9.688215072065237,44.47843082,A138,_,00110,1
A138__00100.1,9.668851263285088,44.477188625,A138,_,00100,1
A138__00090.1,9.723862030770796,44.490871819999995,A138,_,00090,1
A138__00080.1,9.717451999007807,44.4896897,A138,_,00080,1
A138__00070.1,9.704647059704202,44.49158160499999,A138,_,00070,1
A138__00050.1,9.673791721044587,44.48750699,A138,_,00050,1
A138__00040.1,9.671586579124465,44.489861665,A138,_,00040,1
A138__00030.1,9.713349713164067,44.498743965,A138,_,00030,1
A138__00020.1,9.709941299613272,44.506314935,A138,_,00020,1
A138__00020.10,9.712735823221848,44.504457605,A138,_,00020,10
A138__00830.10,9.72543896907613,44.38846659,A138,_,00830,10
A138__00820.10,9.689190656267105,44.39493993,A138,_,00820,10
A138__00810.10,9.67860016543586,44.389027755,A138,_,00810,10
A138__00800.10,9.682815764402044,44.398081625,A138,_,00800,10
A138__00790.10,9.684099997424706,44.402786725,A138,_,00790,10
A138__00780.10,9.681731359698638,44.39450809,A138,_,00780,10
A138__00770.10,9.681401007190466,44.40129565,A138,_,00770,10
A138__00760.10,9.676285839770149,44.399608240000006,A138,_,00760,10
A138__00750.10,9.735647607050776,44.403888185,A138,_,00750,10
A138__00730.10,9.708438034170896,44.417971125,A138,_,00730,10
A138__00720.10,9.689091790942282,44.409956225,A138,_,00720,10
A138__00710.10,9.683926692822165,44.410003704999994,A138,_,00710,10
A138__00700.10,9.678912190802471,44.40635203,A138,_,00700,10
A138__00690.10,9.67746833322737,44.402521660000005,A138,_,00690,10
A138__00680.10,9.675692761849993,44.411157605,A138,_,00680,10
A138__00670.10,9.661890704306465,44.40979915,A138,_,00670,10
A138__00660.10,9.740757918069416,44.42593625,A138,_,00660,10
A138__00640.10,9.721086463984125,44.42589905,A138,_,00640,10
A138__00630.10,9.699055197389313,44.422273849999996,A138,_,00630,10
A138__00620.10,9.692724241932734,44.42528586,A138,_,00620,10
A138__00610.10,9.679160836570645,44.420989485,A138,_,00610,10
A138__00600.10,9.662399931572118,44.415923324999994,A138,_,00600,10
A138__00590.10,9.669276074126175,44.423294145,A138,_,00590,10
A138__00580.10,9.648820968490021,44.426147900000004,A138,_,00580,10
A138__00570.10,9.6388515232901,44.425729065,A138,_,00570,10
A138__00560.10,9.625456837087302,44.429222165,A138,_,00560,10
A138__00550.10,9.747931938785255,44.435157605,A138,_,00550,10
A138__00540.10,9.730820897158843,44.43710872,A138,_,00540,10
A138__00530.10,9.709233633120354,44.434610989999996,A138,_,00530,10
A138__00520.10,9.706225550248,44.43483836,A138,_,00520,10
A138__00510.10,9.685660847863334,44.4256219,A138,_,00510,10
A138__00500.10,9.682478657401175,44.42854287,A138,_,00500,10
A138__00490.10,9.681198318440456,44.436808495,A138,_,00490,10
A138__00480.10,9.671247507994753,44.435430645,A138,_,00480,10
A138__00470.10,9.657540758059802,44.432188714999995,A138,_,00470,10
A138__00460.10,9.652725850319992,44.44037661,A138,_,00460,10
A138__00450.10,9.633057484460455,44.432903295,A138,_,00450,10
A138__00440.10,9.64117528727973,44.440452575,A138,_,00440,10
A138__00430.10,9.746494073990714,44.44434932,A138,_,00430,10
A138__00420.10,9.731851277074384,44.445223325,A138,_,00420,10
A138__00410.10,9.719710945480122,44.448240705,A138,_,00410,10
A138__00400.10,9.714952007745744,44.44899797,A138,_,00400,10
A138__00390.10,9.702203854624294,44.447609035,A138,_,00390,10
A138__00380.10,9.681109410217044,44.43999106,A138,_,00380,10
A138__00370.10,9.677786947250045,44.44485591,A138,_,00370,10
