nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A139__00010.1,8.053803769539307,44.60869349,A139,_,00010,1
A139__00060.1,8.054759900597684,44.598215525,A139,_,00060,1
A139__00050.1,8.04916054386403,44.601847945,A139,_,00050,1
A139__00040.1,8.049114220577426,44.606130245,A139,_,00040,1
A139__00030.1,8.061397112760847,44.597506069999994,A139,_,00030,1
A139__00020.1,8.067846494158214,44.60506982,A139,_,00020,1
A139__00010.10,8.054229546091992,44.60887313,A139,_,00010,10
A139__00070.10,8.061828457976148,44.593030075,A139,_,00070,10
A139__00060.10,8.055166463061816,44.596216845,A139,_,00060,10
A139__00050.10,8.052261478777954,44.600484375,A139,_,00050,10
A139__00040.10,8.049154869737965,44.603173999999996,A139,_,00040,10
A139__00020.10,8.064616872253355,44.603959965,A139,_,00020,10
A139__00010.100,8.059741340540556,44.607726825,A139,_,00010,100
A139__00070.100,8.06043317790775,44.591150885,A139,_,00070,100
A139__00060.100,8.055680689541376,44.59235844,A139,_,00060,100
A139__00050.100,8.047200608644165,44.597327755,A139,_,00050,100
A139__00040.100,8.061633783642826,44.599663835,A139,_,00040,100
A139__00030.100,8.07088963544436,44.597050685,A139,_,00030,100
A139__00020.100,8.074958861247662,44.600787804999996,A139,_,00020,100
A139__00010.101,8.058202580606004,44.607441215,A139,_,00010,101
A139__00070.101,8.059887429954067,44.59144766,A139,_,00070,101
A139__00060.101,8.05576454753055,44.592628625,A139,_,00060,101
A139__00050.101,8.05098321305371,44.598296180000006,A139,_,00050,101
A139__00040.101,8.062770769151435,44.59966448,A139,_,00040,101
A139__00030.101,8.072585546241008,44.595947855,A139,_,00030,101
A139__00010.102,8.061370096125342,44.60857978,A139,_,00010,102
A139__00070.102,8.060039346807756,44.591923445,A139,_,00070,102
A139__00060.102,8.05547882127454,44.59236387,A139,_,00060,102
A139__00050.102,8.052106849177015,44.597169969999996,A139,_,00050,102
A139__00040.102,8.062151832113408,44.599350185000006,A139,_,00040,102
A139__00030.102,8.071677666398564,44.595997804999996,A139,_,00030,102
A139__00010.103,8.062359256521123,44.605193365,A139,_,00010,103
A139__00070.103,8.060124704183387,44.59202196,A139,_,00070,103
A139__00060.103,8.055363386962064,44.592362345,A139,_,00060,103
A139__00050.103,8.046765242949357,44.59730758,A139,_,00050,103
