nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A173__00010.1,7.966360148082625,45.096800560000005,A173,_,00010,1
A173__00100.1,7.996010467609476,45.078703364999996,A173,_,00100,1
A173__00090.1,7.98152741316294,45.07584292,A173,_,00090,1
A173__00080.1,7.977419095297864,45.08259536,A173,_,00080,1
A173__00070.1,7.949641832773976,45.076657534999995,A173,_,00070,1
A173__00060.1,7.9790767654691575,45.080320295,A173,_,00060,1
A173__00040.1,7.9768503168317455,45.095000475,A173,_,00040,1
A173__00030.1,7.965970254202388,45.089785755,A173,_,00030,1
A173__00020.1,7.9615446840499295,45.089425475,A173,_,00020,1
A173__00010.10,7.966076423654359,45.09643015499999,A173,_,00010,10
A173__00100.10,7.995567498712528,45.077611475,A173,_,00100,10
A173__00090.10,7.984945222437722,45.076020885000005,A173,_,00090,10
A173__00080.10,7.977628394017012,45.08075207,A173,_,00080,10
A173__00070.10,7.95175743941018,45.07645127,A173,_,00070,10
A173__00060.10,7.982010374989043,45.078676805,A173,_,00060,10
A173__00050.10,7.9658836896565255,45.07910287,A173,_,00050,10
A173__00030.10,7.967333417496449,45.08927369,A173,_,00030,10
A173__00020.10,7.962638697080226,45.089619244999994,A173,_,00020,10
A173__00010.100,7.96840317966679,45.09827078,A173,_,00010,100
A173__00100.100,7.997455948821303,45.075095475,A173,_,00100,100
A173__00090.100,7.987356054483895,45.076381749999996,A173,_,00090,100
A173__00080.100,7.973019798794381,45.076783055,A173,_,00080,100
A173__00070.100,7.956135589550311,45.07321413,A173,_,00070,100
A173__00060.100,7.98846129896944,45.082612865,A173,_,00060,100
A173__00050.100,7.970458166084999,45.078130709999996,A173,_,00050,100
A173__00040.100,7.977961519657164,45.088677175,A173,_,00040,100
A173__00030.100,7.965408469863593,45.085282695000004,A173,_,00030,100
A173__00020.100,7.962035578990248,45.084234455,A173,_,00020,100
A173__00010.101,7.969053008813663,45.098204555,A173,_,00010,101
A173__00100.101,7.996595774625017,45.07522707,A173,_,00100,101
A173__00090.101,7.987424781311671,45.07691772,A173,_,00090,101
