nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A192__00010.1,8.197792864702517,40.67047986,A192,_,00010,1
A192__00970.1,8.311343216217253,40.560041825,A192,_,00970,1
A192__00940.1,8.354818656222008,40.522336300000006,A192,_,00940,1
A192__00930.1,8.332349235758699,40.522262135000005,A192,_,00930,1
A192__00910.1,8.388724750255315,40.534150865,A192,_,00910,1
A192__00900.1,8.358783509864558,40.522813850000006,A192,_,00900,1
A192__00870.1,8.328324686309353,40.528755005,A192,_,00870,1
A192__00860.1,8.352174650097485,40.543066335,A192,_,00860,1
A192__00850.1,8.336180515798223,40.540690775,A192,_,00850,1
A192__00830.1,8.403625511832503,40.54798183,A192,_,00830,1
A192__00820.1,8.376658893270772,40.54807453,A192,_,00820,1
A192__00810.1,8.365409731296815,40.552993685,A192,_,00810,1
A192__0077.1,8.327924497088496,40.555826545,A192,_,0077,1
A192__00760.1,8.405513233585292,40.56448994,A192,_,00760,1
A192__00750.1,8.362199521743321,40.562714490000005,A192,_,00750,1
A192__00740.1,8.354277586904917,40.560553315,A192,_,00740,1
A192__00730.1,8.352533933198181,40.56255451,A192,_,00730,1
A192__00680.1,8.354774418355206,40.57393051,A192,_,00680,1
A192__00670.1,8.346656975321938,40.57193751,A192,_,00670,1
A192__00660.1,8.33782956914261,40.56870697,A192,_,00660,1
A192__00650.1,8.319026949024252,40.568357195000004,A192,_,00650,1
A192__00640.1,8.320949682417536,40.569285015000006,A192,_,00640,1
A192__00630.1,8.333777143969083,40.575270085,A192,_,00630,1
A192__00620.1,8.329575005118436,40.58201418,A192,_,00620,1
A192__00610.1,8.317944201062923,40.58207095,A192,_,00610,1
A192__00600.1,8.335039640833742,40.587464145,A192,_,00600,1
A192__00540.1,8.349265176939536,40.59966147,A192,_,00540,1
A192__00530.1,8.333566285532473,40.59546971,A192,_,00530,1
A192__00520.1,8.325061292405302,40.595790984999994,A192,_,00520,1
A192__00510.1,8.315935437845617,40.597620895000006,A192,_,00510,1
A192__00490.1,8.249527232648276,40.592897465,A192,_,00490,1
A192__00470.1,8.216588713990705,40.592686549999996,A192,_,00470,1
A192__00460.1,8.160634650827213,40.57620044,A192,_,00460,1
A192__00440.1,8.392492548521323,40.61124332,A192,_,00440,1
A192__00410.1,8.333529557792676,40.60922336,A192,_,00410,1
A192__00400.1,8.327118535928015,40.608724475,A192,_,00400,1
A192__00390.1,8.321405091205975,40.6110591,A192,_,00390,1
A192__00380.1,8.313932454922725,40.60540461,A192,_,00380,1
A192__00370.1,8.3007889874388,40.600124914999995,A192,_,00370,1
A192__00340.1,8.25414724702722,40.61894708,A192,_,00340,1
A192__00330.1,8.236290143622663,40.60632233,A192,_,00330,1
A192__00320.1,8.21218222445842,40.613014185,A192,_,00320,1
A192__00300.1,8.406150681032877,40.625132245,A192,_,00300,1
A192__00280.1,8.352002572395827,40.60352662,A192,_,00280,1
A192__00230.1,8.187792673335204,40.616423014999995,A192,_,00230,1
A192__00220.1,8.145256597646286,40.616715125,A192,_,00220,1
A192__00180.1,8.174743544874788,40.63380836,A192,_,00180,1
A192__00140.1,8.191786881726255,40.653194555,A192,_,00140,1
A192__00070.1,8.345568641727406,40.67092398,A192,_,00070,1
A192__00020.1,8.193726949683011,40.661793315,A192,_,00020,1
A192__00030.10,8.240730991306272,40.647460505,A192,_,00030,10
A192__00960.10,8.362069681732192,40.506249075,A192,_,00960,10
A192__00950.10,8.347064412681519,40.5134171,A192,_,00950,10
A192__00930.10,8.339867202579141,40.52373243,A192,_,00930,10
A192__00920.10,8.397441720791699,40.527460545,A192,_,00920,10
A192__00900.10,8.375648649094693,40.542878645,A192,_,00900,10
A192__00890.10,8.347830847387746,40.534491655,A192,_,00890,10
A192__00860.10,8.352123430964305,40.541037315,A192,_,00860,10
A192__00850.10,8.335812885479418,40.53700709,A192,_,00850,10
A192__00840.10,8.328596599681177,40.540160935,A192,_,00840,10
A192__00820.10,8.38422066888452,40.550176645,A192,_,00820,10
A192__00810.10,8.375569108579723,40.544635535,A192,_,00810,10
A192__00790.10,8.343284335996728,40.54993408,A192,_,00790,10
A192__00780.10,8.323822657882307,40.546327205,A192,_,00780,10
A192__00760.10,8.416314168204202,40.554704755,A192,_,00760,10
A192__00750.10,8.36365130870359,40.558294355,A192,_,00750,10
A192__00730.10,8.348454869351256,40.55854087,A192,_,00730,10
A192__0071.10,8.318039917404626,40.556968964999996,A192,_,0071,10
A192__00700.10,8.397231861690244,40.566875205,A192,_,00700,10
A192__00680.10,8.35398844662773,40.57245628,A192,_,00680,10
A192__00670.10,8.34856991359026,40.57056526,A192,_,00670,10
A192__00620.10,8.328363474523997,40.57679109,A192,_,00620,10
A192__00600.10,8.332622963441127,40.585390355,A192,_,00600,10
A192__00590.10,8.392079308869045,40.582756489999994,A192,_,00590,10
A192__00580.10,8.370661640526928,40.584470725,A192,_,00580,10
A192__00540.10,8.352386891031138,40.59805145999999,A192,_,00540,10
A192__0049.10,8.284476469733297,40.59305389,A192,_,0049,10
A192__00440.10,8.384689863830626,40.603752485,A192,_,00440,10
A192__00430.10,8.366539830603791,40.596265915000004,A192,_,00430,10
A192__00410.10,8.341080200061565,40.605651155000004,A192,_,00410,10
A192__00390.10,8.323888349414787,40.610525304999996,A192,_,00390,10
A192__00380.10,8.311345221180389,40.60411842,A192,_,00380,10
A192__00330.10,8.242869275204988,40.59486368,A192,_,00330,10
