nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A360__00010.1,12.205667752320108,45.795001029999995,A360,_,00010,1
A360__00090.1,12.231277510776849,45.775336374999995,A360,_,00090,1
A360__00080.1,12.221998831240668,45.780566230000005,A360,_,00080,1
A360__00070.1,12.215221649271804,45.78136847,A360,_,00070,1
A360__00060.1,12.203354386459193,45.781690495,A360,_,00060,1
A360__00050.1,12.22629236730165,45.78410628,A360,_,00050,1
A360__00030.1,12.232857793850382,45.794294140000005,A360,_,00030,1
A360__00020.1,12.222701599978556,45.7935068,A360,_,00020,1
A360__00010.10,12.212898615437695,45.79523346,A360,_,00010,10
A360__00080.10,12.223648652501147,45.77758965,A360,_,00080,10
A360__00070.10,12.215126262763533,45.779032674999996,A360,_,00070,10
A360__00060.10,12.204123925344135,45.779543905,A360,_,00060,10
A360__00040.10,12.209237166150844,45.786864640000005,A360,_,00040,10
A360__00030.10,12.232663879697334,45.793058645,A360,_,00030,10
A360__00010.100,12.20293271624356,45.79094893,A360,_,00010,100
A360__00070.100,12.216262369910009,45.776817535,A360,_,00070,100
A360__00050.100,12.23436074428365,45.77638773,A360,_,00050,100
A360__00040.100,12.219808461330508,45.787189905000005,A360,_,00040,100
A360__00030.100,12.239870274912079,45.79088202,A360,_,00030,100
A360__00020.1000,12.227497568173916,45.78682035,A360,_,00020,1000
A360__00020.1001,12.226066233685618,45.78699494,A360,_,00020,1001
A360__00020.1002,12.226345569728807,45.786376685,A360,_,00020,1002
A360__00020.1003,12.226467367857353,45.78891679,A360,_,00020,1003
A360__00020.1004,12.22648867675549,45.788950815,A360,_,00020,1004
A360__00020.1006,12.226565132288716,45.788679615,A360,_,00020,1006
A360__00040.1006,12.21798124167821,45.784215785,A360,_,00040,1006
A360__00020.1007,12.226638797814212,45.788254775,A360,_,00020,1007
A360__00050.1007,12.229798474302207,45.78278798,A360,_,00050,1007
A360__00040.1007,12.217941417026447,45.784105175,A360,_,00040,1007
A360__00020.1008,12.226682084391802,45.788249895,A360,_,00020,1008
A360__00050.1008,12.230115636284776,45.782789574999995,A360,_,00050,1008
A360__00040.1008,12.217759705734533,45.783954370000004,A360,_,00040,1008
A360__00020.1009,12.232560782048022,45.78451704,A360,_,00020,1009
A360__00010.101,12.204643730602484,45.790574905,A360,_,00010,101
A360__00090.101,12.236568859303944,45.766481909999996,A360,_,00090,101
A360__00070.101,12.216491630629685,45.777564735,A360,_,00070,101
A360__00020.1010,12.232097816244423,45.78444664,A360,_,00020,1010
A360__00050.1010,12.231160917829644,45.7829598,A360,_,00050,1010
A360__00040.1010,12.21178958972685,45.784541815,A360,_,00040,1010
A360__00020.1012,12.232728191595921,45.784734040000004,A360,_,00020,1012
A360__00050.1012,12.228916476966418,45.78031242,A360,_,00050,1012
A360__00020.1013,12.231818332072542,45.7846214,A360,_,00020,1013
A360__00040.1014,12.222431379894747,45.782923275,A360,_,00040,1014
A360__00050.1014,12.236546748986513,45.782593160000005,A360,_,00050,1014
A360__00040.1015,12.2223470827795,45.78306401,A360,_,00040,1015
A360__00050.1015,12.236297831432502,45.78267863000001,A360,_,00050,1015
A360__00020.1016,12.225702246177224,45.793032440000005,A360,_,00020,1016
A360__00040.1017,12.223386690952779,45.782596485,A360,_,00040,1017
A360__00020.1019,12.225107788297386,45.79254077,A360,_,00020,1019
A360__00040.1019,12.223017447019167,45.78285011,A360,_,00040,1019
A360__00010.102,12.20264421699523,45.78950236,A360,_,00010,102
A360__00090.102,12.236921325246776,45.766481735,A360,_,00090,102
A360__00080.102,12.228281472993778,45.77332717,A360,_,00080,102
A360__00060.102,12.20539948528168,45.77945877,A360,_,00060,102
A360__0004.102,12.220034111710056,45.787115585,A360,_,0004,102
A360__00030.102,12.24222708816866,45.79201415,A360,_,00030,102
A360__00040.1020,12.223173449582298,45.782803535,A360,_,00040,1020
A360__00040.1021,12.223347553772467,45.78275358,A360,_,00040,1021
A360__00050.1021,12.238979496748648,45.782166000000004,A360,_,00050,1021
A360__00020.1022,12.22561425222704,45.792417330000006,A360,_,00020,1022
A360__00020.1023,12.225430650023739,45.792361135,A360,_,00020,1023
A360__00020.1024,12.227710160083682,45.784651455,A360,_,00020,1024
A360__00050.1025,12.239569326037024,45.77947816,A360,_,00050,1025
A360__00020.1026,12.225708995248088,45.793499935,A360,_,00020,1026
A360__00050.1027,12.23063297477492,45.78190461,A360,_,00050,1027
A360__00020.1028,12.22544392749147,45.79353474,A360,_,00020,1028
A360__00050.1028,12.230898165654548,45.781953465,A360,_,00050,1028
A360__0004.1028,12.219325204328943,45.784652715,A360,_,0004,1028
A360__0004.1029,12.219047932808696,45.7847792,A360,_,0004,1029
A360__00010.103,12.206727806926985,45.78971371,A360,_,00010,103
A360__00080.103,12.228324957344736,45.772583005,A360,_,00080,103
A360__00070.103,12.217578469931736,45.77459675,A360,_,00070,103
A360__00060.103,12.204827260227283,45.781260655,A360,_,00060,103
