nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A391__0907.10,9.12797197366337,45.94279215,A391,_,0907,10
A391__0907.100,9.127162541955459,45.94398638,A391,_,0907,100
A391__0907.1000,9.127806468861962,45.943683795,A391,_,0907,1000
A391__09050.1002,9.103623563588386,45.934686635,A391,_,09050,1002
A391__09050.1003,9.102995561330934,45.93455930499999,A391,_,09050,1003
A391__0907.1006,9.12670290884077,45.94308259,A391,_,0907,1006
A391__0907.1007,9.126536578790581,45.943062080000004,A391,_,0907,1007
A391__0907.101,9.127107112718178,45.94393118,A391,_,0907,101
A391__0907.1011,9.127609078994,45.942416155000004,A391,_,0907,1011
A391__09060.1013,9.115299061453218,45.937164304999996,A391,_,09060,1013
A391__09050.1014,9.108236034752778,45.93437224,A391,_,09050,1014
A391__09050.1015,9.108067479246058,45.93413199,A391,_,09050,1015
A391__09040.1019,9.126945576081205,45.94412193,A391,_,09040,1019
A391__09040.1021,9.12652876039023,45.943671545,A391,_,09040,1021
A391__09050.1022,9.114243796691754,45.937486745,A391,_,09050,1022
A391__09060.1023,9.11575465401638,45.933551475,A391,_,09060,1023
A391__09050.1024,9.113993023202067,45.937119915,A391,_,09050,1024
A391__09030.1025,9.111038605698063,45.93995359,A391,_,09030,1025
A391__09040.1026,9.128145006696428,45.941357440000004,A391,_,09040,1026
A391__0907.1027,9.127994981860411,45.942139225,A391,_,0907,1027
A391__09040.1028,9.128282380152807,45.94044905,A391,_,09040,1028
A391__09040.1029,9.128123813852092,45.939728849999995,A391,_,09040,1029
A391__09020.1030,9.137683227232968,45.951782245000004,A391,_,09020,1030
A391__09040.1031,9.130836097171047,45.94669434,A391,_,09040,1031
A391__09020.1032,9.138703653359608,45.950325594999995,A391,_,09020,1032
A391__09020.1033,9.138429358768462,45.95044381,A391,_,09020,1033
A391__09020.1034,9.138121419673414,45.951189885,A391,_,09020,1034
A391__0907.1035,9.127400102652539,45.942464310000005,A391,_,0907,1035
A391__0907.1036,9.127786589787167,45.941836890000005,A391,_,0907,1036
A391__09040.1037,9.127967034182095,45.9405326,A391,_,09040,1037
A391__09040.1038,9.127247875212804,45.941885850000006,A391,_,09040,1038
A391__09040.1041,9.127683147922385,45.941009455,A391,_,09040,1041
A391__09020.1042,9.134571511671794,45.948247325,A391,_,09020,1042
A391__09040.1044,9.126209887553198,45.94469248,A391,_,09040,1044
A391__09040.1045,9.127080874341878,45.942691194999995,A391,_,09040,1045
A391__09040.1046,9.12569972340523,45.94254243,A391,_,09040,1046
A391__09050.1047,9.112292969836176,45.93872724,A391,_,09050,1047
A391__09040.1048,9.125589092257535,45.94285599,A391,_,09040,1048
A391__09040.1049,9.125568023124004,45.942721805,A391,_,09040,1049
A391__09030.1050,9.110380355754131,45.94053242,A391,_,09030,1050
A391__09040.1054,9.128778588892125,45.94616257,A391,_,09040,1054
A391__09040.1056,9.12905890154962,45.946092065,A391,_,09040,1056
A391__09040.1057,9.128056096129225,45.93850955,A391,_,09040,1057
A391__09040.1058,9.12361416937189,45.944126510000004,A391,_,09040,1058
A391__09040.1064,9.127631010003558,45.939952885,A391,_,09040,1064
A391__09040.1065,9.127940095438593,45.939137795,A391,_,09040,1065
A391__09040.1066,9.127530454955284,45.941771599999996,A391,_,09040,1066
A391__09040.1068,9.12750626967772,45.9446751,A391,_,09040,1068
A391__09040.107,9.125402021402344,45.944496605,A391,_,09040,107
A391__09040.1071,9.130380740065073,45.946412925000004,A391,_,09040,1071
A391__09040.1072,9.130879645605878,45.946593969999995,A391,_,09040,1072
A391__09050.1074,9.1039124713119,45.935605775,A391,_,09050,1074
A391__09060.1076,9.11499891671856,45.934475019999994,A391,_,09060,1076
