nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A394A_00020.1,6.899634014079586,44.42166542,A394,A,00020,1
A394B_00200.1,6.953820654876476,44.33018879,A394,B,00200,1
A394B_00190.1,6.966164441803163,44.342941635,A394,B,00190,1
A394B_00180.1,6.9518187750239315,44.347367955,A394,B,00180,1
A394B_00170.1,6.929883433357614,44.337888129999996,A394,B,00170,1
A394B_0016.1,6.934391318849304,44.363348779999995,A394,B,0016,1
A394B_00150.1,6.952452208703659,44.364165175,A394,B,00150,1
A394B_00140.1,6.949689527450505,44.382980805,A394,B,00140,1
A394B_00130.1,6.963887518933798,44.36983185,A394,B,00130,1
A394B_00120.1,6.960370324205134,44.361814120000005,A394,B,00120,1
A394B_00110.1,6.976813081922966,44.354611445,A394,B,00110,1
A394B_00100.1,6.990818590356303,44.36100947,A394,B,00100,1
A394B_0009.1,7.002704238849029,44.376020585,A394,B,0009,1
A394B_00080.1,7.005465051481092,44.39162034,A394,B,00080,1
A394B_00070.1,6.972871492474583,44.397535675,A394,B,00070,1
A394B_00060.1,6.986374857383833,44.382743989999994,A394,B,00060,1
A394B_00050.1,6.992336419376233,44.36843381,A394,B,00050,1
A394B_00040.1,6.96862779872974,44.37983765,A394,B,00040,1
A394B_00030.1,6.967023716801233,44.381243600000005,A394,B,00030,1
A394B_00020.1,6.973778719827906,44.3854386,A394,B,00020,1
A394B_00010.1,6.952205987688193,44.38639641,A394,B,00010,1
A394A_00150.1,6.937593571070728,44.36878749,A394,A,00150,1
A394A_00140.1,6.923546144406963,44.39559677,A394,A,00140,1
A394A_00130.1,6.902487280780884,44.373270385,A394,A,00130,1
A394A_00120.1,6.896448850706143,44.410359075,A394,A,00120,1
A394A_00110.1,6.9222363880044835,44.401170525,A394,A,00110,1
A394A_00100.1,6.9220264139922625,44.397621285,A394,A,00100,1
A394A_00090.1,6.924336072997933,44.403276465000005,A394,A,00090,1
A394A_00080.1,6.939540721838169,44.3972505,A394,A,00080,1
A394A_00070.1,6.958254863789287,44.412619844999995,A394,A,00070,1
A394A_00060.1,6.934959775375376,44.42334653,A394,A,00060,1
A394A_00050.1,6.919215861283435,44.41963312,A394,A,00050,1
A394A_00040.1,6.9145040143450265,44.41136777,A394,A,00040,1
A394A_00030.1,6.906069377824275,44.416016424999995,A394,A,00030,1
A394A_00010.10,6.900773970777282,44.415655235,A394,A,00010,10
A394B_00180.10,6.958999700238296,44.35133312,A394,B,00180,10
A394B_0016.10,6.933351315778606,44.358094005,A394,B,0016,10
A394B_00150.10,6.95624470635976,44.366034299999995,A394,B,00150,10
A394B_00140.10,6.966669176668704,44.37898619,A394,B,00140,10
A394B_00130.10,6.960077400648111,44.36304187,A394,B,00130,10
A394B_00120.10,6.962195375563317,44.36070392,A394,B,00120,10
A394B_00100.10,6.989546428316592,44.36316898,A394,B,00100,10
A394B_0009.10,7.0078800970443105,44.376850025,A394,B,0009,10
A394B_00080.10,7.006478520686668,44.380677649999996,A394,B,00080,10
