nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A396__00010.1,8.070504181335465,44.599890235000004,A396,_,00010,1
A396__00070.1,8.105268551235934,44.585794625000005,A396,_,00070,1
A396__00060.1,8.104296153356422,44.587768135000005,A396,_,00060,1
A396__00050.1,8.094000779456568,44.59113556,A396,_,00050,1
A396__00040.1,8.094577798729016,44.595664715,A396,_,00040,1
A396__00030.1,8.086630577900166,44.594196049999994,A396,_,00030,1
A396__00020.1,8.076612137741895,44.59003724,A396,_,00020,1
A396__00010.10,8.07357779203858,44.598858235,A396,_,00010,10
A396__00070.10,8.105862429072157,44.583843565,A396,_,00070,10
A396__00060.10,8.106844320792868,44.58879963,A396,_,00060,10
A396__00050.10,8.09656999422593,44.589681625,A396,_,00050,10
A396__00040.10,8.096090393889448,44.59356476,A396,_,00040,10
A396__00030.10,8.084958066404482,44.597330005,A396,_,00030,10
A396__00020.10,8.077842704925734,44.589486324999996,A396,_,00020,10
A396__00010.100,8.077319629738739,44.59432328,A396,_,00010,100
A396__00070.100,8.105655680274555,44.581301095,A396,_,00070,100
A396__00060.100,8.116288768439329,44.584362075,A396,_,00060,100
A396__00050.100,8.092493709415482,44.586469980000004,A396,_,00050,100
A396__00040.100,8.104238894899176,44.588873525,A396,_,00040,100
A396__00030.100,8.085394711636145,44.596311595,A396,_,00030,100
A396__00020.100,8.090060877979052,44.585934325,A396,_,00020,100
A396__00010.101,8.080286805393497,44.59595296,A396,_,00010,101
A396__00070.101,8.103793575152729,44.582068164999995,A396,_,00070,101
A396__00060.101,8.116563320117692,44.58421568,A396,_,00060,101
A396__00050.101,8.091686081244383,44.585899749999996,A396,_,00050,101
A396__00040.101,8.104125327163864,44.58853705,A396,_,00040,101
A396__00030.101,8.083195049004036,44.59573221,A396,_,00030,101
A396__00020.101,8.089398194460536,44.58632677,A396,_,00020,101
A396__00010.102,8.081106711899334,44.59580934,A396,_,00010,102
A396__00070.102,8.103825127793396,44.581495615,A396,_,00070,102
A396__00060.102,8.11656662296727,44.583790574999995,A396,_,00060,102
A396__00050.102,8.09233039227506,44.585431729999996,A396,_,00050,102
A396__00040.102,8.105335279271056,44.589313669999996,A396,_,00040,102
A396__00030.102,8.085798223172139,44.595255089999995,A396,_,00030,102
A396__00020.102,8.0902626579509,44.58524468,A396,_,00020,102
A396__00010.103,8.080308961899124,44.59494766,A396,_,00010,103
A396__00070.103,8.103402371871091,44.58219344,A396,_,00070,103
A396__00060.103,8.117648612748479,44.583675645,A396,_,00060,103
A396__00050.103,8.09230357219316,44.584935015,A396,_,00050,103
A396__00040.103,8.104727595108807,44.589647565,A396,_,00040,103
