nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A460__00020.1,15.182836669743708,40.188350185000004,A460,_,00020,1
A460__00530.1,15.17233121528406,40.140972035000004,A460,_,00530,1
A460__00510.1,15.161759650716611,40.147927394999996,A460,_,00510,1
A460__00500.1,15.19664412909237,40.135050750000005,A460,_,00500,1
A460__00480.1,15.183708385119623,40.135092085,A460,_,00480,1
A460__00470.1,15.192634675237484,40.140738395,A460,_,00470,1
A460__00430.1,15.250820358772224,40.145816015,A460,_,00430,1
A460__00420.1,15.248104760491994,40.147633365,A460,_,00420,1
A460__00410.1,15.231755998398855,40.148203030000005,A460,_,00410,1
A460__00400.1,15.235573084056123,40.151967400000004,A460,_,00400,1
A460__00390.1,15.236931930010915,40.152045939999994,A460,_,00390,1
A460__00370.1,15.251417451046839,40.157299845,A460,_,00370,1
A460__00360.1,15.248333937669955,40.159093150000004,A460,_,00360,1
A460__00350.1,15.24164472870382,40.16008684,A460,_,00350,1
A460__00340.1,15.231958383135751,40.161207364999996,A460,_,00340,1
A460__00330.1,15.223073972972607,40.154945839999996,A460,_,00330,1
A460__00310.1,15.214242938021483,40.15190757,A460,_,00310,1
A460__00300.1,15.207982934488584,40.15262921,A460,_,00300,1
A460__00290.1,15.185006223213215,40.14888591,A460,_,00290,1
A460__00280.1,15.230535488720633,40.167828459999996,A460,_,00280,1
A460__00270.1,15.219001859205264,40.167527895000006,A460,_,00270,1
A460__00260.1,15.216823081147519,40.166125245,A460,_,00260,1
A460__00250.1,15.213993259739532,40.158638265,A460,_,00250,1
A460__00230.1,15.209344293362339,40.16122247,A460,_,00230,1
A460__00220.1,15.203471958799575,40.161900415000005,A460,_,00220,1
A460__00210.1,15.191880660038422,40.157386435,A460,_,00210,1
A460__00200.1,15.188684473608225,40.156349065,A460,_,00200,1
A460__00170.1,15.165610999506978,40.15139744,A460,_,00170,1
A460__00160.1,15.16137277695682,40.15119265,A460,_,00160,1
A460__00150.1,15.201403595758055,40.164331884999996,A460,_,00150,1
A460__00130.1,15.1848742186475,40.17225773,A460,_,00130,1
A460__00120.1,15.171315894758951,40.16839515,A460,_,00120,1
A460__00100.1,15.163407237438463,40.15992524,A460,_,00100,1
A460__00090.1,15.154184932145123,40.16436878,A460,_,00090,1
A460__00070.1,15.17984005731474,40.182665490000005,A460,_,00070,1
A460__00060.1,15.173753839288496,40.18134096,A460,_,00060,1
A460__00050.1,15.16904881857418,40.181631015,A460,_,00050,1
A460__00040.1,15.15302436847871,40.180538025000004,A460,_,00040,1
A460__00030.1,15.150861964097082,40.18165908,A460,_,00030,1
A460__00010.10,15.164861495453156,40.184618835,A460,_,00010,10
A460__00530.10,15.171295337008342,40.14046352,A460,_,00530,10
A460__00520.10,15.167071211132141,40.144459909999995,A460,_,00520,10
A460__00500.10,15.197054004015811,40.132547599999995,A460,_,00500,10
A460__00470.10,15.202744550155142,40.142947899999996,A460,_,00470,10
A460__00460.10,15.181678961643183,40.14468859,A460,_,00460,10
A460__00450.10,15.185609386152183,40.142583625,A460,_,00450,10
A460__00440.10,15.17064278653956,40.14441641,A460,_,00440,10
A460__00420.10,15.250018483543471,40.147676015,A460,_,00420,10
A460__00400.10,15.235257881610481,40.15063623,A460,_,00400,10
A460__00390.10,15.240805352556798,40.152507209999996,A460,_,00390,10
A460__00370.10,15.25344022555592,40.155966335,A460,_,00370,10
A460__00360.10,15.246969020681318,40.15701651,A460,_,00360,10
A460__00340.10,15.233581563262966,40.159440759999995,A460,_,00340,10
A460__00320.10,15.22504746511844,40.14872028,A460,_,00320,10
A460__00310.10,15.215452025653526,40.152288905,A460,_,00310,10
A460__00290.10,15.185524129781612,40.148562819999995,A460,_,00290,10
A460__00280.10,15.23586493459348,40.16616347,A460,_,00280,10
A460__00270.10,15.22282854626172,40.169347810000005,A460,_,00270,10
A460__00260.10,15.221017615645781,40.16544906,A460,_,00260,10
A460__00250.10,15.215733906680507,40.15728992,A460,_,00250,10
