nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A476__0206.1,9.268407030032776,45.867645595,A476,_,0206,1
A476__03010.1,9.258413664053176,45.853056190000004,A476,_,03010,1
A476__0107.10,9.269179555720392,45.864024345000004,A476,_,0107,10
A476__03010.10,9.259832754771569,45.855844125000004,A476,_,03010,10
A476__0206.10,9.268610907668346,45.867536044999994,A476,_,0206,10
A476__0107.100,9.270001492693146,45.86195942,A476,_,0107,100
A476__02060.100,9.271103805401273,45.86782925,A476,_,02060,100
A476__02060.1000,9.267418968084428,45.86605658,A476,_,02060,1000
A476__01030.1001,9.278274349320096,45.859456615,A476,_,01030,1001
A476__0206.1001,9.268074798955187,45.86854251,A476,_,0206,1001
A476__01020.1002,9.27373212704929,45.862000955,A476,_,01020,1002
A476__0203.1002,9.26468330035249,45.87264177,A476,_,0203,1002
A476__01020.1003,9.273985776208553,45.86201305,A476,_,01020,1003
A476__02030.1003,9.274557760374236,45.87633797,A476,_,02030,1003
A476__0107.1004,9.269231647942917,45.862756755,A476,_,0107,1004
A476__02030.1004,9.275216219926719,45.877508665,A476,_,02030,1004
A476__02030.1005,9.27653467570981,45.877927805,A476,_,02030,1005
A476__02030.1006,9.277310257522537,45.878262305,A476,_,02030,1006
A476__02030.1007,9.277431726648462,45.87868728,A476,_,02030,1007
A476__02030.1008,9.276237163806599,45.87911637,A476,_,02030,1008
A476__01020.1009,9.271606430213138,45.863252245,A476,_,01020,1009
A476__02030.1009,9.277423187327543,45.879092675,A476,_,02030,1009
A476__0107.101,9.26924453120268,45.861641645000006,A476,_,0107,101
A476__02060.101,9.270615327835905,45.868065005000005,A476,_,02060,101
A476__0107.1010,9.270510670748614,45.8633981,A476,_,0107,1010
A476__02030.1010,9.27743682410393,45.879182755,A476,_,02030,1010
A476__01020.1011,9.272233171554412,45.863533225,A476,_,01020,1011
A476__02030.1011,9.277413390673264,45.879278005,A476,_,02030,1011
A476__01020.1012,9.267831222014582,45.865055174999995,A476,_,01020,1012
A476__02010.1012,9.279560742388632,45.879649395,A476,_,02010,1012
A476__02010.1013,9.278105493353092,45.880059065,A476,_,02010,1013
A476__01020.1014,9.267037277071983,45.865499275000005,A476,_,01020,1014
A476__02010.1014,9.27826082834887,45.880295255,A476,_,02010,1014
A476__01020.1015,9.26730802630096,45.86552072,A476,_,01020,1015
A476__02010.1015,9.280441573509538,45.881138225,A476,_,02010,1015
A476__02010.1016,9.282122426483696,45.880621794999996,A476,_,02010,1016
A476__01050.1017,9.270157335061086,45.85865033,A476,_,01050,1017
A476__02010.1017,9.280968944547272,45.881199415,A476,_,02010,1017
A476__01050.1018,9.269781827228535,45.85840041,A476,_,01050,1018
A476__02010.1018,9.28119051078614,45.881448745,A476,_,02010,1018
A476__02010.1019,9.281353396243674,45.881641834999996,A476,_,02010,1019
A476__01020.102,9.27392795892122,45.860388979999996,A476,_,01020,102
A476__03010.102,9.262591407427871,45.854818124999994,A476,_,03010,102
A476__02060.102,9.27046978680599,45.867964,A476,_,02060,102
A476__01020.1020,9.266095153235185,45.861149125,A476,_,01020,1020
A476__02010.1020,9.281576781911443,45.881841545,A476,_,02010,1020
A476__01020.1021,9.265901096216341,45.86310206,A476,_,01020,1021
A476__02010.1021,9.282603757670934,45.88125359,A476,_,02010,1021
A476__01020.1022,9.2655235183399,45.864471574999996,A476,_,01020,1022
A476__02060.1022,9.265098574256122,45.868117194999996,A476,_,02060,1022
A476__01020.1023,9.263708368531548,45.863832575,A476,_,01020,1023
A476__02010.1023,9.281893594392482,45.881939009999996,A476,_,02010,1023
A476__02010.1024,9.282510181064087,45.882121225000006,A476,_,02010,1024
