nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A477__00010.1,8.886671144654928,39.832305695,A477,_,00010,1
A477__00180.1,8.932519238034393,39.80343971,A477,_,00180,1
A477__00170.1,8.928927569195206,39.80361751,A477,_,00170,1
A477__00160.1,8.918477440052007,39.80493944,A477,_,00160,1
A477__00150.1,8.903027350524809,39.802927170000004,A477,_,00150,1
A477__00140.1,8.881486150269458,39.801434455,A477,_,00140,1
A477__00100.1,8.919350927715776,39.81866424,A477,_,00100,1
A477__00090.1,8.906333914344211,39.818326595,A477,_,00090,1
A477__00080.1,8.895281024724534,39.815143835,A477,_,00080,1
A477__00070.1,8.89255244838991,39.817145530000005,A477,_,00070,1
A477__00060.1,8.91204452310529,39.824955204999995,A477,_,00060,1
A477__00050.1,8.908656309565522,39.83086012,A477,_,00050,1
A477__00040.1,8.898690881659611,39.824666875,A477,_,00040,1
A477__00030.1,8.887312896285463,39.826985925,A477,_,00030,1
A477__00020.1,8.897286832842928,39.83200885,A477,_,00020,1
A477__00010.10,8.895860105312863,39.82968583,A477,_,00010,10
A477__00180.10,8.935124780545348,39.803214745000005,A477,_,00180,10
A477__00170.10,8.9315950209986,39.801696625000005,A477,_,00170,10
A477__00160.10,8.917281274032739,39.798053575,A477,_,00160,10
A477__00150.10,8.902925395478478,39.801478185,A477,_,00150,10
A477__00140.10,8.886554258690433,39.801343475,A477,_,00140,10
A477__00120.10,8.905476106227319,39.809639265,A477,_,00120,10
A477__00110.10,8.883167135129817,39.80689931,A477,_,00110,10
A477__00100.10,8.920157745009934,39.817901989999996,A477,_,00100,10
A477__00090.10,8.911035443238223,39.81827333,A477,_,00090,10
A477__00080.10,8.902328009687793,39.818142855,A477,_,00080,10
A477__00070.10,8.892251719153428,39.8132782,A477,_,00070,10
A477__00060.10,8.909699774855484,39.82291919,A477,_,00060,10
A477__00050.10,8.908130669282595,39.827157445,A477,_,00050,10
A477__00040.10,8.900649993101503,39.818936324999996,A477,_,00040,10
A477__00030.10,8.892957245117339,39.81832985,A477,_,00030,10
A477__00020.10,8.895410286032728,39.834022375,A477,_,00020,10
A477__00060.100,8.911561574701668,39.819769765000004,A477,_,00060,100
A477__00180.100,8.939874842917861,39.79698782,A477,_,00180,100
A477__00170.100,8.928240769766951,39.79565221,A477,_,00170,100
A477__00150.100,8.91318680161078,39.79596352,A477,_,00150,100
A477__00140.100,8.888607526876438,39.798630965,A477,_,00140,100
A477__0013.100,8.92263339367072,39.80972159,A477,_,0013,100
A477__00120.100,8.906933413357091,39.807672874999994,A477,_,00120,100
A477__00110.100,8.883818428340653,39.80445618,A477,_,00110,100
A477__00100.100,8.926015006497568,39.81671104,A477,_,00100,100
A477__00090.100,8.908737986464002,39.81481588,A477,_,00090,100
A477__00080.100,8.895528490156293,39.81049485,A477,_,00080,100
A477__00070.100,8.890870160475831,39.81068527,A477,_,00070,100
A477__0013.1000,8.91946156319873,39.810633075,A477,_,0013,1000
A477__00100.1001,8.91772346836558,39.81011576,A477,_,00100,1001
A477__0013.1002,8.92015796491493,39.810214970000004,A477,_,0013,1002
A477__00100.1003,8.917626489106663,39.81040403,A477,_,00100,1003
A477__00100.1005,8.917840223676919,39.810562605,A477,_,00100,1005
A477__00100.1007,8.917989796752078,39.810254805,A477,_,00100,1007
