nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A495__00010.1,15.415011512779124,40.59687467,A495,_,00010,1
A495__00340.1,15.415950779471187,40.508354575,A495,_,00340,1
A495__00330.1,15.425571809972174,40.518665335,A495,_,00330,1
A495__00310.1,15.439276419374877,40.539181729999996,A495,_,00310,1
A495__00300.1,15.42638129171463,40.537993665,A495,_,00300,1
A495__00290.1,15.419839076954869,40.541897665,A495,_,00290,1
A495__00270.1,15.423678028144156,40.54637894,A495,_,00270,1
A495__00260.1,15.401592559835276,40.54506085,A495,_,00260,1
A495__00240.1,15.410769592966952,40.556356795,A495,_,00240,1
A495__00230.1,15.404593644404173,40.559187465,A495,_,00230,1
A495__00220.1,15.409695857971194,40.564697190000004,A495,_,00220,1
A495__00200.1,15.425300521691554,40.561992509999996,A495,_,00200,1
A495__00190.1,15.41650298740185,40.56575667,A495,_,00190,1
A495__00180.1,15.434959029212358,40.561158155,A495,_,00180,1
A495__00170.1,15.436924418718565,40.56969151,A495,_,00170,1
A495__00150.1,15.437448016558438,40.574006409999996,A495,_,00150,1
A495__00140.1,15.4181841138872,40.573641165,A495,_,00140,1
A495__00130.1,15.410572764538681,40.575276175,A495,_,00130,1
A495__00120.1,15.389053117967965,40.57550187,A495,_,00120,1
A495__00110.1,15.379742235911573,40.57880230000001,A495,_,00110,1
A495__00100.1,15.420355040701583,40.58168221,A495,_,00100,1
A495__00090.1,15.405474891828362,40.57983626,A495,_,00090,1
A495__00080.1,15.3911308824171,40.580928145,A495,_,00080,1
A495__00070.1,15.438783892966367,40.584176975000005,A495,_,00070,1
A495__00060.1,15.429630891149204,40.58776319,A495,_,00060,1
A495__00050.1,15.4174936890286,40.589104015000004,A495,_,00050,1
A495__00040.1,15.389751971034586,40.586502295,A495,_,00040,1
A495__00030.1,15.396226424528628,40.592566899999994,A495,_,00030,1
A495__00010.10,15.41816404644316,40.595620929999995,A495,_,00010,10
A495__00330.10,15.422764306750445,40.50983378,A495,_,00330,10
A495__00310.10,15.439927462174536,40.53875074,A495,_,00310,10
A495__00300.10,15.427624162375887,40.53477498,A495,_,00300,10
A495__00290.10,15.418367450221536,40.535944955000005,A495,_,00290,10
A495__00280.10,15.428443519111804,40.550771175,A495,_,00280,10
A495__00270.10,15.420945787944897,40.540317189999996,A495,_,00270,10
A495__00250.10,15.41483898912522,40.54724062,A495,_,00250,10
A495__00240.10,15.408783270909309,40.555904655,A495,_,00240,10
A495__00230.10,15.40590508296458,40.555521525,A495,_,00230,10
A495__00210.10,15.42823878666342,40.559521375,A495,_,00210,10
A495__00190.10,15.419191315975363,40.564677155,A495,_,00190,10
A495__00180.10,15.44186516618252,40.56432429,A495,_,00180,10
A495__00170.10,15.432160992092154,40.56754548,A495,_,00170,10
A495__00160.10,15.405163394285719,40.567318735,A495,_,00160,10
A495__00140.10,15.419792674602725,40.57226308,A495,_,00140,10
A495__00130.10,15.410506782077437,40.57434129,A495,_,00130,10
A495__00120.10,15.39560216267519,40.573690064999994,A495,_,00120,10
A495__00110.10,15.386546167401999,40.5771532,A495,_,00110,10
A495__00100.10,15.422720437288103,40.579302385,A495,_,00100,10
A495__00090.10,15.41030161766841,40.579531169999996,A495,_,00090,10
A495__00080.10,15.393151851138008,40.581816235000005,A495,_,00080,10
A495__00070.10,15.434046235710907,40.58456656,A495,_,00070,10
A495__00060.10,15.41904778297143,40.58476303,A495,_,00060,10
A495__00050.10,15.41410682042402,40.587135655,A495,_,00050,10
A495__00040.10,15.392828184059653,40.587118020000005,A495,_,00040,10
A495__00030.10,15.398487817435893,40.587782364999995,A495,_,00030,10
A495__00020.10,15.419760833875086,40.595486125,A495,_,00020,10
A495__00010.100,15.409426277422872,40.594576495,A495,_,00010,100
A495__00320.100,15.449903078643526,40.532391704999995,A495,_,00320,100
A495__00310.100,15.442438366546003,40.536995385,A495,_,00310,100
A495__00300.100,15.43254056700151,40.534238815,A495,_,00300,100
A495__00280.100,15.428133014953287,40.548609015,A495,_,00280,100
A495__00270.100,15.42744809532553,40.54324649,A495,_,00270,100
A495__00250.100,15.411124490950511,40.54602585,A495,_,00250,100
A495__00240.100,15.409087022469542,40.55150516,A495,_,00240,100
A495__00230.100,15.407671153327339,40.557481335000006,A495,_,00230,100
A495__00220.100,15.408578087150577,40.55646025,A495,_,00220,100
A495__00210.100,15.431516787259222,40.55260656,A495,_,00210,100
A495__00200.100,15.426953202280703,40.560271985,A495,_,00200,100
A495__00190.100,15.424342928466302,40.56111726,A495,_,00190,100
A495__00180.100,15.4356230603603,40.55715343,A495,_,00180,100
A495__00170.100,15.428304235681182,40.56364427,A495,_,00170,100
A495__00160.100,15.416949379680954,40.56259944,A495,_,00160,100
A495__00150.100,15.445130007827153,40.56796473,A495,_,00150,100
A495__00140.100,15.42786095277802,40.571704205,A495,_,00140,100
A495__00130.100,15.39977221568629,40.57083912,A495,_,00130,100
A495__00120.100,15.39891198652203,40.57143132,A495,_,00120,100
A495__00110.100,15.38663927818512,40.57391596,A495,_,00110,100
A495__00100.100,15.42287955515068,40.575929915,A495,_,00100,100
A495__00090.100,15.414919874304964,40.577636425,A495,_,00090,100
A495__00080.100,15.398808437178358,40.579228404999995,A495,_,00080,100
A495__00070.100,15.437116720996851,40.57556778,A495,_,00070,100
A495__00060.100,15.429441735377369,40.584297765,A495,_,00060,100
A495__00050.100,15.418827320233017,40.584001115,A495,_,00050,100
A495__00040.100,15.391489954616592,40.584127054999996,A495,_,00040,100
A495__00030.100,15.403005449867555,40.585357110000004,A495,_,00030,100
A495__00020.100,15.420940707991587,40.59499825,A495,_,00020,100
A495__00050.1000,15.415494415915969,40.58285487,A495,_,00050,1000
A495__00240.1000,15.420540978998492,40.54974958,A495,_,00240,1000
A495__00200.1000,15.424345544865517,40.557125555,A495,_,00200,1000
A495__00150.1000,15.437673763831446,40.571437105,A495,_,00150,1000
A495__00050.1001,15.415766134313312,40.58279569,A495,_,00050,1001
A495__00240.1001,15.420343493840967,40.54969072,A495,_,00240,1001
A495__00200.1001,15.424397400731468,40.557161415,A495,_,00200,1001
A495__00150.1001,15.43717014371003,40.571297265,A495,_,00150,1001
A495__00050.1002,15.41480223496605,40.58258877,A495,_,00050,1002
A495__00240.1002,15.420958466013328,40.549601280000005,A495,_,00240,1002
A495__00200.1002,15.424409504323776,40.557214035,A495,_,00200,1002
A495__00150.1002,15.43715890338995,40.5713955,A495,_,00150,1002
A495__00050.1003,15.414889330933622,40.58258616,A495,_,00050,1003
A495__00240.1003,15.420490446508905,40.549877644999995,A495,_,00240,1003
A495__00200.1003,15.424426430391012,40.557299369999996,A495,_,00200,1003
A495__00150.1003,15.437436624549907,40.570747284999996,A495,_,00150,1003
A495__00050.1004,15.415027142589686,40.582543145,A495,_,00050,1004
A495__00200.1004,15.42449003010905,40.55756137,A495,_,00200,1004
A495__00150.1004,15.43669407008774,40.57084632,A495,_,00150,1004
A495__00050.1005,15.41516825711918,40.58253793,A495,_,00050,1005
A495__00240.1005,15.422982191257221,40.549095005,A495,_,00240,1005
A495__00200.1005,15.424468876536093,40.558233265,A495,_,00200,1005
A495__00150.1005,15.436791578796306,40.57094049,A495,_,00150,1005
A495__00150.1006,15.436669255521519,40.571853114999996,A495,_,00150,1006
A495__00240.1006,15.420661152151716,40.55124269,A495,_,00240,1006
A495__00150.1007,15.436995075079198,40.57107569,A495,_,00150,1007
A495__00240.1007,15.42078043935146,40.551300905,A495,_,00240,1007
A495__00200.1007,15.424364182080325,40.560567430000006,A495,_,00200,1007
A495__00050.1008,15.415551668020445,40.582630325,A495,_,00050,1008
A495__00240.1008,15.420321909800606,40.551292415000006,A495,_,00240,1008
A495__00200.1008,15.42441883491688,40.560543865,A495,_,00200,1008
A495__00150.1008,15.437032069213227,40.570937,A495,_,00150,1008
A495__00050.1009,15.415132646199531,40.582202235,A495,_,00050,1009
A495__00200.1009,15.424477679494764,40.560435125,A495,_,00200,1009
A495__00010.101,15.40924689552278,40.59450516,A495,_,00010,101
A495__00320.101,15.452111410288392,40.531517635,A495,_,00320,101
A495__00310.101,15.442796170018855,40.53704988,A495,_,00310,101
A495__00300.101,15.432604283204125,40.534456715000005,A495,_,00300,101
A495__00290.101,15.423543883268877,40.537092455,A495,_,00290,101
A495__00280.101,15.427982519608456,40.547665155000004,A495,_,00280,101
A495__00250.101,15.411299850412775,40.54600753,A495,_,00250,101
A495__00240.101,15.409156325520186,40.551321404999996,A495,_,00240,101
A495__00230.101,15.407511306023716,40.557379194999996,A495,_,00230,101
A495__00220.101,15.409349717397316,40.55693472,A495,_,00220,101
A495__00180.101,15.435924053079567,40.557065745,A495,_,00180,101
A495__00170.101,15.428353578468915,40.563547215,A495,_,00170,101
A495__00150.101,15.445292634914697,40.56822203,A495,_,00150,101
A495__00140.101,15.427207465659743,40.571437115,A495,_,00140,101
A495__00130.101,15.399766902193832,40.570711715,A495,_,00130,101
A495__00120.101,15.396722998621867,40.571919035,A495,_,00120,101
A495__00110.101,15.386999420226257,40.573841605,A495,_,00110,101
A495__00100.101,15.423689469862854,40.57567809,A495,_,00100,101
A495__00090.101,15.414695398265543,40.57712909999999,A495,_,00090,101
A495__00080.101,15.399336337444005,40.58092608,A495,_,00080,101
A495__00070.101,15.441434692326045,40.576464505,A495,_,00070,101
A495__00050.101,15.419395502079109,40.58385637,A495,_,00050,101
A495__00040.101,15.391367055928379,40.58377555,A495,_,00040,101
A495__00030.101,15.398128752284034,40.584641160000004,A495,_,00030,101
A495__00020.101,15.42071769523412,40.595141385,A495,_,00020,101
A495__00050.1010,15.414577061056114,40.582240865,A495,_,00050,1010
A495__00200.1010,15.42444771909118,40.55799151,A495,_,00200,1010
A495__00150.1010,15.444389668303828,40.566445105,A495,_,00150,1010
A495__00050.1011,15.414730023524758,40.58259064,A495,_,00050,1011
A495__00200.1011,15.424098097502199,40.557887525,A495,_,00200,1011
A495__00150.1011,15.444603956214834,40.56603914,A495,_,00150,1011
A495__00050.1012,15.414707195515442,40.582720165,A495,_,00050,1012
A495__00240.1012,15.420614415419774,40.551130040000004,A495,_,00240,1012
A495__00200.1012,15.424293060680442,40.557080895,A495,_,00200,1012
A495__00050.1013,15.414822828844937,40.582471835,A495,_,00050,1013
A495__00200.1013,15.42442446539846,40.556980825,A495,_,00200,1013
A495__00150.1013,15.448915501704025,40.570392255,A495,_,00150,1013
A495__00050.1014,15.415865219295146,40.582280565000005,A495,_,00050,1014
A495__00240.1014,15.426784300615783,40.551974259999994,A495,_,00240,1014
A495__00150.1014,15.449070659962736,40.570543515,A495,_,00150,1014
A495__00050.1015,15.415724107412641,40.582513989999995,A495,_,00050,1015
A495__00200.1015,15.424500183146423,40.557674115,A495,_,00200,1015
A495__00150.1015,15.442968039652852,40.565728895,A495,_,00150,1015
A495__00150.1016,15.443174036661265,40.56576305,A495,_,00150,1016
A495__00200.1016,15.424710977053131,40.558818925,A495,_,00200,1016
A495__00050.1017,15.416380128681539,40.582130075,A495,_,00050,1017
A495__00240.1017,15.422986053408877,40.548893635,A495,_,00240,1017
A495__00200.1017,15.424588928662377,40.558845335,A495,_,00200,1017
A495__00150.1017,15.4427592572241,40.56624342,A495,_,00150,1017
A495__00150.1018,15.443041623508044,40.56610731,A495,_,00150,1018
A495__00240.1018,15.413573496584117,40.555230905,A495,_,00240,1018
A495__00200.1018,15.424466395006824,40.558188935000004,A495,_,00200,1018
A495__00050.1019,15.414120530392065,40.58344018,A495,_,00050,1019
A495__00240.1019,15.413534894984561,40.55479458,A495,_,00240,1019
A495__00200.1019,15.424462431394325,40.558093035,A495,_,00200,1019
A495__00150.1019,15.442581141049057,40.56677703,A495,_,00150,1019
A495__00010.102,15.409756931982486,40.594518980000004,A495,_,00010,102
A495__00320.102,15.431811531759436,40.531134555,A495,_,00320,102
A495__00310.102,15.443041754483659,40.537088265,A495,_,00310,102
A495__00300.102,15.434395529128683,40.536659115,A495,_,00300,102
A495__00280.102,15.435568059741136,40.550241215,A495,_,00280,102
A495__00270.102,15.428446402386047,40.5423023,A495,_,00270,102
A495__00250.102,15.41157235710979,40.545943550000004,A495,_,00250,102
A495__00240.102,15.411584474379296,40.555518375,A495,_,00240,102
A495__00230.102,15.405702547861566,40.552028015000005,A495,_,00230,102
A495__00220.102,15.409693802058879,40.556965115,A495,_,00220,102
A495__00210.102,15.429963524878687,40.551930760000005,A495,_,00210,102
A495__00190.102,15.423266642162382,40.560469049999995,A495,_,00190,102
A495__00180.102,15.43715699400273,40.557117575,A495,_,00180,102
A495__00170.102,15.428322471375468,40.56341905,A495,_,00170,102
A495__00160.102,15.41713893121212,40.563270455,A495,_,00160,102
A495__00150.102,15.445499388899421,40.568653505,A495,_,00150,102
A495__00140.102,15.427846980877291,40.571361395,A495,_,00140,102
A495__00130.102,15.399343901315508,40.570561835,A495,_,00130,102
A495__00120.102,15.398004123189658,40.571514975,A495,_,00120,102
A495__00110.102,15.387456911251903,40.57395838,A495,_,00110,102
A495__00100.102,15.423636871092128,40.57540382,A495,_,00100,102
A495__00090.102,15.415002166873037,40.577056115000005,A495,_,00090,102
A495__00080.102,15.39933357619044,40.579766225,A495,_,00080,102
A495__00070.102,15.437706230756504,40.574636675,A495,_,00070,102
A495__00050.102,15.418342008345626,40.583925315,A495,_,00050,102
A495__00040.102,15.390520005228357,40.583928385,A495,_,00040,102
A495__00030.102,15.398656695081272,40.584706585000006,A495,_,00030,102
A495__00050.1020,15.41401295730848,40.58334547,A495,_,00050,1020
A495__00200.1020,15.424460189188503,40.558142505,A495,_,00200,1020
A495__00150.1020,15.442785578018022,40.56677318,A495,_,00150,1020
A495__00050.1021,15.414455955497928,40.583247985,A495,_,00050,1021
A495__00240.1021,15.413371467137566,40.55512692,A495,_,00240,1021
A495__00200.1021,15.42417539068843,40.557900505,A495,_,00200,1021
A495__00150.1021,15.442800330181406,40.567077295000004,A495,_,00150,1021
A495__00050.1022,15.414317260308756,40.583233945,A495,_,00050,1022
A495__00240.1022,15.4121007959017,40.555702710000006,A495,_,00240,1022
A495__00200.1022,15.424517883396435,40.558459115000005,A495,_,00200,1022
A495__00150.1022,15.442915939259915,40.566773229999995,A495,_,00150,1022
A495__00050.1023,15.414174674775392,40.58269141,A495,_,00050,1023
A495__00240.1023,15.418919138336456,40.552206760000004,A495,_,00240,1023
A495__00200.1023,15.42447110315271,40.558388969999996,A495,_,00200,1023
A495__00050.1024,15.414368711046201,40.582502704999996,A495,_,00050,1024
A495__00240.1024,15.419256464441297,40.552492295,A495,_,00240,1024
A495__00200.1024,15.424471898929514,40.55830356,A495,_,00200,1024
A495__00050.1025,15.41417048739686,40.582252935,A495,_,00050,1025
A495__00200.1025,15.424733247253325,40.558978155,A495,_,00200,1025
A495__00150.1025,15.445030641158493,40.571376115,A495,_,00150,1025
A495__00050.1026,15.41591971609201,40.585810325,A495,_,00050,1026
A495__00150.1026,15.445228801505255,40.571344275,A495,_,00150,1026
A495__00050.1027,15.416071356080732,40.58582203,A495,_,00050,1027
A495__00200.1027,15.424741207639258,40.559055775000004,A495,_,00200,1027
A495__00050.1028,15.408656544191178,40.58591816,A495,_,00050,1028
A495__00150.1028,15.445212826194842,40.571521825,A495,_,00150,1028
A495__00050.1029,15.40898836127451,40.58591816,A495,_,00050,1029
A495__00200.1029,15.424594794798193,40.559229380000005,A495,_,00200,1029
A495__00150.1029,15.445294387779683,40.57111388,A495,_,00150,1029
A495__00010.103,15.409788690567828,40.594422975,A495,_,00010,103
A495__00320.103,15.432279549044843,40.52996656,A495,_,00320,103
A495__00310.103,15.443300915915277,40.537115064999995,A495,_,00310,103
A495__00300.103,15.435440582527125,40.537425145,A495,_,00300,103
A495__00290.103,15.419692156970996,40.53654385,A495,_,00290,103
A495__00280.103,15.435036103576508,40.54960864,A495,_,00280,103
A495__00270.103,15.427076499783684,40.54157928,A495,_,00270,103
A495__00250.103,15.411656054801282,40.545879244999995,A495,_,00250,103
A495__00240.103,15.415023273658479,40.553624525000004,A495,_,00240,103
A495__00230.103,15.406292971913189,40.55418719,A495,_,00230,103
A495__00220.103,15.409805953751226,40.556922045,A495,_,00220,103
A495__00210.103,15.430230216504889,40.552068045,A495,_,00210,103
A495__00180.103,15.437131450339399,40.55759689,A495,_,00180,103
A495__00170.103,15.428872471242702,40.563505795,A495,_,00170,103
A495__00160.103,15.412617809905875,40.562449315,A495,_,00160,103
A495__00150.103,15.445783868292539,40.568420705,A495,_,00150,103
A495__00140.103,15.427901164048674,40.57103292,A495,_,00140,103
A495__00130.103,15.400506484130792,40.57047233,A495,_,00130,103
A495__00120.103,15.398922140334438,40.57129724,A495,_,00120,103
A495__00110.103,15.382223421871197,40.572297559999996,A495,_,00110,103
A495__00100.103,15.423474631736717,40.57523204,A495,_,00100,103
A495__00090.103,15.415019655282098,40.576942020000004,A495,_,00090,103
A495__00080.103,15.399494139053342,40.58068221,A495,_,00080,103
A495__00070.103,15.439514131878415,40.578957195,A495,_,00070,103
A495__00060.103,15.424669131205686,40.585237645,A495,_,00060,103
A495__00040.103,15.390303031530003,40.583783365,A495,_,00040,103
A495__00030.103,15.399155783459486,40.584754939999996,A495,_,00030,103
A495__00050.1030,15.415449263693713,40.582534030000005,A495,_,00050,1030
A495__00240.1030,15.422697147268682,40.54800427,A495,_,00240,1030
A495__00200.1030,15.424671856075026,40.55923364,A495,_,00200,1030
A495__00150.1031,15.444864187067727,40.57186786,A495,_,00150,1031
A495__00240.1031,15.423478682793965,40.547837725,A495,_,00240,1031
