nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A557__00010.1,9.783619616760749,45.667882605,A557,_,00010,1
A557__00020.100,9.781695644870648,45.665238470000006,A557,_,00020,100
A557__00030.1001,9.784863723566884,45.66274043,A557,_,00030,1001
A557__00030.1002,9.784791774494366,45.662795134999996,A557,_,00030,1002
A557__00020.1004,9.782457556349248,45.66521927,A557,_,00020,1004
A557__00030.1005,9.783433979164084,45.66189883,A557,_,00030,1005
A557__00010.1008,9.784496922522859,45.66755146,A557,_,00010,1008
A557__00010.1009,9.784589703481199,45.66772641,A557,_,00010,1009
A557__00020.101,9.78182023335977,45.66508677,A557,_,00020,101
A557__00030.1010,9.78385581850683,45.661993374999994,A557,_,00030,1010
A557__00020.1011,9.779110025156733,45.663067925,A557,_,00020,1011
A557__00060.1012,9.750460717830528,45.655379765,A557,_,00060,1012
A557__00010.1014,9.785132819117095,45.66804737,A557,_,00010,1014
A557__00030.1015,9.784499796155995,45.66557682,A557,_,00030,1015
A557__00030.1016,9.784494093918457,45.663654199999996,A557,_,00030,1016
A557__00030.1017,9.783072148736593,45.661145755,A557,_,00030,1017
A557__00030.1018,9.782689831887415,45.661485215,A557,_,00030,1018
A557__00020.102,9.781590187397132,45.66510058,A557,_,00020,102
A557__00030.1020,9.783267539258624,45.662091785,A557,_,00030,1020
A557__00080.1021,9.784632531043938,45.65319196,A557,_,00080,1021
A557__00030.1024,9.78306748701884,45.663249625000006,A557,_,00030,1024
A557__00030.1025,9.78345008194237,45.66149154,A557,_,00030,1025
A557__00030.1026,9.783267984372934,45.662328165000005,A557,_,00030,1026
A557__00030.1028,9.782164664084014,45.662972025,A557,_,00030,1028
A557__00030.1029,9.785929027905775,45.660066755,A557,_,00030,1029
A557__00070.103,9.771799873933134,45.652037125,A557,_,00070,103
A557__00030.1031,9.78403545474726,45.660792765,A557,_,00030,1031
A557__00030.1032,9.785574905041512,45.659904185,A557,_,00030,1032
A557__00030.1033,9.7855482922217,45.65970409,A557,_,00030,1033
A557__00030.1034,9.7859984451135,45.659661385,A557,_,00030,1034
A557__00030.1035,9.785992302803091,45.659840945,A557,_,00030,1035
A557__00020.1036,9.778799675469028,45.662662194999996,A557,_,00020,1036
A557__00020.1037,9.779022924033786,45.66251602,A557,_,00020,1037
A557__00020.1038,9.779319240930906,45.662465395,A557,_,00020,1038
A557__00020.1039,9.779614327468447,45.66223859,A557,_,00020,1039
A557__00020.1040,9.780190020614192,45.66217141,A557,_,00020,1040
A557__00020.1045,9.778591963207967,45.662054245,A557,_,00020,1045
A557__00050.1046,9.778430603675606,45.661585835,A557,_,00050,1046
A557__00050.1047,9.784988277356696,45.657868555,A557,_,00050,1047
A557__00050.1048,9.784702390708386,45.65781965,A557,_,00050,1048
A557__00050.1049,9.784423819811161,45.65784538,A557,_,00050,1049
A557__00050.1050,9.784155339024927,45.657860625,A557,_,00050,1050
A557__00030.1051,9.785289845082932,45.661568439999996,A557,_,00030,1051
