nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A709__00010.1,7.898212513396757,44.46807405,A709,_,00010,1
A709__00160.1,7.886059188900372,44.44248635,A709,_,00160,1
A709__00150.1,7.876107654629264,44.455114019999996,A709,_,00150,1
A709__00140.1,7.888333598002636,44.45220844,A709,_,00140,1
A709__00130.1,7.886593341814302,44.44519217,A709,_,00130,1
A709__00120.1,7.897587621806704,44.44213168500001,A709,_,00120,1
A709__00110.1,7.9050768010705035,44.445640555,A709,_,00110,1
A709__00100.1,7.91818422915831,44.44348797,A709,_,00100,1
A709__00090.1,7.92292230283757,44.452570394999995,A709,_,00090,1
A709__00080.1,7.919921657906179,44.461143775,A709,_,00080,1
A709__00070.1,7.913059587195155,44.4597822,A709,_,00070,1
A709__00060.1,7.905040354951389,44.453665709999996,A709,_,00060,1
A709__00050.1,7.899075426848125,44.448191075,A709,_,00050,1
A709__00040.1,7.88282850027908,44.455703975,A709,_,00040,1
A709__00030.1,7.883094461127236,44.462126510000004,A709,_,00030,1
A709__00020.1,7.889169774871339,44.466442625,A709,_,00020,1
A709__00010.10,7.901220446037005,44.46792335,A709,_,00010,10
A709__00160.10,7.886208531484907,44.441170805,A709,_,00160,10
A709__00150.10,7.878110462887896,44.45350447,A709,_,00150,10
A709__00140.10,7.892740833288157,44.45065674,A709,_,00140,10
A709__00120.10,7.899651715270437,44.43975207,A709,_,00120,10
A709__00100.10,7.921350919468795,44.44625301,A709,_,00100,10
A709__00090.10,7.919395829088929,44.448101065,A709,_,00090,10
A709__00080.10,7.922714680896747,44.459910085000004,A709,_,00080,10
A709__00060.10,7.906342622410465,44.453249740000004,A709,_,00060,10
A709__00050.10,7.900191054419467,44.448703845,A709,_,00050,10
A709__00040.10,7.885292641273418,44.45637388,A709,_,00040,10
A709__00030.10,7.886382547824615,44.460807110000005,A709,_,00030,10
A709__00020.10,7.889350271924682,44.464150215000004,A709,_,00020,10
A709__00010.100,7.901126329968957,44.46533277,A709,_,00010,100
A709__00170.100,7.894558161438185,44.428086555,A709,_,00170,100
A709__00140.100,7.89842845045799,44.446416935,A709,_,00140,100
A709__00130.100,7.894014359263524,44.443340344999996,A709,_,00130,100
A709__00120.100,7.905089306602859,44.43412551,A709,_,00120,100
A709__00110.100,7.906376441541483,44.442618780000004,A709,_,00110,100
A709__00080.100,7.925980556472723,44.455675615000004,A709,_,00080,100
A709__00070.100,7.915086653003248,44.456390995,A709,_,00070,100
A709__00060.100,7.910028370004048,44.454708409999995,A709,_,00060,100
A709__00050.100,7.906448069479156,44.449091685,A709,_,00050,100
A709__00030.100,7.884667186983465,44.459868445,A709,_,00030,100
A709__00020.100,7.892632559422292,44.458467085,A709,_,00020,100
A709__00010.101,7.901581925767672,44.4651738,A709,_,00010,101
A709__00170.101,7.894939156316855,44.427591365,A709,_,00170,101
A709__00160.101,7.893968245696906,44.4365166,A709,_,00160,101
A709__00130.101,7.894069349760935,44.443335059999995,A709,_,00130,101
A709__00120.101,7.905329804280903,44.43426465,A709,_,00120,101
A709__00100.101,7.9175361737613255,44.439345535,A709,_,00100,101
A709__00080.101,7.926382618238284,44.45568562,A709,_,00080,101
A709__00070.101,7.914655318891771,44.456222,A709,_,00070,101
A709__00060.101,7.910525501851406,44.453960635,A709,_,00060,101
A709__00050.101,7.906115018952987,44.449705815,A709,_,00050,101
A709__00040.101,7.886232090339334,44.45432902,A709,_,00040,101
A709__00030.101,7.882504935419578,44.457117545,A709,_,00030,101
A709__00020.101,7.894824691760023,44.45983272,A709,_,00020,101
A709__00010.102,7.902204689901094,44.46540171,A709,_,00010,102
A709__00170.102,7.895309272904088,44.42828607,A709,_,00170,102
A709__00150.102,7.881478103961099,44.449160875000004,A709,_,00150,102
A709__00130.102,7.894546237578139,44.443737155,A709,_,00130,102
A709__00120.102,7.9053166356384885,44.434104305000005,A709,_,00120,102
A709__00110.102,7.9057738497512,44.442956429999995,A709,_,00110,102
A709__00080.102,7.92672103349256,44.45584642,A709,_,00080,102
A709__00070.102,7.914299501813888,44.455054790000005,A709,_,00070,102
A709__00060.102,7.911307298703758,44.45353168,A709,_,00060,102
A709__00050.102,7.906580853187025,44.450449885,A709,_,00050,102
A709__00030.102,7.882098761017894,44.45675121,A709,_,00030,102
A709__00020.102,7.895045189658632,44.459936005,A709,_,00020,102
A709__00010.103,7.901853714900975,44.465794715,A709,_,00010,103
A709__00170.103,7.895447972611448,44.428711504999995,A709,_,00170,103
A709__00150.103,7.881350708069366,44.44939615,A709,_,00150,103
A709__00130.103,7.895170223734762,44.444130665,A709,_,00130,103
A709__00120.103,7.904658399299928,44.43372345,A709,_,00120,103
A709__00110.103,7.9044670800738945,44.443056014999996,A709,_,00110,103
A709__00100.103,7.91759491242419,44.43988268,A709,_,00100,103
