nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A722__00010.1,9.597691625443748,40.204915455,A722,_,00010,1
A722__00840.1,9.683826952154185,39.999111389999996,A722,_,00840,1
A722__00830.1,9.676600118294747,40.00139862,A722,_,00830,1
A722__00820.1,9.666970392711953,39.99883474,A722,_,00820,1
A722__00810.1,9.648447257538354,39.99527275,A722,_,00810,1
A722__00800.1,9.639759471396209,39.99858084,A722,_,00800,1
A722__00790.1,9.628812397591362,39.99432496,A722,_,00790,1
A722__00780.1,9.611099020515237,39.998033109999994,A722,_,00780,1
A722__00770.1,9.65821612769825,40.00357013,A722,_,00770,1
A722__00760.1,9.651821201018812,40.003914589999994,A722,_,00760,1
A722__00750.1,9.631914804099484,40.006446804999996,A722,_,00750,1
A722__00740.1,9.628090454912432,40.01132304,A722,_,00740,1
A722__00730.1,9.611898203091862,40.00747848,A722,_,00730,1
A722__00720.1,9.67919802619452,40.015890909999996,A722,_,00720,1
A722__00710.1,9.673900195936218,40.012954865,A722,_,00710,1
A722__00700.1,9.661005141783464,40.015167885,A722,_,00700,1
A722__00690.1,9.655421480766684,40.012034755,A722,_,00690,1
A722__00680.1,9.647664893965352,40.01311454499999,A722,_,00680,1
A722__00670.1,9.630468620653389,40.009909035,A722,_,00670,1
A722__00660.1,9.651466259162,40.01069334,A722,_,00660,1
A722__00640.1,9.658978861279628,40.023093185,A722,_,00640,1
A722__00630.1,9.654987894978484,40.02358445,A722,_,00630,1
A722__0061.1,9.662767637129264,40.032344085,A722,_,0061,1
A722__00600.1,9.66648478038107,40.027337315,A722,_,00600,1
A722__00590.1,9.665833462348731,40.027247725,A722,_,00590,1
A722__00580.1,9.658318242665754,40.027715075,A722,_,00580,1
A722__00570.1,9.662077482472505,40.030470945000005,A722,_,00570,1
A722__00560.1,9.651234739507895,40.033722225000005,A722,_,00560,1
A722__00550.1,9.653429940356713,40.038503415,A722,_,00550,1
A722__00540.1,9.596333366946823,40.024284015,A722,_,00540,1
A722__00530.1,9.673843959308225,40.0468503,A722,_,00530,1
A722__00520.1,9.696853159227182,40.057872395000004,A722,_,00520,1
A722__00510.1,9.657820271985782,40.055901895000005,A722,_,00510,1
A722__00500.1,9.619146785657946,40.04733753,A722,_,00500,1
A722__00490.1,9.613154220255614,40.047719240000006,A722,_,00490,1
A722__00480.1,9.588078174768096,40.05752753,A722,_,00480,1
A722__00470.1,9.720024451555572,40.069584895,A722,_,00470,1
A722__00460.1,9.671363329175172,40.074755725,A722,_,00460,1
A722__00450.1,9.632218344112182,40.05646322,A722,_,00450,1
A722__00440.1,9.63066493336048,40.070106105,A722,_,00440,1
A722__00430.1,9.600430506109287,40.07001848,A722,_,00430,1
A722__00420.1,9.581092094629856,40.053720510000005,A722,_,00420,1
A722__00410.1,9.549160123729997,40.073246354999995,A722,_,00410,1
A722__00400.1,9.704224057332258,40.074042545,A722,_,00400,1
A722__00390.1,9.71743899808546,40.09467617,A722,_,00390,1
A722__00370.1,9.65480858877997,40.074715755,A722,_,00370,1
A722__00360.1,9.639741615761212,40.095032995,A722,_,00360,1
A722__00350.1,9.609639984891338,40.085532060000006,A722,_,00350,1
A722__00340.1,9.55128517239665,40.080895815000005,A722,_,00340,1
A722__00330.1,9.69639325405344,40.10535702,A722,_,00330,1
A722__00320.1,9.661430557413668,40.09737955,A722,_,00320,1
A722__00310.1,9.640084407701963,40.098155015,A722,_,00310,1
A722__00300.1,9.612949615725054,40.10329769,A722,_,00300,1
A722__00280.1,9.579393455106633,40.099681794999995,A722,_,00280,1
A722__00270.1,9.568161642883961,40.090643220000004,A722,_,00270,1
A722__00260.1,9.676497749349934,40.123532495000006,A722,_,00260,1
A722__00250.1,9.654064730936824,40.12689467,A722,_,00250,1
A722__00240.1,9.635379042620066,40.122337869999996,A722,_,00240,1
A722__00230.1,9.604043811160555,40.118138195,A722,_,00230,1
A722__00220.1,9.59578755316879,40.12089689,A722,_,00220,1
A722__00210.1,9.565555772264855,40.105771925,A722,_,00210,1
A722__00200.1,9.61436803932871,40.130137149999996,A722,_,00200,1
A722__00190.1,9.589326544762141,40.124237925,A722,_,00190,1
A722__00180.1,9.56808322670117,40.115663765,A722,_,00180,1
A722__00170.1,9.63220908952627,40.139419715,A722,_,00170,1
A722__00160.1,9.608558062208166,40.13855724,A722,_,00160,1
A722__00150.1,9.63886653297742,40.151834795,A722,_,00150,1
A722__00140.1,9.623991299742553,40.15348335,A722,_,00140,1
A722__00130.1,9.60162718686143,40.14964816,A722,_,00130,1
A722__00120.1,9.579400118891225,40.15431618,A722,_,00120,1
A722__00110.1,9.573131074760909,40.148236145,A722,_,00110,1
A722__00090.1,9.608232675219579,40.169893555,A722,_,00090,1
A722__00080.1,9.584906438181704,40.171534975,A722,_,00080,1
A722__00070.1,9.57532100435236,40.161874280000006,A722,_,00070,1
A722__00060.1,9.59347118144186,40.17955856,A722,_,00060,1
A722__00050.1,9.618474386016995,40.195040405,A722,_,00050,1
A722__00040.1,9.605239130802993,40.1929601,A722,_,00040,1
A722__00030.1,9.581894336005764,40.20030055,A722,_,00030,1
A722__00020.1,9.619635270668443,40.224023355,A722,_,00020,1
A722__00020.10,9.618272421127745,40.208435215,A722,_,00020,10
A722__00830.10,9.676915015589215,39.999731415,A722,_,00830,10
A722__00820.10,9.672884123767508,39.998190045,A722,_,00820,10
A722__00810.10,9.651388171160303,39.995238220000005,A722,_,00810,10
A722__00790.10,9.627044105264119,39.991548234999996,A722,_,00790,10
A722__00780.10,9.612364215364124,39.99895386,A722,_,00780,10
A722__00770.10,9.66731531350137,40.004683115000006,A722,_,00770,10
A722__00760.10,9.656212035704524,40.003155025,A722,_,00760,10
A722__00750.10,9.63419641227933,40.006807550000005,A722,_,00750,10
A722__00740.10,9.625635847261194,40.00939294,A722,_,00740,10
A722__00730.10,9.608638680085456,40.004107065,A722,_,00730,10
A722__00720.10,9.702749397141865,40.023235475,A722,_,00720,10
A722__00710.10,9.671832331128702,40.010727495,A722,_,00710,10
A722__00700.10,9.662631103460182,40.01417434,A722,_,00700,10
A722__00690.10,9.657863247111896,40.01176622,A722,_,00690,10
A722__00680.10,9.64926856210779,40.012094649999995,A722,_,00680,10
A722__00660.10,9.655386156202749,40.017686315,A722,_,00660,10
A722__00650.10,9.638366527859521,40.019070995,A722,_,00650,10
A722__00640.10,9.6670324689638,40.02248322,A722,_,00640,10
A722__00630.10,9.644497088491635,40.02316347,A722,_,00630,10
A722__00620.10,9.697118503497945,40.028293500000004,A722,_,00620,10
A722__00600.10,9.666830951355012,40.026970665,A722,_,00600,10
A722__00590.10,9.66605330977687,40.02669187,A722,_,00590,10
A722__00580.10,9.66049607200678,40.026263435000004,A722,_,00580,10
A722__00570.10,9.662510524591456,40.030057459999995,A722,_,00570,10
A722__00560.10,9.653282519410977,40.03331633,A722,_,00560,10
