nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A831__00010.1,9.568060318611991,44.83778025,A831,_,00010,1
A831__01130.1,9.63499439749884,44.725775435,A831,_,01130,1
A831__01120.1,9.663491456032649,44.74179326,A831,_,01120,1
A831__01110.1,9.653070405114875,44.735259670000005,A831,_,01110,1
A831__01100.1,9.646380229955463,44.739218449999996,A831,_,01100,1
A831__01080.1,9.621490054730682,44.73652594,A831,_,01080,1
A831__01070.1,9.604171250330074,44.73509165,A831,_,01070,1
A831__01060.1,9.58366419413186,44.729604460000004,A831,_,01060,1
A831__01050.1,9.583972542929718,44.739015025,A831,_,01050,1
A831__01040.1,9.578893420988624,44.741597365,A831,_,01040,1
A831__01030.1,9.641730047697635,44.743941835,A831,_,01030,1
A831__01020.1,9.629837397597399,44.74074689,A831,_,01020,1
A831__01010.1,9.62060913935758,44.748226540000005,A831,_,01010,1
A831__01000.1,9.614148938089581,44.74524025,A831,_,01000,1
A831__00990.1,9.60094280097413,44.74867679,A831,_,00990,1
A831__00980.1,9.591011304569047,44.75399675,A831,_,00980,1
A831__00970.1,9.641590478190874,44.75231222,A831,_,00970,1
A831__00960.1,9.626518049173024,44.75737557,A831,_,00960,1
A831__00950.1,9.611512161812305,44.758351745,A831,_,00950,1
A831__00940.1,9.601176594161883,44.751357264999996,A831,_,00940,1
A831__00930.1,9.579663302395542,44.752612955000004,A831,_,00930,1
A831__00920.1,9.56810641787874,44.754493069999995,A831,_,00920,1
A831__00910.1,9.513591694401567,44.751839875,A831,_,00910,1
A831__00900.1,9.510061713554448,44.750720725,A831,_,00900,1
A831__00890.1,9.503017802981573,44.750837110000006,A831,_,00890,1
A831__00880.1,9.642804316096038,44.766248475,A831,_,00880,1
A831__00860.1,9.613381505857118,44.76679825,A831,_,00860,1
A831__00850.1,9.60434524980431,44.767851905,A831,_,00850,1
A831__00830.1,9.56363713057945,44.762254330000005,A831,_,00830,1
A831__00820.1,9.54814693993152,44.762629239999995,A831,_,00820,1
A831__00810.1,9.533039374335916,44.770161494999996,A831,_,00810,1
A831__00800.1,9.519932444977012,44.7596912,A831,_,00800,1
A831__00790.1,9.522055600564588,44.764023050000006,A831,_,00790,1
A831__00780.1,9.521466422945792,44.76797849,A831,_,00780,1
A831__00770.1,9.514936249957916,44.767722765,A831,_,00770,1
A831__00760.1,9.502904237030002,44.758871705000004,A831,_,00760,1
A831__00750.1,9.510027118177426,44.772213785000005,A831,_,00750,1
A831__00740.1,9.636728944987052,44.773377815,A831,_,00740,1
A831__00730.1,9.626581710315437,44.772531535,A831,_,00730,1
A831__00720.1,9.607059970304165,44.775720570000004,A831,_,00720,1
A831__00710.1,9.585926203350223,44.772210905,A831,_,00710,1
A831__00700.1,9.57090836499725,44.77141777,A831,_,00700,1
A831__00690.1,9.553780518325997,44.773666695,A831,_,00690,1
A831__00680.1,9.533877206100751,44.77737195,A831,_,00680,1
A831__00670.1,9.526115653275259,44.77688605,A831,_,00670,1
A831__00660.1,9.515270368792251,44.772551445000005,A831,_,00660,1
A831__00650.1,9.515142624577923,44.777410515,A831,_,00650,1
A831__00640.1,9.511398059563264,44.780106005,A831,_,00640,1
A831__00620.1,9.647253421510975,44.7807157,A831,_,00620,1
A831__00600.1,9.632278799455001,44.78583862,A831,_,00600,1
A831__00590.1,9.608542202706168,44.779573735,A831,_,00590,1
A831__00580.1,9.61006648488614,44.789414265,A831,_,00580,1
A831__00570.1,9.60404080084523,44.776545565,A831,_,00570,1
A831__00560.1,9.596555614566752,44.785996325,A831,_,00560,1
A831__00540.1,9.572653228783487,44.786254920000005,A831,_,00540,1
A831__00530.1,9.553630269478568,44.78186696,A831,_,00530,1
A831__00520.1,9.55047739332898,44.790380455000005,A831,_,00520,1
A831__00510.1,9.53236938738636,44.786074395,A831,_,00510,1
A831__00500.1,9.530221267618025,44.7907187,A831,_,00500,1
A831__00490.1,9.525013682256159,44.78140699,A831,_,00490,1
A831__00480.1,9.525014830182227,44.786280405,A831,_,00480,1
A831__00470.1,9.52617254129127,44.790487045000006,A831,_,00470,1
A831__00460.1,9.51868772651315,44.783710755,A831,_,00460,1
A831__00440.1,9.513032994732866,44.78382337,A831,_,00440,1
A831__00430.1,9.51779234843194,44.78510299,A831,_,00430,1
A831__00420.1,9.508454821778322,44.786494515,A831,_,00420,1
A831__00410.1,9.509073273022851,44.79071354,A831,_,00410,1
A831__00390.1,9.65962535642069,44.796365785,A831,_,00390,1
A831__00370.1,9.634980727250552,44.795097365000004,A831,_,00370,1
A831__00360.1,9.628669588458756,44.801716085,A831,_,00360,1
