nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A904__0907.1,9.096855180313192,45.959849094999996,A904,_,0907,1
A904__09070.100,9.09561873606922,45.963054325,A904,_,09070,100
A904__0907.1000,9.0931326523694,45.96391504,A904,_,0907,1000
A904__09070.1001,9.096077642205604,45.95905401,A904,_,09070,1001
A904__09070.1002,9.095693306350412,45.958994535,A904,_,09070,1002
A904__09070.1003,9.09732974527968,45.96225976,A904,_,09070,1003
A904__09070.1004,9.095867969160688,45.96311996,A904,_,09070,1004
A904__09070.1005,9.096808658425742,45.957745785,A904,_,09070,1005
A904__0907.1006,9.092844761150765,45.963994275,A904,_,0907,1006
A904__0907.1007,9.092926596796662,45.96395734,A904,_,0907,1007
A904__0907.1008,9.092846343337335,45.96404438,A904,_,0907,1008
A904__0907.1009,9.092725816524007,45.96411365,A904,_,0907,1009
A904__09070.101,9.095750765170761,45.962791945,A904,_,09070,101
A904__09060.1011,9.089983898638483,45.965852125,A904,_,09060,1011
A904__09060.1012,9.089599418513037,45.96594485,A904,_,09060,1012
A904__09070.1018,9.094815285984348,45.95835487,A904,_,09070,1018
A904__09070.102,9.0950570179913,45.96233221,A904,_,09070,102
A904__09070.1020,9.095085386197328,45.958373895,A904,_,09070,1020
A904__09070.1022,9.094629601167718,45.95870732,A904,_,09070,1022
A904__09060.1024,9.088791553320965,45.964888635,A904,_,09060,1024
A904__09060.1026,9.088027806120898,45.964627050000004,A904,_,09060,1026
A904__09060.1027,9.088255252042657,45.96479645,A904,_,09060,1027
A904__09060.1028,9.087248266964227,45.964915845,A904,_,09060,1028
A904__09060.1029,9.087153006787656,45.96478138,A904,_,09060,1029
A904__09070.103,9.094271195883973,45.961965885,A904,_,09070,103
A904__09060.1032,9.089269823223026,45.964073940000006,A904,_,09060,1032
A904__09070.1033,9.0948038310731,45.95862735,A904,_,09070,1033
A904__09060.1034,9.088669219359979,45.963744934999994,A904,_,09060,1034
A904__09060.1035,9.089225696939273,45.9634353,A904,_,09060,1035
A904__09070.1036,9.09393529179765,45.959501810000006,A904,_,09070,1036
A904__09060.1037,9.089572930778921,45.963536399999995,A904,_,09060,1037
A904__09060.1038,9.089626809309664,45.9634726,A904,_,09060,1038
A904__09070.104,9.094447884551762,45.962306055,A904,_,09070,104
A904__09070.1040,9.094664814224227,45.965504665,A904,_,09070,1040
A904__09060.1041,9.089948139099064,45.96319295,A904,_,09060,1041
A904__09060.1042,9.089672541726319,45.96314319,A904,_,09060,1042
A904__09040.1043,9.096210890438678,45.965735185,A904,_,09040,1043
A904__09040.1044,9.100428700246448,45.966106429999996,A904,_,09040,1044
A904__09070.1045,9.101540455667658,45.964082669999996,A904,_,09070,1045
A904__09070.1046,9.092923331082485,45.962921820000005,A904,_,09070,1046
A904__09060.1047,9.090350819948966,45.963282774999996,A904,_,09060,1047
A904__09070.1048,9.091724515814553,45.961761075,A904,_,09070,1048
A904__09070.105,9.094488874174585,45.962482455,A904,_,09070,105
A904__0907.1050,9.096803137276247,45.96017208,A904,_,0907,1050
A904__0907.1051,9.096752224176857,45.96012231500001,A904,_,0907,1051
A904__09070.1052,9.092618310014675,45.962929235000004,A904,_,09070,1052
A904__0907.1053,9.096717566761242,45.960217835,A904,_,0907,1053
A904__0907.1054,9.09670281884846,45.95990595,A904,_,0907,1054
A904__09070.1055,9.092010106864432,45.960428345,A904,_,09070,1055
A904__09070.1056,9.092055973928701,45.960699885,A904,_,09070,1056
A904__0907.1057,9.09671976888795,45.959878995,A904,_,0907,1057
A904__09070.1058,9.09353187843886,45.96106087,A904,_,09070,1058
A904__09070.1059,9.09480737330479,45.961081570000005,A904,_,09070,1059
A904__09070.106,9.093488767802572,45.96238732,A904,_,09070,106
A904__09070.1061,9.09944436668387,45.96365553,A904,_,09070,1061
A904__09070.1062,9.099242916806027,45.963566285,A904,_,09070,1062
A904__09070.1063,9.10018471327092,45.96336434,A904,_,09070,1063
A904__09070.1064,9.100483519332286,45.963366734999994,A904,_,09070,1064
A904__09070.1065,9.099811731895443,45.96320374,A904,_,09070,1065
A904__09070.1066,9.099654087581307,45.96295489,A904,_,09070,1066
A904__09070.1067,9.099821211720496,45.962259715,A904,_,09070,1067
A904__09070.107,9.093712853409595,45.96262729,A904,_,09070,107
A904__09070.1070,9.09845422401898,45.961748575,A904,_,09070,1070
A904__09070.1071,9.09743450243902,45.961906735,A904,_,09070,1071
A904__09070.1072,9.101098308752476,45.961124945,A904,_,09070,1072
A904__0907.1074,9.09720075307603,45.959559755,A904,_,0907,1074
A904__09070.1075,9.098385181861207,45.96114656,A904,_,09070,1075
A904__09070.1076,9.098292041093258,45.960197895,A904,_,09070,1076
A904__09070.1078,9.09773839063509,45.960582009999996,A904,_,09070,1078
A904__0907.1079,9.097490506339561,45.96073209,A904,_,0907,1079
A904__09070.108,9.094553136379613,45.962822075,A904,_,09070,108
A904__09070.1080,9.09785177511549,45.960926015,A904,_,09070,1080
A904__09070.1081,9.098152440593466,45.96129267,A904,_,09070,1081
A904__0907.1082,9.098150897307338,45.959414530000004,A904,_,0907,1082
A904__0907.1083,9.098714942010801,45.95914487500001,A904,_,0907,1083
A904__09070.1084,9.099008320245224,45.958583115,A904,_,09070,1084
A904__09070.1085,9.099352575825128,45.958535354999995,A904,_,09070,1085
A904__09070.1086,9.098551473783253,45.958539645,A904,_,09070,1086
A904__09070.1087,9.098803690311957,45.95847097,A904,_,09070,1087
A904__09070.1088,9.099214683036056,45.957888165,A904,_,09070,1088
A904__0907.1089,9.097152616895208,45.95929153,A904,_,0907,1089
A904__09070.109,9.093668016822733,45.963049955,A904,_,09070,109
A904__09090.1091,9.09851654268914,45.956335125,A904,_,09090,1091
A904__09090.1092,9.099045987685269,45.95615072,A904,_,09090,1092
A904__09090.1093,9.098748419701076,45.95602872,A904,_,09090,1093
A904__09090.1094,9.09771712761648,45.956369365,A904,_,09090,1094
A904__0907.1095,9.097577542751491,45.959423095,A904,_,0907,1095
A904__09070.1096,9.097455152722537,45.95852569,A904,_,09070,1096
A904__0907.1097,9.096683322930716,45.95894738,A904,_,0907,1097
A904__09070.1098,9.095259043879937,45.95908171,A904,_,09070,1098
A904__09070.1099,9.094732957367393,45.959377125,A904,_,09070,1099
A904__09070.110,9.095890549744649,45.960135414999996,A904,_,09070,110
A904__09070.1100,9.095409436208818,45.95868436,A904,_,09070,1100
A904__09070.1101,9.096091655183365,45.958571285000005,A904,_,09070,1101
A904__0907.1102,9.097587301788366,45.95949297,A904,_,0907,1102
A904__09070.1103,9.096362470178619,45.9583128,A904,_,09070,1103
A904__09070.1104,9.097260709455446,45.95809423,A904,_,09070,1104
A904__09070.1105,9.097823840914664,45.96347119,A904,_,09070,1105
A904__0907.1106,9.098597020226713,45.958918284999996,A904,_,0907,1106
A904__09070.1107,9.09681959510145,45.956412665,A904,_,09070,1107
A904__09070.1109,9.094337845607146,45.958212365,A904,_,09070,1109
A904__09070.111,9.09521350871146,45.962845635,A904,_,09070,111
A904__09070.1110,9.093629302703365,45.958951165,A904,_,09070,1110
A904__0907.1112,9.098621345216866,45.95887424,A904,_,0907,1112
A904__09070.1113,9.095181836929424,45.96518247,A904,_,09070,1113
A904__09070.1114,9.099884266439032,45.957706755000004,A904,_,09070,1114
A904__09090.1115,9.09996826906152,45.955360615000004,A904,_,09090,1115
A904__09090.1116,9.100297896827854,45.955301805000005,A904,_,09090,1116
A904__09090.1117,9.101098521930739,45.955443115,A904,_,09090,1117
A904__09100.1118,9.10599555857897,45.954307185,A904,_,09100,1118
A904__09070.1119,9.10597504827087,45.96415948,A904,_,09070,1119
A904__09070.112,9.095224794052179,45.963037244999995,A904,_,09070,112
A904__09080.1120,9.107045056342521,45.957304640000004,A904,_,09080,1120
A904__09070.1121,9.104235239572446,45.9575867,A904,_,09070,1121
A904__0907.1123,9.096739790984339,45.959283405,A904,_,0907,1123
A904__0907.1124,9.096632712294909,45.959228554999996,A904,_,0907,1124
A904__0907.1126,9.098098928791089,45.95891797,A904,_,0907,1126
A904__09070.113,9.094700970989066,45.963091684999995,A904,_,09070,113
A904__09080.1131,9.106999781167115,45.957296065,A904,_,09080,1131
A904__09080.1132,9.107604859558794,45.957899235,A904,_,09080,1132
A904__09080.1133,9.108998896217997,45.960742374999995,A904,_,09080,1133
A904__09080.1134,9.108719906701152,45.960929545,A904,_,09080,1134
A904__09080.1135,9.109320016444654,45.961048364999996,A904,_,09080,1135
A904__09050.1136,9.112237777191933,45.968905295,A904,_,09050,1136
A904__09080.1137,9.107325561316785,45.957955215,A904,_,09080,1137
A904__09050.1138,9.108457508921466,45.97146886,A904,_,09050,1138
A904__09080.1139,9.106780213118583,45.958085159999996,A904,_,09080,1139
A904__09070.114,9.095527650955706,45.96317248,A904,_,09070,114
A904__09070.1140,9.106108156054304,45.958143815,A904,_,09070,1140
A904__09070.1142,9.09001102625218,45.961587155000004,A904,_,09070,1142
A904__09080.1145,9.110738303181293,45.962072715,A904,_,09080,1145
A904__09060.1146,9.088910487726658,45.963884155,A904,_,09060,1146
A904__09080.1147,9.110570122546065,45.96188797,A904,_,09080,1147
A904__09070.1148,9.095634567494775,45.9601346,A904,_,09070,1148
A904__09070.1149,9.095538843397726,45.960300950000004,A904,_,09070,1149
A904__09070.115,9.095116711523058,45.963222875,A904,_,09070,115
A904__09070.1150,9.096830537750566,45.962183935,A904,_,09070,1150
A904__09070.1151,9.096885425090477,45.96238159,A904,_,09070,1151
A904__09070.1152,9.09662780115883,45.962402605,A904,_,09070,1152
A904__09070.1153,9.095670107714504,45.96346289,A904,_,09070,1153
A904__09070.1154,9.096080447694,45.96334571,A904,_,09070,1154
A904__09070.1155,9.093891284089507,45.961956310000005,A904,_,09070,1155
A904__09070.1156,9.093560278232236,45.961930499999994,A904,_,09070,1156
A904__09070.1157,9.092297124275074,45.96345991,A904,_,09070,1157
A904__09070.1158,9.091242991774624,45.962067415,A904,_,09070,1158
A904__09070.1159,9.092097209172444,45.962973129999995,A904,_,09070,1159
A904__09070.116,9.094925107420988,45.963336155,A904,_,09070,116
A904__09070.1160,9.092233291096353,45.960852790000004,A904,_,09070,1160
A904__09070.1161,9.10048688735737,45.961002965,A904,_,09070,1161
A904__09050.1162,9.110125667890745,45.965898465,A904,_,09050,1162
A904__09050.1163,9.109500540615555,45.965859225,A904,_,09050,1163
A904__09070.1164,9.100218810778305,45.958873705,A904,_,09070,1164
A904__09070.1165,9.10148974082794,45.956609355,A904,_,09070,1165
A904__09070.1166,9.101175447187288,45.956342989999996,A904,_,09070,1166
A904__09070.1167,9.094093515894144,45.958998305,A904,_,09070,1167
A904__09050.1168,9.109285388060638,45.965559585,A904,_,09050,1168
A904__09050.1169,9.110031568027587,45.966793975,A904,_,09050,1169
A904__09070.117,9.094665290513401,45.963401705,A904,_,09070,117
A904__09070.1170,9.101201865714891,45.965186450000004,A904,_,09070,1170
A904__0907.1172,9.096657390464074,45.96004448,A904,_,0907,1172
A904__0907.1173,9.096581983549749,45.960123159999995,A904,_,0907,1173
A904__09050.1174,9.110727809794483,45.966849505,A904,_,09050,1174
A904__0907.1175,9.096992982583838,45.959508415,A904,_,0907,1175
A904__0907.1176,9.09701519878027,45.95938524,A904,_,0907,1176
A904__0907.1177,9.097199826293853,45.959317325,A904,_,0907,1177
A904__09050.1178,9.111493892682773,45.966884715,A904,_,09050,1178
A904__09070.118,9.095183914700034,45.963463995,A904,_,09070,118
A904__0907.1180,9.09815875188496,45.95903636,A904,_,0907,1180
A904__09050.1182,9.112268732747038,45.966849155,A904,_,09050,1182
A904__09050.1183,9.10942153885567,45.96719876,A904,_,09050,1183
A904__09080.1185,9.10789209109402,45.964468194999995,A904,_,09080,1185
A904__09050.1186,9.110676604055943,45.968143534999996,A904,_,09050,1186
A904__09070.1187,9.094730388502033,45.96401944,A904,_,09070,1187
A904__0907.1188,9.09364623024863,45.96394537,A904,_,0907,1188
A904__09070.119,9.094386579565017,45.963638114999995,A904,_,09070,119
A904__0907.1190,9.093679863554573,45.963892290000004,A904,_,0907,1190
A904__0907.1191,9.093380593030657,45.963964905,A904,_,0907,1191
A904__0907.1192,9.093527464008858,45.963946955,A904,_,0907,1192
A904__09060.1193,9.087664364145342,45.96500283,A904,_,09060,1193
A904__09070.1194,9.099943503750788,45.959055735,A904,_,09070,1194
A904__0907.1195,9.098153250728256,45.959464679999996,A904,_,0907,1195
A904__09050.1196,9.111183466967002,45.96934863,A904,_,09050,1196
A904__09050.1197,9.112883986291564,45.96917365,A904,_,09050,1197
A904__0907.1198,9.096692312815385,45.959314309999996,A904,_,0907,1198
A904__0907.1199,9.096684962804567,45.959349020000005,A904,_,0907,1199
A904__09070.120,9.09470996724266,45.963768555,A904,_,09070,120
A904__09040.1200,9.108003945730822,45.97332643,A904,_,09040,1200
A904__0907.1204,9.096891919818535,45.960374155,A904,_,0907,1204
A904__09070.1206,9.094152235097681,45.9623898,A904,_,09070,1206
A904__09070.1207,9.094253626247182,45.963140145,A904,_,09070,1207
A904__09070.121,9.095156420538125,45.96401609,A904,_,09070,121
A904__09070.1210,9.0922000698693,45.962369945,A904,_,09070,1210
A904__09070.1211,9.092784175103025,45.961852155,A904,_,09070,1211
A904__09070.1212,9.092031336585826,45.961190305,A904,_,09070,1212
A904__09050.1213,9.10921059465861,45.967760395,A904,_,09050,1213
A904__09070.1214,9.092726314324487,45.961013625,A904,_,09070,1214
A904__09070.1215,9.092948498677679,45.960347080000005,A904,_,09070,1215
A904__09070.1216,9.095285292738492,45.95890514,A904,_,09070,1216
A904__09070.1217,9.093763840826877,45.960505575,A904,_,09070,1217
A904__09070.1218,9.093924628654666,45.960318465,A904,_,09070,1218
A904__09070.1219,9.09450671613375,45.959865175000004,A904,_,09070,1219
A904__09070.122,9.094396678956027,45.963983245,A904,_,09070,122
A904__09070.1220,9.0938086382731,45.96026028,A904,_,09070,1220
A904__09070.1221,9.09550463402607,45.959516335,A904,_,09070,1221
A904__09070.1222,9.095660951561634,45.95955377999999,A904,_,09070,1222
A904__09070.1223,9.099149932287151,45.962709815,A904,_,09070,1223
A904__0907.1224,9.097534878961406,45.960600635000006,A904,_,0907,1224
A904__0907.1225,9.097656893215888,45.960452405,A904,_,0907,1225
A904__09070.1226,9.09615595982923,45.958901155,A904,_,09070,1226
A904__09070.1227,9.095583225526902,45.958814665000006,A904,_,09070,1227
A904__09070.1228,9.094046295831205,45.959615265,A904,_,09070,1228
A904__09070.1229,9.094564390861041,45.95955384,A904,_,09070,1229
A904__09070.123,9.094109376325555,45.963500335,A904,_,09070,123
A904__09070.1230,9.094074908989139,45.959779909999995,A904,_,09070,1230
A904__09070.1231,9.09389096771245,45.96001977,A904,_,09070,1231
A904__09070.1232,9.093384390942148,45.95995856,A904,_,09070,1232
A904__09070.1233,9.093793456017323,45.960150334999994,A904,_,09070,1233
A904__09070.1235,9.092243156692856,45.964626945,A904,_,09070,1235
A904__09040.1236,9.107101103688,45.965544124999994,A904,_,09040,1236
A904__09020.1238,9.114794861759217,45.976297375,A904,_,09020,1238
A904__09070.1239,9.091672282329206,45.96079845,A904,_,09070,1239
A904__09070.124,9.093659216148414,45.96348628,A904,_,09070,124
A904__09020.1240,9.116877289596626,45.9769117,A904,_,09020,1240
A904__09070.1241,9.092702248370367,45.961235855,A904,_,09070,1241
A904__09070.1242,9.09252161008035,45.96109551,A904,_,09070,1242
A904__0907.1243,9.097749052572567,45.960840235000006,A904,_,0907,1243
A904__0907.1244,9.097522826342274,45.96088019,A904,_,0907,1244
A904__09040.1245,9.097219478063845,45.967206680000004,A904,_,09040,1245
A904__09070.1246,9.095037041716624,45.959396335,A904,_,09070,1246
A904__09070.1247,9.09525237039547,45.95940975,A904,_,09070,1247
A904__0907.1248,9.097680395639735,45.960597050000004,A904,_,0907,1248
A904__09040.1249,9.097122278625275,45.96702852,A904,_,09040,1249
A904__09070.125,9.093765325660197,45.963255765,A904,_,09070,125
A904__09040.1250,9.09692111561102,45.967000385,A904,_,09040,1250
A904__0907.1251,9.09406813390421,45.964445605,A904,_,0907,1251
A904__09040.1252,9.096939752669346,45.966824375,A904,_,09040,1252
A904__0907.1253,9.093641507557534,45.964356535,A904,_,0907,1253
A904__09070.1254,9.094754629536395,45.962731575,A904,_,09070,1254
A904__09070.1255,9.094908634910867,45.9627013,A904,_,09070,1255
A904__09070.1256,9.095150543696846,45.962650714999995,A904,_,09070,1256
A904__0907.1257,9.093791576917912,45.96380093,A904,_,0907,1257
A904__09060.1259,9.089259488132965,45.964355760000004,A904,_,09060,1259
A904__09070.126,9.093224574928664,45.96288032,A904,_,09070,126
A904__09060.1261,9.088251326854323,45.964082795,A904,_,09060,1261
A904__09060.1262,9.087851873577959,45.96378765,A904,_,09060,1262
A904__09060.1263,9.089579053134067,45.963322075,A904,_,09060,1263
A904__09070.1264,9.093599075271685,45.960869945,A904,_,09070,1264
A904__09070.1265,9.099776605754744,45.96277294,A904,_,09070,1265
A904__0907.1266,9.098721012451485,45.95889108,A904,_,0907,1266
A904__09070.1267,9.095604897885613,45.95860666,A904,_,09070,1267
A904__09070.1268,9.095842276299123,45.95862214,A904,_,09070,1268
A904__09070.1269,9.104937338602815,45.955772045,A904,_,09070,1269
A904__09070.127,9.095190569572592,45.960248539999995,A904,_,09070,127
A904__09100.1270,9.106477900355205,45.95558274,A904,_,09100,1270
A904__09070.1271,9.092415322623996,45.960850245,A904,_,09070,1271
A904__09070.1272,9.091884460243755,45.960964055000005,A904,_,09070,1272
A904__0907.1273,9.097579646172598,45.960528685,A904,_,0907,1273
A904__0907.1274,9.09760320880277,45.960257025,A904,_,0907,1274
A904__09070.1275,9.094145827080172,45.95953557,A904,_,09070,1275
A904__0907.1276,9.097553863217174,45.9609381,A904,_,0907,1276
A904__0907.1277,9.097685495489134,45.960570885,A904,_,0907,1277
A904__09070.1278,9.09577347153962,45.963240135,A904,_,09070,1278
A904__09070.1279,9.100640952011009,45.961219055,A904,_,09070,1279
A904__09070.1280,9.099888531820262,45.959994159999994,A904,_,09070,1280
A904__09070.1281,9.100342214044511,45.959242375,A904,_,09070,1281
A904__09070.1282,9.099825441260649,45.958189215,A904,_,09070,1282
A904__09070.1284,9.090965414273587,45.965325415,A904,_,09070,1284
A904__09070.1285,9.091562901448896,45.96259646,A904,_,09070,1285
A904__09040.1286,9.106238305746546,45.9653732,A904,_,09040,1286
A904__0907.1287,9.096518057559756,45.960069455,A904,_,0907,1287
A904__0907.1288,9.096574803820756,45.960022980000005,A904,_,0907,1288
A904__0907.1289,9.096968353470889,45.95940148,A904,_,0907,1289
A904__09070.129,9.095874484854708,45.960802705,A904,_,09070,129
A904__0907.1290,9.097216155108246,45.959373854999996,A904,_,0907,1290
A904__0907.1291,9.097324474197631,45.95934944,A904,_,0907,1291
A904__0907.1292,9.09726273061218,45.959328940000006,A904,_,0907,1292
A904__0907.1293,9.097456824614788,45.959336210000004,A904,_,0907,1293
A904__09090.1294,9.097759591357931,45.955749575,A904,_,09090,1294
A904__09080.1295,9.11199928997986,45.9617099,A904,_,09080,1295
A904__09080.1296,9.111891120223056,45.961643624999994,A904,_,09080,1296
A904__09080.1297,9.113315603802409,45.961972634999995,A904,_,09080,1297
A904__09040.1298,9.101839485812855,45.967978384999995,A904,_,09040,1298
A904__09020.1299,9.107889679815235,45.97570279,A904,_,09020,1299
A904__09070.130,9.092566500904798,45.963450210000005,A904,_,09070,130
A904__09040.1300,9.096906125553058,45.96628998,A904,_,09040,1300
A904__09070.1301,9.0961441842998,45.963028585,A904,_,09070,1301
A904__09070.1304,9.095673480993124,45.963257735,A904,_,09070,1304
A904__0907.1305,9.093613834272354,45.963731675,A904,_,0907,1305
A904__09080.1306,9.111752563741723,45.961535355,A904,_,09080,1306
A904__09080.1307,9.111468318160231,45.961403895000004,A904,_,09080,1307
A904__0907.1308,9.097656367298839,45.960423055,A904,_,0907,1308
A904__0907.1309,9.097552957266322,45.96042195,A904,_,0907,1309
A904__0907.1310,9.097631371655702,45.96038032,A904,_,0907,1310
A904__0907.1311,9.097600276357369,45.960312130000005,A904,_,0907,1311
A904__0907.1312,9.096313741575113,45.959577055,A904,_,0907,1312
A904__09070.1313,9.091912226234559,45.96449898,A904,_,09070,1313
A904__09070.1315,9.09278872577653,45.96467101,A904,_,09070,1315
A904__0907.1316,9.094202555417663,45.96406981,A904,_,0907,1316
A904__0907.1317,9.096743551412636,45.95983429499999,A904,_,0907,1317
A904__0907.1318,9.097290523251122,45.96063221,A904,_,0907,1318
A904__09070.1319,9.097471057153674,45.96133055,A904,_,09070,1319
A904__09070.1320,9.094647723245323,45.96174804,A904,_,09070,1320
A904__0907.1321,9.096427796737588,45.960402224999996,A904,_,0907,1321
A904__09070.1322,9.095264539300834,45.959792085000004,A904,_,09070,1322
A904__09070.1323,9.094804016740431,45.961746195,A904,_,09070,1323
A904__09070.1326,9.099898029119327,45.959635505,A904,_,09070,1326
A904__09070.1327,9.099205907787404,45.95847831,A904,_,09070,1327
A904__09070.1328,9.099195891915056,45.958357840000005,A904,_,09070,1328
A904__09070.1329,9.095419965128762,45.959202794999996,A904,_,09070,1329
A904__09070.1330,9.096519733665136,45.95808829,A904,_,09070,1330
A904__09070.1331,9.096014525524188,45.957785165,A904,_,09070,1331
A904__09070.1332,9.095672303701736,45.957579575,A904,_,09070,1332
A904__0907.1334,9.096921248582188,45.95987878,A904,_,0907,1334
A904__0907.1335,9.096894165876279,45.959919424999995,A904,_,0907,1335
A904__0907.1336,9.096985410007875,45.959936995,A904,_,0907,1336
A904__0907.1337,9.097451704200562,45.96027071,A904,_,0907,1337
A904__09090.1339,9.10002798039751,45.955861675,A904,_,09090,1339
A904__09070.134,9.09224493811679,45.963836915,A904,_,09070,134
