nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A929__00010.1,8.521451102714131,45.679315009999996,A929,_,00010,1
A929__00150.1,8.554551490108008,45.65478898,A929,_,00150,1
A929__00130.1,8.53729599664296,45.655276455,A929,_,00130,1
A929__00120.1,8.526427909235137,45.655667425000004,A929,_,00120,1
A929__00110.1,8.519039331282926,45.65513527,A929,_,00110,1
A929__00100.1,8.550610810733275,45.66931345,A929,_,00100,1
A929__00090.1,8.538822072362244,45.666576055,A929,_,00090,1
A929__00080.1,8.529514556268868,45.66804184,A929,_,00080,1
A929__00070.1,8.517456180002114,45.66793319999999,A929,_,00070,1
A929__00060.1,8.53529927353501,45.670120555,A929,_,00060,1
A929__00050.1,8.531161244094832,45.669637865,A929,_,00050,1
A929__00040.1,8.517571671505234,45.673118305,A929,_,00040,1
A929__00030.1,8.539659372378875,45.676046025,A929,_,00030,1
A929__00010.10,8.522234240253955,45.6785729,A929,_,00010,10
A929__00150.10,8.55309881037469,45.65352799,A929,_,00150,10
A929__00140.10,8.547201064955715,45.654465125,A929,_,00140,10
A929__00120.10,8.527147329629313,45.65599716,A929,_,00120,10
A929__00110.10,8.525140271790917,45.655254635,A929,_,00110,10
A929__00100.10,8.550309730195846,45.668174629999996,A929,_,00100,10
A929__00090.10,8.540285665027316,45.665903505,A929,_,00090,10
A929__00080.10,8.529856066701626,45.666827444999996,A929,_,00080,10
A929__00070.10,8.517756636797419,45.66716341,A929,_,00070,10
A929__00060.10,8.536275995520965,45.669561155,A929,_,00060,10
A929__00050.10,8.533263355637926,45.66931769,A929,_,00050,10
A929__00040.10,8.518229159534837,45.669751614999996,A929,_,00040,10
A929__00030.10,8.5389514302143,45.675189700000004,A929,_,00030,10
A929__00020.10,8.531049776382169,45.67847893,A929,_,00020,10
A929__00010.100,8.525223051967162,45.67764249,A929,_,00010,100
A929__00150.100,8.551748646026297,45.65222131,A929,_,00150,100
A929__00140.100,8.548374385104268,45.65629975,A929,_,00140,100
A929__00100.100,8.550194284261558,45.6634333,A929,_,00100,100
A929__00090.100,8.541160981187906,45.665185025,A929,_,00090,100
A929__00070.100,8.518222403746726,45.662617185,A929,_,00070,100
A929__00060.100,8.534550495495388,45.66606643,A929,_,00060,100
A929__00050.100,8.532815902807041,45.666546965,A929,_,00050,100
A929__00040.100,8.521520746444203,45.66821632,A929,_,00040,100
A929__00030.100,8.54193222549431,45.667840985,A929,_,00030,100
A929__00020.100,8.531097173071537,45.673889785,A929,_,00020,100
A929__00090.1000,8.545064318052743,45.658847214999994,A929,_,00090,1000
A929__00110.1000,8.527774119032125,45.652405165000005,A929,_,00110,1000
A929__00080.1001,8.531971881681791,45.6573928,A929,_,00080,1001
A929__00110.1001,8.528131397074084,45.652332605,A929,_,00110,1001
A929__00090.1001,8.545007912717708,45.659199735,A929,_,00090,1001
A929__00070.1002,8.528044145397773,45.657223195,A929,_,00070,1002
A929__00120.1002,8.537336901309379,45.651138815,A929,_,00120,1002
A929__00110.1002,8.527415859898994,45.651871975,A929,_,00110,1002
A929__00090.1002,8.545327929305042,45.658930425,A929,_,00090,1002
A929__00090.1003,8.54536894019745,45.658677245,A929,_,00090,1003
A929__00120.1003,8.536540627988622,45.650126625,A929,_,00120,1003
A929__00110.1003,8.527838851878133,45.651632705,A929,_,00110,1003
A929__00070.1004,8.528001351399759,45.65703025,A929,_,00070,1004
A929__00120.1004,8.537903079968132,45.652162835,A929,_,00120,1004
A929__00110.1004,8.528963100177421,45.65180765,A929,_,00110,1004
A929__00090.1004,8.54564584283122,45.659021875,A929,_,00090,1004
A929__00080.1004,8.53551750462914,45.66237669,A929,_,00080,1004
A929__00070.1005,8.520668698207464,45.65694405,A929,_,00070,1005
A929__00120.1005,8.537869749221054,45.65203391,A929,_,00120,1005
A929__00110.1005,8.529192268042573,45.65188338,A929,_,00110,1005
A929__00090.1005,8.545797824468487,45.659276785,A929,_,00090,1005
A929__00080.1005,8.529759753398354,45.65963081,A929,_,00080,1005
A929__00070.1006,8.520603549165127,45.65623606,A929,_,00070,1006
A929__00120.1006,8.537858088911058,45.65235411,A929,_,00120,1006
A929__00110.1006,8.529421553751469,45.651908774999995,A929,_,00110,1006
A929__00090.1006,8.542395416421346,45.656683415,A929,_,00090,1006
A929__00080.1006,8.529997996507277,45.659637135,A929,_,00080,1006
A929__00070.1007,8.520926809354254,45.656487375,A929,_,00070,1007
A929__00120.1007,8.537793089341717,45.652105805000005,A929,_,00120,1007
A929__00110.1007,8.529654631199987,45.65194837,A929,_,00110,1007
A929__00090.1007,8.542383692404641,45.656794364999996,A929,_,00090,1007
A929__00080.1008,8.530951285764122,45.661599054999996,A929,_,00080,1008
A929__00120.1008,8.537757605863288,45.652543795,A929,_,00120,1008
A929__00110.1008,8.529827009837621,45.652034545,A929,_,00110,1008
A929__00070.1009,8.52762515935823,45.665537560000004,A929,_,00070,1009
A929__00120.1009,8.537737368860583,45.65215381,A929,_,00120,1009
A929__00110.1009,8.52834637861378,45.652566075,A929,_,00110,1009
A929__00090.1009,8.541110028615087,45.66651329,A929,_,00090,1009
A929__00080.1009,8.536070719717078,45.66314115,A929,_,00080,1009
A929__00010.101,8.525439637874655,45.677842600000005,A929,_,00010,101
A929__00150.101,8.552177644731191,45.651902320000005,A929,_,00150,101
A929__00140.101,8.54847055065218,45.65611262,A929,_,00140,101
A929__00130.101,8.544027846757846,45.652636404999996,A929,_,00130,101
A929__00120.101,8.531814606768283,45.650252315,A929,_,00120,101
A929__00100.101,8.551134829084374,45.65801176,A929,_,00100,101
A929__00070.101,8.518236002248305,45.662455335,A929,_,00070,101
A929__00050.101,8.532756681464532,45.666505740000005,A929,_,00050,101
A929__00040.101,8.5215635823383,45.668461969999996,A929,_,00040,101
A929__00030.101,8.542065394012157,45.66765608,A929,_,00030,101
A929__00020.101,8.531468886938931,45.67393421,A929,_,00020,101
A929__00080.1010,8.536242758460055,45.66293972,A929,_,00080,1010
A929__00110.1010,8.528482681191441,45.65246828,A929,_,00110,1010
A929__00070.1011,8.527823684370077,45.66516552,A929,_,00070,1011
A929__00120.1011,8.535197828389908,45.65009168,A929,_,00120,1011
A929__00110.1011,8.528587748621327,45.65233912,A929,_,00110,1011
A929__00090.1011,8.539033373362818,45.663271699999996,A929,_,00090,1011
A929__00080.1011,8.535981061724653,45.66250416,A929,_,00080,1011
A929__00080.1012,8.536024675985644,45.662796625,A929,_,00080,1012
A929__00110.1012,8.52870415858428,45.652235095,A929,_,00110,1012
A929__00090.1012,8.539628009505734,45.66247047,A929,_,00090,1012
A929__00070.1013,8.527293204761639,45.66694196,A929,_,00070,1013
A929__00120.1013,8.536013200074134,45.64998115,A929,_,00120,1013
A929__00110.1013,8.52878990716587,45.65213014,A929,_,00110,1013
A929__00090.1013,8.539456214942469,45.66247047,A929,_,00090,1013
A929__00080.1013,8.536007006124958,45.662869475,A929,_,00080,1013
A929__00070.1014,8.526775470631025,45.66631317,A929,_,00070,1014
A929__00110.1014,8.528876747486882,45.652024155,A929,_,00110,1014
A929__00090.1014,8.542892535604675,45.659827254999996,A929,_,00090,1014
A929__00080.1014,8.53580594275005,45.66293584,A929,_,00080,1014
A929__00080.1015,8.535775499737635,45.66303885,A929,_,00080,1015
A929__00110.1015,8.52930896408058,45.652737110000004,A929,_,00110,1015
A929__00090.1015,8.542924539747677,45.659870905000005,A929,_,00090,1015
A929__00080.1016,8.530534263728658,45.661466454999996,A929,_,00080,1016
A929__00110.1016,8.529377765405313,45.65261023,A929,_,00110,1016
A929__00080.1017,8.53059631871335,45.66133265,A929,_,00080,1017
A929__00110.1017,8.529420905015332,45.652485795000004,A929,_,00110,1017
A929__00090.1017,8.538397627082599,45.66339523,A929,_,00090,1017
A929__00080.1018,8.532317378828782,45.65996748,A929,_,00080,1018
A929__00120.1018,8.536845945956497,45.64931276,A929,_,00120,1018
A929__00110.1018,8.52952935335431,45.65240396,A929,_,00110,1018
A929__00070.1019,8.52722949192448,45.665026405,A929,_,00070,1019
A929__00120.1019,8.537035325794326,45.64932007,A929,_,00120,1019
A929__00110.1019,8.528821006353317,45.65261078,A929,_,00110,1019
A929__00090.1019,8.538747376991571,45.662832075,A929,_,00090,1019
A929__00080.1019,8.532180743745798,45.65986889,A929,_,00080,1019
A929__00010.102,8.52573870029863,45.678270080000004,A929,_,00010,102
A929__00150.102,8.552597932418244,45.652169795,A929,_,00150,102
A929__00140.102,8.548576659076407,45.656113755,A929,_,00140,102
A929__00120.102,8.53188226838477,45.650166085,A929,_,00120,102
A929__00100.102,8.553029381298028,45.657515945,A929,_,00100,102
A929__00070.102,8.518236339974633,45.662358025,A929,_,00070,102
A929__00060.102,8.534632526958534,45.66601349,A929,_,00060,102
A929__00050.102,8.532777271492733,45.666441445000004,A929,_,00050,102
A929__00040.102,8.520951937939358,45.668508605,A929,_,00040,102
A929__00030.102,8.54238659267682,45.66775619,A929,_,00030,102
A929__00020.102,8.53164279380654,45.6739166,A929,_,00020,102
A929__00080.1020,8.534974885496233,45.658768359999996,A929,_,00080,1020
A929__00110.1020,8.528928892408143,45.65313646,A929,_,00110,1020
A929__00080.1021,8.534955271640634,45.658518105,A929,_,00080,1021
A929__00120.1021,8.537064447494851,45.650017545,A929,_,00120,1021
A929__00110.1021,8.529027939140306,45.653005665,A929,_,00110,1021
A929__00070.1022,8.525574165098877,45.660273634999996,A929,_,00070,1022
A929__00120.1022,8.537649333353858,45.64982591,A929,_,00120,1022
A929__00110.1022,8.52914827814632,45.652935465,A929,_,00110,1022
A929__00090.1022,8.5455604992978,45.659610225,A929,_,00090,1022
A929__00080.1022,8.534712537941786,45.658350295,A929,_,00080,1022
A929__00080.1023,8.534974371429264,45.659021815,A929,_,00080,1023
A929__00120.1023,8.537637544547152,45.649539419999996,A929,_,00120,1023
A929__00110.1023,8.529195453825412,45.65283004,A929,_,00110,1023
A929__00090.1023,8.54551877874966,45.659640530000004,A929,_,00090,1023
A929__00070.1024,8.524958768734836,45.66122686,A929,_,00070,1024
A929__00120.1024,8.537429026001544,45.649932820000004,A929,_,00120,1024
A929__00110.1024,8.529648344210031,45.652325215,A929,_,00110,1024
A929__00080.1024,8.534239336023866,45.658305665,A929,_,00080,1024
A929__00070.1025,8.524961532429753,45.661266255,A929,_,00070,1025
A929__00120.1025,8.53736726692624,45.649555875000004,A929,_,00120,1025
A929__00110.1025,8.529774396047568,45.65224156,A929,_,00110,1025
A929__00090.1025,8.539170945295098,45.662004440000004,A929,_,00090,1025
A929__00080.1025,8.53425961517992,45.65842386,A929,_,00080,1025
A929__00070.1026,8.52493266220619,45.66084651,A929,_,00070,1026
A929__00120.1026,8.536866203969733,45.649673805000006,A929,_,00120,1026
A929__00110.1026,8.527926835009964,45.65206553,A929,_,00110,1026
A929__00090.1026,8.543159113652397,45.665699825000004,A929,_,00090,1026
A929__00080.1026,8.534317831446295,45.658779859999996,A929,_,00080,1026
A929__00080.1027,8.534286018531628,45.658580810000004,A929,_,00080,1027
A929__00120.1027,8.533520093699224,45.649911599999996,A929,_,00120,1027
A929__00110.1027,8.528224337953892,45.652056720000004,A929,_,00110,1027
A929__00090.1027,8.543067173493732,45.66566935,A929,_,00090,1027
A929__00080.1028,8.534364757408333,45.659070115,A929,_,00080,1028
A929__00120.1028,8.535598692705532,45.650001814999996,A929,_,00120,1028
A929__00110.1028,8.528298364492628,45.651942500000004,A929,_,00110,1028
A929__00090.1028,8.540156160018306,45.665099010000006,A929,_,00090,1028
A929__00080.1029,8.535455525531884,45.659051885,A929,_,00080,1029
A929__00120.1029,8.53431206318924,45.64999562,A929,_,00120,1029
A929__00110.1029,8.528373567291604,45.651829774999996,A929,_,00110,1029
A929__00090.1029,8.540113106056854,45.66525439,A929,_,00090,1029
A929__00010.103,8.527277473713454,45.677677169999995,A929,_,00010,103
A929__00150.103,8.552239581367125,45.652760465,A929,_,00150,103
A929__00140.103,8.548974811541296,45.65620636,A929,_,00140,103
A929__00120.103,8.531062809420934,45.649890670000005,A929,_,00120,103
A929__00100.103,8.55083215435825,45.663267495,A929,_,00100,103
A929__00090.103,8.5412335622445,45.665038499999994,A929,_,00090,103
A929__00070.103,8.518243311373219,45.662255904999995,A929,_,00070,103
A929__00060.103,8.534330249909559,45.666110915000004,A929,_,00060,103
A929__00040.103,8.521058793140853,45.668722355,A929,_,00040,103
A929__00030.103,8.542509716671947,45.667600809999996,A929,_,00030,103
A929__00020.103,8.531761462852938,45.67389326,A929,_,00020,103
A929__00080.1030,8.535500185511662,45.658772855,A929,_,00080,1030
A929__00120.1030,8.537440933984573,45.652259935000004,A929,_,00120,1030
A929__00110.1030,8.528294955852985,45.651632705,A929,_,00110,1030
A929__00090.1030,8.545565917756832,45.65948482,A929,_,00090,1030
A929__00070.1031,8.527478821692814,45.656643785,A929,_,00070,1031
A929__00120.1031,8.534533740327362,45.65286094,A929,_,00120,1031
A929__00110.1031,8.528534474062006,45.651278355,A929,_,00110,1031
A929__00090.1031,8.53873563093113,45.664562045,A929,_,00090,1031
A929__00080.1031,8.535537085184973,45.65853908,A929,_,00080,1031
A929__00070.1032,8.527463895093643,45.65699133,A929,_,00070,1032
A929__00120.1032,8.53495009648899,45.652828295,A929,_,00120,1032
A929__00090.1032,8.53892218793018,45.66435998,A929,_,00090,1032
A929__00070.1033,8.528207043876247,45.65675026,A929,_,00070,1033
A929__00110.1033,8.528762642574195,45.651787580000004,A929,_,00110,1033
A929__00090.1033,8.53923755807342,45.664492585,A929,_,00090,1033
A929__00090.1034,8.539639984920427,45.664657475,A929,_,00090,1034
A929__00120.1034,8.534067290699298,45.651459005,A929,_,00120,1034
A929__00110.1034,8.52858724759881,45.652052775,A929,_,00110,1034
A929__00070.1035,8.527746166575534,45.656896145000005,A929,_,00070,1035
A929__00090.1035,8.539947744731226,45.664783334999996,A929,_,00090,1035
A929__00090.1036,8.540211732855509,45.664891485,A929,_,00090,1036
A929__00120.1036,8.534262345213595,45.65180293,A929,_,00120,1036
A929__00090.1037,8.540444813571568,45.664987034999996,A929,_,00090,1037
A929__00120.1037,8.534084613313727,45.65163839,A929,_,00120,1037
A929__00090.1038,8.540647289975151,45.665069689999996,A929,_,00090,1038
A929__00120.1038,8.53580499563133,45.65127436,A929,_,00120,1038
A929__00090.1039,8.539230976284404,45.664368815,A929,_,00090,1039
A929__00010.104,8.527269651036338,45.67739068,A929,_,00010,104
A929__00150.104,8.553498207081626,45.652261505,A929,_,00150,104
A929__00140.104,8.549602321995815,45.656344614999995,A929,_,00140,104
A929__00130.104,8.540922617636326,45.64962866,A929,_,00130,104
A929__00100.104,8.547260388144053,45.66286975,A929,_,00100,104
A929__00070.104,8.51825262402902,45.66215649,A929,_,00070,104
A929__00060.104,8.534182489069746,45.666173565,A929,_,00060,104
A929__00040.104,8.521133136502039,45.668816245,A929,_,00040,104
A929__00030.104,8.542129192939502,45.667502885,A929,_,00030,104
A929__00020.104,8.531999846428919,45.674642965000004,A929,_,00020,104
A929__00090.1040,8.53922302071917,45.6643845,A929,_,00090,1040
A929__00120.1040,8.534977424630375,45.6505282,A929,_,00120,1040
A929__00090.1041,8.539359574130739,45.66444282,A929,_,00090,1041
A929__00090.1042,8.53956572905045,45.664528184999995,A929,_,00090,1042
A929__00120.1042,8.534515719638112,45.651134055,A929,_,00120,1042
