nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A986__00010.1,9.965685040508799,45.307266225,A986,_,00010,1
A986__00070.1,9.982902381633878,45.28382937,A986,_,00070,1
A986__00030.1,9.98007744053754,45.299069669999994,A986,_,00030,1
A986__00020.1,9.962730536142026,45.29841773,A986,_,00020,1
A986__00010.10,9.974383887157149,45.307524744999995,A986,_,00010,10
A986__00070.10,10.00215704060723,45.282424425,A986,_,00070,10
A986__00060.10,9.969941373143982,45.284953939999994,A986,_,00060,10
A986__00040.10,9.985428283119004,45.295252454999996,A986,_,00040,10
A986__00030.10,9.977216472337206,45.295891819999994,A986,_,00030,10
A986__00020.10,9.972439482169047,45.298291175,A986,_,00020,10
A986__00030.100,9.979973548759496,45.28743361,A986,_,00030,100
A986__00070.100,9.983962727571154,45.279863379999995,A986,_,00070,100
A986__00050.100,9.994980613696724,45.289536455000004,A986,_,00050,100
A986__00040.101,9.985536725454544,45.29434616,A986,_,00040,101
A986__00070.101,9.984284727760754,45.280170514999995,A986,_,00070,101
A986__00060.101,9.97274374274204,45.285579255,A986,_,00060,101
A986__00050.101,9.994874075477636,45.28928625,A986,_,00050,101
A986__00020.102,9.963481711859565,45.288521865,A986,_,00020,102
A986__00070.102,9.98423283705837,45.280884235,A986,_,00070,102
A986__00050.102,9.99548296439589,45.289807845,A986,_,00050,102
A986__00040.102,9.985567082258587,45.294088044999995,A986,_,00040,102
A986__00050.103,9.995122180219955,45.289236025,A986,_,00050,103
A986__00070.103,9.984772830842354,45.2805343,A986,_,00070,103
A986__00060.103,9.972795829058466,45.28513518,A986,_,00060,103
A986__00020.104,9.96563603686817,45.28711412,A986,_,00020,104
A986__00070.104,9.981070339101048,45.283087995,A986,_,00070,104
A986__00060.104,9.977307252402905,45.286996825,A986,_,00060,104
A986__00050.104,9.99578167431202,45.289788965,A986,_,00050,104
A986__00040.104,9.98603508697466,45.29458425,A986,_,00040,104
A986__00050.105,9.995545021709322,45.28935381,A986,_,00050,105
A986__00040.106,9.986110050445118,45.294570295,A986,_,00040,106
A986__00070.106,9.98059979246203,45.282796399999995,A986,_,00070,106
A986__00050.106,9.996275466834163,45.289448005,A986,_,00050,106
A986__00030.107,9.980959280993407,45.29389854,A986,_,00030,107
A986__00050.107,9.995913219941052,45.289296754999995,A986,_,00050,107
A986__00040.107,9.986176192045715,45.29469665,A986,_,00040,107
A986__00030.108,9.981454614526537,45.29388675,A986,_,00030,108
A986__00050.108,9.997183340518514,45.28995915,A986,_,00050,108
A986__00040.108,9.98599846464862,45.294423460000004,A986,_,00040,108
A986__00020.109,9.97365461735017,45.296746354999996,A986,_,00020,109
A986__00070.109,9.984457573308806,45.27829342,A986,_,00070,109
A986__00050.109,9.997969635691419,45.29022062,A986,_,00050,109
