nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B099__00010.1,15.905522172873848,37.9696447,B099,_,00010,1
B099__00370.1,15.962297293768167,37.928158010000004,B099,_,00370,1
B099__00360.1,15.954229415856755,37.932117500000004,B099,_,00360,1
B099__00340.1,15.924718228918522,37.93209364,B099,_,00340,1
B099__00310.1,15.971579768929313,37.93337068,B099,_,00310,1
B099__00280.1,15.939700139462612,37.93632849,B099,_,00280,1
B099__00270.1,15.951688178196893,37.944472595,B099,_,00270,1
B099__00260.1,15.934517400652206,37.938875015,B099,_,00260,1
B099__00250.1,15.924175915327485,37.942460735,B099,_,00250,1
B099__00220.1,15.902896219011513,37.944942944999994,B099,_,00220,1
B099__00210.1,15.972916442811135,37.94979542,B099,_,00210,1
B099__00190.1,15.940492840511418,37.950444125,B099,_,00190,1
B099__00180.1,15.928827869733528,37.953191835,B099,_,00180,1
B099__00170.1,15.925717050247789,37.95479732,B099,_,00170,1
B099__00160.1,15.916489476278397,37.958464250000006,B099,_,00160,1
B099__00150.1,15.90724627220117,37.952324025,B099,_,00150,1
B099__00140.1,15.973140523474004,37.9529184,B099,_,00140,1
B099__00130.1,15.97085926492138,37.964847395,B099,_,00130,1
B099__00120.1,15.967994943186591,37.976155745,B099,_,00120,1
B099__00110.1,15.968923848571691,37.964169485,B099,_,00110,1
B099__00100.1,15.961035072712235,37.96532657,B099,_,00100,1
B099__00090.1,15.955961023821637,37.956786475,B099,_,00090,1
B099__00080.1,15.95384269348639,37.962155960000004,B099,_,00080,1
B099__00070.1,15.952613811488291,37.965988965,B099,_,00070,1
B099__00060.1,15.937819992791251,37.963753485,B099,_,00060,1
B099__00050.1,15.924891002780853,37.958570935,B099,_,00050,1
B099__00040.1,15.925834382108873,37.963425845,B099,_,00040,1
B099__00030.1,15.913775228310413,37.961629474999995,B099,_,00030,1
B099__00020.1,15.90901177835742,37.96274041,B099,_,00020,1
B099__00010.10,15.908029807644514,37.968098905000005,B099,_,00010,10
B099__00360.10,15.954305630883773,37.93175436,B099,_,00360,10
B099__00340.10,15.926271973467953,37.931625135000004,B099,_,00340,10
B099__00310.10,15.966505566422878,37.932234890000004,B099,_,00310,10
B099__00300.10,15.955863575467083,37.935719275,B099,_,00300,10
B099__00290.10,15.961188828850041,37.94472124,B099,_,00290,10
B099__00280.10,15.937437506816243,37.932500445,B099,_,00280,10
B099__00260.10,15.932612973670313,37.936563275,B099,_,00260,10
B099__00250.10,15.930090585338766,37.942290975,B099,_,00250,10
B099__00230.10,15.920689199515746,37.939753585000005,B099,_,00230,10
B099__00220.10,15.906542496878725,37.940264674999995,B099,_,00220,10
B099__00200.10,15.961646581695154,37.948317419999995,B099,_,00200,10
B099__00190.10,15.938552761273055,37.94887601,B099,_,00190,10
B099__00180.10,15.937534343410972,37.951515795,B099,_,00180,10
B099__00170.10,15.922796160081887,37.951057215,B099,_,00170,10
B099__00150.10,15.904043902272875,37.947784465,B099,_,00150,10
B099__00140.10,15.965241256712421,37.953671850000006,B099,_,00140,10
B099__00110.10,15.963167436712334,37.957632825000005,B099,_,00110,10
