nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B110__00010.1,10.491980772835305,45.13182225,B110,_,00010,1
B110__00160.1,10.47354803051456,45.08471666,B110,_,00160,1
B110__00150.1,10.489308652922464,45.0969479,B110,_,00150,1
B110__00130.1,10.464828406398322,45.100078055,B110,_,00130,1
B110__00120.1,10.502718565958089,45.109108899999995,B110,_,00120,1
B110__00110.1,10.488536954731511,45.107050985,B110,_,00110,1
B110__00080.1,10.473527962995771,45.107339745,B110,_,00080,1
B110__00070.1,10.459424490931728,45.10830342,B110,_,00070,1
B110__00060.1,10.484808156275498,45.115192594999996,B110,_,00060,1
B110__00050.1,10.50826774617408,45.124334105,B110,_,00050,1
B110__00040.1,10.492337165483342,45.12510803,B110,_,00040,1
B110__00030.1,10.477829918831034,45.125726240000006,B110,_,00030,1
B110__00020.1,10.459217977450058,45.122496115000004,B110,_,00020,1
B110__00010.10,10.49566948005306,45.13109729,B110,_,00010,10
B110__00160.10,10.476450216374745,45.08435592,B110,_,00160,10
B110__00150.10,10.495006343564775,45.09669726,B110,_,00150,10
B110__00130.10,10.466497992860823,45.09854421,B110,_,00130,10
B110__00110.10,10.49008958822025,45.104403115,B110,_,00110,10
B110__00100.10,10.485248250030036,45.106509935,B110,_,00100,10
B110__00090.10,10.478737391054214,45.10345755,B110,_,00090,10
B110__00070.10,10.467482205824666,45.109041475,B110,_,00070,10
B110__00060.10,10.490587589723994,45.11469447,B110,_,00060,10
B110__00050.10,10.509396942132462,45.123475965,B110,_,00050,10
B110__00040.10,10.485272649762953,45.12348648,B110,_,00040,10
B110__00030.10,10.476631433248775,45.12353797,B110,_,00030,10
B110__00020.10,10.468263783418564,45.12358753,B110,_,00020,10
B110__00010.100,10.501289171873953,45.127133545,B110,_,00010,100
B110__00160.100,10.488592593029864,45.082763265,B110,_,00160,100
B110__00150.100,10.49098465299772,45.090691005,B110,_,00150,100
B110__00140.100,10.48019685008155,45.09124272,B110,_,00140,100
B110__00130.100,10.47743143796663,45.097027095,B110,_,00130,100
B110__00120.100,10.502798498062097,45.100979585000005,B110,_,00120,100
B110__00110.100,10.499735587791482,45.10055339,B110,_,00110,100
B110__00100.100,10.48512463084454,45.10518671,B110,_,00100,100
B110__00080.100,10.482612443808987,45.106986750000004,B110,_,00080,100
B110__00070.100,10.463914871294762,45.104349875,B110,_,00070,100
B110__00060.100,10.497384631782882,45.110524615,B110,_,00060,100
B110__00050.100,10.506072619386053,45.111556785000005,B110,_,00050,100
B110__00040.100,10.500129876423426,45.118661985,B110,_,00040,100
B110__00030.100,10.472594573960329,45.114924405,B110,_,00030,100
B110__00020.100,10.458482552608775,45.110816135,B110,_,00020,100
B110__00090.1000,10.48495941161551,45.10263465,B110,_,00090,1000
B110__00080.1001,10.476377440313335,45.105003530000005,B110,_,00080,1001
B110__00090.1001,10.480367851603818,45.10090715,B110,_,00090,1001
B110__00080.1002,10.483474859661579,45.10415253,B110,_,00080,1002
B110__00080.1004,10.479615251943233,45.10726693,B110,_,00080,1004
B110__00090.1004,10.484144085065493,45.100775975000005,B110,_,00090,1004
B110__00080.1005,10.479899619237187,45.107239074999995,B110,_,00080,1005
B110__00080.1006,10.48005008403998,45.107252634999995,B110,_,00080,1006
B110__00090.1006,10.482057412746627,45.10318556,B110,_,00090,1006
B110__00080.1007,10.480322801881115,45.10769228,B110,_,00080,1007
B110__00090.1007,10.482760021264886,45.101394935,B110,_,00090,1007
B110__00090.1008,10.482618263716716,45.10139671,B110,_,00090,1008
B110__00090.1009,10.48403036689549,45.102303505,B110,_,00090,1009
B110__00010.101,10.50044792021093,45.124590345,B110,_,00010,101
B110__00160.101,10.489516553853683,45.08248844,B110,_,00160,101
B110__00150.101,10.491422731557968,45.090866085,B110,_,00150,101
B110__00140.101,10.480739971175467,45.09152068,B110,_,00140,101
B110__00130.101,10.477420455708312,45.096485465,B110,_,00130,101
B110__00120.101,10.502275265767288,45.100083725,B110,_,00120,101
B110__00110.101,10.500071530692132,45.100833745,B110,_,00110,101
B110__00090.101,10.480250507369675,45.103289685,B110,_,00090,101
B110__00060.101,10.498242356239995,45.110508595,B110,_,00060,101
B110__00050.101,10.50734937863605,45.111806200000004,B110,_,00050,101
B110__00040.101,10.499899495201756,45.11799442,B110,_,00040,101
B110__00030.101,10.482531362513928,45.122311005,B110,_,00030,101
B110__00020.101,10.459349175151335,45.11037474,B110,_,00020,101
B110__00080.1010,10.478233776248098,45.105287895000004,B110,_,00080,1010
B110__00090.1010,10.48410061431486,45.102303635,B110,_,00090,1010
B110__00080.1011,10.478030774604521,45.10528293,B110,_,00080,1011
B110__00090.1011,10.484178815440831,45.10231006,B110,_,00090,1011
B110__00080.1012,10.479759504883365,45.105990919999996,B110,_,00080,1012
B110__00090.1012,10.484172309431136,45.102700905000006,B110,_,00090,1012
B110__00080.1013,10.483150808376305,45.10460703,B110,_,00080,1013
B110__00090.1013,10.48402832652878,45.102593505,B110,_,00090,1013
B110__00090.1014,10.483888347516285,45.10255627,B110,_,00090,1014
B110__00080.1015,10.4788218979843,45.105365305,B110,_,00080,1015
B110__00090.1015,10.483762650022825,45.102663535000005,B110,_,00090,1015
B110__00080.1016,10.47892102518394,45.105390514999996,B110,_,00080,1016
B110__00090.1016,10.483665809623663,45.10258756499999,B110,_,00090,1016
B110__00080.1017,10.47905240060825,45.105392640000005,B110,_,00080,1017
B110__00090.1017,10.483612384589495,45.10252601,B110,_,00090,1017
B110__00080.1018,10.479680624620936,45.103850425,B110,_,00080,1018
B110__00090.1018,10.484092730374496,45.102692655,B110,_,00090,1018
B110__00080.1019,10.47976954547914,45.10386101,B110,_,00080,1019
B110__00090.1019,10.484091426918754,45.102635895000006,B110,_,00090,1019
B110__00010.102,10.502200124137687,45.127232305,B110,_,00010,102
B110__00160.102,10.476041502270236,45.08055181,B110,_,00160,102
B110__00150.102,10.491751850176303,45.090939795,B110,_,00150,102
B110__00130.102,10.473939978718006,45.08574718,B110,_,00130,102
B110__00120.102,10.502733839276313,45.099859425,B110,_,00120,102
B110__00110.102,10.50031220908599,45.100668085,B110,_,00110,102
B110__00100.102,10.485407868031707,45.105568385,B110,_,00100,102
B110__00090.102,10.480357220814488,45.103695904999995,B110,_,00090,102
B110__00060.102,10.500645692310709,45.11063077,B110,_,00060,102
B110__00050.102,10.508037249334667,45.112138779999995,B110,_,00050,102
B110__00040.102,10.498838431560836,45.117591024999996,B110,_,00040,102
B110__00030.102,10.474156883413116,45.11605494,B110,_,00030,102
B110__00020.102,10.458666921335213,45.10945878,B110,_,00020,102
B110__00080.1020,10.47969552732542,45.103896805000005,B110,_,00080,1020
B110__00090.1020,10.4839489228886,45.10262371,B110,_,00090,1020
B110__00080.1021,10.478630795079827,45.105667999999994,B110,_,00080,1021
B110__00090.1021,10.483892229221087,45.102610675,B110,_,00090,1021
B110__00080.1022,10.480493896669849,45.105071815,B110,_,00080,1022
B110__00090.1022,10.483814723313996,45.10258381,B110,_,00090,1022
B110__00090.1023,10.483739673409092,45.102564115,B110,_,00090,1023
B110__00080.1024,10.475805058736672,45.10668448,B110,_,00080,1024
B110__00090.1024,10.483713655824106,45.102606375,B110,_,00090,1024
B110__00080.1025,10.47602946128362,45.10697686,B110,_,00080,1025
B110__00090.1025,10.48378083713645,45.102521725,B110,_,00090,1025
B110__00090.1026,10.483581572076753,45.102585035,B110,_,00090,1026
B110__00080.1027,10.475526309276876,45.106995069999996,B110,_,00080,1027
B110__00090.1027,10.484674389792094,45.102039845,B110,_,00090,1027
B110__00080.1028,10.478558636955496,45.107370755000005,B110,_,00080,1028
B110__00080.1029,10.478399865663693,45.10719778,B110,_,00080,1029
B110__00090.1029,10.478476273862594,45.102540669999996,B110,_,00090,1029
B110__00010.103,10.502686855786784,45.12709127,B110,_,00010,103
B110__00150.103,10.492123694931307,45.09135084,B110,_,00150,103
B110__00140.103,10.481956945186264,45.091852814999996,B110,_,00140,103
B110__00130.103,10.463999275040898,45.09496695,B110,_,00130,103
B110__00110.103,10.50054100185869,45.101449540000004,B110,_,00110,103
B110__00100.103,10.485397719176692,45.105463279999995,B110,_,00100,103
B110__00090.103,10.480317862154791,45.10355953,B110,_,00090,103
B110__00080.103,10.48247492285055,45.106840070000004,B110,_,00080,103
B110__00060.103,10.480681216715597,45.110189629999994,B110,_,00060,103
B110__00050.103,10.508629981635796,45.11250651,B110,_,00050,103
B110__00040.103,10.501403468994184,45.11705731,B110,_,00040,103
B110__00030.103,10.47439171401918,45.11867023,B110,_,00030,103
B110__00020.103,10.459815869936902,45.110726395,B110,_,00020,103
B110__00090.1030,10.478511611131944,45.102749474999996,B110,_,00090,1030
B110__00080.1031,10.475580796211837,45.105143065,B110,_,00080,1031
B110__00080.1033,10.479292533442628,45.107541825,B110,_,00080,1033
B110__00080.1034,10.47996097872749,45.10753452,B110,_,00080,1034
B110__00080.1035,10.480337369027136,45.107269285,B110,_,00080,1035
B110__00080.1036,10.480531801185656,45.10732325,B110,_,00080,1036
B110__00080.1037,10.480525814850676,45.107242174999996,B110,_,00080,1037
B110__00090.1037,10.482863407763933,45.10139511,B110,_,00090,1037
B110__00080.1038,10.476236405203885,45.10587773,B110,_,00080,1038
B110__00080.1039,10.474488983006122,45.107324365,B110,_,00080,1039
B110__00090.1039,10.479416738081607,45.102404385,B110,_,00090,1039
B110__00010.104,10.483927546129332,45.124794165,B110,_,00010,104
B110__00160.104,10.477566455143602,45.080524675,B110,_,00160,104
B110__00140.104,10.484645485591525,45.0912984,B110,_,00140,104
B110__00130.104,10.46359913457437,45.09494523,B110,_,00130,104
B110__00120.104,10.502931728499243,45.09914429,B110,_,00120,104
B110__00110.104,10.500571243982723,45.1003118,B110,_,00110,104
B110__00100.104,10.485394499110823,45.105226169999995,B110,_,00100,104
B110__00090.104,10.48044488987921,45.10348629,B110,_,00090,104
B110__00080.104,10.482382278579971,45.106782960000004,B110,_,00080,104
B110__00050.104,10.509423957481676,45.11244165,B110,_,00050,104
B110__00040.104,10.503349799966966,45.12060023,B110,_,00040,104
B110__00030.104,10.474740881505003,45.119087995,B110,_,00030,104
B110__00020.104,10.460719915607342,45.111109315,B110,_,00020,104
B110__00080.1040,10.475376469270262,45.105684145,B110,_,00080,1040
B110__00090.1040,10.478128440248994,45.102916289999996,B110,_,00090,1040
B110__00090.1041,10.47813782910196,45.102779655000006,B110,_,00090,1041
B110__00080.1042,10.475754658557003,45.105649265,B110,_,00080,1042
B110__00090.1042,10.478169015421162,45.102712354999994,B110,_,00090,1042
B110__00090.1043,10.478216869678302,45.10261378,B110,_,00090,1043
B110__00080.1045,10.475823459068483,45.10536904,B110,_,00080,1045
B110__00080.1047,10.482801446971,45.10719818,B110,_,00080,1047
B110__00080.1048,10.47565346266867,45.105039695,B110,_,00080,1048
B110__00010.105,10.484274279399056,45.12469814,B110,_,00010,105
B110__00160.105,10.477385963291708,45.07995819,B110,_,00160,105
B110__00150.105,10.494488336449379,45.09082737,B110,_,00150,105
B110__00140.105,10.48753721513645,45.091246285,B110,_,00140,105
B110__00130.105,10.474285500963388,45.08572856,B110,_,00130,105
B110__00120.105,10.503504519647183,45.09951108,B110,_,00120,105
B110__00110.105,10.50104728757255,45.10135586,B110,_,00110,105
B110__00100.105,10.485615084051673,45.10537532,B110,_,00100,105
B110__00090.105,10.479656980104632,45.10119372,B110,_,00090,105
B110__00080.105,10.482509168472628,45.106745675,B110,_,00080,105
B110__00060.105,10.489076124594899,45.11381297,B110,_,00060,105
B110__00050.105,10.510047168510498,45.112920200000005,B110,_,00050,105
B110__00040.105,10.503697633324807,45.120035265,B110,_,00040,105
B110__00030.105,10.475273688129242,45.118971325000004,B110,_,00030,105
B110__00020.105,10.461899199339381,45.111897924999994,B110,_,00020,105
B110__00090.1050,10.479321316081124,45.103420835,B110,_,00090,1050
B110__00090.1051,10.478347178724892,45.103138935000004,B110,_,00090,1051
B110__00090.1052,10.47837694457591,45.103042615,B110,_,00090,1052
B110__00080.1053,10.475950512647788,45.105100539999995,B110,_,00080,1053
B110__00090.1053,10.478420342089242,45.102948305,B110,_,00090,1053
B110__00080.1054,10.475958505235894,45.105071484999996,B110,_,00080,1054
B110__00090.1054,10.481429896157964,45.10391515,B110,_,00090,1054
B110__00080.1055,10.475966188428021,45.105043565,B110,_,00080,1055
B110__00090.1055,10.48270956602286,45.103179589999996,B110,_,00090,1055
B110__00080.1056,10.475974881997924,45.10501198,B110,_,00080,1056
B110__00090.1056,10.480740956994822,45.101701925,B110,_,00090,1056
B110__00090.1057,10.48108521960921,45.1024429,B110,_,00090,1057
B110__00080.1058,10.478423599681467,45.10499342,B110,_,00080,1058
B110__00090.1058,10.481029294059727,45.102502404999996,B110,_,00090,1058
B110__00010.106,10.484484405459437,45.124630339999996,B110,_,00010,106
B110__00160.106,10.478847775437462,45.080606759999995,B110,_,00160,106
B110__00150.106,10.495117409531591,45.09156792,B110,_,00150,106
B110__00140.106,10.489076727975528,45.091839865,B110,_,00140,106
B110__00130.106,10.464752798800642,45.094620680000006,B110,_,00130,106
B110__00120.106,10.503877013138297,45.09981125,B110,_,00120,106
B110__00110.106,10.501264296616677,45.1013091,B110,_,00110,106
B110__00090.106,10.48058030332328,45.103303534999995,B110,_,00090,106
B110__00080.106,10.482293186346482,45.106655995,B110,_,00080,106
B110__00050.106,10.511783648022735,45.111868845000004,B110,_,00050,106
B110__00040.106,10.504557996637914,45.120275425,B110,_,00040,106
B110__00030.106,10.474603087051502,45.11804984,B110,_,00030,106
B110__00090.1060,10.48450390087908,45.10184423,B110,_,00090,1060
B110__00080.1061,10.479960343065184,45.104037309999995,B110,_,00080,1061
B110__00090.1061,10.484642725180574,45.10179242,B110,_,00090,1061
B110__00080.1062,10.480701004272202,45.104156855,B110,_,00080,1062
B110__00090.1062,10.484099140538863,45.10140004,B110,_,00090,1062
B110__00080.1063,10.480630054669644,45.10509064,B110,_,00080,1063
B110__00090.1063,10.484264618452874,45.101447425,B110,_,00090,1063
B110__00080.1064,10.482892583623634,45.106018995,B110,_,00080,1064
B110__00090.1064,10.484213247803357,45.101174345,B110,_,00090,1064
B110__00080.1065,10.48314050762534,45.10613549,B110,_,00080,1065
B110__00090.1065,10.482502200241498,45.104030705,B110,_,00090,1065
B110__00080.1066,10.478026903007477,45.105371500000004,B110,_,00080,1066
B110__00090.1066,10.480972296143495,45.102345279999994,B110,_,00090,1066
B110__00080.1067,10.483278236296194,45.106025665000004,B110,_,00080,1067
B110__00090.1067,10.484413612556024,45.103513425,B110,_,00090,1067
B110__00080.1068,10.477004913673312,45.104660115,B110,_,00080,1068
B110__00090.1068,10.484120640108069,45.100918594999996,B110,_,00090,1068
B110__00090.1069,10.483650527828281,45.101853840000004,B110,_,00090,1069
B110__00010.107,10.48522267384543,45.12442106,B110,_,00010,107
B110__00160.107,10.478640645182008,45.079935545,B110,_,00160,107
B110__00150.107,10.49593790626026,45.091036349999996,B110,_,00150,107
B110__00140.107,10.476820179939008,45.090221424999996,B110,_,00140,107
B110__00130.107,10.464145215736364,45.094457025,B110,_,00130,107
B110__00120.107,10.504328332303857,45.10077651,B110,_,00120,107
B110__00110.107,10.501550287039446,45.101242,B110,_,00110,107
B110__00090.107,10.480495184316695,45.10371119,B110,_,00090,107
B110__00080.107,10.482857167302726,45.10695192,B110,_,00080,107
B110__00050.107,10.514652098734844,45.112243955,B110,_,00050,107
B110__00040.107,10.504743896074743,45.119219924999996,B110,_,00040,107
B110__00030.107,10.475264009374484,45.118111850000005,B110,_,00030,107
B110__00020.107,10.460075518218595,45.109916745,B110,_,00020,107
B110__00090.1070,10.481657831794294,45.10188268,B110,_,00090,1070
B110__00080.1071,10.478484830812263,45.105476859999996,B110,_,00080,1071
B110__00090.1072,10.481750527502575,45.103515155,B110,_,00090,1072
B110__00090.1073,10.479008130073531,45.102660494999995,B110,_,00090,1073
B110__00090.1074,10.481908335118064,45.10156213,B110,_,00090,1074
B110__00090.1075,10.481848892408973,45.101600205,B110,_,00090,1075
B110__00080.1077,10.478581314577259,45.10512605,B110,_,00080,1077
B110__00080.1078,10.477290305134785,45.10569911,B110,_,00080,1078
B110__00010.108,10.486063447624879,45.12424647,B110,_,00010,108
B110__00160.108,10.4798332181454,45.080674125,B110,_,00160,108
B110__00150.108,10.496540840432429,45.0909527,B110,_,00150,108
B110__00140.108,10.477459191297331,45.089938995,B110,_,00140,108
B110__00130.108,10.464307580508564,45.09323071,B110,_,00130,108
B110__00120.108,10.504303785410947,45.09967782,B110,_,00120,108
B110__00110.108,10.50100963642885,45.100359675,B110,_,00110,108
B110__00090.108,10.480545457296822,45.103796325000005,B110,_,00090,108
B110__00080.108,10.482767581727458,45.106913289999994,B110,_,00080,108
B110__00070.108,10.470673013808648,45.104133155,B110,_,00070,108
B110__00060.108,10.48629472910774,45.108128570000005,B110,_,00060,108
B110__00050.108,10.516619594298929,45.11217962,B110,_,00050,108
B110__00040.108,10.504835880657176,45.118691225,B110,_,00040,108
B110__00030.108,10.47556505672608,45.11824017,B110,_,00030,108
B110__00020.108,10.460824118344338,45.109657895,B110,_,00020,108
B110__00090.1080,10.480754306042094,45.10209794,B110,_,00090,1080
B110__00080.1081,10.479503393001863,45.10527696,B110,_,00080,1081
B110__00080.1082,10.478422562662484,45.104169655,B110,_,00080,1082
B110__00090.1082,10.480869281245859,45.10187732,B110,_,00090,1082
B110__00080.1083,10.478299062858605,45.104620374999996,B110,_,00080,1083
B110__00090.1083,10.483259218630645,45.10165392,B110,_,00090,1083
B110__00080.1084,10.481263439319624,45.10574563,B110,_,00080,1084
B110__00090.1084,10.48001510380664,45.10243944,B110,_,00090,1084
B110__00080.1085,10.482796416297123,45.105243735,B110,_,00080,1085
B110__00090.1087,10.481438651809619,45.101224255,B110,_,00090,1087
B110__00080.1088,10.473993203014857,45.10745709,B110,_,00080,1088
B110__00090.1088,10.48027325043698,45.102414615,B110,_,00090,1088
B110__00080.1089,10.47375945029032,45.107432970000005,B110,_,00080,1089
B110__00010.109,10.486364296881682,45.12410425,B110,_,00010,109
B110__00160.109,10.47963150976244,45.080096925,B110,_,00160,109
B110__00150.109,10.497833065640318,45.091016115,B110,_,00150,109
B110__00140.109,10.477208321552915,45.09063957,B110,_,00140,109
B110__00130.109,10.466187470571287,45.09523734,B110,_,00130,109
B110__00120.109,10.508490348075203,45.095309825,B110,_,00120,109
B110__00110.109,10.484722310912955,45.1001785,B110,_,00110,109
B110__00090.109,10.480614712493754,45.10365678,B110,_,00090,109
B110__00080.109,10.482887648250518,45.10687617,B110,_,00080,109
B110__00050.109,10.517148786502586,45.112833515,B110,_,00050,109
B110__00040.109,10.505520351942097,45.118174870000004,B110,_,00040,109
B110__00020.109,10.460794334806211,45.10933693,B110,_,00020,109
