nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B169__00020.1,16.01680721930146,38.72559549,B169,_,00020,1
B169__00310.1,15.977540568306647,38.674250725,B169,_,00310,1
B169__00300.1,15.99824051587039,38.68045721,B169,_,00300,1
B169__00290.1,15.986217393310163,38.680578945,B169,_,00290,1
B169__00280.1,15.984816493807452,38.679635184999995,B169,_,00280,1
B169__0026.1,15.985235388886576,38.683487105,B169,_,0026,1
B169__00250.1,16.03096504271354,38.69094024,B169,_,00250,1
B169__00240.1,16.01471804319326,38.702910095,B169,_,00240,1
B169__00230.1,16.00519209318073,38.69902020000001,B169,_,00230,1
B169__00220.1,15.990926092226553,38.695597565,B169,_,00220,1
B169__00210.1,16.056730068089827,38.709540405,B169,_,00210,1
B169__00190.1,16.045770610188715,38.70225155,B169,_,00190,1
B169__00180.1,16.035029650252817,38.70012155,B169,_,00180,1
B169__00170.1,16.021112008247137,38.703218629999995,B169,_,00170,1
B169__00150.1,15.999310069633538,38.707506155,B169,_,00150,1
B169__00140.1,16.043803881105422,38.719807575,B169,_,00140,1
B169__00130.1,16.03339998430155,38.717136815,B169,_,00130,1
B169__00110.1,16.026871172632333,38.716598555000004,B169,_,00110,1
B169__00100.1,16.016201623703594,38.718532395,B169,_,00100,1
B169__00090.1,16.007059565746083,38.705344905000004,B169,_,00090,1
B169__00080.1,15.998983352634426,38.72382462,B169,_,00080,1
B169__00070.1,16.0692763893662,38.72001872,B169,_,00070,1
B169__00050.1,16.03692388485798,38.72714021,B169,_,00050,1
B169__00030.1,16.034197415338653,38.727432234999995,B169,_,00030,1
B169__00020.10,16.017985056825253,38.72459459,B169,_,00020,10
B169__00310.10,15.978273858571395,38.673535815,B169,_,00310,10
B169__00300.10,16.000337690632406,38.67986791,B169,_,00300,10
B169__00290.10,15.987953199188844,38.680788845,B169,_,00290,10
B169__00280.10,15.98304088380523,38.677955795,B169,_,00280,10
B169__00270.10,15.996409515039634,38.68853494,B169,_,00270,10
B169__0026.10,15.984649340540763,38.683333114999996,B169,_,0026,10
B169__00240.10,16.017508982223887,38.701851655,B169,_,00240,10
B169__00220.10,15.995390641025079,38.69498581,B169,_,00220,10
B169__00210.10,16.06282135450386,38.70711458,B169,_,00210,10
B169__00200.10,16.057173145793307,38.711283955,B169,_,00200,10
B169__00190.10,16.04557695905448,38.701848835,B169,_,00190,10
B169__00180.10,16.0346579149487,38.699730405,B169,_,00180,10
B169__00170.10,16.028444589387487,38.70222819,B169,_,00170,10
B169__00160.10,16.016042000214675,38.707107179999994,B169,_,00160,10
B169__00150.10,16.001399235893658,38.70704528,B169,_,00150,10
B169__00140.10,16.04653961726692,38.714425695,B169,_,00140,10
B169__00130.10,16.04000847099477,38.717011735,B169,_,00130,10
B169__00110.10,16.028617916711497,38.715945885,B169,_,00110,10
B169__00090.10,16.004697593545135,38.71343895,B169,_,00090,10
B169__00080.10,15.997054174616185,38.722616025,B169,_,00080,10
B169__00070.10,16.07248105304955,38.719314735,B169,_,00070,10
B169__00060.10,16.05107602927805,38.723241965,B169,_,00060,10
B169__00010.100,16.013036306899963,38.72067653,B169,_,00010,100
B169__00310.100,15.974761799510922,38.670317475000004,B169,_,00310,100
B169__00300.100,15.999144220193084,38.66916881,B169,_,00300,100
B169__00290.100,15.995585145552088,38.678077335,B169,_,00290,100
B169__00280.100,15.979982722917434,38.6744884,B169,_,00280,100
B169__00270.100,15.996569365463113,38.685873990000005,B169,_,00270,100
B169__00250.100,16.029000457662047,38.695181399999996,B169,_,00250,100
B169__00240.100,16.020981963500653,38.695074524999995,B169,_,00240,100
B169__00230.100,16.008859592075673,38.694718615,B169,_,00230,100
B169__00220.100,15.994636619037134,38.69098194,B169,_,00220,100
B169__00210.100,16.065485038360244,38.707360390000005,B169,_,00210,100
B169__00200.100,16.06098986956441,38.707776554999995,B169,_,00200,100
B169__00180.100,16.034589733648748,38.69825662,B169,_,00180,100
B169__00170.100,16.029451344770653,38.700198424999996,B169,_,00170,100
B169__00150.100,16.002052697988013,38.705504559999994,B169,_,00150,100
B169__00140.100,16.05972380928434,38.713898055,B169,_,00140,100
B169__00120.100,16.03152050989341,38.713664025,B169,_,00120,100
B169__00110.100,16.02708823338132,38.71178215,B169,_,00110,100
B169__00100.100,16.019024276269327,38.71372759,B169,_,00100,100
B169__00090.100,16.003223489348656,38.709151495,B169,_,00090,100
B169__00080.100,16.00117426814341,38.714648305,B169,_,00080,100
B169__00060.100,16.051662983557613,38.719463495,B169,_,00060,100
B169__00040.100,16.027249991633997,38.717755055,B169,_,00040,100
B169__00020.1000,16.023370244624424,38.719406405,B169,_,00020,1000
B169__00250.1000,16.03529801131515,38.694054495,B169,_,00250,1000
B169__00040.1000,16.028748935700868,38.72216876,B169,_,00040,1000
B169__00030.1000,16.031332703463093,38.7251064,B169,_,00030,1000
B169__00160.10000,16.00387409682991,38.702871525,B169,_,00160,10000
B169__00020.1001,16.023410620546414,38.719334794999995,B169,_,00020,1001
B169__00250.1001,16.03459278316228,38.694806875,B169,_,00250,1001
B169__00190.1001,16.04833074986435,38.6984126,B169,_,00190,1001
B169__00040.1001,16.028976846088298,38.722203719999996,B169,_,00040,1001
B169__00030.1001,16.03136752296011,38.725059955,B169,_,00030,1001
B169__00020.1002,16.02368344106034,38.71911937,B169,_,00020,1002
B169__00250.1002,16.034434188609005,38.694530005000004,B169,_,00250,1002
B169__00040.1002,16.029151796601603,38.722203719999996,B169,_,00040,1002
B169__00030.1002,16.031334644487792,38.72505411,B169,_,00030,1002
B169__00020.1003,16.02363406807021,38.719210315,B169,_,00020,1003
B169__00250.1003,16.034190859538526,38.69399093,B169,_,00250,1003
B169__00040.1003,16.029294662566684,38.722183,B169,_,00040,1003
B169__00020.1004,16.023523463591662,38.719197335000004,B169,_,00020,1004
B169__00190.1004,16.04509756907499,38.702846965,B169,_,00190,1004
B169__00040.1004,16.02482481359153,38.718550095,B169,_,00040,1004
B169__00030.1004,16.03139131447226,38.725271140000004,B169,_,00030,1004
B169__00020.1005,16.0235302515859,38.71911937,B169,_,00020,1005
B169__00250.1005,16.033549199154617,38.693860925,B169,_,00250,1005
B169__00190.1005,16.051753794007986,38.709960525,B169,_,00190,1005
B169__00040.1005,16.032462087243406,38.71986624,B169,_,00040,1005
B169__00030.1005,16.031402075633054,38.725211865,B169,_,00030,1005
B169__00020.1006,16.023575698263183,38.719037165,B169,_,00020,1006
B169__00190.1006,16.051626600944765,38.71026624,B169,_,00190,1006
B169__00040.1006,16.0292154265734,38.7169617,B169,_,00040,1006
B169__00030.1006,16.03140999383622,38.725177540000004,B169,_,00030,1006
B169__00020.1007,16.023578649603046,38.71895629,B169,_,00020,1007
B169__00190.1007,16.05187018229388,38.71039865,B169,_,00190,1007
B169__00040.1007,16.029320452058535,38.71744622,B169,_,00040,1007
B169__00020.1008,16.02383755635396,38.718852465,B169,_,00020,1008
B169__00190.1008,16.04707883175542,38.702526065,B169,_,00190,1008
B169__00040.1009,16.029281283865956,38.717257555,B169,_,00040,1009
B169__00190.1009,16.050095004893002,38.710705364999995,B169,_,00190,1009
B169__00010.101,16.014080373062782,38.721722830000004,B169,_,00010,101
B169__00310.101,15.975021186073208,38.67035518,B169,_,00310,101
B169__00300.101,15.999488889738949,38.669096249999996,B169,_,00300,101
B169__00290.101,15.994982760049108,38.677863814999995,B169,_,00290,101
B169__00280.101,15.979202026323952,38.67388562,B169,_,00280,101
B169__00270.101,15.997430776499343,38.686256834999995,B169,_,00270,101
B169__00260.101,15.986634630478132,38.68858335,B169,_,00260,101
B169__00250.101,16.0296598279634,38.696204945000005,B169,_,00250,101
