nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B179__00010.1,9.025756528897475,44.833382445,B179,_,00010,1
B179__00180.1,9.033642870376287,44.796473735000006,B179,_,00180,1
B179__00170.1,9.05882741472465,44.801807839999995,B179,_,00170,1
B179__00160.1,9.0553658258522,44.808270140000005,B179,_,00160,1
B179__00150.1,9.048562094037468,44.80692545,B179,_,00150,1
B179__00140.1,9.04388125498339,44.805270865,B179,_,00140,1
B179__00130.1,9.015458318752255,44.802269005,B179,_,00130,1
B179__00120.1,9.036499793506735,44.810035835,B179,_,00120,1
B179__00110.1,9.015800702707244,44.80926513,B179,_,00110,1
B179__00100.1,9.061120631635212,44.821336115,B179,_,00100,1
B179__00090.1,9.045574275721513,44.81328146,B179,_,00090,1
B179__00080.1,9.037535167067338,44.81404152,B179,_,00080,1
B179__00060.1,9.064286623042973,44.829721185,B179,_,00060,1
B179__00050.1,9.053997517608163,44.828109935,B179,_,00050,1
B179__00030.1,9.027907411979125,44.821643365,B179,_,00030,1
B179__00020.1,9.033309077969715,44.827474165,B179,_,00020,1
B179__00020.10,9.037972269834075,44.82965739,B179,_,00020,10
B179__00190.10,9.048448485657651,44.800922830000005,B179,_,00190,10
B179__00180.10,9.03725635491287,44.79673525,B179,_,00180,10
B179__00170.10,9.05823992571896,44.800457030000004,B179,_,00170,10
B179__00160.10,9.058189384119558,44.80838663,B179,_,00160,10
B179__00150.10,9.05078377395958,44.80668896,B179,_,00150,10
B179__00140.10,9.046834333758028,44.80532548,B179,_,00140,10
B179__00130.10,9.017121812582031,44.802021069999995,B179,_,00130,10
B179__00120.10,9.034887874371844,44.808653165,B179,_,00120,10
B179__00110.10,9.020868126854785,44.809035375,B179,_,00110,10
B179__00100.10,9.062482876406722,44.821159370000004,B179,_,00100,10
B179__00080.10,9.039437086569123,44.813702879999994,B179,_,00080,10
B179__00070.10,9.02926274444697,44.81511794,B179,_,00070,10
B179__00060.10,9.065674560756214,44.82848758,B179,_,00060,10
B179__00050.10,9.05320310897812,44.826793984999995,B179,_,00050,10
B179__00040.10,9.041575952919352,44.823795000000004,B179,_,00040,10
B179__00030.10,9.029408828781133,44.821766554999996,B179,_,00030,10
B179__00020.100,9.039972753034089,44.823858154999996,B179,_,00020,100
B179__00180.100,9.031878030744002,44.791771665,B179,_,00180,100
B179__00170.100,9.062209907450942,44.799040125,B179,_,00170,100
B179__00160.100,9.064881933602173,44.804487765000005,B179,_,00160,100
B179__00150.100,9.052544107379628,44.80393612,B179,_,00150,100
B179__00140.100,9.039202756741549,44.80105628,B179,_,00140,100
B179__00130.100,9.024182422323731,44.796443795,B179,_,00130,100
B179__00120.100,9.039492757629208,44.80488372,B179,_,00120,100
B179__00100.100,9.063393036279981,44.818043365,B179,_,00100,100
B179__00090.100,9.043815667461304,44.811545525,B179,_,00090,100
B179__00080.100,9.040606883065909,44.813611640000005,B179,_,00080,100
B179__00070.100,9.02386043070584,44.81343943,B179,_,00070,100
B179__00060.100,9.07255729713342,44.82836475,B179,_,00060,100
B179__00050.100,9.058362751547062,44.82244059,B179,_,00050,100
B179__00040.100,9.039330143153553,44.81826565,B179,_,00040,100
B179__00010.101,9.023886500394527,44.827002755,B179,_,00010,101
B179__00190.101,9.052663729650874,44.7950649,B179,_,00190,101
B179__00180.101,9.031907434133263,44.792305425,B179,_,00180,101
B179__00170.101,9.061576591346565,44.798674165,B179,_,00170,101
B179__00160.101,9.06659820432966,44.80619704,B179,_,00160,101
B179__00150.101,9.052917721783508,44.803879595,B179,_,00150,101
B179__00140.101,9.039501983811238,44.80083663,B179,_,00140,101
B179__00130.101,9.024709868351703,44.797751829999996,B179,_,00130,101
B179__00120.101,9.040009509115114,44.805064145,B179,_,00120,101
B179__00110.101,9.030110173218478,44.807597295,B179,_,00110,101
B179__00100.101,9.063185387946653,44.817702839999995,B179,_,00100,101
B179__00090.101,9.045074160642562,44.811548515,B179,_,00090,101
B179__00080.101,9.040635507553612,44.813564445,B179,_,00080,101
B179__00070.101,9.025973101944947,44.813728145,B179,_,00070,101
B179__00060.101,9.062756210394532,44.8267522,B179,_,00060,101
B179__00050.101,9.058789411850029,44.82241109,B179,_,00050,101
B179__00040.101,9.03975556249883,44.8183126,B179,_,00040,101
B179__00030.101,9.021287618424282,44.817337135,B179,_,00030,101
B179__00020.101,9.041321454835288,44.82396068,B179,_,00020,101
B179__00010.102,9.023990510738532,44.82701073,B179,_,00010,102
B179__00190.102,9.043629156890091,44.792456875,B179,_,00190,102
B179__00180.102,9.032061275737465,44.792115075,B179,_,00180,102
B179__00170.102,9.061979112060165,44.798644295,B179,_,00170,102
B179__00160.102,9.067142158692235,44.805219519999994,B179,_,00160,102
B179__00150.102,9.053265192854887,44.803458535000004,B179,_,00150,102
B179__00140.102,9.041131423708991,44.801572655,B179,_,00140,102
B179__00130.102,9.02482538802669,44.797890865,B179,_,00130,102
B179__00120.102,9.040340655200804,44.805994755,B179,_,00120,102
B179__00100.102,9.063140116104831,44.817541625000004,B179,_,00100,102
B179__00090.102,9.04444208550561,44.81057544,B179,_,00090,102
B179__00070.102,9.024928527733138,44.81365253,B179,_,00070,102
B179__00060.102,9.06357073767889,44.82700889,B179,_,00060,102
B179__00050.102,9.059565464470435,44.822809575,B179,_,00050,102
B179__00040.102,9.039220963348123,44.81782449,B179,_,00040,102
B179__00030.102,9.020514955028649,44.816904105,B179,_,00030,102
B179__00020.102,9.041590479047585,44.82426604,B179,_,00020,102
B179__00010.103,9.024245737590533,44.827228175,B179,_,00010,103
B179__00190.103,9.043342488204358,44.791880155,B179,_,00190,103
B179__00180.103,9.031896660143872,44.792010035,B179,_,00180,103
B179__00170.103,9.062197367698277,44.79861048,B179,_,00170,103
B179__00160.103,9.066323860510366,44.804255935,B179,_,00160,103
B179__00150.103,9.053843646056373,44.80347045,B179,_,00150,103
B179__00140.103,9.042379575441487,44.80165687,B179,_,00140,103
B179__00130.103,9.02470160878398,44.797537785,B179,_,00130,103
B179__00120.103,9.04091374547092,44.80620372,B179,_,00120,103
B179__00110.103,9.03031089087044,44.807459095,B179,_,00110,103
B179__00100.103,9.063009503469381,44.81717538,B179,_,00100,103
B179__00090.103,9.045697571731434,44.810805675,B179,_,00090,103
B179__00080.103,9.037665008935104,44.812693385,B179,_,00080,103
B179__00070.103,9.025682619988153,44.813559465,B179,_,00070,103
B179__00060.103,9.063668742885566,44.826904275000004,B179,_,00060,103
B179__00050.103,9.059266717044625,44.82226124,B179,_,00050,103
B179__00040.103,9.039910391643293,44.81782791,B179,_,00040,103
B179__00030.103,9.021487508613035,44.817105839999996,B179,_,00030,103
B179__00020.103,9.042326791617723,44.826430005,B179,_,00020,103
