nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B182__0906.1,8.79042258947264,45.88882539,B182,_,0906,1
B182__0906.10,8.791226080281097,45.889191485,B182,_,0906,10
B182__0906.100,8.789997813442474,45.88949336,B182,_,0906,100
B182__09120.1000,8.788723489893876,45.87280713,B182,_,09120,1000
B182__09120.1001,8.788782800785036,45.872280475,B182,_,09120,1001
B182__09100.1002,8.790676770065144,45.876389145,B182,_,09100,1002
B182__09100.1003,8.791026351944037,45.87784255,B182,_,09100,1003
B182__09100.1004,8.79110214116329,45.878169695,B182,_,09100,1004
B182__09100.1005,8.791433367546881,45.878217164999995,B182,_,09100,1005
B182__09100.1006,8.790178446858455,45.87853526,B182,_,09100,1006
B182__09100.1007,8.789411742832407,45.878918535,B182,_,09100,1007
B182__09100.1008,8.790046318266697,45.879050705,B182,_,09100,1008
B182__09100.1009,8.789683452084297,45.879779549999995,B182,_,09100,1009
B182__09100.1010,8.78930440952369,45.87953098,B182,_,09100,1010
B182__09060.1011,8.79335500396851,45.885739175,B182,_,09060,1011
B182__09100.1012,8.788968162054207,45.880271315,B182,_,09100,1012
B182__09100.1013,8.788831758244338,45.881249135000004,B182,_,09100,1013
B182__09060.1014,8.789043204470687,45.88235535,B182,_,09060,1014
B182__09100.1015,8.789206774699464,45.880626265000004,B182,_,09100,1015
B182__09100.1016,8.789313838752628,45.880930594999995,B182,_,09100,1016
B182__09100.1017,8.789523322300914,45.880970399999995,B182,_,09100,1017
B182__09100.1018,8.789868336873568,45.881084305,B182,_,09100,1018
B182__09100.1019,8.790150329624577,45.880525065,B182,_,09100,1019
B182__0906.102,8.790873415813623,45.889580145,B182,_,0906,102
B182__09100.1020,8.790321865973691,45.8802481,B182,_,09100,1020
B182__09100.1021,8.790314007789082,45.879563645000005,B182,_,09100,1021
B182__09100.1022,8.791116051904055,45.880072195,B182,_,09100,1022
B182__09100.1023,8.790619393134124,45.879244415,B182,_,09100,1023
B182__09100.1024,8.79149943746425,45.878576125,B182,_,09100,1024
B182__09100.1025,8.791977097947765,45.879470854999994,B182,_,09100,1025
B182__09100.1026,8.79259543806145,45.87863601,B182,_,09100,1026
B182__09100.1027,8.792720296008758,45.8787526,B182,_,09100,1027
B182__09100.1028,8.79282243026067,45.878850119999996,B182,_,09100,1028
B182__0906.103,8.789996252291207,45.889590325,B182,_,0906,103
B182__09100.1030,8.792905291928472,45.878966465000005,B182,_,09100,1030
B182__09100.1031,8.793137067513342,45.878645885,B182,_,09100,1031
B182__09100.1032,8.793203609685145,45.87870066,B182,_,09100,1032
B182__09100.1033,8.792833255421282,45.87933863,B182,_,09100,1033
B182__09100.1034,8.793152025242144,45.879141755,B182,_,09100,1034
B182__09100.1035,8.793690017263167,45.879002845,B182,_,09100,1035
B182__09100.1036,8.793264627278305,45.879658145,B182,_,09100,1036
B182__09100.1037,8.79249549677848,45.87967095,B182,_,09100,1037
B182__09100.1038,8.792449806841947,45.879783895,B182,_,09100,1038
B182__09100.1039,8.792394371433723,45.879888019999996,B182,_,09100,1039
B182__09100.1040,8.792276519670018,45.879970645,B182,_,09100,1040
B182__09100.1041,8.79297407168641,45.880098815,B182,_,09100,1041
B182__09100.1042,8.792701693341165,45.880653145,B182,_,09100,1042
B182__09100.1043,8.792260517839878,45.88050597,B182,_,09100,1043
B182__09100.1044,8.79182845465873,45.880462565,B182,_,09100,1044
B182__09100.1045,8.791158360730584,45.880853565,B182,_,09100,1045
B182__09100.1046,8.791865205093892,45.881015155,B182,_,09100,1046
B182__09100.1047,8.79245503384778,45.881133175,B182,_,09100,1047
B182__09100.1048,8.790539591098605,45.88129281,B182,_,09100,1048
B182__09100.1049,8.790353450014052,45.881678035,B182,_,09100,1049
B182__09100.1050,8.79114711264523,45.881788854999996,B182,_,09100,1050
