nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B216__00010.1,7.4632280100013455,45.026825869999996,B216,_,00010,1
B216__00100.1,7.4632227836605125,45.00474124,B216,_,00100,1
B216__00090.1,7.462397376984365,45.004757749999996,B216,_,00090,1
B216__00080.1,7.465805159312309,45.014865185000005,B216,_,00080,1
B216__00070.1,7.476401590175586,45.011558525,B216,_,00070,1
B216__00060.1,7.476987758510348,45.019925375,B216,_,00060,1
B216__00050.1,7.46963195545919,45.01985782,B216,_,00050,1
B216__00020.1,7.477874559431608,45.025831145,B216,_,00020,1
B216__00020.10,7.478824992796702,45.025585219999996,B216,_,00020,10
B216__00100.10,7.463602560358649,45.00403526,B216,_,00100,10
B216__00090.10,7.46112062289364,45.007335685,B216,_,00090,10
B216__00080.10,7.46938928450138,45.015427994999996,B216,_,00080,10
B216__00040.10,7.465377603457151,45.020019770000005,B216,_,00040,10
B216__00030.10,7.4669359521913625,45.022663255,B216,_,00030,10
B216__00010.100,7.475820578083608,45.02123621,B216,_,00010,100
B216__00100.100,7.466612800071471,45.00069695,B216,_,00100,100
B216__00090.100,7.464343182826328,45.01410305500001,B216,_,00090,100
B216__00080.100,7.4699080078260796,45.009216465,B216,_,00080,100
B216__00060.100,7.478958160334701,45.013902445,B216,_,00060,100
B216__00040.100,7.46467112318345,45.017284090000004,B216,_,00040,100
B216__00030.100,7.468042980908373,45.020472745000006,B216,_,00030,100
B216__00020.100,7.481330018114785,45.025323924999995,B216,_,00020,100
B216__00020.1000,7.477394319520373,45.02435018,B216,_,00020,1000
B216__00040.1000,7.465474006117173,45.0173121,B216,_,00040,1000
B216__00010.1001,7.476221501760635,45.021611675,B216,_,00010,1001
B216__00020.1001,7.477211011235471,45.02421073,B216,_,00020,1001
B216__00020.1002,7.484798415748248,45.020199555000005,B216,_,00020,1002
B216__00020.1003,7.487306030358354,45.019717135,B216,_,00020,1003
B216__00010.1004,7.466432305338243,45.02094076,B216,_,00010,1004
B216__00040.1004,7.465411365575061,45.01717664,B216,_,00040,1004
B216__00010.1005,7.4673375101947235,45.02602012,B216,_,00010,1005
B216__00040.1005,7.465507152970547,45.017325905,B216,_,00040,1005
B216__00020.1005,7.487267553494397,45.01967338,B216,_,00020,1005
B216__00010.1006,7.463396163056146,45.02156988,B216,_,00010,1006
B216__00040.1006,7.465565350719055,45.017363605,B216,_,00040,1006
B216__00010.1007,7.4758876886753125,45.021416335,B216,_,00010,1007
B216__00010.101,7.474752754775799,45.021015614999996,B216,_,00010,101
B216__00090.101,7.463812386999407,45.01469599,B216,_,00090,101
B216__00080.101,7.470230904465411,45.00913088,B216,_,00080,101
B216__00060.101,7.479265295836262,45.014208159999995,B216,_,00060,101
B216__00040.101,7.465076788551546,45.01594816,B216,_,00040,101
B216__00020.101,7.482265523230964,45.024640515,B216,_,00020,101
B216__00010.1010,7.4757917894123604,45.02151251,B216,_,00010,1010
B216__00010.1011,7.475398256107107,45.0214216,B216,_,00010,1011
B216__00010.1012,7.475128612872105,45.02135826,B216,_,00010,1012
B216__00010.1013,7.475481714851851,45.021320315,B216,_,00010,1013
B216__00040.1013,7.465852620504663,45.01885647,B216,_,00040,1013
B216__00010.1014,7.475168518951132,45.0212589,B216,_,00010,1014
B216__00040.1014,7.4674132359114225,45.019702179999996,B216,_,00040,1014
B216__00020.1014,7.488606349000918,45.01973911,B216,_,00020,1014
B216__00020.1015,7.48661597096091,45.02051881,B216,_,00020,1015
B216__00020.1016,7.488435109059546,45.020723625,B216,_,00020,1016
B216__00010.1018,7.463090787623683,45.02129803,B216,_,00010,1018
B216__00040.1018,7.470010674311219,45.018652405,B216,_,00040,1018
B216__00010.1019,7.463744638648393,45.02187107,B216,_,00010,1019
B216__00040.1019,7.469650307442328,45.01885182,B216,_,00040,1019
B216__00010.102,7.474719178612966,45.020902905,B216,_,00010,102
B216__00110.102,7.484133346474758,45.007529565,B216,_,00110,102
B216__00100.102,7.46661959340323,45.000223025,B216,_,00100,102
B216__00090.102,7.463962639895138,45.01533851,B216,_,00090,102
B216__00070.102,7.484855640992138,45.013369305,B216,_,00070,102
B216__00060.102,7.4794864743589,45.01465435,B216,_,00060,102
B216__00020.102,7.4822010125133716,45.02534494,B216,_,00020,102
B216__00020.1020,7.487809899184116,45.02117129,B216,_,00020,1020
B216__00040.1020,7.469898300771893,45.018682725000005,B216,_,00040,1020
B216__00010.1022,7.47415354394772,45.02163591,B216,_,00010,1022
B216__00020.1022,7.487711432172437,45.021086675,B216,_,00020,1022
B216__00010.1023,7.474176201364368,45.02152371,B216,_,00010,1023
B216__00010.1024,7.472217516751687,45.02088002,B216,_,00010,1024
B216__00020.1024,7.488383163535371,45.020894935,B216,_,00020,1024
B216__00010.1025,7.464208455567537,45.021332875,B216,_,00010,1025
B216__00020.1025,7.488369254223107,45.02079751,B216,_,00020,1025
B216__00010.1027,7.4759447378870965,45.021908440000004,B216,_,00010,1027
B216__00010.1028,7.474168937973694,45.021342985000004,B216,_,00010,1028
B216__00010.103,7.476023995940768,45.02112973,B216,_,00010,103
B216__00100.103,7.466492348672064,45.00002397,B216,_,00100,103
B216__00090.103,7.464714208282949,45.010430595,B216,_,00090,103
B216__00080.103,7.4683155778635335,45.007923,B216,_,00080,103
B216__00060.103,7.479925946132428,45.01474751,B216,_,00060,103
B216__00050.103,7.4754138140116035,45.011829425,B216,_,00050,103
B216__00030.103,7.467946452593714,45.02032633,B216,_,00030,103
B216__00020.103,7.481653061615496,45.025534,B216,_,00020,103
B216__00020.1031,7.488975810516922,45.02052576,B216,_,00020,1031
B216__00020.1035,7.487255621529737,45.019621674999996,B216,_,00020,1035
B216__00020.1037,7.487206527987076,45.019585515,B216,_,00020,1037
B216__00010.104,7.47593111007561,45.020993475,B216,_,00010,104
B216__00100.104,7.466387432227079,44.99984171,B216,_,00100,104
B216__00090.104,7.465308364344185,45.015178495,B216,_,00090,104
B216__00080.104,7.468407733922488,45.007778845,B216,_,00080,104
B216__00050.104,7.474490710269832,45.011775185000005,B216,_,00050,104
B216__00040.104,7.467425459413083,45.017688765,B216,_,00040,104
B216__00030.104,7.467996472890907,45.020228724999996,B216,_,00030,104
B216__00020.104,7.482537484932898,45.025113215,B216,_,00020,104
B216__00020.1040,7.487399275200802,45.019449879999996,B216,_,00020,1040
B216__00020.1042,7.487312055010593,45.01943336,B216,_,00020,1042
B216__00020.1043,7.486622218761845,45.019733165,B216,_,00020,1043
B216__00020.1047,7.486581741528468,45.019643455,B216,_,00020,1047
B216__00010.105,7.474747954127912,45.02078951,B216,_,00010,105
B216__00110.105,7.484338051357909,45.00665429,B216,_,00110,105
B216__00100.105,7.465264031823349,44.999970489999995,B216,_,00100,105
B216__00090.105,7.464246029606011,45.01362897,B216,_,00090,105
B216__00080.105,7.468565890232289,45.00769827,B216,_,00080,105
B216__00060.105,7.478485547017955,45.01583323,B216,_,00060,105
B216__00050.105,7.47475627518741,45.011770424999995,B216,_,00050,105
B216__00030.105,7.467676311874311,45.02032584,B216,_,00030,105
B216__00020.105,7.477721680324533,45.02075286,B216,_,00020,105
B216__00010.106,7.474630135762064,45.020419035,B216,_,00010,106
B216__00100.106,7.474401892288454,45.006532565,B216,_,00100,106
B216__00090.106,7.463751878435994,45.013464015,B216,_,00090,106
B216__00080.106,7.470527089339917,45.008331185,B216,_,00080,106
B216__00050.106,7.474194162125999,45.0116793,B216,_,00050,106
B216__00030.106,7.467431067377049,45.020216225,B216,_,00030,106
B216__00010.107,7.474223225733307,45.02070115,B216,_,00010,107
B216__00100.107,7.47490874091599,45.00648921,B216,_,00100,107
B216__00090.107,7.4632417081989395,45.014474074999995,B216,_,00090,107
B216__00060.107,7.479384339297624,45.016909244999994,B216,_,00060,107
B216__00020.107,7.478404201341064,45.020394995000004,B216,_,00020,107
B216__00020.1074,7.487376399530721,45.01975153,B216,_,00020,1074
B216__00020.1079,7.488822464516276,45.01978784,B216,_,00020,1079
B216__00010.108,7.4736732896692795,45.01998437,B216,_,00010,108
B216__00110.108,7.489172711570486,45.00550642,B216,_,00110,108
B216__00090.108,7.464805199318642,45.013883335,B216,_,00090,108
B216__00080.108,7.4744935227150915,45.00793134,B216,_,00080,108
B216__00070.108,7.486930951189294,45.01117823,B216,_,00070,108
B216__00050.108,7.474654800382799,45.012350205000004,B216,_,00050,108
B216__00030.108,7.46712157952814,45.02019466,B216,_,00030,108
B216__00020.108,7.482537893969811,45.018543335000004,B216,_,00020,108
B216__00020.1086,7.487457853053912,45.020390109999994,B216,_,00020,1086
B216__00020.1088,7.4878832714077115,45.020467575,B216,_,00020,1088
B216__00010.109,7.474397628613987,45.020056115,B216,_,00010,109
B216__00110.109,7.4837618467264395,45.00637025,B216,_,00110,109
B216__00090.109,7.4614065417860544,45.005864515,B216,_,00090,109
B216__00060.109,7.479957728572479,45.01361948,B216,_,00060,109
B216__00050.109,7.474277675278094,45.01174197,B216,_,00050,109
B216__00040.109,7.467744641903871,45.01633461,B216,_,00040,109
B216__00030.109,7.466801132402754,45.019955845,B216,_,00030,109
B216__00020.109,7.483369680878724,45.019120755,B216,_,00020,109
B216__00020.1093,7.4886564888358045,45.020095395,B216,_,00020,1093
B216__00020.1094,7.488037956178385,45.02044492,B216,_,00020,1094
B216__00020.1095,7.487360544623694,45.020755405,B216,_,00020,1095
B216__00020.1098,7.488220079881832,45.02040288,B216,_,00020,1098
B216__00020.1099,7.488061602268088,45.020452145,B216,_,00020,1099
B216__00010.11,7.467231274897257,45.026277285000006,B216,_,00010,11
B216__00110.11,7.483002691680369,45.007225905,B216,_,00110,11
B216__00100.11,7.463546014337165,45.00452632,B216,_,00100,11
B216__00090.11,7.460949833610364,45.007634965,B216,_,00090,11
B216__00040.11,7.466315827905516,45.01940641,B216,_,00040,11
B216__00030.11,7.467183480896642,45.02270291,B216,_,00030,11
B216__00020.11,7.477753570582674,45.026091414999996,B216,_,00020,11
B216__00010.110,7.474471568944427,45.020071404999996,B216,_,00010,110
