nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B527__00020.1,13.518378812572593,41.42331607,B527,_,00020,1
B527__00210.1,13.527101810819527,41.36141789,B527,_,00210,1
B527__00200.1,13.504194456501654,41.357197365000005,B527,_,00200,1
B527__00190.1,13.499394564264335,41.368953405,B527,_,00190,1
B527__00180.1,13.545643017847809,41.381068935,B527,_,00180,1
B527__00170.1,13.51888677977355,41.373509694999996,B527,_,00170,1
B527__00160.1,13.526022002668455,41.387337759999994,B527,_,00160,1
B527__00150.1,13.516715847319574,41.386101615,B527,_,00150,1
B527__00140.1,13.503067883724459,41.394839465000004,B527,_,00140,1
B527__00130.1,13.566034215620494,41.39363757,B527,_,00130,1
B527__00120.1,13.552732251274085,41.402266165,B527,_,00120,1
B527__0011.1,13.530004675562235,41.390898945,B527,_,0011,1
B527__00100.1,13.513005422775565,41.398282179999995,B527,_,00100,1
B527__00090.1,13.532703297464302,41.40549214,B527,_,00090,1
B527__00080.1,13.547010665523175,41.41548856,B527,_,00080,1
B527__00070.1,13.527447465213193,41.414038855,B527,_,00070,1
B527__00060.1,13.521097328056763,41.41201377,B527,_,00060,1
B527__00050.1,13.515511932831336,41.41021044,B527,_,00050,1
B527__00040.1,13.499806458190214,41.416623965,B527,_,00040,1
B527__00030.1,13.530825329248051,41.423431735,B527,_,00030,1
B527__00010.10,13.514222135528986,41.41779375,B527,_,00010,10
B527__00210.10,13.526951016879725,41.356689655,B527,_,00210,10
B527__00200.10,13.508693321053705,41.35396934,B527,_,00200,10
B527__00190.10,13.501723584262983,41.367709565,B527,_,00190,10
B527__00180.10,13.545218320882087,41.37897446,B527,_,00180,10
B527__00170.10,13.520159198916687,41.37294834,B527,_,00170,10
B527__00160.10,13.526828510715074,41.38659027,B527,_,00160,10
B527__00150.10,13.520256132163443,41.38618337,B527,_,00150,10
B527__00140.10,13.502959915100686,41.390911970000005,B527,_,00140,10
B527__00130.10,13.565001334805308,41.391949135000004,B527,_,00130,10
B527__00120.10,13.55285989238362,41.395265945000006,B527,_,00120,10
B527__0011.10,13.529530555874118,41.390729405,B527,_,0011,10
