nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B561__00010.1,15.009103760260299,37.57533722,B561,_,00010,1
B561__00070.1,14.992945575637798,37.548345575,B561,_,00070,1
B561__00060.1,15.000122152376335,37.54880948,B561,_,00060,1
B561__00050.1,15.00256009198349,37.550369645,B561,_,00050,1
B561__00030.1,15.00487510867321,37.56159802,B561,_,00030,1
B561__00010.10,15.0066324230886,37.57253906,B561,_,00010,10
B561__00060.10,15.002575314612049,37.542931825,B561,_,00060,10
B561__00040.10,15.017622588177751,37.552201435,B561,_,00040,10
B561__00020.10,15.00068763039953,37.56358169,B561,_,00020,10
B561__00010.100,15.006884982857404,37.56847793,B561,_,00010,100
B561__00070.100,14.996741175109227,37.539502979999995,B561,_,00070,100
B561__00050.100,15.001855939397512,37.545690955,B561,_,00050,100
B561__00040.100,15.008701369904237,37.547822625,B561,_,00040,100
B561__00020.100,14.99928993813343,37.560682525,B561,_,00020,100
B561__0001.1000,15.003998707165376,37.56802958,B561,_,0001,1000
B561__00010.101,15.007147069426303,37.568477125,B561,_,00010,101
B561__00070.101,14.99531423956472,37.53971463,B561,_,00070,101
B561__00040.101,15.009068490360711,37.547850159999996,B561,_,00040,101
B561__00030.101,15.008456890801765,37.555286635,B561,_,00030,101
B561__00020.101,14.998705458232632,37.560565375,B561,_,00020,101
B561__0001.1010,15.00372151573481,37.56587289,B561,_,0001,1010
B561__00010.102,15.008585350016276,37.568503,B561,_,00010,102
B561__00070.102,14.995477353091722,37.538888130000004,B561,_,00070,102
B561__00040.102,15.009560119183837,37.547703229999996,B561,_,00040,102
B561__00020.102,14.999737022107869,37.56026904,B561,_,00020,102
B561__00010.103,15.007510014277331,37.568443615,B561,_,00010,103
B561__00070.103,14.997910865117854,37.539900515,B561,_,00070,103
B561__00060.103,14.998406370116447,37.540533980000006,B561,_,00060,103
B561__00050.103,15.003289862841271,37.545775535000004,B561,_,00050,103
B561__00040.103,15.009926766106924,37.54785964,B561,_,00040,103
B561__00030.103,15.008679673524,37.555302455,B561,_,00030,103
B561__00020.103,14.999612040450415,37.55994571,B561,_,00020,103
B561__0001.1039,15.003829547465315,37.566729115,B561,_,0001,1039
B561__00010.104,15.00765099655031,37.56842668,B561,_,00010,104
B561__00070.104,14.997630654913678,37.539887155,B561,_,00070,104
B561__00060.104,14.998453853411709,37.539635045,B561,_,00060,104
B561__00040.104,15.01017440725791,37.54783723,B561,_,00040,104
B561__00030.104,15.008825151178984,37.555961275,B561,_,00030,104
B561__00020.104,15.000246394359037,37.56046624,B561,_,00020,104
B561__0001.1040,15.003808285004823,37.56585157,B561,_,0001,1040
B561__0001.1041,15.00386555825483,37.5658298,B561,_,0001,1041
B561__00010.1042,15.006349355313208,37.56651047,B561,_,00010,1042
B561__00010.1044,15.007212926599443,37.564925435,B561,_,00010,1044
B561__00010.1045,15.007235212603057,37.56478938,B561,_,00010,1045
B561__00010.1046,15.002199534016306,37.564952520000006,B561,_,00010,1046
B561__00010.105,15.007902692310335,37.568428069999996,B561,_,00010,105
B561__00070.105,14.997604713578287,37.540361915,B561,_,00070,105
B561__00060.105,14.999429216321454,37.539829780000005,B561,_,00060,105
B561__00050.105,15.003450115727798,37.545214955,B561,_,00050,105
B561__00040.105,15.010398875607693,37.54799768,B561,_,00040,105
B561__00030.105,15.012743955988029,37.55374268,B561,_,00030,105
B561__00020.105,15.001223092849576,37.56023111499999,B561,_,00020,105
B561__00010.1051,15.009857127198622,37.567640875,B561,_,00010,1051
B561__00010.1052,15.008390143396989,37.567692140000005,B561,_,00010,1052
B561__00010.1053,15.008854314671744,37.567744055000006,B561,_,00010,1053
B561__00010.1055,15.005995940336081,37.567984949999996,B561,_,00010,1055
B561__00010.1056,15.006280007776953,37.5676985,B561,_,00010,1056
B561__00010.1057,15.001951808473587,37.56527882,B561,_,00010,1057
B561__00010.106,15.007437004844908,37.568387465,B561,_,00010,106
B561__00050.106,15.00306335980834,37.544839695,B561,_,00050,106
B561__00040.106,15.011027663524096,37.547879305,B561,_,00040,106
B561__00030.106,15.009355667356758,37.556928775,B561,_,00030,106
B561__00020.106,15.001587457889926,37.560288655,B561,_,00020,106
B561__00010.1060,15.004762995487788,37.563467205,B561,_,00010,1060
B561__0001.1062,15.004600027610126,37.568312805000005,B561,_,0001,1062
B561__0001.1063,15.00450100819149,37.568072555,B561,_,0001,1063
B561__0001.1064,15.004390504512179,37.568109570000004,B561,_,0001,1064
B561__0001.1067,15.007847894180525,37.567862309999995,B561,_,0001,1067
B561__0001.1068,15.005071225595872,37.567034425,B561,_,0001,1068
B561__0001.1069,15.006327024199525,37.56673578,B561,_,0001,1069
B561__00010.107,15.00785697619833,37.568187985,B561,_,00010,107
B561__00070.107,14.997946382156087,37.53950184,B561,_,00070,107
B561__00040.107,15.010625916112932,37.547829875000005,B561,_,00040,107
B561__00020.107,15.002219038354689,37.560163595000006,B561,_,00020,107
B561__00010.1071,15.009572846455391,37.568708674999996,B561,_,00010,1071
B561__00010.1072,15.0090485190415,37.569047350000005,B561,_,00010,1072
B561__00010.1076,15.009013441169845,37.568777165,B561,_,00010,1076
B561__00010.1077,15.009587575810357,37.56828239,B561,_,00010,1077
B561__00010.1078,15.009234184669467,37.568846635,B561,_,00010,1078
B561__00010.1079,15.001607207400145,37.564888335,B561,_,00010,1079
B561__00010.108,15.007431405422732,37.56822606,B561,_,00010,108
B561__00070.108,14.988923429599648,37.538059605,B561,_,00070,108
B561__00040.108,15.012095759873041,37.548106090000005,B561,_,00040,108
B561__00030.108,15.008887487083928,37.555312575,B561,_,00030,108
B561__00020.108,15.000745126337947,37.560214075000005,B561,_,00020,108
B561__00010.1081,15.001631910106163,37.56503293,B561,_,00010,1081
B561__00010.1082,15.00157785935771,37.564122155,B561,_,00010,1082
B561__00010.1085,15.001688315865138,37.566089115,B561,_,00010,1085
B561__00010.1088,15.009751111472006,37.56749452,B561,_,00010,1088
B561__00010.109,15.007588254516207,37.56817717,B561,_,00010,109
B561__00070.109,14.989240642004951,37.537735825,B561,_,00070,109
B561__00050.109,15.003830580260964,37.545331045,B561,_,00050,109
B561__00040.109,15.011247207328667,37.547702005000005,B561,_,00040,109
B561__00030.109,15.00953429051426,37.556571829999996,B561,_,00030,109
B561__00020.109,15.001024260867325,37.560137485,B561,_,00020,109
B561__0001.1090,15.00380831112075,37.568545165,B561,_,0001,1090
B561__00010.1091,15.00592779380783,37.567734425,B561,_,00010,1091
B561__0001.1093,15.005986458508172,37.567713595,B561,_,0001,1093
B561__0001.1094,15.006002881409714,37.56773992,B561,_,0001,1094
B561__0001.1095,15.006354856534053,37.5667969,B561,_,0001,1095
B561__00010.11,15.005798759285378,37.572477230000004,B561,_,00010,11
B561__00050.11,15.005755743155266,37.54613774,B561,_,00050,11
B561__00040.11,15.01697990827399,37.551635805,B561,_,00040,11
B561__00020.11,15.000413881329923,37.563307460000004,B561,_,00020,11
B561__00010.110,15.00753872840572,37.568046435,B561,_,00010,110
B561__00070.110,14.98935568086377,37.537715285000004,B561,_,00070,110
B561__00060.110,15.002969408696558,37.54039547,B561,_,00060,110
B561__00050.110,15.004164231393487,37.545342485,B561,_,00050,110
B561__00040.110,15.011741261758225,37.547731905,B561,_,00040,110
B561__00030.110,15.009886492455895,37.55638379,B561,_,00030,110
B561__00020.110,15.001512111397343,37.560033669999996,B561,_,00020,110
B561__00010.1100,15.002053975539036,37.564814155,B561,_,00010,1100
B561__00010.1101,15.001934948038553,37.56474658,B561,_,00010,1101
B561__00010.1102,15.001967542013066,37.56440095000001,B561,_,00010,1102
B561__00010.1103,15.001941492404459,37.56434796,B561,_,00010,1103
B561__00010.1104,15.001897973143187,37.564294790000005,B561,_,00010,1104
B561__00010.1105,15.001860639805265,37.564232325,B561,_,00010,1105
B561__00010.1107,15.008621193048796,37.57573662,B561,_,00010,1107
B561__00010.1108,15.008600864487867,37.57555878,B561,_,00010,1108
B561__00010.1109,15.008570027285554,37.57540265,B561,_,00010,1109
B561__00020.111,15.002249290285835,37.55988839,B561,_,00020,111
B561__00070.111,14.98950426904285,37.537935405,B561,_,00070,111
B561__00040.111,15.009970632753788,37.54765338,B561,_,00040,111
B561__00030.111,15.010377613925701,37.556398535,B561,_,00030,111
B561__00010.1110,15.008537317014348,37.575222045000004,B561,_,00010,1110
B561__00010.1111,15.008505408011079,37.575045495,B561,_,00010,1111
