nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B649__00050.1,12.532503411515727,42.15319941,B649,_,00050,1
B649__00290.1,12.585701230415019,42.096739785,B649,_,00290,1
B649__00280.1,12.599259724478278,42.10630647,B649,_,00280,1
B649__00250.1,12.596587295651684,42.11506647,B649,_,00250,1
B649__00230.1,12.606320617589706,42.130714815,B649,_,00230,1
B649__00210.1,12.578807782234128,42.123147880000005,B649,_,00210,1
B649__00190.1,12.542829134092862,42.114174135,B649,_,00190,1
B649__00180.1,12.567215270614758,42.117713085,B649,_,00180,1
B649__00160.1,12.556201210578447,42.125661085000004,B649,_,00160,1
B649__00140.1,12.57070146321246,42.130392459999996,B649,_,00140,1
B649__00130.1,12.566040786878693,42.128605715,B649,_,00130,1
B649__00120.1,12.566092125676313,42.1310273,B649,_,00120,1
B649__00100.1,12.543646586005192,42.14131129,B649,_,00100,1
B649__00090.1,12.539306823592028,42.14001355,B649,_,00090,1
B649__00080.1,12.538388336184646,42.143191395,B649,_,00080,1
B649__00060.1,12.545809591373764,42.153811489999995,B649,_,00060,1
B649__00010.10,12.519742462114841,42.174317865,B649,_,00010,10
B649__00290.10,12.60199349804618,42.091218945,B649,_,00290,10
B649__00280.10,12.600525493236855,42.098796875000005,B649,_,00280,10
B649__00250.10,12.59902969638959,42.108268804999994,B649,_,00250,10
B649__00240.10,12.583237194871858,42.108038515000004,B649,_,00240,10
B649__00230.10,12.608366217764072,42.104382605,B649,_,00230,10
B649__00210.10,12.582088631975154,42.123624735,B649,_,00210,10
B649__00200.10,12.555054115538272,42.105198994999995,B649,_,00200,10
B649__00190.10,12.551847483544444,42.11195107,B649,_,00190,10
B649__00180.10,12.558954730678053,42.11683719,B649,_,00180,10
B649__00150.10,12.544739964454685,42.124286485,B649,_,00150,10
B649__00140.10,12.573775353175574,42.12870031,B649,_,00140,10
B649__00130.10,12.566997243283527,42.126141815,B649,_,00130,10
B649__00120.10,12.561829162703292,42.12880166,B649,_,00120,10
B649__00090.10,12.540116751552008,42.13955091,B649,_,00090,10
B649__00070.10,12.540609602451486,42.14504386,B649,_,00070,10
B649__00040.10,12.537779631090546,42.159371365,B649,_,00040,10
B649__00030.10,12.54084605186607,42.167399615,B649,_,00030,10
B649__00020.10,12.527262370669321,42.16939914,B649,_,00020,10
B649__00010.100,12.524096676055635,42.17209193,B649,_,00010,100
B649__00250.100,12.589962613891014,42.11418073,B649,_,00250,100
B649__00240.100,12.582350107908873,42.10504744,B649,_,00240,100
B649__00230.100,12.616130496491472,42.120488185,B649,_,00230,100
B649__00150.100,12.55498756953514,42.12027897,B649,_,00150,100
B649__00130.100,12.568570591997343,42.128655265,B649,_,00130,100
B649__00120.100,12.556685328752398,42.126273085,B649,_,00120,100
B649__00100.100,12.54621142217428,42.13187005,B649,_,00100,100
B649__00090.100,12.534674628282097,42.13717665,B649,_,00090,100
B649__00080.100,12.536412791163203,42.141769444999994,B649,_,00080,100
B649__00070.100,12.54901823378497,42.14389359,B649,_,00070,100
B649__00060.100,12.537717282925433,42.14987094,B649,_,00060,100
B649__00050.100,12.532508382190757,42.14840745,B649,_,00050,100
B649__00040.100,12.538708451255738,42.15647414,B649,_,00040,100
B649__00030.100,12.548491905911359,42.16181689,B649,_,00030,100
B649__00010.101,12.524817993105241,42.1728672,B649,_,00010,101
B649__00270.101,12.591550827736146,42.096955285,B649,_,00270,101
B649__00250.101,12.58922674357751,42.113876669999996,B649,_,00250,101
B649__00240.101,12.582497988118675,42.10500734,B649,_,00240,101
B649__00230.101,12.61659655759685,42.1201491,B649,_,00230,101
B649__00150.101,12.555285677227173,42.120497705000005,B649,_,00150,101
B649__00130.101,12.567112594303433,42.127294025,B649,_,00130,101
B649__00100.101,12.547286862142519,42.132090825,B649,_,00100,101
B649__00090.101,12.535303039738658,42.136849065,B649,_,00090,101
B649__00080.101,12.537284814869958,42.14222393,B649,_,00080,101
B649__00070.101,12.551036308137665,42.144052265,B649,_,00070,101
B649__00060.101,12.538153297081704,42.150022324999995,B649,_,00060,101
B649__00050.101,12.532836673697412,42.148440375,B649,_,00050,101
B649__00040.101,12.538540110303156,42.156368310000005,B649,_,00040,101
B649__00030.101,12.54846167638335,42.161480260000005,B649,_,00030,101
B649__00010.102,12.525303373359684,42.172977180000004,B649,_,00010,102
B649__00270.102,12.581877811302594,42.10093928,B649,_,00270,102
B649__00250.102,12.589667078048784,42.113692040000004,B649,_,00250,102
B649__00240.102,12.582339527828657,42.105350955,B649,_,00240,102
B649__00230.102,12.617031737563611,42.119781925,B649,_,00230,102
B649__00180.102,12.557562385326523,42.11095564,B649,_,00180,102
B649__00170.102,12.572514877943027,42.12485293,B649,_,00170,102
B649__00160.102,12.562503844423073,42.12092674,B649,_,00160,102
B649__00150.102,12.554987545716175,42.118869645000004,B649,_,00150,102
B649__00130.102,12.567169397593098,42.1273853,B649,_,00130,102
B649__00120.102,12.556538773062455,42.12607943,B649,_,00120,102
B649__00100.102,12.547314103522229,42.13197045,B649,_,00100,102
B649__00090.102,12.535437940031912,42.136920115,B649,_,00090,102
B649__00080.102,12.537879656964257,42.141865485,B649,_,00080,102
B649__00070.102,12.54230721095334,42.14397429,B649,_,00070,102
B649__00060.102,12.539090290400955,42.150369895,B649,_,00060,102
B649__00050.102,12.53185191699271,42.14810849,B649,_,00050,102
B649__00040.102,12.53906178469435,42.15708916,B649,_,00040,102
B649__00030.102,12.548982247638232,42.16137091,B649,_,00030,102
B649__00020.102,12.532361225130954,42.162082925,B649,_,00020,102
B649__00040.103,12.539118201205106,42.156889344999996,B649,_,00040,103
B649__00270.103,12.58203287697036,42.100979275,B649,_,00270,103
B649__00250.103,12.59057746944972,42.11204261,B649,_,00250,103
B649__00240.103,12.582604386222853,42.105363714999996,B649,_,00240,103
B649__00230.103,12.617140086950354,42.119197485,B649,_,00230,103
B649__00220.103,12.593478086408577,42.12161253,B649,_,00220,103
B649__00190.103,12.550129834301881,42.110268125000005,B649,_,00190,103
B649__00150.103,12.545898642159763,42.118612080000005,B649,_,00150,103
B649__00130.103,12.567064230003265,42.12425044,B649,_,00130,103
B649__00120.103,12.556817459466263,42.126131655,B649,_,00120,103
B649__00090.103,12.535492952625141,42.137140419999994,B649,_,00090,103
B649__00080.103,12.537431208776749,42.14217236,B649,_,00080,103
B649__00070.103,12.542163121250653,42.14371124,B649,_,00070,103
B649__00060.103,12.53976609657363,42.15056501,B649,_,00060,103
B649__00050.103,12.532022887106578,42.14774938,B649,_,00050,103
B649__00030.104,12.537992884721842,42.162661095,B649,_,00030,104
B649__00270.104,12.58145364507097,42.100469895,B649,_,00270,104
B649__00250.104,12.589744249239104,42.112705515,B649,_,00250,104
B649__00230.104,12.617394924045058,42.118698714999994,B649,_,00230,104
B649__00200.104,12.553015449682885,42.107695175,B649,_,00200,104
B649__00180.104,12.558684598602339,42.10991731,B649,_,00180,104
B649__00170.104,12.572869986441031,42.12459628,B649,_,00170,104
B649__00160.104,12.562718105938462,42.120775845,B649,_,00160,104
B649__00150.104,12.545811106347672,42.12116182,B649,_,00150,104
B649__00140.104,12.578235895234615,42.12428073,B649,_,00140,104
B649__00130.104,12.56744877873395,42.12430162,B649,_,00130,104
B649__00120.104,12.557111617477052,42.12625204,B649,_,00120,104
