nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B688__00020.1,12.112988385219534,42.28596836,B688,_,00020,1
B688__00420.1,12.148861305611934,42.22517388,B688,_,00420,1
B688__00410.1,12.150751355482834,42.22915631,B688,_,00410,1
B688__00400.1,12.156578949284878,42.235845545000004,B688,_,00400,1
B688__00380.1,12.13822315323113,42.241493855,B688,_,00380,1
B688__00370.1,12.178802526730932,42.24732159,B688,_,00370,1
B688__00330.1,12.173581372073961,42.25581656,B688,_,00330,1
B688__00320.1,12.160138813717253,42.252356685,B688,_,00320,1
B688__00310.1,12.138736840856161,42.248453275,B688,_,00310,1
B688__00300.1,12.129423514177294,42.247403555,B688,_,00300,1
B688__00290.1,12.18026660042443,42.25726117,B688,_,00290,1
B688__00270.1,12.177221238301962,42.265269075,B688,_,00270,1
B688__00260.1,12.16847052668264,42.2604338,B688,_,00260,1
B688__00250.1,12.151400990923264,42.26399328,B688,_,00250,1
B688__00240.1,12.141378164963347,42.262520395,B688,_,00240,1
B688__00230.1,12.131737054738792,42.256882180000005,B688,_,00230,1
B688__00210.1,12.19457771524582,42.26683523,B688,_,00210,1
B688__00200.1,12.187842882522649,42.268993370000004,B688,_,00200,1
B688__00190.1,12.178059044766393,42.27612012,B688,_,00190,1
B688__00180.1,12.164667513141662,42.272600170000004,B688,_,00180,1
B688__00170.1,12.1564984074495,42.267339985,B688,_,00170,1
B688__00130.1,12.189981157915291,42.276686104999996,B688,_,00130,1
B688__00120.1,12.177384442695782,42.281534955,B688,_,00120,1
B688__00110.1,12.1683584832575,42.283912889999996,B688,_,00110,1
B688__00100.1,12.153723588426757,42.276161685000005,B688,_,00100,1
B688__00090.1,12.149597221884395,42.283942065000005,B688,_,00090,1
B688__00080.1,12.130957586117892,42.273114789999994,B688,_,00080,1
B688__00060.1,12.144504356804005,42.28856524,B688,_,00060,1
B688__00050.1,12.128988483710508,42.283093275,B688,_,00050,1
B688__00040.1,12.110808482303584,42.283219974999994,B688,_,00040,1
B688__00030.1,12.132527364884668,42.291603265000006,B688,_,00030,1
B688__00010.10,12.133764475338499,42.292452735,B688,_,00010,10
B688__00420.10,12.150247872215136,42.224075604999996,B688,_,00420,10
B688__00410.10,12.152489987790975,42.229139945,B688,_,00410,10
B688__00400.10,12.164227858916504,42.238763015,B688,_,00400,10
B688__00390.10,12.144220276732941,42.23167093,B688,_,00390,10
B688__00380.10,12.133538461858809,42.23392613,B688,_,00380,10
B688__00370.10,12.181504511147814,42.246058805,B688,_,00370,10
B688__00360.10,12.168662857651361,42.250815204999995,B688,_,00360,10
B688__00350.10,12.151533920859137,42.242922144999994,B688,_,00350,10
B688__00330.10,12.178733050665201,42.25536417,B688,_,00330,10
B688__00320.10,12.160885524482111,42.25156323,B688,_,00320,10
