nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B705__00010.1,7.332057949943818,45.171157980000004,B705,_,00010,1
B705__00280.1,7.361117411656961,45.117338985,B705,_,00280,1
B705__00260.1,7.357443112243285,45.123030225,B705,_,00260,1
B705__00250.1,7.351112271238714,45.12538336,B705,_,00250,1
B705__00230.1,7.344279971275743,45.120312715,B705,_,00230,1
B705__00220.1,7.3519608835116985,45.120366775,B705,_,00220,1
B705__00210.1,7.342770188518953,45.1269495,B705,_,00210,1
B705__00200.1,7.333093477383512,45.128837860000004,B705,_,00200,1
B705__00180.1,7.332335386872682,45.117943195,B705,_,00180,1
B705__00170.1,7.329106523373733,45.12141692,B705,_,00170,1
B705__00160.1,7.321445387998986,45.12208384,B705,_,00160,1
B705__00150.1,7.322674608326447,45.117925555,B705,_,00150,1
B705__00140.1,7.314387746323055,45.124300475,B705,_,00140,1
B705__00130.1,7.323449566888261,45.130346610000004,B705,_,00130,1
B705__00120.1,7.3287688500358374,45.13308445,B705,_,00120,1
B705__00110.1,7.32852965421549,45.13633908,B705,_,00110,1
B705__00100.1,7.335793262402257,45.13161678,B705,_,00100,1
B705__00090.1,7.346014651557198,45.131147505,B705,_,00090,1
B705__00080.1,7.352175649121911,45.129215099999996,B705,_,00080,1
B705__00070.1,7.3500970059878,45.135299215,B705,_,00070,1
B705__00060.1,7.348005448811593,45.139367445000005,B705,_,00060,1
B705__00050.1,7.342206540117884,45.13757393,B705,_,00050,1
B705__00040.1,7.339200335448027,45.142327595,B705,_,00040,1
B705__00030.1,7.329490651871035,45.14257018,B705,_,00030,1
B705__00020.1,7.340569031363901,45.158412485,B705,_,00020,1
B705__00010.10,7.328520229550029,45.168009285,B705,_,00010,10
B705__00280.10,7.362900782888762,45.11690061,B705,_,00280,10
B705__00260.10,7.358555356774189,45.122648735,B705,_,00260,10
B705__00250.10,7.351435481047855,45.12369157,B705,_,00250,10
B705__00240.10,7.352578778278533,45.117872735,B705,_,00240,10
B705__00220.10,7.351641783686688,45.120264635,B705,_,00220,10
B705__00210.10,7.3442278508832395,45.12606642,B705,_,00210,10
B705__00200.10,7.333943456272239,45.127590065,B705,_,00200,10
B705__00190.10,7.332060549305778,45.12119679,B705,_,00190,10
B705__00170.10,7.329986722835775,45.121822555,B705,_,00170,10
B705__00160.10,7.323841385182096,45.120806740000006,B705,_,00160,10
B705__00150.10,7.324157983125557,45.117317674999995,B705,_,00150,10
B705__00140.10,7.312901680769151,45.123131795,B705,_,00140,10
B705__00130.10,7.323374252700611,45.129534070000005,B705,_,00130,10
B705__00120.10,7.3289617970529,45.132856000000004,B705,_,00120,10
B705__00110.10,7.328109405954159,45.134177844999996,B705,_,00110,10
B705__00100.10,7.336301962474879,45.131104199999996,B705,_,00100,10
B705__00090.10,7.3471102253325515,45.129547450000004,B705,_,00090,10
B705__00080.10,7.354002800871964,45.128866055,B705,_,00080,10
B705__00070.10,7.349366994184864,45.133227935,B705,_,00070,10
B705__00050.10,7.342559897123688,45.13699182,B705,_,00050,10
B705__00040.10,7.34210318703463,45.14128442,B705,_,00040,10
B705__00030.10,7.329134887057551,45.141493354999994,B705,_,00030,10
B705__00020.10,7.338875756155648,45.15062125,B705,_,00020,10
B705__00010.100,7.326844040117777,45.156832539999996,B705,_,00010,100
B705__00280.100,7.365996645030394,45.11682772499999,B705,_,00280,100
B705__00270.100,7.363572105569834,45.113087975,B705,_,00270,100
B705__00260.100,7.361339819733423,45.119568705,B705,_,00260,100
B705__00250.100,7.350892977098885,45.12202147,B705,_,00250,100
B705__00240.100,7.3588154173090174,45.117632365000006,B705,_,00240,100
B705__00230.100,7.346595702073608,45.116441675000004,B705,_,00230,100
B705__00210.100,7.347608369260788,45.123152149999996,B705,_,00210,100
B705__00200.100,7.334135158117519,45.127007649999996,B705,_,00200,100
B705__00190.100,7.338116292875858,45.12041773,B705,_,00190,100
B705__00180.100,7.335783678106686,45.114817884999994,B705,_,00180,100
B705__00150.100,7.327640586998481,45.11160185,B705,_,00150,100
B705__00130.100,7.3240138710959455,45.12161601,B705,_,00130,100
B705__00110.100,7.332748954535685,45.130915040000005,B705,_,00110,100
B705__00100.100,7.336179459805457,45.12804796,B705,_,00100,100
B705__00090.100,7.349414309064208,45.12954544,B705,_,00090,100
B705__00080.100,7.360115060812044,45.128628309999996,B705,_,00080,100
B705__00070.100,7.34807850659666,45.131932745,B705,_,00070,100
B705__00050.100,7.343940571512739,45.13514850999999,B705,_,00050,100
B705__00030.100,7.335432945830306,45.141489820000004,B705,_,00030,100
B705__00020.100,7.3280502096686675,45.14570749000001,B705,_,00020,100
B705__00010.101,7.326811734493008,45.156583125,B705,_,00010,101
B705__00280.101,7.366505434608069,45.11659821,B705,_,00280,101
B705__00270.101,7.363678432643688,45.11311131,B705,_,00270,101
B705__00260.101,7.361388521983194,45.119448989999995,B705,_,00260,101
B705__00250.101,7.351195571758681,45.12201077,B705,_,00250,101
B705__00230.101,7.3450825967392,45.11672145,B705,_,00230,101
B705__00220.101,7.351705967296661,45.11934402,B705,_,00220,101
B705__00210.101,7.346389534665305,45.123271565,B705,_,00210,101
