nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B715__00010.1,14.2965018409626,41.14769301,B715,_,00010,1
B715__0052.1,14.20721221151387,41.113946865,B715,_,0052,1
B715__00510.1,14.30188942039062,41.13024279,B715,_,00510,1
B715__00490.1,14.28099430046749,41.1232662,B715,_,00490,1
B715__00470.1,14.270378190907213,41.132091805,B715,_,00470,1
B715__00450.1,14.261822730284816,41.116682569999995,B715,_,00450,1
B715__00410.1,14.20435268984066,41.104203305,B715,_,00410,1
B715__00390.1,14.203187366398568,41.104658735,B715,_,00390,1
B715__00380.1,14.183107728561545,41.101764425,B715,_,00380,1
B715__00330.1,14.178762637188573,41.105979454999996,B715,_,00330,1
B715__00320.1,14.167927036573015,41.107447695000005,B715,_,00320,1
B715__00300.1,14.149180085225138,41.101937219999996,B715,_,00300,1
B715__00290.1,14.142493565571048,41.105884425,B715,_,00290,1
B715__00280.1,14.125238088601538,41.106248539999996,B715,_,00280,1
B715__00190.1,14.151193598684518,41.124751700000004,B715,_,00190,1
B715__00170.1,14.133334857995507,41.130542675,B715,_,00170,1
B715__00160.1,14.141004698303178,41.131818120000005,B715,_,00160,1
B715__00140.1,14.176390133775929,41.128695949999994,B715,_,00140,1
B715__00130.1,14.183273966091114,41.12899221,B715,_,00130,1
B715__00120.1,14.190500945800428,41.12941878,B715,_,00120,1
B715__00110.1,14.218695182951125,41.127975455,B715,_,00110,1
B715__00100.1,14.220883117999605,41.12399542,B715,_,00100,1
B715__00080.1,14.250913635691555,41.125919725,B715,_,00080,1
B715__00070.1,14.249029979023323,41.133064919999995,B715,_,00070,1
B715__00060.1,14.25391473349037,41.132633825,B715,_,00060,1
B715__00050.1,14.279927570585166,41.132766700000005,B715,_,00050,1
B715__00040.1,14.292132190257544,41.134521555,B715,_,00040,1
B715__00030.1,14.295973728055348,41.138137935,B715,_,00030,1
B715__00020.1,14.306324283402432,41.142156775000004,B715,_,00020,1
B715__00010.10,14.301355569540323,41.14445516,B715,_,00010,10
B715__00510.10,14.294791635331014,41.128093365,B715,_,00510,10
B715__00500.10,14.292470521274357,41.12764885,B715,_,00500,10
B715__00490.10,14.283717382684175,41.120354344999996,B715,_,00490,10
B715__00480.10,14.268359091757326,41.112627065,B715,_,00480,10
B715__00470.10,14.27357549393433,41.122854395,B715,_,00470,10
B715__00440.10,14.25744708777499,41.11043782,B715,_,00440,10
B715__00430.10,14.229484972985494,41.098385075,B715,_,00430,10
B715__00400.10,14.21077201386074,41.099959510000005,B715,_,00400,10
B715__00380.10,14.176889650744794,41.099485355,B715,_,00380,10
B715__00370.10,14.241394124210714,41.1064939,B715,_,00370,10
B715__00360.10,14.232309455596857,41.10785018999999,B715,_,00360,10
B715__00330.10,14.17967280338571,41.104257399999995,B715,_,00330,10
B715__00310.10,14.160918218960724,41.103281555,B715,_,00310,10
B715__00300.10,14.149396621700129,41.09945582,B715,_,00300,10
B715__00290.10,14.1411161852891,41.106252045000005,B715,_,00290,10
B715__00260.10,14.122375378187535,41.109098795,B715,_,00260,10
B715__00250.10,14.236742926300009,41.11352563,B715,_,00250,10
B715__00230.10,14.196267192312817,41.115919579999996,B715,_,00230,10
B715__00200.10,14.174459482750784,41.119623360000006,B715,_,00200,10
B715__00150.10,14.160387496717153,41.12888408,B715,_,00150,10
B715__00130.10,14.185959146862563,41.1239145,B715,_,00130,10
B715__00120.10,14.195453483423872,41.118561035,B715,_,00120,10
B715__00110.10,14.219298518908328,41.124482345000004,B715,_,00110,10
B715__00100.10,14.22224612066212,41.119057655000006,B715,_,00100,10
B715__00080.10,14.25075867189566,41.124491265,B715,_,00080,10
B715__00070.10,14.240220035861505,41.131346305,B715,_,00070,10
B715__00050.10,14.259975927054114,41.129984125,B715,_,00050,10
B715__00040.10,14.288247892912562,41.132111734999995,B715,_,00040,10
B715__00030.10,14.293388297589557,41.135436415,B715,_,00030,10
B715__00020.10,14.312370273478148,41.141083595,B715,_,00020,10
B715__00010.100,14.3017448026292,41.144945899999996,B715,_,00010,100
B715__0052.100,14.209814082245764,41.11189689,B715,_,0052,100
B715__00510.100,14.296042036463877,41.1283126,B715,_,00510,100
B715__00500.100,14.291004677360068,41.125426989999994,B715,_,00500,100
B715__00470.100,14.265509299330589,41.12673268,B715,_,00470,100
B715__00460.100,14.255112727084724,41.119728515000006,B715,_,00460,100
B715__00450.100,14.258356359295533,41.111638385,B715,_,00450,100
B715__00430.100,14.22828521350589,41.100170195000004,B715,_,00430,100
B715__00380.100,14.182636427417929,41.095629360000004,B715,_,00380,100
B715__00370.100,14.242121771112933,41.110574084999996,B715,_,00370,100
B715__00360.100,14.231083573157917,41.107890075,B715,_,00360,100
B715__00320.100,14.174080091440484,41.104907194999996,B715,_,00320,100
B715__00310.100,14.156052660750937,41.10707293,B715,_,00310,100
B715__00290.100,14.144767690559636,41.102468705,B715,_,00290,100
B715__00260.100,14.122888217223515,41.109457135,B715,_,00260,100
B715__00250.100,14.227309351253979,41.11009269,B715,_,00250,100
B715__00240.100,14.208403893194113,41.10967613,B715,_,00240,100
B715__00170.100,14.135024895685554,41.117468535,B715,_,00170,100
B715__00160.100,14.146152898296302,41.130426465,B715,_,00160,100
B715__00120.100,14.199992625224539,41.11679182,B715,_,00120,100
B715__00110.100,14.214723725441106,41.114868275,B715,_,00110,100
B715__00100.100,14.219479642654685,41.115631289999996,B715,_,00100,100
B715__00090.100,14.236164179586238,41.11682745,B715,_,00090,100
B715__00080.100,14.241156738133569,41.115190944999995,B715,_,00080,100
B715__00070.100,14.243376441159537,41.132574175,B715,_,00070,100
B715__00030.100,14.29679366266891,41.13576257,B715,_,00030,100
B715__00020.100,14.31513451308032,41.139970809999994,B715,_,00020,100
B715__0052.1000,14.210246550527463,41.108879695,B715,_,0052,1000
B715__0052.1001,14.215541618270812,41.10656576,B715,_,0052,1001
B715__0052.1003,14.209083424881921,41.108453735,B715,_,0052,1003
B715__0052.1007,14.212475287794529,41.107274585,B715,_,0052,1007
B715__00010.101,14.301645995366737,41.144879535,B715,_,00010,101
B715__0052.101,14.209473664538907,41.112144465,B715,_,0052,101
B715__00510.101,14.296396928568143,41.128405845,B715,_,00510,101
B715__00500.101,14.291010434900265,41.124572715,B715,_,00500,101
B715__00440.101,14.253499109135413,41.106134305,B715,_,00440,101
B715__00430.101,14.232811338439543,41.094188134999996,B715,_,00430,101
B715__00380.101,14.181575433462498,41.095036825,B715,_,00380,101
B715__00320.101,14.176138904250143,41.108724460000005,B715,_,00320,101
B715__00310.101,14.156583722733796,41.106958774999995,B715,_,00310,101
B715__00300.101,14.132785224260932,41.098279090000005,B715,_,00300,101
B715__00290.101,14.148763486213635,41.102588405,B715,_,00290,101
B715__00270.101,14.137779107649965,41.11004482,B715,_,00270,101
B715__00260.101,14.123328111551306,41.109840680000005,B715,_,00260,101
B715__00250.101,14.227358743571745,41.109775760000005,B715,_,00250,101
B715__00240.101,14.206568276401956,41.119687635,B715,_,00240,101
B715__00230.101,14.193668057105558,41.11182203,B715,_,00230,101
B715__00170.101,14.131591600960347,41.116001155,B715,_,00170,101
B715__00120.101,14.199833042265784,41.116843384999996,B715,_,00120,101
B715__00110.101,14.20864184574895,41.11618496,B715,_,00110,101
B715__00100.101,14.222385683796677,41.11648246,B715,_,00100,101
B715__00080.101,14.241459956269821,41.115351335,B715,_,00080,101
B715__00070.101,14.24191934697016,41.13065225,B715,_,00070,101
B715__00030.101,14.29569591317944,41.13606448,B715,_,00030,101
B715__00020.101,14.315328389776486,41.13823293,B715,_,00020,101
B715__00010.102,14.299294348841656,41.1471298,B715,_,00010,102
B715__0052.102,14.20932741923276,41.112083535,B715,_,0052,102
B715__00510.102,14.293440274156689,41.12676085,B715,_,00510,102
B715__00470.102,14.269023929637957,41.13012387,B715,_,00470,102
B715__00390.102,14.19929512697458,41.099608915000005,B715,_,00390,102
B715__00380.102,14.182368926173886,41.09473457,B715,_,00380,102
B715__00370.102,14.249490011336231,41.106919094999995,B715,_,00370,102
B715__00320.102,14.175787480995178,41.10727109,B715,_,00320,102
B715__00310.102,14.157356350608566,41.10680356,B715,_,00310,102
B715__00300.102,14.132859703530318,41.098299975,B715,_,00300,102
B715__00260.102,14.125664254531163,41.112772805000006,B715,_,00260,102
B715__00250.102,14.227297982841353,41.10954238,B715,_,00250,102
B715__00240.102,14.205727783474604,41.118100639999994,B715,_,00240,102
B715__00170.102,14.13350821794781,41.11591781,B715,_,00170,102
