nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B790__00010.1,16.40917417747437,39.07296590999999,B790,_,00010,1
B790__00180.1,16.45567270981585,39.03366002,B790,_,00180,1
B790__00170.1,16.45285517334606,39.03997391,B790,_,00170,1
B790__00160.1,16.452596724775496,39.03785367,B790,_,00160,1
B790__00150.1,16.435220355414565,39.04098276,B790,_,00150,1
B790__00140.1,16.464860772858515,39.044287895,B790,_,00140,1
B790__00130.1,16.456343263359976,39.047592159999994,B790,_,00130,1
B790__00120.1,16.435308046479577,39.050456354999994,B790,_,00120,1
B790__00110.1,16.423815357001306,39.050271824999996,B790,_,00110,1
B790__00090.1,16.4548615142649,39.058202109999996,B790,_,00090,1
B790__00080.1,16.447421081155113,39.06041887,B790,_,00080,1
B790__00070.1,16.447009667742968,39.058067185,B790,_,00070,1
B790__00060.1,16.43744524973279,39.05662555,B790,_,00060,1
B790__00040.1,16.429248700867895,39.062400335,B790,_,00040,1
B790__00030.1,16.41221920927387,39.05583319,B790,_,00030,1
B790__00020.1,16.413936594635686,39.0645405,B790,_,00020,1
B790__00010.10,16.41283925777532,39.07151071,B790,_,00010,10
B790__00180.10,16.456872593945672,39.03199224,B790,_,00180,10
B790__00170.10,16.45666698772805,39.03548765,B790,_,00170,10
B790__00160.10,16.445850260857444,39.03728175,B790,_,00160,10
B790__00150.10,16.444243244578217,39.03991667,B790,_,00150,10
B790__00140.10,16.46862308639753,39.045429354999996,B790,_,00140,10
B790__00120.10,16.435978491123493,39.050331505,B790,_,00120,10
B790__00110.10,16.421558008991326,39.04906195,B790,_,00110,10
B790__00100.10,16.46382554357599,39.054396585,B790,_,00100,10
B790__00080.10,16.44894068271377,39.05662907,B790,_,00080,10
B790__00070.10,16.445331398699082,39.0554169,B790,_,00070,10
B790__00050.10,16.442154946594048,39.066696175000004,B790,_,00050,10
B790__00020.10,16.418583218474065,39.062739655,B790,_,00020,10
B790__00010.100,16.417361912932236,39.063972705,B790,_,00010,100
B790__00180.100,16.46203125454151,39.02858234999999,B790,_,00180,100
B790__00160.100,16.448695419035726,39.033279225,B790,_,00160,100
B790__00150.100,16.436539976669707,39.03692772,B790,_,00150,100
B790__00140.100,16.4726711485753,39.038550855,B790,_,00140,100
B790__00130.100,16.448425133898848,39.038429765000004,B790,_,00130,100
B790__00120.100,16.432220809045464,39.04729914,B790,_,00120,100
B790__00110.100,16.42806804543332,39.042758629999994,B790,_,00110,100
B790__00100.100,16.470279737976924,39.04859125,B790,_,00100,100
B790__00090.100,16.45728515656761,39.057419495000005,B790,_,00090,100
B790__00080.100,16.453177925473454,39.05157385,B790,_,00080,100
B790__00070.100,16.438647529418155,39.05015528,B790,_,00070,100
B790__00050.100,16.441047476322574,39.05646535,B790,_,00050,100
B790__00020.100,16.410453341910618,39.061218425,B790,_,00020,100
B790__00090.1000,16.455917238309546,39.05591162,B790,_,00090,1000
B790__00090.1001,16.45596945272478,39.055943729999996,B790,_,00090,1001
B790__00090.1002,16.456078069561677,39.055982265,B790,_,00090,1002
B790__00090.1003,16.456161796364324,39.055996934999996,B790,_,00090,1003
B790__00090.1004,16.456362362245336,39.055934125,B790,_,00090,1004
B790__00090.1005,16.456307305648743,39.055972295000004,B790,_,00090,1005
B790__00090.1006,16.456354653056714,39.05599893,B790,_,00090,1006
B790__00090.1007,16.456304435224666,39.05602833499999,B790,_,00090,1007
B790__00090.1008,16.456225150699677,39.056007025,B790,_,00090,1008
B790__00090.1009,16.457481774991997,39.05778801,B790,_,00090,1009
B790__00010.101,16.417776357877663,39.063984205,B790,_,00010,101
B790__00180.101,16.46318470663138,39.02859198,B790,_,00180,101
B790__00160.101,16.44898183667984,39.033322244999994,B790,_,00160,101
B790__00150.101,16.436721780132117,39.036860175,B790,_,00150,101
B790__00130.101,16.451050944610223,39.039583480000005,B790,_,00130,101
B790__00120.101,16.43232683666729,39.048064935,B790,_,00120,101
B790__00110.101,16.42847878192647,39.042736520000005,B790,_,00110,101
B790__00100.101,16.46977946817752,39.047791825,B790,_,00100,101
B790__00090.101,16.457381920147636,39.057446955,B790,_,00090,101
B790__00070.101,16.438094741105623,39.050182785000004,B790,_,00070,101
B790__00050.101,16.445276098123887,39.05789616,B790,_,00050,101
B790__00040.101,16.428893594059492,39.05464786,B790,_,00040,101
B790__00030.101,16.425171457778404,39.05171779,B790,_,00030,101
B790__00020.101,16.410378721121376,39.061218425,B790,_,00020,101
B790__00090.1011,16.456324352997225,39.055781870000004,B790,_,00090,1011
B790__00090.1012,16.456376611633637,39.05580239,B790,_,00090,1012
B790__00090.1013,16.456430664029618,39.055821269999996,B790,_,00090,1013
B790__00090.1014,16.457187792248497,39.057344325,B790,_,00090,1014
B790__00090.1015,16.45725138161071,39.057343405,B790,_,00090,1015
B790__00090.1016,16.456481232524432,39.05585282,B790,_,00090,1016
B790__00090.1017,16.456579362862115,39.055922585,B790,_,00090,1017
B790__00090.1018,16.456499457467274,39.055967124999995,B790,_,00090,1018
B790__00090.1019,16.456537115405894,39.055950275,B790,_,00090,1019
B790__00010.102,16.418125590597576,39.06382574,B790,_,00010,102
B790__00180.102,16.46218704854812,39.02826941,B790,_,00180,102
B790__00160.102,16.44931974794607,39.03318786,B790,_,00160,102
B790__00150.102,16.43762957200689,39.037002900000005,B790,_,00150,102
B790__00130.102,16.45046641131087,39.038365655,B790,_,00130,102
B790__00120.102,16.43378855682468,39.043780600000005,B790,_,00120,102
B790__00110.102,16.42837954222167,39.042334804999996,B790,_,00110,102
B790__00100.102,16.470374381676123,39.048110075,B790,_,00100,102
B790__00080.102,16.453684124252877,39.05072427,B790,_,00080,102
B790__00070.102,16.4385868813216,39.049863535,B790,_,00070,102
B790__00050.102,16.4427470125062,39.057451435,B790,_,00050,102
B790__00030.102,16.414761862128962,39.055094374999996,B790,_,00030,102
B790__00020.102,16.41064455328129,39.06114121,B790,_,00020,102
B790__00090.1020,16.457367839750212,39.05734512,B790,_,00090,1020
B790__00090.1021,16.45768720519903,39.05590678,B790,_,00090,1021
B790__00090.1022,16.45684142693198,39.057625945,B790,_,00090,1022
B790__00090.1023,16.45533216763028,39.055990640000005,B790,_,00090,1023
B790__00090.1024,16.45645298841945,39.057457315,B790,_,00090,1024
B790__00090.1025,16.456490773852906,39.05751342,B790,_,00090,1025
B790__00090.1026,16.457324207158926,39.057251640000004,B790,_,00090,1026
B790__00090.1027,16.457314402293136,39.057299905,B790,_,00090,1027
B790__00090.1028,16.4554201207785,39.057460235,B790,_,00090,1028
B790__00090.1029,16.455532771843824,39.05755464,B790,_,00090,1029
B790__00010.103,16.41450576763645,39.06441416,B790,_,00010,103
B790__00180.103,16.46214297088592,39.02790668,B790,_,00180,103
B790__00160.103,16.4495867280625,39.033203244999996,B790,_,00160,103
B790__00150.103,16.4371366102851,39.036579245,B790,_,00150,103
B790__00140.103,16.47384476246523,39.03847803,B790,_,00140,103
B790__00120.103,16.431804643568533,39.044091785,B790,_,00120,103
B790__00110.103,16.426442509085575,39.044052664999995,B790,_,00110,103
B790__00100.103,16.471252154974938,39.048180020000004,B790,_,00100,103
B790__00080.103,16.454101018460406,39.050639145000005,B790,_,00080,103
B790__00070.103,16.447254966613055,39.0583878,B790,_,00070,103
B790__00050.103,16.443283982649785,39.057601614999996,B790,_,00050,103
B790__00020.103,16.409772352380863,39.060891755,B790,_,00020,103
B790__00090.1030,16.455516554870016,39.056182965000005,B790,_,00090,1030
B790__00090.1031,16.45556995535504,39.056250305,B790,_,00090,1031
B790__00090.1032,16.455229400788134,39.056836425,B790,_,00090,1032
B790__00090.1033,16.45711432288941,39.05748845,B790,_,00090,1033
B790__00090.1034,16.455308839311733,39.056893905,B790,_,00090,1034
B790__00090.1035,16.45528190147298,39.057256335,B790,_,00090,1035
B790__00090.1036,16.456937921017214,39.057500195,B790,_,00090,1036
B790__00090.1037,16.45537172755302,39.05687859,B790,_,00090,1037
B790__00090.1038,16.45686400786991,39.057503284999996,B790,_,00090,1038
B790__00010.104,16.41460790613352,39.06417147,B790,_,00010,104
B790__00180.104,16.462356712106267,39.027535670000006,B790,_,00180,104
B790__00160.104,16.450333990207625,39.033321325,B790,_,00160,104
B790__00150.104,16.438248004084976,39.03717007,B790,_,00150,104
B790__00140.104,16.472857069599655,39.03809008,B790,_,00140,104
B790__00130.104,16.451917318983952,39.03929712,B790,_,00130,104
B790__00120.104,16.43232612802036,39.04639086,B790,_,00120,104
B790__00110.104,16.430016680179165,39.042935635,B790,_,00110,104
B790__00100.104,16.472246691340715,39.048380245000004,B790,_,00100,104
B790__00090.104,16.45674861099581,39.056736205,B790,_,00090,104
B790__00080.104,16.452826164234608,39.05021755,B790,_,00080,104
B790__00070.104,16.43956710062035,39.049900565,B790,_,00070,104
B790__00050.104,16.44400950081578,39.057601205,B790,_,00050,104
B790__00030.104,16.41319219415667,39.05323238,B790,_,00030,104
B790__00020.104,16.41039187147816,39.060998485,B790,_,00020,104
B790__00090.1040,16.455361572104486,39.056915599999996,B790,_,00090,1040
B790__00090.1041,16.4552888359479,39.056948125000005,B790,_,00090,1041
B790__00090.1042,16.456890682353013,39.057428625,B790,_,00090,1042
B790__00090.1043,16.455973915948896,39.056415575,B790,_,00090,1043
B790__00090.1044,16.45614666879321,39.056511355,B790,_,00090,1044
B790__00090.1045,16.45623547641432,39.056375579999994,B790,_,00090,1045
B790__00090.1046,16.456472866013986,39.05652775,B790,_,00090,1046
B790__00090.1047,16.45651641540126,39.0565488,B790,_,00090,1047
B790__00090.1048,16.456574108654266,39.056568485,B790,_,00090,1048
B790__00090.1049,16.456723635253027,39.056616825,B790,_,00090,1049
B790__00010.105,16.414265067705735,39.06401495,B790,_,00010,105
B790__00180.105,16.462923735547946,39.027557415000004,B790,_,00180,105
B790__00160.105,16.447866366934818,39.032563870000004,B790,_,00160,105
B790__00130.105,16.448078658873968,39.038187985,B790,_,00130,105
B790__00120.105,16.436653731853873,39.046671364999995,B790,_,00120,105
B790__00110.105,16.429488121521043,39.042559615,B790,_,00110,105
B790__00100.105,16.472548799778792,39.048946535,B790,_,00100,105
B790__00080.105,16.452690547708578,39.04965318,B790,_,00080,105
B790__00070.105,16.440307086268827,39.049911715,B790,_,00070,105
B790__00060.105,16.43674890333473,39.053952069999994,B790,_,00060,105
B790__00050.105,16.44354800822348,39.057245815,B790,_,00050,105
B790__00040.105,16.42957989297662,39.05469323,B790,_,00040,105
B790__00030.105,16.416443407328707,39.055742025,B790,_,00030,105
B790__00020.105,16.410963129084287,39.061194155,B790,_,00020,105
B790__00090.1050,16.45710883285111,39.05653164,B790,_,00090,1050
B790__00090.1051,16.456152013995165,39.056904615,B790,_,00090,1051
B790__00090.1052,16.45629250726602,39.05702334,B790,_,00090,1052
B790__00090.1053,16.456377920943993,39.056889229999996,B790,_,00090,1053
B790__00090.1054,16.456446954139345,39.05693646,B790,_,00090,1054
B790__00090.1055,16.45648880423313,39.05704212,B790,_,00090,1055
B790__00090.1056,16.456581591559555,39.05735696,B790,_,00090,1056
B790__00090.1057,16.457284892111375,39.056841895,B790,_,00090,1057
B790__00090.1058,16.457087095202443,39.056824524999996,B790,_,00090,1058
B790__00090.1059,16.457024659670548,39.056724325,B790,_,00090,1059
B790__00010.106,16.41420885695885,39.063728755,B790,_,00010,106
B790__00180.106,16.463220969806294,39.02803205,B790,_,00180,106
B790__00160.106,16.448155749119756,39.03222661,B790,_,00160,106
B790__00150.106,16.439083243741095,39.037749025,B790,_,00150,106
B790__00140.106,16.473278380272365,39.03706794,B790,_,00140,106
B790__00130.106,16.448748340596385,39.038320350000006,B790,_,00130,106
B790__00120.106,16.4374505459172,39.04542295,B790,_,00120,106
B790__00110.106,16.429344685217526,39.042354275,B790,_,00110,106
B790__00100.106,16.47235461883553,39.049318185,B790,_,00100,106
B790__00080.106,16.453691036209236,39.050016905,B790,_,00080,106
B790__00070.106,16.43958026477987,39.04961135,B790,_,00070,106
B790__00050.106,16.443984593664425,39.057242099999996,B790,_,00050,106
B790__00040.106,16.427715916173184,39.057845189999995,B790,_,00040,106
B790__00020.106,16.41087992829553,39.061058875,B790,_,00020,106
B790__00090.1060,16.457272846472094,39.056341555,B790,_,00090,1060
B790__00090.1061,16.457295618429,39.056581255,B790,_,00090,1061
B790__00090.1062,16.456915596731513,39.05693374,B790,_,00090,1062
B790__00090.1063,16.458250879437657,39.057165985,B790,_,00090,1063
B790__00090.1064,16.458515471209644,39.057089755,B790,_,00090,1064
B790__00090.1065,16.45911656620914,39.056972415000004,B790,_,00090,1065
B790__00090.1066,16.456369551584075,39.056423195,B790,_,00090,1066
B790__00090.1067,16.4564969210372,39.056414255,B790,_,00090,1067
B790__00090.1068,16.456452961897583,39.05635215,B790,_,00090,1068
B790__00090.1069,16.456543387942908,39.056145145,B790,_,00090,1069
B790__00010.107,16.414569937943565,39.063551155,B790,_,00010,107
B790__00180.107,16.461060619070324,39.028034309999995,B790,_,00180,107
B790__00160.107,16.448290768476387,39.03249952,B790,_,00160,107
B790__00140.107,16.473330828724016,39.036874235,B790,_,00140,107
B790__00130.107,16.44938627641307,39.038705715000006,B790,_,00130,107
B790__00120.107,16.439165560736456,39.04342212,B790,_,00120,107
B790__00110.107,16.429101816514304,39.042198400000004,B790,_,00110,107
B790__00100.107,16.473005249713587,39.04922533,B790,_,00100,107
B790__00080.107,16.45015074721767,39.055587700000004,B790,_,00080,107
B790__00070.107,16.43972682269784,39.049345025,B790,_,00070,107
B790__00050.107,16.44430896795832,39.05731189,B790,_,00050,107
B790__00040.107,16.43020869222142,39.0547096,B790,_,00040,107
B790__00020.107,16.41105926723513,39.061159075,B790,_,00020,107
B790__00090.1070,16.456421261416402,39.056184445,B790,_,00090,1070
B790__00090.1072,16.457416407405233,39.057017485,B790,_,00090,1072
B790__00090.1073,16.457784518699746,39.057222355,B790,_,00090,1073
B790__00090.1074,16.455244400321845,39.05605465,B790,_,00090,1074
B790__00090.1075,16.45663684830678,39.05571278,B790,_,00090,1075
B790__00090.1076,16.455102767873974,39.054808730000005,B790,_,00090,1076
B790__00090.1077,16.45665617823634,39.056447665,B790,_,00090,1077
B790__00090.1078,16.457926399800698,39.056351969999994,B790,_,00090,1078
B790__00090.1079,16.457441664261616,39.05628016,B790,_,00090,1079
B790__00010.108,16.415132850447762,39.06404394,B790,_,00010,108
B790__00180.108,16.45980214562099,39.027522265,B790,_,00180,108
B790__00160.108,16.451377843657156,39.027562525,B790,_,00160,108
B790__00150.108,16.44006924933089,39.03698595,B790,_,00150,108
B790__00140.108,16.473388936039477,39.036597564999994,B790,_,00140,108
B790__00130.108,16.44988275830572,39.038774025,B790,_,00130,108
B790__00120.108,16.43149682029995,39.044739145,B790,_,00120,108
B790__00110.108,16.428823406297806,39.041992320000006,B790,_,00110,108
B790__00100.108,16.459556377355355,39.049301045,B790,_,00100,108
B790__00080.108,16.454369402941566,39.04980346,B790,_,00080,108
B790__00070.108,16.440533019170786,39.04928704,B790,_,00070,108
B790__00050.108,16.44456992963105,39.057337485000005,B790,_,00050,108
B790__00040.108,16.430798362040584,39.054759235,B790,_,00040,108
