nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B875__01090.1,8.738082926528474,45.76829458,B875,_,01090,1
B875__0304.1,8.728299431052982,45.75179991,B875,_,0304,1
B875__02050.1,8.736436649478783,45.7570658,B875,_,02050,1
B875__0109.10,8.740561471712592,45.766927905,B875,_,0109,10
B875__0304.10,8.729514790030137,45.751626869999996,B875,_,0304,10
B875__02040.100,8.725342797520298,45.76133627,B875,_,02040,100
B875__02050.1000,8.733201045978905,45.75856914,B875,_,02050,1000
B875__03040.1000,8.729601578904209,45.748736664999996,B875,_,03040,1000
B875__02050.1001,8.732393819847186,45.75951765,B875,_,02050,1001
B875__03040.1001,8.72484851164758,45.746299605000004,B875,_,03040,1001
B875__03040.1002,8.724958587775156,45.746257895,B875,_,03040,1002
B875__03040.1003,8.725153858994402,45.74634837,B875,_,03040,1003
B875__02050.1004,8.733275695110843,45.758447465,B875,_,02050,1004
B875__03040.1004,8.724828741284533,45.74640152,B875,_,03040,1004
B875__02050.1005,8.733892306848407,45.75820168,B875,_,02050,1005
B875__0304.1005,8.727243307879954,45.751556715,B875,_,0304,1005
B875__02050.1006,8.733448034442604,45.759251705,B875,_,02050,1006
B875__03040.1007,8.726367511544904,45.748105530000004,B875,_,03040,1007
B875__02080.1008,8.7403740841803,45.75561688,B875,_,02080,1008
B875__03040.1009,8.719477553798749,45.747971645,B875,_,03040,1009
B875__01090.101,8.746864487896161,45.771392425,B875,_,01090,101
B875__02040.101,8.725834347727801,45.76176001,B875,_,02040,101
B875__03040.1010,8.725574651553558,45.746648065,B875,_,03040,1010
B875__03040.1011,8.72661955542852,45.747369745,B875,_,03040,1011
B875__03050.1012,8.73927905073753,45.748179480000005,B875,_,03050,1012
B875__03040.1013,8.730276605,45.747809605,B875,_,03040,1013
B875__03040.1014,8.730863202313932,45.748282270000004,B875,_,03040,1014
B875__03040.1015,8.730350578522113,45.748234875,B875,_,03040,1015
B875__02080.1016,8.740177984597839,45.754848635,B875,_,02080,1016
B875__03040.1016,8.730536989017352,45.74825534,B875,_,03040,1016
B875__02010.1017,8.714926637834596,45.767953805000005,B875,_,02010,1017
B875__02010.1018,8.714829196405422,45.76822532,B875,_,02010,1018
B875__02020.1019,8.717537960653637,45.76860848,B875,_,02020,1019
B875__01090.102,8.746520541283566,45.77234905,B875,_,01090,102
B875__03040.102,8.73363633020757,45.749848459999995,B875,_,03040,102
B875__02040.102,8.725610626451541,45.762384350000005,B875,_,02040,102
B875__03020.1020,8.719963379056516,45.758951535,B875,_,03020,1020
B875__02020.1021,8.718079453809175,45.76891227,B875,_,02020,1021
B875__03020.1021,8.720239272645344,45.758620435,B875,_,03020,1021
B875__02020.1022,8.715918453387555,45.768292165,B875,_,02020,1022
B875__03010.1022,8.71955692307466,45.758454920000005,B875,_,03010,1022
B875__02010.1023,8.715288926884277,45.768434835,B875,_,02010,1023
B875__03010.1023,8.71988587529413,45.758271615,B875,_,03010,1023
B875__02010.1024,8.714616324672978,45.768652885,B875,_,02010,1024
B875__03020.1024,8.719929920637732,45.757892389999995,B875,_,03020,1024
B875__02010.1025,8.7136460063364,45.768858655,B875,_,02010,1025
B875__03040.1025,8.725521448049879,45.75179611,B875,_,03040,1025
B875__02080.1026,8.734520752169697,45.751422500000004,B875,_,02080,1026
B875__03040.1026,8.7257443334419,45.75132219,B875,_,03040,1026
B875__02080.1027,8.734118618330356,45.750812865,B875,_,02080,1027
B875__02080.1028,8.733384364112935,45.751197915000006,B875,_,02080,1028
B875__03060.1028,8.731822168960315,45.739250615,B875,_,03060,1028
B875__02080.1029,8.733803846360997,45.75130705,B875,_,02080,1029
B875__03060.1029,8.731885341983926,45.738421970000005,B875,_,03060,1029
B875__01090.103,8.74874766359795,45.77080072,B875,_,01090,103
B875__03040.103,8.731411063500001,45.752252659999996,B875,_,03040,103
B875__02040.103,8.725525147959539,45.76292069,B875,_,02040,103
B875__02080.1030,8.733683265830157,45.751047580000005,B875,_,02080,1030
B875__03070.1030,8.735468515652034,45.738766260000006,B875,_,03070,1030
B875__02080.1031,8.740280880565923,45.7542391,B875,_,02080,1031
B875__03070.1031,8.735484705810777,45.738298580000006,B875,_,03070,1031
B875__03060.1032,8.731451763318121,45.74344992,B875,_,03060,1032
B875__03060.1033,8.733711939085955,45.743198025,B875,_,03060,1033
