nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B883__00010.1,8.47824559725947,45.493591785,B883,_,00010,1
B883__00190.1,8.503152054887675,45.476543895,B883,_,00190,1
B883__00180.1,8.492660473580912,45.476426605,B883,_,00180,1
B883__00170.1,8.486509512811208,45.477513044999995,B883,_,00170,1
B883__00160.1,8.491625003963467,45.482932250000005,B883,_,00160,1
B883__00150.1,8.478833124955155,45.48164708,B883,_,00150,1
B883__00140.1,8.471100883271482,45.490069704999996,B883,_,00140,1
B883__00110.1,8.494999263892634,45.49075672,B883,_,00110,1
B883__00100.1,8.510479439316757,45.4874629,B883,_,00100,1
B883__00090.1,8.51751148734564,45.491195125000004,B883,_,00090,1
B883__00070.1,8.527001505634765,45.50213691,B883,_,00070,1
B883__00060.1,8.519762806147028,45.49877583,B883,_,00060,1
B883__00050.1,8.512315236355391,45.49882711,B883,_,00050,1
B883__00040.1,8.504875469381604,45.49781231,B883,_,00040,1
B883__00030.1,8.495682742841868,45.498852695,B883,_,00030,1
B883__00020.1,8.493897996351553,45.498421435,B883,_,00020,1
B883__00010.10,8.481036647069722,45.493504855,B883,_,00010,10
B883__00190.10,8.503803511956626,45.47451245,B883,_,00190,10
B883__00180.10,8.494575680139352,45.47434842,B883,_,00180,10
B883__00160.10,8.489817841811515,45.47642155,B883,_,00160,10
B883__00150.10,8.482980177258607,45.47911566,B883,_,00150,10
B883__00140.10,8.475450565140076,45.488271405000006,B883,_,00140,10
B883__00120.10,8.501418414488851,45.480973155,B883,_,00120,10
B883__00110.10,8.49794251918693,45.49080137999999,B883,_,00110,10
B883__00100.10,8.509506112330573,45.484070955,B883,_,00100,10
B883__00090.10,8.514528871697225,45.48800376,B883,_,00090,10
B883__00080.10,8.53221378233149,45.487821885,B883,_,00080,10
B883__00070.10,8.531474263762917,45.50005297,B883,_,00070,10
B883__00060.10,8.52159361237507,45.493050104999995,B883,_,00060,10
B883__00040.10,8.507634150610649,45.49582352,B883,_,00040,10
B883__00030.10,8.50090232637935,45.498643075000004,B883,_,00030,10
B883__00020.10,8.488696984393595,45.496266685,B883,_,00020,10
B883__00130.100,8.492810625316094,45.486480305,B883,_,00130,100
B883__00130.1004,8.490687528251545,45.48587789,B883,_,00130,1004
B883__00130.1005,8.495708447444791,45.487082404999995,B883,_,00130,1005
B883__00130.1006,8.495280126097466,45.48839303,B883,_,00130,1006
B883__00130.1007,8.495681833611812,45.488656815,B883,_,00130,1007
B883__00130.1008,8.494057177325203,45.484941840000005,B883,_,00130,1008
B883__00130.1009,8.494904976701653,45.48857411,B883,_,00130,1009
B883__00010.101,8.486022120330837,45.49436005,B883,_,00010,101
B883__00130.101,8.49288214390889,45.486405145,B883,_,00130,101
B883__00020.101,8.486304394752985,45.495845700000004,B883,_,00020,101
B883__00130.1011,8.493834701038843,45.489100645,B883,_,00130,1011
B883__00130.1012,8.49262479513891,45.486089504999995,B883,_,00130,1012
B883__00130.1014,8.495652329879533,45.48882032,B883,_,00130,1014
B883__00130.1015,8.493165202298323,45.48635199,B883,_,00130,1015
B883__00130.1016,8.492273096212866,45.490230335,B883,_,00130,1016
B883__00130.1019,8.489862952916262,45.48679149,B883,_,00130,1019
B883__00010.102,8.486036359543753,45.493115645,B883,_,00010,102
B883__00130.102,8.493117199405257,45.4864488,B883,_,00130,102
B883__00110.102,8.497342907277229,45.491454995,B883,_,00110,102
B883__00020.102,8.493055919693216,45.497454115,B883,_,00020,102
B883__00130.1020,8.493202987528406,45.487368169999996,B883,_,00130,1020
B883__00130.1022,8.494644630616097,45.487150485,B883,_,00130,1022
B883__00130.1023,8.49456320648223,45.48753086,B883,_,00130,1023
B883__00130.1024,8.494265394306883,45.489027865,B883,_,00130,1024
B883__00130.1025,8.494943082876473,45.48922934,B883,_,00130,1025
B883__00130.1026,8.495454745435698,45.488808899999995,B883,_,00130,1026
B883__00130.1027,8.496037975374016,45.488689545,B883,_,00130,1027
B883__00130.1028,8.49086644385524,45.485029069999996,B883,_,00130,1028
B883__00130.1029,8.493432959694157,45.49120655,B883,_,00130,1029
B883__00010.103,8.480576445191602,45.49271399,B883,_,00010,103
B883__00110.103,8.49748739768627,45.491518935,B883,_,00110,103
B883__00030.103,8.49809845677408,45.49668401,B883,_,00030,103
B883__00020.103,8.489708316227494,45.492845560000006,B883,_,00020,103
B883__00130.1030,8.4933574055257,45.4915631,B883,_,00130,1030
B883__00130.1031,8.493139641020544,45.491396124999994,B883,_,00130,1031
B883__00130.1032,8.49360611965366,45.49095856,B883,_,00130,1032
B883__00010.104,8.480952572283844,45.492032609999995,B883,_,00010,104
B883__00130.104,8.49330223410149,45.486358179999996,B883,_,00130,104
B883__00030.104,8.495779349169508,45.496839535,B883,_,00030,104
B883__00020.104,8.489511837202311,45.49272209,B883,_,00020,104
B883__00010.105,8.48875733360586,45.48844064,B883,_,00010,105
B883__00130.105,8.493028175794128,45.486384095000005,B883,_,00130,105
B883__00020.105,8.495637203499976,45.49231034500001,B883,_,00020,105
B883__00010.106,8.49018128806454,45.491609085,B883,_,00010,106
B883__00130.106,8.492846051461763,45.48649268,B883,_,00130,106
B883__00030.106,8.496666813562754,45.492856785,B883,_,00030,106
B883__00020.106,8.495080450643236,45.492764565,B883,_,00020,106
B883__00020.107,8.49524225639618,45.492786985,B883,_,00020,107
B883__00030.107,8.49694523453758,45.492668345,B883,_,00030,107
B883__00020.108,8.483491416819867,45.49536211,B883,_,00020,108
B883__00130.108,8.493298714430633,45.486182225,B883,_,00130,108
B883__00030.108,8.496143853884476,45.49215011,B883,_,00030,108
B883__00020.109,8.48385729011693,45.495463515,B883,_,00020,109
B883__00130.109,8.493304881865164,45.486122734999995,B883,_,00130,109
B883__00010.11,8.480998171275168,45.49424838,B883,_,00010,11
B883__00190.11,8.509655470842015,45.478354125,B883,_,00190,11
B883__00180.11,8.497457546004004,45.47200634,B883,_,00180,11
B883__00160.11,8.490689193101094,45.476764395000004,B883,_,00160,11
B883__00150.11,8.483897612176134,45.481816935,B883,_,00150,11
B883__00140.11,8.476855201738253,45.48870016,B883,_,00140,11
B883__00120.11,8.503949076836067,45.481559225,B883,_,00120,11
B883__00110.11,8.498694990806227,45.491046505,B883,_,00110,11
