nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B927__00010.1,8.032821798634693,44.05680601,B927,_,00010,1
B927__00440.1,8.063341518990516,44.0319526,B927,_,00440,1
B927__00430.1,8.061429991211885,44.03104139,B927,_,00430,1
B927__00420.1,8.046024951854005,44.022791424999994,B927,_,00420,1
B927__00410.1,8.046456240410887,44.02638528,B927,_,00410,1
B927__00400.1,8.05026953392245,44.032843944999996,B927,_,00400,1
B927__00390.1,8.03963629925467,44.02456737,B927,_,00390,1
B927__00380.1,8.038190301274618,44.028282215000004,B927,_,00380,1
B927__00370.1,8.041994864867728,44.0313085,B927,_,00370,1
B927__00360.1,8.033985087748245,44.03267983,B927,_,00360,1
B927__00350.1,8.02874563136788,44.027638595,B927,_,00350,1
B927__00340.1,8.029783171440194,44.034635345,B927,_,00340,1
B927__00330.1,8.019121103882927,44.02954251,B927,_,00330,1
B927__00320.1,8.014454240958498,44.03296524,B927,_,00320,1
B927__00310.1,8.00714288352803,44.0333105,B927,_,00310,1
B927__00300.1,8.006928134908186,44.02824589,B927,_,00300,1
B927__00290.1,7.9780033568765205,44.01909913,B927,_,00290,1
B927__00280.1,7.9859887482519625,44.02662868,B927,_,00280,1
B927__00270.1,7.98822328144203,44.03315525,B927,_,00270,1
B927__00260.1,8.074252634610179,44.038694865,B927,_,00260,1
B927__00250.1,8.065847150148498,44.035691335,B927,_,00250,1
B927__00240.1,8.063262936462266,44.03939589,B927,_,00240,1
B927__00230.1,8.060744398822042,44.038781505,B927,_,00230,1
B927__00220.1,8.052858373263803,44.034321815,B927,_,00220,1
B927__00210.1,8.04721941375409,44.03761032,B927,_,00210,1
B927__00200.1,8.040463835721297,44.035051179999996,B927,_,00200,1
B927__00190.1,8.039459894080911,44.039010114999996,B927,_,00190,1
B927__00180.1,8.030215159186758,44.0362432,B927,_,00180,1
B927__00170.1,8.034105360481831,44.040576425,B927,_,00170,1
B927__00160.1,8.023752110858803,44.03735566,B927,_,00160,1
B927__00150.1,8.006006360293604,44.033573095,B927,_,00150,1
B927__00140.1,8.070376471052288,44.04188908,B927,_,00140,1
B927__00130.1,8.069368457431727,44.04565035,B927,_,00130,1
B927__00120.1,8.061372164886915,44.042982980000005,B927,_,00120,1
B927__00110.1,8.058700528787522,44.044861645,B927,_,00110,1
B927__00100.1,8.057859691548984,44.04434373,B927,_,00100,1
B927__00090.1,8.048121356280397,44.04239388,B927,_,00090,1
B927__00080.1,8.029975267991542,44.048337185,B927,_,00080,1
B927__00070.1,8.023423008750889,44.049068199999994,B927,_,00070,1
B927__00060.1,8.018410789163614,44.04824072,B927,_,00060,1
B927__00050.1,8.062766758296883,44.047486375000005,B927,_,00050,1
B927__00040.1,8.040350970015783,44.052790175,B927,_,00040,1
B927__00030.1,8.031116619405829,44.052743559999996,B927,_,00030,1
B927__00020.1,8.044400492274654,44.05472609,B927,_,00020,1
B927__00010.10,8.033118043753426,44.056792810000005,B927,_,00010,10
B927__00440.10,8.063940113363293,44.031796990000004,B927,_,00440,10
B927__00430.10,8.061586408306251,44.030569495,B927,_,00430,10
B927__00420.10,8.048203192836624,44.022121874999996,B927,_,00420,10
B927__00410.10,8.048523169658509,44.026318515,B927,_,00410,10
B927__00390.10,8.03852836662863,44.023497954999996,B927,_,00390,10
B927__00380.10,8.041324717563391,44.027800355,B927,_,00380,10
B927__00370.10,8.044646221915112,44.030792430000005,B927,_,00370,10
B927__00360.10,8.034121288967686,44.03203716,B927,_,00360,10
B927__00350.10,8.030416323488213,44.027523815,B927,_,00350,10
B927__00340.10,8.029263708237183,44.033873375,B927,_,00340,10
B927__00330.10,8.018893516223976,44.028611845,B927,_,00330,10
B927__00320.10,8.015020545234586,44.03171807,B927,_,00320,10
B927__00310.10,8.010309098543868,44.03284556,B927,_,00310,10
B927__00300.10,8.006023183012555,44.027349529999995,B927,_,00300,10
B927__00290.10,7.982134389910005,44.018691865,B927,_,00290,10
B927__00280.10,7.991651242908027,44.02663153,B927,_,00280,10
B927__00270.10,7.9916638136924565,44.033079265,B927,_,00270,10
B927__00260.10,8.07383298008019,44.03839538,B927,_,00260,10
B927__00250.10,8.06738923842973,44.03541271,B927,_,00250,10
B927__00240.10,8.065208000679188,44.039468505,B927,_,00240,10
B927__00230.10,8.061317411848327,44.038876055,B927,_,00230,10
B927__00220.10,8.053587096205323,44.033622245000004,B927,_,00220,10
B927__00210.10,8.048980970722756,44.03727647,B927,_,00210,10
B927__00200.10,8.041493826180616,44.035072944999996,B927,_,00200,10
B927__00190.10,8.042182410223912,44.039105320000004,B927,_,00190,10
B927__00180.10,8.031172843217249,44.035875755,B927,_,00180,10
B927__00170.10,8.036162119108234,44.03972602,B927,_,00170,10
B927__00160.10,8.023935480218894,44.03628386,B927,_,00160,10
B927__00150.10,8.00684580558027,44.034617605,B927,_,00150,10
B927__00140.10,8.073212628411445,44.04143958,B927,_,00140,10
B927__00130.10,8.076593887376543,44.04611985,B927,_,00130,10
B927__00120.10,8.061706703158386,44.042872745,B927,_,00120,10
B927__00110.10,8.066132351102095,44.04477305,B927,_,00110,10
B927__00100.10,8.05728619550324,44.04401785,B927,_,00100,10
B927__00090.10,8.05249958484827,44.04246847,B927,_,00090,10
B927__00080.10,8.02953854786484,44.047344475,B927,_,00080,10
B927__00070.10,8.02450545574025,44.04832342,B927,_,00070,10
B927__00060.10,8.018838964282622,44.047458070000005,B927,_,00060,10
B927__00050.10,8.062738378504456,44.05107613,B927,_,00050,10
B927__00040.10,8.048246113990992,44.04298384,B927,_,00040,10
B927__00030.10,8.032588194065681,44.052562995,B927,_,00030,10
B927__00020.10,8.044749375536018,44.05454685,B927,_,00020,10
B927__00010.100,8.035748599310612,44.055953845,B927,_,00010,100
B927__00440.100,8.073221608018152,44.031748065,B927,_,00440,100
B927__00430.100,8.058734865842386,44.028522295,B927,_,00430,100
B927__00420.100,8.061478954576954,44.02286268,B927,_,00420,100
B927__00410.100,8.056064189989566,44.026979225000005,B927,_,00410,100
B927__00390.100,8.037016754760103,44.02052338,B927,_,00390,100
B927__00380.100,8.043935260717674,44.02677231,B927,_,00380,100
B927__00360.100,8.036629449271548,44.030827155,B927,_,00360,100
B927__00350.100,8.033111404758568,44.0269177,B927,_,00350,100
B927__00340.100,8.033758632507592,44.03247028,B927,_,00340,100
B927__00330.100,8.023973004267313,44.02824004,B927,_,00330,100
B927__00320.100,8.021986361889066,44.033363195,B927,_,00320,100
B927__00310.100,8.01448008628729,44.028975965,B927,_,00310,100
B927__00300.100,8.008494109461424,44.02659087,B927,_,00300,100
B927__00290.100,7.984267896770151,44.016976415,B927,_,00290,100
B927__00280.100,7.995019531511328,44.02618368,B927,_,00280,100
B927__00270.100,7.989654864618355,44.032205015,B927,_,00270,100
B927__00260.100,8.073751052458203,44.036311275,B927,_,00260,100
B927__00250.100,8.064247362045084,44.034457145000005,B927,_,00250,100
B927__00240.100,8.066253555517667,44.0376981,B927,_,00240,100
B927__00230.100,8.060523275747723,44.036008075,B927,_,00230,100
B927__00220.100,8.061876640969222,44.032704390000006,B927,_,00220,100
B927__00210.100,8.052039814182702,44.036973845,B927,_,00210,100
B927__00200.100,8.045285032991647,44.034641905,B927,_,00200,100
B927__00190.100,8.039449498230937,44.036194635,B927,_,00190,100
B927__00180.100,8.033659702250805,44.035016354999996,B927,_,00180,100
B927__00170.100,8.029804260988872,44.038372065000004,B927,_,00170,100
B927__00160.100,8.0243651113374,44.034978725,B927,_,00160,100
B927__00150.100,8.012160404058477,44.034028805,B927,_,00150,100
B927__00140.100,8.076708233369565,44.039585835,B927,_,00140,100
B927__00130.100,8.070283334407879,44.043557135,B927,_,00130,100
B927__00120.100,8.068721545398482,44.042310220000005,B927,_,00120,100
B927__00110.100,8.062233451855047,44.04501582,B927,_,00110,100
B927__00100.100,8.058833107627716,44.042719395,B927,_,00100,100
B927__00090.100,8.046995079820546,44.041590925,B927,_,00090,100
B927__00080.100,8.030327858614708,44.045727825,B927,_,00080,100
B927__00070.100,8.028574366657312,44.04763493,B927,_,00070,100
B927__00060.100,8.018645357231499,44.04055039,B927,_,00060,100
B927__00050.100,8.06852123350573,44.050155925,B927,_,00050,100
B927__00040.100,8.040892968771633,44.048674489999996,B927,_,00040,100
B927__00030.100,8.031425503160566,44.05101936,B927,_,00030,100
B927__00020.100,8.04685964752307,44.052063465,B927,_,00020,100
B927__00010.101,8.035809885877875,44.05595776,B927,_,00010,101
B927__00440.101,8.073378135936181,44.031808999999996,B927,_,00440,101
B927__00430.101,8.058816083991104,44.028761290000006,B927,_,00430,101
B927__00420.101,8.0620012613382,44.02348569,B927,_,00420,101
B927__00410.101,8.055836526696101,44.026914035,B927,_,00410,101
B927__00400.101,8.050570035330885,44.03039433,B927,_,00400,101
B927__00390.101,8.036940576763556,44.02011616,B927,_,00390,101
B927__00380.101,8.044381761591765,44.026589295,B927,_,00380,101
B927__00370.101,8.041851722398086,44.030108225,B927,_,00370,101
B927__00360.101,8.036632037841699,44.030946549999996,B927,_,00360,101
B927__00350.101,8.03332227560659,44.027213814999996,B927,_,00350,101
B927__00340.101,8.033882250623126,44.032460505,B927,_,00340,101
B927__00330.101,8.023228176963109,44.027993605,B927,_,00330,101
B927__00320.101,8.021982876272041,44.033270814999995,B927,_,00320,101
B927__00310.101,8.01427357351638,44.029924025,B927,_,00310,101
B927__00290.101,7.98431183766696,44.017336645,B927,_,00290,101
