nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
B947B_09040.1,9.909187177881158,45.750105785,B947,B,09040,1
B947A_09010.10,9.915746449859402,45.745567025,B947,A,09010,10
B947A_09030.100,9.92013191270464,45.745128955,B947,A,09030,100
B947B_09070.1001,9.908154716046983,45.742373924999995,B947,B,09070,1001
B947B_09020.1002,9.908820995083603,45.758320174999994,B947,B,09020,1002
B947A_09030.1003,9.913587213045705,45.74233751,B947,A,09030,1003
B947B_09020.1003,9.90647583035118,45.758178465,B947,B,09020,1003
B947A_09030.1004,9.913234363647625,45.74226409,B947,A,09030,1004
B947B_09020.1004,9.90683970244066,45.759207865,B947,B,09020,1004
B947A_09010.1005,9.912746453403837,45.745814644999996,B947,A,09010,1005
B947A_09030.1006,9.912738202423242,45.74555024,B947,A,09030,1006
B947B_09020.1006,9.906187315079347,45.759184090000005,B947,B,09020,1006
B947A_09010.1007,9.91249087076172,45.74603501,B947,A,09010,1007
B947B_09020.1007,9.9057499998835,45.758448040000005,B947,B,09020,1007
B947A_09010.1008,9.91262921171348,45.745976975000005,B947,A,09010,1008
B947B_09020.1008,9.905663306725165,45.758842505000004,B947,B,09020,1008
B947B_09070.1009,9.908536373135501,45.73948681,B947,B,09070,1009
B947B_09020.1010,9.905067731207076,45.760116620000005,B947,B,09020,1010
B947B_09020.1011,9.905450001272383,45.7600315,B947,B,09020,1011
B947B_09020.1012,9.905843432185993,45.75999173,B947,B,09020,1012
B947B_09020.1013,9.905104554013258,45.76092439,B947,B,09020,1013
B947A_09030.1014,9.910417064958132,45.73921774,B947,A,09030,1014
B947B_09020.1014,9.904988933535677,45.76069371,B947,B,09020,1014
B947A_09030.1016,9.911104980095118,45.74280077,B947,A,09030,1016
B947B_09020.1016,9.904436295010255,45.758733515,B947,B,09020,1016
B947A_09030.1017,9.909924212450992,45.742211170000004,B947,A,09030,1017
B947B_09020.1017,9.904149415293919,45.760763795,B947,B,09020,1017
B947B_09020.1018,9.90206213499674,45.76119308,B947,B,09020,1018
B947A_09030.1019,9.910798526155382,45.742515005,B947,A,09030,1019
B947A_09010.102,9.918942424262482,45.74577676,B947,A,09010,102
B947B_09040.102,9.902393259560895,45.74985544,B947,B,09040,102
B947B_09020.1022,9.903639743274807,45.761424489999996,B947,B,09020,1022
B947B_09020.1024,9.9018202922454,45.76185105,B947,B,09020,1024
B947A_09030.1027,9.910652686024097,45.743351880000006,B947,A,09030,1027
B947A_0905.103,9.914647099381956,45.745903014999996,B947,A,0905,103
B947B_09040.103,9.90186758015286,45.750031289999995,B947,B,09040,103
B947B_09020.1030,9.901350944124877,45.759369705,B947,B,09020,1030
B947A_09010.1031,9.91067948730343,45.745964869999995,B947,A,09010,1031
B947A_0905.1033,9.910318552026183,45.748466355,B947,A,0905,1033
B947B_09020.1033,9.900760327611083,45.757691845,B947,B,09020,1033
B947A_0905.1034,9.910237304698903,45.748565185000004,B947,A,0905,1034
B947A_0905.1036,9.910363799712481,45.74851973,B947,A,0905,1036
B947B_09020.1036,9.901878367383194,45.757896450000004,B947,B,09020,1036
B947B_09020.1037,9.90195838017127,45.75710909,B947,B,09020,1037
B947A_09010.104,9.919250809921657,45.7463221,B947,A,09010,104
B947B_09040.104,9.90208325479506,45.750116765,B947,B,09040,104
B947A_0905.1040,9.910731636910338,45.74813886,B947,A,0905,1040
B947A_0905.1041,9.91072396698626,45.748099505,B947,A,0905,1041
B947B_09020.1041,9.901520702692702,45.75636316,B947,B,09020,1041
B947A_0905.1042,9.91117197048332,45.747856785,B947,A,0905,1042
B947B_09020.1042,9.902412203973846,45.75702209,B947,B,09020,1042
B947A_0905.1044,9.911512597219044,45.747947839999995,B947,A,0905,1044
B947B_09020.1044,9.902675289028828,45.757397104999995,B947,B,09020,1044
B947A_0905.1045,9.911462382234394,45.747858730000004,B947,A,0905,1045
B947B_09070.1045,9.907131459297242,45.743292295,B947,B,09070,1045
B947A_0905.1046,9.910878494803466,45.749390665,B947,A,0905,1046
B947B_09020.1046,9.906865578144068,45.75687658,B947,B,09020,1046
B947B_09020.1047,9.908516552672628,45.756651985000005,B947,B,09020,1047
B947B_09020.1048,9.909273311495081,45.756588535000006,B947,B,09020,1048
B947A_09010.1049,9.912933473178036,45.751323,B947,A,09010,1049
B947B_09020.1049,9.90929011120744,45.757163055,B947,B,09020,1049
B947B_09040.105,9.901539476566839,45.750303705,B947,B,09040,105
