nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C096__00010.1,14.106783502303713,41.839825365,C096,_,00010,1
C096__00720.1,14.11053622236755,41.71892338,C096,_,00720,1
C096__00710.1,14.114109487302226,41.719712685,C096,_,00710,1
C096__00700.1,14.117721776161414,41.727451145,C096,_,00700,1
C096__00690.1,14.107020944347141,41.736052195,C096,_,00690,1
C096__00680.1,14.095926725675643,41.73381279,C096,_,00680,1
C096__00670.1,14.121608346507797,41.748407349999994,C096,_,00670,1
C096__00660.1,14.108994191915125,41.749007515,C096,_,00660,1
C096__00650.1,14.095748721464616,41.74870865,C096,_,00650,1
C096__00640.1,14.15707497290031,41.755074795,C096,_,00640,1
C096__00630.1,14.138191734474209,41.758449135,C096,_,00630,1
C096__00620.1,14.124436142010678,41.757368535,C096,_,00620,1
C096__00610.1,14.115802956989095,41.760638995,C096,_,00610,1
C096__00600.1,14.106958866802803,41.765259545,C096,_,00600,1
C096__00590.1,14.194247339078712,41.773625495000005,C096,_,00590,1
C096__00580.1,14.156239527553566,41.765745025,C096,_,00580,1
C096__00570.1,14.139930980337635,41.76846279,C096,_,00570,1
C096__00560.1,14.133582725432667,41.770362785,C096,_,00560,1
C096__00550.1,14.1237192194269,41.768037115,C096,_,00550,1
C096__00540.1,14.109772261796081,41.767463629999995,C096,_,00540,1
C096__00530.1,14.100075036290711,41.767927255000004,C096,_,00530,1
C096__00510.1,14.153357096031987,41.774313835,C096,_,00510,1
C096__00490.1,14.120496575065292,41.777214325,C096,_,00490,1
C096__00470.1,14.107989764216853,41.783529959999996,C096,_,00470,1
C096__00460.1,14.088928103228966,41.775968945,C096,_,00460,1
C096__00450.1,14.083673649203332,41.775908185,C096,_,00450,1
C096__00430.1,14.150846912282159,41.783684480000005,C096,_,00430,1
C096__00420.1,14.146076014208772,41.788066615,C096,_,00420,1
C096__00410.1,14.135188605751924,41.789513745,C096,_,00410,1
C096__00390.1,14.118441502921367,41.78796252,C096,_,00390,1
C096__00370.1,14.117093993493068,41.78843865,C096,_,00370,1
C096__00360.1,14.111242175748199,41.792807260000004,C096,_,00360,1
C096__00340.1,14.105105548895843,41.787881935,C096,_,00340,1
C096__00330.1,14.086620859649381,41.78626812,C096,_,00330,1
C096__00320.1,14.097857492664733,41.792036949999996,C096,_,00320,1
C096__00310.1,14.073513393561715,41.776703315,C096,_,00310,1
C096__00300.1,14.085835501085414,41.788836145,C096,_,00300,1
C096__00290.1,14.158953734157347,41.807137159999996,C096,_,00290,1
C096__00280.1,14.15319089578864,41.812629525000006,C096,_,00280,1
C096__00270.1,14.14335518033414,41.805881075,C096,_,00270,1
C096__00260.1,14.140375164804498,41.805126565,C096,_,00260,1
C096__00240.1,14.117989324518334,41.797710415,C096,_,00240,1
C096__00230.1,14.105264002694097,41.80013002,C096,_,00230,1
C096__00220.1,14.108141902280297,41.8054982,C096,_,00220,1
C096__00210.1,14.125015303898536,41.8071586,C096,_,00210,1
C096__00200.1,14.13752809073565,41.815714395,C096,_,00200,1
C096__00190.1,14.119449922532562,41.814773024999994,C096,_,00190,1
C096__00180.1,14.109201945463646,41.81441428,C096,_,00180,1
C096__00160.1,14.101758848940616,41.81392711,C096,_,00160,1
C096__00140.1,14.091991574869411,41.799668085,C096,_,00140,1
C096__00120.1,14.061253397193042,41.804026965,C096,_,00120,1
C096__00110.1,14.047670268137876,41.792479055,C096,_,00110,1
C096__00100.1,14.132728705326183,41.821450944999995,C096,_,00100,1
C096__00090.1,14.132578598174865,41.821019215,C096,_,00090,1
C096__00080.1,14.122265220949878,41.81991846,C096,_,00080,1
C096__00070.1,14.114598926379447,41.826208995,C096,_,00070,1
C096__00060.1,14.10411789524448,41.82981481,C096,_,00060,1
C096__00050.1,14.138757322131546,41.830919545,C096,_,00050,1
C096__00040.1,14.126855067171363,41.834201295,C096,_,00040,1
C096__00030.1,14.128794832408413,41.83011595,C096,_,00030,1
C096__00020.1,14.12574177931074,41.83373822,C096,_,00020,1
C096__00010.10,14.107287708469773,41.839313055000005,C096,_,00010,10
C096__00720.10,14.10806549329377,41.713036235,C096,_,00720,10
C096__00710.10,14.114609794250581,41.71398646,C096,_,00710,10
