nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C117__00010.1,11.968877355251891,42.737391645,C117,_,00010,1
C117__00490.1,12.008489842470757,42.677220340000005,C117,_,00490,1
C117__00480.1,12.004462626031906,42.67529677500001,C117,_,00480,1
C117__00460.1,12.011260872153057,42.686023795,C117,_,00460,1
C117__00450.1,11.999457640836914,42.687798060000006,C117,_,00450,1
C117__00440.1,11.970080819842343,42.676846695,C117,_,00440,1
C117__00410.1,11.977874913236239,42.690742555,C117,_,00410,1
C117__00400.1,11.973284875612997,42.68005554,C117,_,00400,1
C117__00390.1,11.960054674215165,42.69057666,C117,_,00390,1
C117__00380.1,11.953367380197687,42.692349730000004,C117,_,00380,1
C117__00370.1,11.94992226763483,42.695777570000004,C117,_,00370,1
C117__00360.1,12.01801433346553,42.702190555,C117,_,00360,1
C117__00350.1,12.019893528299779,42.704058,C117,_,00350,1
C117__00340.1,12.01319097094459,42.704921150000004,C117,_,00340,1
C117__00330.1,12.005193759274473,42.706319300000004,C117,_,00330,1
C117__00310.1,11.98962198465594,42.700783869999995,C117,_,00310,1
C117__00300.1,11.980829481287746,42.7031955,C117,_,00300,1
C117__00290.1,11.973923768941336,42.70497392,C117,_,00290,1
C117__00280.1,11.964293874321477,42.70061003,C117,_,00280,1
C117__00250.1,11.939097822686893,42.705852375,C117,_,00250,1
C117__00240.1,12.02168530494235,42.711993445000004,C117,_,00240,1
C117__00220.1,11.984683841264593,42.707794820000004,C117,_,00220,1
C117__00210.1,11.983536914205674,42.707319080000005,C117,_,00210,1
C117__00190.1,11.97459764597161,42.710628525000004,C117,_,00190,1
C117__00180.1,11.971698923713074,42.714944085,C117,_,00180,1
C117__00170.1,11.948587490917594,42.711069885,C117,_,00170,1
C117__00160.1,11.936151044709767,42.71193563,C117,_,00160,1
C117__00150.1,11.935788243314427,42.717110500000004,C117,_,00150,1
C117__00140.1,12.007010433624117,42.718168199999994,C117,_,00140,1
C117__00130.1,11.997795027224761,42.718091079999994,C117,_,00130,1
C117__00120.1,11.982272946537037,42.714712325,C117,_,00120,1
C117__00110.1,11.970841081108883,42.721694389999996,C117,_,00110,1
C117__00080.1,11.946581487323487,42.725677045,C117,_,00080,1
C117__00060.1,12.003190408226093,42.72886639,C117,_,00060,1
C117__00050.1,11.999276420550672,42.722786755,C117,_,00050,1
C117__00020.1,11.962749641317345,42.73165126,C117,_,00020,1
C117__00020.10,11.968021139719148,42.724518355,C117,_,00020,10
C117__00490.10,12.01200771856982,42.666698124999996,C117,_,00490,10
C117__00480.10,12.004602392474778,42.670784319999996,C117,_,00480,10
C117__00470.10,11.994053461811642,42.67482554,C117,_,00470,10
C117__00460.10,12.015368144514907,42.684357545,C117,_,00460,10
C117__00450.10,11.99819147486045,42.683113015,C117,_,00450,10
C117__00420.10,11.990741578986732,42.687799285,C117,_,00420,10
C117__00400.10,11.968567306076636,42.688780725,C117,_,00400,10
C117__00390.10,11.958345871281175,42.687267645000006,C117,_,00390,10
C117__00370.10,11.951709620461632,42.694292165,C117,_,00370,10
C117__00360.10,12.01603934389956,42.69712114,C117,_,00360,10
C117__00340.10,12.010420404331573,42.700992655,C117,_,00340,10
C117__00330.10,12.008370299289794,42.705220145,C117,_,00330,10
C117__00320.10,11.994095344885489,42.703000015,C117,_,00320,10
C117__00310.10,11.993951275630597,42.69679504,C117,_,00310,10
C117__00300.10,11.983334403742646,42.69866976,C117,_,00300,10
C117__00290.10,11.97560721716907,42.7044667,C117,_,00290,10
C117__00280.10,11.969008318642137,42.702033515,C117,_,00280,10
C117__00270.10,11.953820825523394,42.699058895,C117,_,00270,10
C117__00260.10,11.95023376303789,42.70320778,C117,_,00260,10
