nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C130__00010.1,12.797877487074775,38.079776935,C130,_,00010,1
C130__00910.1,12.877263957543938,38.02654398,C130,_,00910,1
C130__00900.1,12.881661394724578,38.030581655,C130,_,00900,1
C130__00890.1,12.829089017956235,37.957893674999994,C130,_,00890,1
C130__00880.1,12.810209522354103,37.954890735,C130,_,00880,1
C130__00870.1,12.876682741113264,37.970210574999996,C130,_,00870,1
C130__00860.1,12.874169892464245,37.966849235,C130,_,00860,1
C130__00840.1,12.83637359680991,37.964753035,C130,_,00840,1
C130__00830.1,12.825205176022223,37.971461475,C130,_,00830,1
C130__00820.1,12.822998833803705,37.96658802,C130,_,00820,1
C130__00810.1,12.807996468857006,37.963730815000005,C130,_,00810,1
C130__00800.1,12.852831338819131,37.965190955,C130,_,00800,1
C130__00770.1,12.825324314407457,37.979518115,C130,_,00770,1
C130__00760.1,12.834984183286473,37.985794625,C130,_,00760,1
C130__00740.1,12.812482712096699,37.973998984999994,C130,_,00740,1
C130__00730.1,12.804281271437834,37.976478349999994,C130,_,00730,1
C130__00710.1,12.899111684772379,37.986400125,C130,_,00710,1
C130__00700.1,12.88408512976759,37.98014697,C130,_,00700,1
C130__00680.1,12.872176098053593,37.98459842,C130,_,00680,1
C130__00670.1,12.861035371168303,37.984153285,C130,_,00670,1
C130__00650.1,12.831484430311967,37.99889336,C130,_,00650,1
C130__00640.1,12.800848919794046,37.992572635,C130,_,00640,1
C130__00620.1,12.914089940822755,37.999711105,C130,_,00620,1
C130__00590.1,12.89298384278461,38.007398105,C130,_,00590,1
C130__00580.1,12.89663670962425,38.016732085,C130,_,00580,1
C130__00570.1,12.886913288068987,38.017589845,C130,_,00570,1
C130__00560.1,12.869861039122142,38.00034095,C130,_,00560,1
C130__00550.1,12.868869828560307,37.993044714999996,C130,_,00550,1
C130__00540.1,12.83489712182283,38.004127925000006,C130,_,00540,1
C130__00530.1,12.830208237739257,38.009161605,C130,_,00530,1
C130__00520.1,12.782671926534395,37.99166105,C130,_,00520,1
C130__00500.1,12.888085002875806,38.027205095,C130,_,00500,1
C130__00470.1,12.861822162494597,38.02951765,C130,_,00470,1
C130__00460.1,12.8564792361608,38.030998975,C130,_,00460,1
C130__00440.1,12.820479622662624,38.015473365,C130,_,00440,1
C130__00430.1,12.819686062071199,38.016579075,C130,_,00430,1
C130__00420.1,12.787728451278639,38.011862715,C130,_,00420,1
C130__00400.1,12.751372776006548,38.022746135000006,C130,_,00400,1
C130__00360.1,12.843381018506868,38.032320775,C130,_,00360,1
C130__00340.1,12.82376101535603,38.030690899999996,C130,_,00340,1
C130__00330.1,12.81375097950325,38.021626725000004,C130,_,00330,1
C130__00320.1,12.809312824436262,38.031185385,C130,_,00320,1
C130__00310.1,12.795458672533547,38.02150796,C130,_,00310,1
C130__00300.1,12.808820344069218,38.031280435,C130,_,00300,1
C130__00290.1,12.789532999929278,38.02428448,C130,_,00290,1
C130__00280.1,12.836759584060355,38.03988406,C130,_,00280,1
C130__00270.1,12.833743830799662,38.038840025,C130,_,00270,1
C130__00250.1,12.794926403039415,38.0333076,C130,_,00250,1
C130__00240.1,12.782470353613395,38.03592677,C130,_,00240,1
C130__00210.1,12.755986828898328,38.0310222,C130,_,00210,1
C130__00200.1,12.852281856932667,38.052522585000006,C130,_,00200,1
C130__00160.1,12.796046722763908,38.045850945,C130,_,00160,1
C130__00150.1,12.78164379710661,38.038626705,C130,_,00150,1
C130__00140.1,12.77131922328655,38.037173975,C130,_,00140,1
