nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C160__00030.1,8.22377463129277,45.09669755,C160,_,00030,1
C160__00140.1,8.213884905075677,45.05801613,C160,_,00140,1
C160__00120.1,8.222713028390444,45.072201925,C160,_,00120,1
C160__00110.1,8.253775464817888,45.07661897,C160,_,00110,1
C160__00090.1,8.233555954863787,45.071285315,C160,_,00090,1
C160__00080.1,8.218428613084757,45.080053899999996,C160,_,00080,1
C160__00070.1,8.235738290891884,45.08814632,C160,_,00070,1
C160__00060.1,8.23111632381562,45.08947277,C160,_,00060,1
C160__00050.1,8.217781813371888,45.09363918,C160,_,00050,1
C160__00040.1,8.231179489349262,45.093324685,C160,_,00040,1
C160__00030.10,8.225041671445254,45.095442055,C160,_,00030,10
C160__00140.10,8.216952905588844,45.05832566,C160,_,00140,10
C160__00130.10,8.230103889381102,45.065960835,C160,_,00130,10
C160__00120.10,8.22430121664458,45.071289215,C160,_,00120,10
C160__00110.10,8.255853234561886,45.075500504999994,C160,_,00110,10
C160__00100.10,8.246001550519528,45.074972020000004,C160,_,00100,10
C160__00090.10,8.234931514931258,45.070561075,C160,_,00090,10
C160__00080.10,8.219870578299222,45.07945841,C160,_,00080,10
C160__00070.10,8.241591596291252,45.08856668,C160,_,00070,10
C160__00060.10,8.225891724018979,45.087492845,C160,_,00060,10
C160__00050.10,8.217499924875916,45.092011205,C160,_,00050,10
C160__00040.10,8.234824989855909,45.092411105,C160,_,00040,10
C160__00030.100,8.228588698623103,45.091575245,C160,_,00030,100
C160__00140.100,8.230906683843305,45.053625705,C160,_,00140,100
C160__00120.100,8.227096673264008,45.068918485,C160,_,00120,100
C160__00110.100,8.255375571893492,45.06915209,C160,_,00110,100
C160__00090.100,8.238985166733954,45.06439652,C160,_,00090,100
C160__00080.100,8.222922801860372,45.07985339,C160,_,00080,100
C160__00070.100,8.238351880518477,45.081889110000006,C160,_,00070,100
C160__00060.100,8.230056119377704,45.08587942,C160,_,00060,100
C160__00050.100,8.217243700382909,45.08559538,C160,_,00050,100
C160__00040.100,8.24469107269868,45.091573135000004,C160,_,00040,100
C160__00030.101,8.228916623700986,45.091575245,C160,_,00030,101
C160__00140.101,8.232329896682483,45.054170905,C160,_,00140,101
C160__00130.101,8.228093201606537,45.064033565,C160,_,00130,101
C160__00120.101,8.225724586457162,45.067752885,C160,_,00120,101
C160__00110.101,8.255368813653597,45.06896724,C160,_,00110,101
C160__00100.101,8.254070183971162,45.074517695,C160,_,00100,101
C160__00090.101,8.239878624953256,45.06407084,C160,_,00090,101
C160__00080.101,8.223611613892926,45.079119675,C160,_,00080,101
C160__00070.101,8.23632530120566,45.08213645,C160,_,00070,101
C160__00050.101,8.217907519529941,45.08617339,C160,_,00050,101
C160__00040.101,8.243831362263524,45.09168089,C160,_,00040,101
C160__00030.102,8.22558319034114,45.093864429999996,C160,_,00030,102
C160__00140.102,8.230326780602015,45.05205268,C160,_,00140,102
C160__00130.102,8.228254578677133,45.064003525000004,C160,_,00130,102
C160__00120.102,8.226035519467263,45.067764675,C160,_,00120,102
C160__00110.102,8.25473862229467,45.068201355,C160,_,00110,102
C160__00090.102,8.240113721141181,45.064797060000004,C160,_,00090,102
C160__00080.102,8.223775962812335,45.07930967,C160,_,00080,102
C160__00060.102,8.231064291393162,45.085635205,C160,_,00060,102
C160__00050.102,8.218531241491602,45.086011875,C160,_,00050,102
C160__00040.102,8.243800635024595,45.091512045,C160,_,00040,102
C160__00030.103,8.226316382247074,45.093589765000004,C160,_,00030,103
C160__00140.103,8.230390922140549,45.05251993,C160,_,00140,103
C160__00120.103,8.226267268700079,45.0679991,C160,_,00120,103
C160__00110.103,8.255286179474906,45.068274405,C160,_,00110,103
C160__00100.103,8.253118093562188,45.07467979,C160,_,00100,103
C160__00090.103,8.240437580865539,45.064531470000006,C160,_,00090,103
C160__00080.103,8.22391841333599,45.078926755,C160,_,00080,103
C160__00070.103,8.235161954504337,45.081521495000004,C160,_,00070,103
C160__00060.103,8.22971289294806,45.08543624,C160,_,00060,103
C160__00050.103,8.218923144253388,45.08621301,C160,_,00050,103
C160__00040.103,8.243633369245064,45.091483275,C160,_,00040,103
C160__00030.104,8.22925667572454,45.09316805,C160,_,00030,104
C160__00140.104,8.230540289651351,45.051315654999996,C160,_,00140,104
C160__00130.104,8.22796957627219,45.063992400000004,C160,_,00130,104
C160__00120.104,8.226567080448547,45.067822095,C160,_,00120,104
C160__00110.104,8.255473218751533,45.0685589,C160,_,00110,104
C160__00100.104,8.252559672102478,45.074628759999996,C160,_,00100,104
C160__00080.104,8.224221022341762,45.07931121,C160,_,00080,104
C160__00070.104,8.236837597382696,45.081519825,C160,_,00070,104
C160__00060.104,8.226775589796874,45.084508205000006,C160,_,00060,104
C160__00050.104,8.218941612258769,45.086665185,C160,_,00050,104
C160__00040.104,8.240306339626477,45.091789985000005,C160,_,00040,104
C160__00030.105,8.22851688707734,45.09320255,C160,_,00030,105
C160__00140.105,8.230987727813158,45.0518757,C160,_,00140,105
C160__00120.105,8.226867383833365,45.067831245,C160,_,00120,105
C160__00110.105,8.254702493484704,45.067853265,C160,_,00110,105
C160__00100.105,8.252565358151227,45.074511255,C160,_,00100,105
C160__00090.105,8.241148412325941,45.06466598,C160,_,00090,105
C160__00080.105,8.224152421582174,45.079022280000004,C160,_,00080,105
C160__00070.105,8.235138726240173,45.08085283,C160,_,00070,105
C160__00060.105,8.227298431655985,45.083827235,C160,_,00060,105
C160__00050.105,8.219275680249183,45.08630763,C160,_,00050,105
C160__00040.105,8.240176348430795,45.0916847,C160,_,00040,105
C160__00030.106,8.228211946155845,45.092771835,C160,_,00030,106
C160__00140.106,8.231108591762197,45.051494085,C160,_,00140,106
C160__00120.106,8.225941307732866,45.06663145,C160,_,00120,106
C160__00110.106,8.255260936735962,45.06787598,C160,_,00110,106
C160__00100.106,8.253158095683172,45.07447626,C160,_,00100,106
C160__00090.106,8.23556811431679,45.07167293,C160,_,00090,106
C160__00080.106,8.224371057543216,45.079807245,C160,_,00080,106
C160__00070.106,8.235325260743974,45.08031221,C160,_,00070,106
C160__00050.106,8.219400573861009,45.08550823,C160,_,00050,106
C160__00040.106,8.239994857585142,45.091562455,C160,_,00040,106
C160__00030.107,8.229362368583718,45.091441090000004,C160,_,00030,107
C160__00130.107,8.229111260438827,45.063593725000004,C160,_,00130,107
C160__00120.107,8.225781117830252,45.067119515,C160,_,00120,107
C160__00110.107,8.255610141386274,45.067812489999994,C160,_,00110,107
C160__00100.107,8.252841291918863,45.074085415,C160,_,00100,107
C160__00090.107,8.23557812175029,45.070875255,C160,_,00090,107
C160__00080.107,8.225034543911558,45.079888655000005,C160,_,00080,107
C160__00070.107,8.236969762184486,45.08056162,C160,_,00070,107
C160__00060.107,8.228546763880988,45.085247575,C160,_,00060,107
C160__00050.107,8.219700603564132,45.087265175,C160,_,00050,107
C160__00040.107,8.240184271757833,45.09091449,C160,_,00040,107
C160__00030.108,8.229361785951841,45.099485830000006,C160,_,00030,108
C160__00140.108,8.2315522682924,45.052389725,C160,_,00140,108
C160__00130.108,8.227846277181076,45.063706065,C160,_,00130,108
C160__00120.108,8.225960553978215,45.067221695,C160,_,00120,108
C160__00110.108,8.254704082069683,45.06762734,C160,_,00110,108
C160__00090.108,8.236344927411004,45.07112019,C160,_,00090,108
C160__00080.108,8.225381006105845,45.079744004999995,C160,_,00080,108
C160__00070.108,8.238518861036745,45.08175195,C160,_,00070,108
C160__00060.108,8.228675898552773,45.08467745,C160,_,00060,108
C160__00050.108,8.220022141377331,45.08728452,C160,_,00050,108
C160__00040.108,8.240561490956662,45.091031255000004,C160,_,00040,108
C160__00030.109,8.230547435580704,45.09135413,C160,_,00030,109
C160__00140.109,8.232201742909867,45.05251723,C160,_,00140,109
C160__00120.109,8.22634935053971,45.067184005,C160,_,00120,109
C160__00110.109,8.255338736076169,45.06769139,C160,_,00110,109
C160__00100.109,8.252790580246481,45.0732565,C160,_,00100,109
C160__00090.109,8.23579409709107,45.070314365,C160,_,00090,109
C160__00080.109,8.227799095275621,45.0798633,C160,_,00080,109
C160__00070.109,8.238450558874797,45.081470755,C160,_,00070,109
C160__00060.109,8.229002136493522,45.08509493,C160,_,00060,109
C160__00050.109,8.219616205705952,45.086996799999994,C160,_,00050,109
C160__00040.109,8.242134251866483,45.09131933,C160,_,00040,109
C160__00030.11,8.225049686739514,45.095225115000005,C160,_,00030,11
C160__00140.11,8.217055581839318,45.058907579999996,C160,_,00140,11
C160__00130.11,8.230221350988993,45.066181005000004,C160,_,00130,11
