nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C166__00010.1,8.575672294299395,45.720328304999995,C166,_,00010,1
C166__00280.1,8.634570151669191,45.692473725,C166,_,00280,1
C166__00270.1,8.637115890114659,45.69663027,C166,_,00270,1
C166__00260.1,8.626065103225457,45.693734475,C166,_,00260,1
C166__00250.1,8.642149520030305,45.703427059999996,C166,_,00250,1
C166__00240.1,8.631261946135997,45.702209255,C166,_,00240,1
C166__00230.1,8.625261653743571,45.70439462,C166,_,00230,1
C166__00220.1,8.640746522692526,45.70925586,C166,_,00220,1
C166__00210.1,8.63587015124145,45.711413379999996,C166,_,00210,1
C166__00200.1,8.634317905610665,45.709810000000004,C166,_,00200,1
C166__00190.1,8.627293611667685,45.710390405,C166,_,00190,1
C166__00180.1,8.62489604266808,45.7068815,C166,_,00180,1
C166__00170.1,8.647850712762878,45.718032975,C166,_,00170,1
C166__00150.1,8.641056813213037,45.71591152,C166,_,00150,1
C166__00140.1,8.623575239814937,45.71503668,C166,_,00140,1
C166__00130.1,8.614312126669596,45.712485674999996,C166,_,00130,1
C166__00120.1,8.605072664436099,45.71268986,C166,_,00120,1
C166__00100.1,8.623025762218681,45.722758805,C166,_,00100,1
C166__00090.1,8.608783358925677,45.71920379,C166,_,00090,1
C166__00060.1,8.608795894420226,45.723485405000005,C166,_,00060,1
C166__00050.1,8.596062431927187,45.7245559,C166,_,00050,1
C166__00010.10,8.578600529935072,45.7181386,C166,_,00010,10
C166__00280.10,8.634332723054634,45.691881615,C166,_,00280,10
C166__00270.10,8.639737157776146,45.697871415,C166,_,00270,10
C166__00260.10,8.627357961445465,45.69405484000001,C166,_,00260,10
C166__00240.10,8.632039304808671,45.701855615,C166,_,00240,10
C166__00230.10,8.620970027724017,45.700459235,C166,_,00230,10
C166__00210.10,8.637677636666943,45.710725795,C166,_,00210,10
C166__00200.10,8.634086283627855,45.70871431,C166,_,00200,10
C166__00190.10,8.625881388640078,45.710180555,C166,_,00190,10
C166__00180.10,8.623610461629351,45.70671802,C166,_,00180,10
C166__00170.10,8.645820762357811,45.715747835,C166,_,00170,10
C166__00160.10,8.64343067836531,45.717168380000004,C166,_,00160,10
C166__00130.10,8.614259554464123,45.710430814999995,C166,_,00130,10
C166__00120.10,8.60878248250181,45.71370976,C166,_,00120,10
C166__00100.10,8.624387454023692,45.719994195,C166,_,00100,10
C166__00090.10,8.614806431122085,45.71872119,C166,_,00090,10
C166__00070.10,8.592944966913805,45.714389600000004,C166,_,00070,10
C166__00060.10,8.609062352640485,45.72386829,C166,_,00060,10
C166__00050.10,8.59623449605909,45.723432020000004,C166,_,00050,10
C166__0004.10,8.587389030111176,45.722063905,C166,_,0004,10
C166__00030.10,8.591923804685418,45.71933473,C166,_,00030,10
C166__00020.10,8.584737715227295,45.719461795,C166,_,00020,10
C166__00030.100,8.586489110943425,45.71946949,C166,_,00030,100
C166__00270.100,8.644208889309725,45.692589330000004,C166,_,00270,100
C166__00260.100,8.632491294190942,45.691655780000005,C166,_,00260,100
C166__00230.100,8.628584224298692,45.70230477,C166,_,00230,100
C166__00220.100,8.64887628645064,45.710022025,C166,_,00220,100
C166__00210.100,8.646958525635782,45.712235109999995,C166,_,00210,100
C166__00190.100,8.629585715436598,45.70977772,C166,_,00190,100
C166__00140.100,8.630025601613436,45.715016785,C166,_,00140,100
C166__00130.100,8.623521869437665,45.714093105,C166,_,00130,100
C166__00120.100,8.612602368757063,45.705753035,C166,_,00120,100
C166__00110.100,8.638146284440044,45.71949127,C166,_,00110,100
C166__00100.100,8.627744977635746,45.717759599999994,C166,_,00100,100
C166__00090.100,8.619431071970492,45.716053725,C166,_,00090,100
C166__00080.100,8.602390990747635,45.716192359999994,C166,_,00080,100
C166__00070.100,8.5908425732683,45.714611935,C166,_,00070,100
C166__0004.100,8.590071319767954,45.721975154999996,C166,_,0004,100
C166__00100.1000,8.633051297898486,45.719428295,C166,_,00100,1000
C166__00220.1000,8.651701939138452,45.709338224999996,C166,_,00220,1000
C166__00210.1000,8.647441523514102,45.712379479999996,C166,_,00210,1000
C166__00200.1000,8.634283890252924,45.709695065,C166,_,00200,1000
C166__00190.1000,8.62820460484452,45.70556779,C166,_,00190,1000
C166__00100.1001,8.637294733305419,45.718384615000005,C166,_,00100,1001
C166__00220.1001,8.651768125661519,45.70917916,C166,_,00220,1001
C166__00210.1001,8.636876846774754,45.711595445,C166,_,00210,1001
C166__00200.1001,8.641257208908144,45.70315471,C166,_,00200,1001
C166__00190.1001,8.625757317968015,45.70448372,C166,_,00190,1001
C166__00100.1002,8.637053493596417,45.718421095,C166,_,00100,1002
C166__00220.1002,8.642276573920068,45.710252645,C166,_,00220,1002
C166__00210.1002,8.647092692875976,45.711924030000006,C166,_,00210,1002
C166__00200.1002,8.634785308542522,45.709363345,C166,_,00200,1002
C166__00190.1002,8.625893650257131,45.704432925,C166,_,00190,1002
C166__00140.1003,8.636364637809365,45.711797585,C166,_,00140,1003
C166__00220.1003,8.642113980898047,45.70934009,C166,_,00220,1003
C166__00210.1003,8.638647000283122,45.71118856,C166,_,00210,1003
C166__00190.1003,8.625971167914752,45.70437251,C166,_,00190,1003
C166__00100.1004,8.63682091874362,45.71834226,C166,_,00100,1004
C166__00220.1004,8.6452590752711,45.70915625,C166,_,00220,1004
C166__00210.1004,8.638811662700242,45.71119571,C166,_,00210,1004
C166__00200.1004,8.636438862950275,45.70763522,C166,_,00200,1004
C166__00190.1004,8.625697033465887,45.704532764999996,C166,_,00190,1004
C166__00100.1005,8.636290772129652,45.7184304,C166,_,00100,1005
