nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C210__00010.1,15.245616748728999,37.88900363,C210,_,00010,1
C210__00150.1,15.2445667873754,37.85121846,C210,_,00150,1
C210__00140.1,15.27662235475741,37.859333515,C210,_,00140,1
C210__00130.1,15.272197038220021,37.867609064999996,C210,_,00130,1
C210__00110.1,15.249519472220175,37.863146425,C210,_,00110,1
C210__00100.1,15.240088413274734,37.864901925,C210,_,00100,1
C210__00090.1,15.262907342318359,37.874703225000005,C210,_,00090,1
C210__00080.1,15.25004774896713,37.876036915,C210,_,00080,1
C210__00070.1,15.247849900491946,37.873654615,C210,_,00070,1
C210__00060.1,15.241637087167483,37.87895716,C210,_,00060,1
C210__00050.1,15.28105522138283,37.882773064999995,C210,_,00050,1
C210__00040.1,15.273537260874182,37.87964635,C210,_,00040,1
C210__00010.10,15.246268432547605,37.888105325,C210,_,00010,10
C210__00150.10,15.245914275327415,37.85084506,C210,_,00150,10
C210__00140.10,15.276888269390392,37.859123145,C210,_,00140,10
C210__00130.10,15.27373277132747,37.8674495,C210,_,00130,10
C210__00120.10,15.264161073024944,37.861970975000006,C210,_,00120,10
C210__00110.10,15.250772190458225,37.863131284999994,C210,_,00110,10
C210__00100.10,15.241444962415617,37.86458355,C210,_,00100,10
C210__00090.10,15.262389039091572,37.87359212,C210,_,00090,10
C210__00080.10,15.251922422607302,37.875447715,C210,_,00080,10
C210__00050.10,15.283930695070737,37.881707155,C210,_,00050,10
C210__00040.10,15.271861649474893,37.879404425000004,C210,_,00040,10
C210__00030.10,15.261754666838097,37.883041835,C210,_,00030,10
C210__00020.10,15.250901116581346,37.88673351,C210,_,00020,10
C210__00010.100,15.245563727914448,37.879868845000004,C210,_,00010,100
C210__00160.100,15.267144185228611,37.851749330000004,C210,_,00160,100
C210__00150.100,15.252849236623431,37.84758382,C210,_,00150,100
C210__00140.100,15.277535184127485,37.858795265,C210,_,00140,100
C210__00110.100,15.254401878356603,37.85985652,C210,_,00110,100
C210__00100.100,15.24474666887526,37.862015185000004,C210,_,00100,100
C210__00090.100,15.267464201217269,37.869354705,C210,_,00090,100
C210__00080.100,15.253285863999324,37.87093179,C210,_,00080,100
C210__00070.100,15.249816834774894,37.871372109999996,C210,_,00070,100
C210__00050.100,15.279366239939812,37.874385475,C210,_,00050,100
C210__00030.100,15.26367667982489,37.88007708,C210,_,00030,100
C210__00020.100,15.255983805171391,37.882719955,C210,_,00020,100
C210__00130.1000,15.2795162240046,37.859397630000004,C210,_,00130,1000
C210__00160.1000,15.25269383916866,37.850761985,C210,_,00160,1000
C210__00020.1001,15.257948538036864,37.88039144,C210,_,00020,1001
C210__00130.1002,15.277949216652999,37.86830896,C210,_,00130,1002
C210__00020.1003,15.251362014769734,37.886886865,C210,_,00020,1003
C210__00130.1003,15.27841997949987,37.86827388,C210,_,00130,1003
C210__00020.1004,15.256700205482254,37.87773239,C210,_,00020,1004
C210__00160.1004,15.252299671569133,37.851026565,C210,_,00160,1004
C210__00130.1004,15.278708176291548,37.868215225,C210,_,00130,1004
C210__00020.1005,15.256735712738426,37.877764205,C210,_,00020,1005
C210__00160.1005,15.252261086191943,37.851095465,C210,_,00160,1005
C210__00130.1005,15.278160758069463,37.86848778,C210,_,00130,1005
C210__00020.1006,15.256539936726028,37.880256575000004,C210,_,00020,1006
C210__00160.1006,15.252679137096067,37.85135376,C210,_,00160,1006
C210__00130.1006,15.27848810613004,37.868508885,C210,_,00130,1006
C210__00020.1007,15.258674027267894,37.880898685,C210,_,00020,1007
