nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C224__00010.1,12.730155427121586,42.24679979,C224,_,00010,1
C224__00110.1,12.731883306103327,42.22674765,C224,_,00110,1
C224__00100.1,12.746871571537685,42.234958750000004,C224,_,00100,1
C224__00080.1,12.721514304508316,42.231506795,C224,_,00080,1
C224__00060.1,12.705565100190455,42.23332463,C224,_,00060,1
C224__00050.1,12.74438881461959,42.24162545,C224,_,00050,1
C224__00020.1,12.713666344514078,42.24009102,C224,_,00020,1
C224__00010.10,12.717576018602166,42.242907945,C224,_,00010,10
C224__00110.10,12.739240565916571,42.227057245,C224,_,00110,10
C224__00100.10,12.752262359711441,42.23370321,C224,_,00100,10
C224__00090.10,12.744352657054753,42.23261281,C224,_,00090,10
C224__00080.10,12.722683060081744,42.229557265,C224,_,00080,10
C224__00060.10,12.701312593531917,42.23023212,C224,_,00060,10
C224__00050.10,12.745836921976,42.23843836,C224,_,00050,10
C224__00040.10,12.734800426146219,42.242548505,C224,_,00040,10
C224__00020.10,12.71353560280162,42.237146165,C224,_,00020,10
C224__00010.100,12.719939484365975,42.240815675,C224,_,00010,100
C224__00100.100,12.750580463241128,42.226418609999996,C224,_,00100,100
C224__00090.100,12.742923963710378,42.23152238,C224,_,00090,100
C224__00080.100,12.727118437477266,42.224336795,C224,_,00080,100
C224__00070.100,12.716144760812039,42.23289695,C224,_,00070,100
C224__00060.100,12.705297017920412,42.229265275,C224,_,00060,100
C224__00040.100,12.739520562512066,42.234242710000004,C224,_,00040,100
C224__00020.100,12.721830923618484,42.23334409,C224,_,00020,100
C224__00010.101,12.72886573280675,42.243410510000004,C224,_,00010,101
C224__00110.101,12.735288156937468,42.221095739999996,C224,_,00110,101
C224__00100.101,12.751782742622598,42.22706571,C224,_,00100,101
C224__00090.101,12.742979463063609,42.231500999999994,C224,_,00090,101
C224__00080.101,12.722952820548564,42.22912959,C224,_,00080,101
C224__00070.101,12.716797845566571,42.23238588,C224,_,00070,101
C224__00060.101,12.706518144309179,42.23188505,C224,_,00060,101
C224__00040.101,12.739800969041344,42.23422232,C224,_,00040,101
C224__00030.101,12.735890708358369,42.232680189999996,C224,_,00030,101
