nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C230__00010.1,8.278202409971254,44.80262268,C230,_,00010,1
C230__00070.1,8.27896332462889,44.78363807,C230,_,00070,1
C230__00060.1,8.270935329457878,44.78811607,C230,_,00060,1
C230__00040.1,8.278789769066517,44.788958695000005,C230,_,00040,1
C230__00030.1,8.296826672404272,44.802077495,C230,_,00030,1
C230__00020.1,8.290907275437416,44.80388664,C230,_,00020,1
C230__00010.10,8.28145440197027,44.802311880000005,C230,_,00010,10
C230__00080.10,8.290147775128554,44.782466924999994,C230,_,00080,10
C230__00070.10,8.277448124015946,44.782681365,C230,_,00070,10
C230__00060.10,8.269467705113806,44.786422575,C230,_,00060,10
C230__00040.10,8.281213256256958,44.78826038,C230,_,00040,10
C230__00030.10,8.296129635361105,44.80105275,C230,_,00030,10
C230__00020.10,8.290093295338865,44.802657055,C230,_,00020,10
C230__00010.100,8.276420701031387,44.797891225,C230,_,00010,100
C230__00080.100,8.290840189055967,44.78029857,C230,_,00080,100
C230__00070.100,8.284696736454967,44.77829923,C230,_,00070,100
C230__00060.100,8.275814137982277,44.779776255,C230,_,00060,100
C230__00040.100,8.283908579016845,44.788142574999995,C230,_,00040,100
C230__00030.100,8.302128261763485,44.797761105000006,C230,_,00030,100
C230__00020.100,8.285331961009184,44.800150145,C230,_,00020,100
C230__00010.101,8.276260418324133,44.797557765,C230,_,00010,101
C230__00080.101,8.290697640929604,44.779782170000004,C230,_,00080,101
C230__00060.101,8.276400797961585,44.77975333,C230,_,00060,101
C230__00050.101,8.300543800194653,44.788499865000006,C230,_,00050,101
C230__00040.101,8.283872359587882,44.78787252,C230,_,00040,101
C230__00030.101,8.29508009606081,44.78951806,C230,_,00030,101
C230__00020.101,8.284536495052432,44.799796385,C230,_,00020,101
C230__00010.102,8.27607712941149,44.797281985,C230,_,00010,102
C230__00080.102,8.29142183602099,44.77936006,C230,_,00080,102
C230__00060.102,8.277292394998808,44.77990007,C230,_,00060,102
C230__00050.102,8.300543044724826,44.788315635000004,C230,_,00050,102
C230__00040.102,8.284267120213066,44.78796278,C230,_,00040,102
C230__00030.102,8.294371474369695,44.797577655,C230,_,00030,102
C230__00020.102,8.284773355021745,44.7996375,C230,_,00020,102
C230__00010.103,8.276159271163795,44.797097199999996,C230,_,00010,103
C230__00080.103,8.291120569889577,44.778962899999996,C230,_,00080,103
C230__00070.103,8.286247734224206,44.78008796,C230,_,00070,103
C230__00060.103,8.27688923859117,44.77958315,C230,_,00060,103
C230__00050.103,8.301357007736884,44.789303149999995,C230,_,00050,103
C230__00040.103,8.284097949676411,44.787615085,C230,_,00040,103
C230__00030.103,8.294914446177721,44.79723864,C230,_,00030,103
C230__00020.103,8.284998630401862,44.799487555,C230,_,00020,103
C230__00010.104,8.277025538227464,44.79809027,C230,_,00010,104
C230__00080.104,8.29190963836166,44.77941794,C230,_,00080,104
C230__00060.104,8.276429923479242,44.77943512,C230,_,00060,104
C230__00050.104,8.301684727548771,44.78958314,C230,_,00050,104
C230__00040.104,8.284529974959705,44.787735075,C230,_,00040,104
C230__00030.104,8.294025869607854,44.796403885000004,C230,_,00030,104
C230__00020.104,8.28721861756491,44.800706855,C230,_,00020,104
C230__00010.105,8.27742722976495,44.79777458,C230,_,00010,105
C230__00080.105,8.291802777701196,44.77891334,C230,_,00080,105
C230__00070.105,8.286176779998431,44.77848286,C230,_,00070,105
C230__00060.105,8.277584574811764,44.779623959999995,C230,_,00060,105
C230__00050.105,8.302133521601354,44.7885084,C230,_,00050,105
C230__00030.105,8.294733829870466,44.7962437,C230,_,00030,105
C230__00020.105,8.287860531770423,44.80059736,C230,_,00020,105
C230__00010.106,8.27705765520338,44.797373414999996,C230,_,00010,106
C230__00050.106,8.302874568594927,44.789133575,C230,_,00050,106
C230__00030.106,8.295346221653885,44.797488235,C230,_,00030,106
C230__00020.106,8.28821762693223,44.800846050000004,C230,_,00020,106
C230__00010.107,8.277338035047794,44.79747571,C230,_,00010,107
C230__00080.107,8.29325196532917,44.77972561,C230,_,00080,107
C230__00060.107,8.27644597864742,44.779274255000004,C230,_,00060,107
C230__00050.107,8.291722056572755,44.78717935,C230,_,00050,107
C230__00030.107,8.295383414727382,44.7968849,C230,_,00030,107
C230__00020.107,8.28880327689438,44.80083124,C230,_,00020,107
C230__00010.108,8.277725848364152,44.797603165,C230,_,00010,108
C230__00080.108,8.294049478983274,44.78040905,C230,_,00080,108
C230__00060.108,8.277005488727891,44.779355045,C230,_,00060,108
C230__00040.108,8.283981200606132,44.787584,C230,_,00040,108
C230__00020.108,8.289237987223899,44.800670095,C230,_,00020,108
C230__00010.109,8.277710685952304,44.79861123,C230,_,00010,109
C230__00060.109,8.276221592703509,44.77893195,C230,_,00060,109
C230__00050.109,8.29288632592565,44.78807219,C230,_,00050,109
C230__00020.109,8.289847668033044,44.800605735,C230,_,00020,109
C230__00010.11,8.282114360538946,44.802245665,C230,_,00010,11
C230__00060.11,8.269049096139558,44.78624543,C230,_,00060,11
C230__00050.11,8.288972177557605,44.78898207,C230,_,00050,11
C230__00040.11,8.282027429672892,44.788271089999995,C230,_,00040,11
C230__00030.11,8.296041513904552,44.80088178,C230,_,00030,11
C230__00020.11,8.290292258949766,44.8028142,C230,_,00020,11
C230__00010.110,8.277816247624472,44.798228280000004,C230,_,00010,110
C230__00080.110,8.296043969106051,44.778155084999995,C230,_,00080,110
C230__00030.110,8.295996180690626,44.79669263,C230,_,00030,110
C230__00020.110,8.286391150841915,44.800141975,C230,_,00020,110
C230__00010.111,8.278397549417756,44.79868829,C230,_,00010,111
C230__00080.111,8.296704660268917,44.778561665,C230,_,00080,111
C230__00060.111,8.276384686602892,44.778453944999995,C230,_,00060,111
C230__00030.111,8.296320496202771,44.796990089999994,C230,_,00030,111
C230__00020.112,8.287376372948188,44.799369049999996,C230,_,00020,112
C230__00080.112,8.297392137538033,44.778754835,C230,_,00080,112
C230__00060.112,8.277293889422062,44.77868925,C230,_,00060,112
C230__00050.112,8.29312081740622,44.78650926,C230,_,00050,112
C230__00040.112,8.284284856983684,44.78749414,C230,_,00040,112
C230__00030.112,8.296989319428969,44.79692355,C230,_,00030,112
C230__00010.113,8.278344662190264,44.797827530000006,C230,_,00010,113
C230__00080.113,8.298685609342003,44.778887885,C230,_,00080,113
C230__00060.113,8.277591176511597,44.77826272,C230,_,00060,113
C230__00050.113,8.293336193538277,44.78632486,C230,_,00050,113
C230__00040.113,8.283940895386644,44.787507745,C230,_,00040,113
C230__00030.113,8.297231232239447,44.79700379,C230,_,00030,113
C230__00020.113,8.28783235210552,44.799673635,C230,_,00020,113
C230__00010.114,8.278945956985535,44.798604785,C230,_,00010,114
C230__00080.114,8.29918566372568,44.779601115,C230,_,00080,114
C230__00070.114,8.280193843953947,44.777487195,C230,_,00070,114
C230__00060.114,8.26776458906409,44.781745075,C230,_,00060,114
C230__00050.114,8.294178798417475,44.78725227,C230,_,00050,114
C230__00040.114,8.284430004257874,44.787320030000004,C230,_,00040,114
C230__00030.114,8.297267485050625,44.79693366,C230,_,00030,114
C230__00020.114,8.288061402086633,44.799359705,C230,_,00020,114
C230__00010.115,8.279531644811545,44.798528585,C230,_,00010,115
C230__00080.115,8.299369182964206,44.77918958,C230,_,00080,115
C230__00060.115,8.268449334383584,44.78143924,C230,_,00060,115
C230__00050.115,8.294066188168461,44.786340855000006,C230,_,00050,115
C230__00040.115,8.284194641407812,44.787067305,C230,_,00040,115
C230__00030.115,8.297272398287227,44.79687096,C230,_,00030,115
C230__00020.115,8.287733392118685,44.799073910000004,C230,_,00020,115
C230__00010.116,8.280191531207311,44.798519764999995,C230,_,00010,116
C230__00080.116,8.299771915880399,44.778813815,C230,_,00080,116
C230__00070.116,8.282066397453832,44.777119985,C230,_,00070,116
C230__00050.116,8.29473468317169,44.786360349999995,C230,_,00050,116
C230__00030.116,8.296391233903687,44.796633005000004,C230,_,00030,116
C230__00020.116,8.289047839123805,44.800257650000006,C230,_,00020,116
C230__00010.117,8.281237808500325,44.79848047,C230,_,00010,117
C230__00070.117,8.282552628783527,44.777625385,C230,_,00070,117
C230__00060.117,8.269772086658119,44.781361020000006,C230,_,00060,117
C230__00050.117,8.294613063645588,44.787788175,C230,_,00050,117
C230__00030.117,8.296821178715547,44.79621151,C230,_,00030,117
C230__00010.118,8.281569038601052,44.79844435,C230,_,00010,118
C230__00070.118,8.283571448430251,44.777446365,C230,_,00070,118
C230__00060.118,8.270388197791064,44.781387065000004,C230,_,00060,118
C230__00050.118,8.295036465183735,44.786362755,C230,_,00050,118
C230__00040.118,8.283583620192449,44.787364445,C230,_,00040,118
C230__00030.118,8.297293005980038,44.796613065,C230,_,00030,118
C230__00020.118,8.289576094574901,44.800193820000004,C230,_,00020,118
C230__00010.119,8.281060311808648,44.798232435,C230,_,00010,119
C230__00080.119,8.299876216353173,44.78023511,C230,_,00080,119
C230__00070.119,8.284020076566101,44.77706499,C230,_,00070,119
C230__00050.119,8.295271428382875,44.786250460000005,C230,_,00050,119
C230__00040.119,8.28364106858165,44.787013540000004,C230,_,00040,119
C230__00030.119,8.297595123021093,44.79647348,C230,_,00030,119
C230__00020.119,8.29006582742192,44.80030089,C230,_,00020,119
C230__00010.12,8.280837245049556,44.80212745,C230,_,00010,12
C230__00060.12,8.268832886244013,44.786063215,C230,_,00060,12
C230__00050.12,8.28955139614758,44.7886243,C230,_,00050,12
C230__00040.12,8.28150571236365,44.79017219,C230,_,00040,12
C230__00030.12,8.296638276085531,44.80083768,C230,_,00030,12
C230__00020.12,8.2904442423961,44.80251981,C230,_,00020,12
C230__00010.120,8.2760200982229,44.79662702,C230,_,00010,120
C230__00080.120,8.299605239101947,44.78011105,C230,_,00080,120
C230__00070.120,8.284442271119584,44.777527605,C230,_,00070,120
C230__00060.120,8.267451393154015,44.780515449999996,C230,_,00060,120
C230__00050.120,8.295739083973189,44.787794505,C230,_,00050,120
C230__00040.120,8.282988434901863,44.787049665,C230,_,00040,120
C230__00030.120,8.297906075093351,44.796475869999995,C230,_,00030,120
C230__00020.120,8.289941946562946,44.7999878,C230,_,00020,120
C230__00010.121,8.275728754609759,44.796352924999994,C230,_,00010,121
C230__00080.121,8.299880749657792,44.779871299999996,C230,_,00080,121
C230__00070.121,8.284805471162912,44.777410165,C230,_,00070,121
C230__00050.121,8.296000836648716,44.78704899,C230,_,00050,121
C230__00030.121,8.297882465902564,44.796848575,C230,_,00030,121
C230__00010.122,8.276657694716963,44.796332365,C230,_,00010,122
C230__00080.122,8.299833419792208,44.77956493,C230,_,00080,122
C230__00070.122,8.28514497425439,44.777420985,C230,_,00070,122
C230__00060.122,8.268346325975948,44.77999092,C230,_,00060,122
C230__00030.122,8.298086722347438,44.79670672,C230,_,00030,122
C230__00030.123,8.298147553566306,44.79593188,C230,_,00030,123
C230__00080.123,8.300145514957093,44.779367234999995,C230,_,00080,123
C230__00070.123,8.285384815317041,44.77742064,C230,_,00070,123
C230__00060.123,8.26909483939348,44.77977864499999,C230,_,00060,123
C230__00040.123,8.283580417018475,44.78657404,C230,_,00040,123
