nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C252__00010.1,12.622936752592752,42.84582075,C252,_,00010,1
C252__00210.1,12.686447777555156,42.820062905,C252,_,00210,1
C252__00200.1,12.672512438936185,42.8178326,C252,_,00200,1
C252__00190.1,12.651091951334713,42.818424445000005,C252,_,00190,1
C252__00170.1,12.670275838810099,42.82553647,C252,_,00170,1
C252__00160.1,12.672229364874173,42.824508435,C252,_,00160,1
C252__00140.1,12.632527839707913,42.828620765,C252,_,00140,1
C252__00130.1,12.621340358868675,42.829482525,C252,_,00130,1
C252__00110.1,12.658465606173769,42.830763039999994,C252,_,00110,1
C252__00100.1,12.657735620716215,42.830883105,C252,_,00100,1
C252__00090.1,12.70352913388167,42.842377424999995,C252,_,00090,1
C252__00080.1,12.695144028178593,42.83869589,C252,_,00080,1
C252__00060.1,12.676060578355617,42.834636225,C252,_,00060,1
C252__00050.1,12.657381516489071,42.83853318,C252,_,00050,1
C252__00030.1,12.635244767468869,42.84287611,C252,_,00030,1
C252__00020.1,12.634545593585553,42.841878155,C252,_,00020,1
C252__00010.10,12.621322934860217,42.84344831,C252,_,00010,10
C252__00200.10,12.6694329536504,42.81555086,C252,_,00200,10
C252__00170.10,12.670815098405274,42.82400662,C252,_,00170,10
C252__00160.10,12.672252647388703,42.824390675000004,C252,_,00160,10
C252__00150.10,12.654506468231993,42.825504015,C252,_,00150,10
C252__00140.10,12.632410462317319,42.82649947,C252,_,00140,10
C252__00130.10,12.619946128669529,42.827029545,C252,_,00130,10
C252__00110.10,12.660544760199219,42.831150414999996,C252,_,00110,10
C252__00100.10,12.65582700634393,42.8335897,C252,_,00100,10
C252__00090.10,12.704843665017957,42.84170867,C252,_,00090,10
C252__00080.10,12.69614532618536,42.839644135,C252,_,00080,10
C252__00050.10,12.666480858480583,42.839624815,C252,_,00050,10
C252__00030.10,12.63547840684701,42.841645545,C252,_,00030,10
C252__00020.10,12.63310673103043,42.841047970000005,C252,_,00020,10
C252__00010.100,12.626712954211822,42.833427715,C252,_,00010,100
C252__00200.100,12.674766722105248,42.81303326,C252,_,00200,100
C252__00190.100,12.661703942666891,42.81022848,C252,_,00190,100
C252__00180.100,12.690339409124679,42.818498160000004,C252,_,00180,100
C252__00160.100,12.661907425646778,42.821946585000006,C252,_,00160,100
C252__00150.100,12.657079228420482,42.820376965,C252,_,00150,100
C252__00140.100,12.632688987611996,42.82170272,C252,_,00140,100
C252__00120.100,12.708901616171467,42.830014535000004,C252,_,00120,100
C252__00110.100,12.657966162116024,42.82705926,C252,_,00110,100
C252__00100.100,12.645480467323933,42.82746898,C252,_,00100,100
C252__00090.100,12.703525233894995,42.839292505,C252,_,00090,100
C252__00080.100,12.70199200764699,42.83581469,C252,_,00080,100
C252__00050.100,12.661325736077796,42.83475018,C252,_,00050,100
C252__00040.100,12.646914013993692,42.841523335,C252,_,00040,100
C252__00030.100,12.636707979060208,42.834101079999996,C252,_,00030,100
C252__00020.100,12.62950609352663,42.834031545,C252,_,00020,100
C252__00170.1001,12.683265303091446,42.820481785,C252,_,00170,1001
C252__00180.1001,12.694149985550215,42.824701935,C252,_,00180,1001
C252__00180.1002,12.694161781388477,42.82509746,C252,_,00180,1002
C252__00170.1003,12.68337293820158,42.82054834,C252,_,00170,1003
C252__00180.1003,12.69298828977955,42.82372824,C252,_,00180,1003
C252__00170.1004,12.683457395986885,42.820487885000006,C252,_,00170,1004
C252__00170.1005,12.671347867651399,42.82452164,C252,_,00170,1005
C252__00180.1005,12.688879123325242,42.818921105,C252,_,00180,1005
C252__00170.1006,12.671538545869085,42.824261915,C252,_,00170,1006
C252__00180.1006,12.688793105684415,42.818814329999995,C252,_,00180,1006
C252__00170.1007,12.671784334555287,42.824379735,C252,_,00170,1007
C252__00180.1007,12.689040297208177,42.81895625,C252,_,00180,1007
C252__00170.1008,12.671649633914818,42.82429086,C252,_,00170,1008
C252__00180.1008,12.688997205486633,42.81882847999999,C252,_,00180,1008
C252__00170.1009,12.671793942971496,42.8242989,C252,_,00170,1009
C252__00010.101,12.626711266745524,42.83131496,C252,_,00010,101
C252__00210.101,12.68739956991245,42.814336985,C252,_,00210,101
C252__00200.101,12.671564155429689,42.808576020000004,C252,_,00200,101
C252__00190.101,12.653212322865745,42.809935554999996,C252,_,00190,101
C252__00180.101,12.690466811831191,42.818560415,C252,_,00180,101
C252__00170.101,12.68197516188972,42.820499135000006,C252,_,00170,101
C252__00160.101,12.662108633602884,42.82230898,C252,_,00160,101
C252__00150.101,12.654098788248948,42.818874234999996,C252,_,00150,101
C252__00120.101,12.70959990737887,42.830171025,C252,_,00120,101
C252__00110.101,12.658225177801985,42.826083365,C252,_,00110,101
C252__00100.101,12.643350193278936,42.827039240000005,C252,_,00100,101
C252__00070.101,12.68589853093495,42.83165296,C252,_,00070,101
C252__00060.101,12.68005617692829,42.83426411,C252,_,00060,101
C252__00040.101,12.646210878952804,42.840091924999996,C252,_,00040,101
C252__00030.101,12.636876549214527,42.833958595,C252,_,00030,101
C252__00020.101,12.63037911231893,42.834293075,C252,_,00020,101
C252__00170.1010,12.671765098854177,42.82126309,C252,_,00170,1010
C252__00180.1010,12.693607534094092,42.820159700000005,C252,_,00180,1010
C252__00170.1011,12.671950306752574,42.821342245,C252,_,00170,1011
C252__00180.1011,12.693349049667134,42.82025054,C252,_,00180,1011
C252__00170.1012,12.686170377555815,42.820991075,C252,_,00170,1012
C252__00180.1012,12.69329821899569,42.820118865,C252,_,00180,1012
C252__00170.1013,12.6855404131821,42.821170805,C252,_,00170,1013
C252__00180.1013,12.695326004905613,42.81980926,C252,_,00180,1013
C252__00170.1014,12.685173431843157,42.821234705,C252,_,00170,1014
