nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C292__00020.1,11.475989933132702,44.54343635,C292,_,00020,1
C292__00420.1,11.466616278600547,44.483178554999995,C292,_,00420,1
C292__00410.1,11.479982020340248,44.48996407,C292,_,00410,1
C292__00400.1,11.476123049576469,44.49305527,C292,_,00400,1
C292__00370.1,11.428809474422346,44.49472909,C292,_,00370,1
C292__0036.1,11.420427942190718,44.49801746,C292,_,0036,1
C292__00350.1,11.44370425149063,44.498928539999994,C292,_,00350,1
C292__00300.1,11.484582015270075,44.500771040000004,C292,_,00300,1
C292__00290.1,11.478644882773093,44.503392165,C292,_,00290,1
C292__0028.1,11.470724785278591,44.506514135,C292,_,0028,1
C292__0027.1,11.464974376287811,44.509584535,C292,_,0027,1
C292__00260.1,11.452901834795146,44.513437415,C292,_,00260,1
C292__00250.1,11.442863662436075,44.517015205,C292,_,00250,1
C292__00200.1,11.449323060167217,44.52091263,C292,_,00200,1
C292__00170.1,11.510578898663548,44.51436798,C292,_,00170,1
C292__00160.1,11.481204019439524,44.512028685000004,C292,_,00160,1
C292__00120.1,11.438999728352563,44.532082255000006,C292,_,00120,1
C292__00110.1,11.504162281910515,44.521586115,C292,_,00110,1
C292__00100.1,11.487762386799405,44.52892703,C292,_,00100,1
C292__00090.1,11.477453082750214,44.531141135,C292,_,00090,1
C292__00070.1,11.449328162215421,44.53542588,C292,_,00070,1
C292__00020.10,11.473316119510727,44.53936319,C292,_,00020,10
C292__00420.10,11.468609096947388,44.4852644,C292,_,00420,10
C292__00410.10,11.484681179472265,44.488278975,C292,_,00410,10
C292__00400.10,11.479005037711257,44.49170658,C292,_,00400,10
C292__00380.10,11.452395865031406,44.491252595,C292,_,00380,10
C292__0036.10,11.419503437571713,44.496708670000004,C292,_,0036,10
C292__00350.10,11.44678995839401,44.49808002,C292,_,00350,10
C292__00300.10,11.488924985347527,44.5004298,C292,_,00300,10
C292__0028.10,11.470992398366343,44.50432877,C292,_,0028,10
C292__00250.10,11.438550123777752,44.511917655000005,C292,_,00250,10
C292__00240.10,11.429385257593257,44.5179203,C292,_,00240,10
C292__00220.10,11.480880746545655,44.514560835,C292,_,00220,10
C292__00210.10,11.459580708053526,44.515227785,C292,_,00210,10
C292__00180.10,11.495175510374889,44.508431224999995,C292,_,00180,10
C292__00160.10,11.483554973510474,44.512090375,C292,_,00160,10
C292__00140.10,11.473694529105408,44.522588155,C292,_,00140,10
C292__00110.10,11.505825389768425,44.52094771,C292,_,00110,10
C292__00080.10,11.460221320869302,44.53026407,C292,_,00080,10
C292__00070.10,11.448843359641952,44.53260403,C292,_,00070,10
C292__00060.10,11.478398054869988,44.53527147,C292,_,00060,10
C292__00050.10,11.461075095237057,44.538198085000005,C292,_,00050,10
C292__00030.10,11.478304108740947,44.53871391,C292,_,00030,10
C292__00070.100,11.452772247435512,44.529417089999995,C292,_,00070,100
C292__00390.100,11.463062755501365,44.486335495,C292,_,00390,100
C292__00370.100,11.428774773525419,44.489911485,C292,_,00370,100
C292__00280.100,11.4695500987954,44.5051562,C292,_,00280,100
C292__00270.100,11.464923205192747,44.50752931,C292,_,00270,100
C292__0022.100,11.48135816879173,44.511476625,C292,_,0022,100
C292__00170.100,11.515370774689389,44.512966250000005,C292,_,00170,100
C292__00160.100,11.484730730651153,44.513438975,C292,_,00160,100
C292__00140.100,11.46708892594112,44.516755335,C292,_,00140,100
C292__00120.100,11.447850046283719,44.52397871,C292,_,00120,100
C292__00100.100,11.48599443940319,44.522357959999994,C292,_,00100,100
C292__00220.1000,11.475269478599039,44.508062855,C292,_,00220,1000
C292__00220.1001,11.476175427302811,44.50821422,C292,_,00220,1001
C292__00330.1001,11.42738265392985,44.50165665,C292,_,00330,1001
C292__00220.1002,11.477114596298984,44.508666250000005,C292,_,00220,1002
C292__00330.1002,11.427132317004382,44.501075725,C292,_,00330,1002
C292__00260.1002,11.45705112827833,44.510508965,C292,_,00260,1002
C292__00220.1003,11.477164036168638,44.508642895,C292,_,00220,1003
C292__0033.1003,11.428292515830318,44.497669675,C292,_,0033,1003
C292__00260.1003,11.457862277176678,44.510210220000005,C292,_,00260,1003
C292__00220.1004,11.477670428411809,44.508864425,C292,_,00220,1004
C292__00260.1004,11.45917251277524,44.50983947,C292,_,00260,1004
C292__00220.1005,11.47743699353298,44.507839645000004,C292,_,00220,1005
C292__0033.1005,11.428324139742948,44.49677561,C292,_,0033,1005
C292__0026.1005,11.461257342629706,44.509657015,C292,_,0026,1005
C292__00220.1006,11.477801425718711,44.507818834999995,C292,_,00220,1006
C292__00220.1007,11.47730093417515,44.50728681,C292,_,00220,1007
C292__0033.1007,11.428503734041254,44.496814515,C292,_,0033,1007
C292__00270.1007,11.457743712162927,44.503994844999994,C292,_,00270,1007
C292__0026.1007,11.462215592094607,44.50989235,C292,_,0026,1007
C292__0026.1008,11.462029240593887,44.509812485,C292,_,0026,1008
C292__00270.1008,11.458481221778706,44.504027705,C292,_,00270,1008
C292__00270.1009,11.458581574988678,44.50404273,C292,_,00270,1009
C292__0033.1009,11.428721097389335,44.497278140000006,C292,_,0033,1009
C292__00040.101,11.446543539983615,44.537445065,C292,_,00040,101
C292__00370.101,11.429411815394158,44.490171715,C292,_,00370,101
C292__00320.101,11.437515414566466,44.501898675,C292,_,00320,101
C292__00310.101,11.428827756966644,44.503648825,C292,_,00310,101
C292__00280.101,11.471626577467132,44.502939085,C292,_,00280,101
C292__00270.101,11.465422509670166,44.507759605000004,C292,_,00270,101
C292__00250.101,11.44336167545152,44.51009097,C292,_,00250,101
C292__00190.101,11.440578153133712,44.51861706,C292,_,00190,101
C292__00160.101,11.482537914724704,44.51152743,C292,_,00160,101
C292__00130.101,11.458571404683244,44.52256289,C292,_,00130,101
C292__00110.101,11.500245385073306,44.517590505,C292,_,00110,101
C292__00100.101,11.485605131749907,44.5217882,C292,_,00100,101
C292__00070.101,11.452986961546827,44.529365780000006,C292,_,00070,101
C292__0033.1010,11.428709265987678,44.49710281,C292,_,0033,1010
C292__00220.1011,11.470438640083213,44.511280310000004,C292,_,00220,1011
C292__00270.1011,11.458459611557643,44.50369973,C292,_,00270,1011
C292__00270.1012,11.457863345985977,44.503777755,C292,_,00270,1012
C292__0036.1012,11.423461943652251,44.49604452,C292,_,0036,1012
C292__0033.1012,11.427922727437466,44.497742360000004,C292,_,0033,1012
C292__0028.1012,11.472401870727534,44.50577638,C292,_,0028,1012
C292__00220.1013,11.477745711140804,44.507570085,C292,_,00220,1013
C292__00280.1013,11.472282377322138,44.501632325,C292,_,00280,1013
C292__0027.1013,11.470685061896901,44.506527835,C292,_,0027,1013
C292__0027.1014,11.468621894936406,44.505914184999995,C292,_,0027,1014
C292__0033.1014,11.42809964886068,44.4967355,C292,_,0033,1014
C292__00280.1014,11.472641150008155,44.502048724999995,C292,_,00280,1014
C292__0022.1015,11.470216504074255,44.508126954999994,C292,_,0022,1015
C292__00360.1015,11.423677813757902,44.492671445,C292,_,00360,1015
C292__0027.1015,11.468588950631876,44.50592778,C292,_,0027,1015
C292__00220.1016,11.479364650694347,44.50716904,C292,_,00220,1016
C292__0036.1016,11.425563045417087,44.496213835000006,C292,_,0036,1016
C292__00280.1016,11.472232369507083,44.500577305,C292,_,00280,1016
C292__00270.1016,11.463628601931061,44.50771944,C292,_,00270,1016
C292__00260.1016,11.45592701363914,44.509579615,C292,_,00260,1016
C292__00270.1017,11.456660625417275,44.504438965,C292,_,00270,1017
C292__0036.1017,11.426471001544169,44.496144695,C292,_,0036,1017
C292__0027.1018,11.469277473900608,44.505807945,C292,_,0027,1018
C292__0036.1018,11.425034536993813,44.49624198,C292,_,0036,1018
C292__00220.1019,11.477578877507248,44.508063885,C292,_,00220,1019
C292__0036.1019,11.42503771789601,44.49615801,C292,_,0036,1019
C292__00070.102,11.45341307399362,44.529265885,C292,_,00070,102
C292__00370.102,11.429136429172853,44.48977971,C292,_,00370,102
C292__00350.102,11.45339782754423,44.49182008,C292,_,00350,102
C292__00310.102,11.42873200767976,44.50372118,C292,_,00310,102
C292__00300.102,11.490848708419321,44.48725466,C292,_,00300,102
C292__00280.102,11.472498232299564,44.50332803,C292,_,00280,102
