nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C349__00010.1,16.2320208181062,39.899138965,C349,_,00010,1
C349__00960.1,16.270411305306524,39.736470295000004,C349,_,00960,1
C349__00950.1,16.264144988288912,39.734763035,C349,_,00950,1
C349__00940.1,16.241782946513112,39.732488825000004,C349,_,00940,1
C349__00930.1,16.3000319718001,39.742062535,C349,_,00930,1
C349__00920.1,16.274473747869635,39.749327655,C349,_,00920,1
C349__00910.1,16.231916305418366,39.744160655,C349,_,00910,1
C349__00900.1,16.23898239014416,39.748504139999994,C349,_,00900,1
C349__00890.1,16.259382312913083,39.753630560000005,C349,_,00890,1
C349__00880.1,16.25590064975696,39.754122545,C349,_,00880,1
C349__00870.1,16.24442105341563,39.75755921,C349,_,00870,1
C349__00860.1,16.237287642647985,39.7546006,C349,_,00860,1
C349__00850.1,16.228878902829702,39.752106615,C349,_,00850,1
C349__00840.1,16.23331553312768,39.76330369,C349,_,00840,1
C349__00830.1,16.28295314953221,39.767948094999994,C349,_,00830,1
C349__00820.1,16.27430809136294,39.770697915,C349,_,00820,1
C349__00810.1,16.26425935571037,39.77319948,C349,_,00810,1
C349__00800.1,16.23961525283634,39.76501142,C349,_,00800,1
C349__00760.1,16.21741382114635,39.770511025000005,C349,_,00760,1
C349__00750.1,16.21497204970666,39.768492995,C349,_,00750,1
C349__00740.1,16.21128235560731,39.771973599999995,C349,_,00740,1
C349__00710.1,16.22193176218505,39.78107505,C349,_,00710,1
C349__00700.1,16.284502571761003,39.78064284,C349,_,00700,1
C349__00680.1,16.27999581984794,39.783702605,C349,_,00680,1
C349__00650.1,16.269401033674548,39.790781915,C349,_,00650,1
C349__00640.1,16.2611524285851,39.787970005000005,C349,_,00640,1
C349__00630.1,16.240367748743324,39.788328254999996,C349,_,00630,1
C349__00610.1,16.218920681366615,39.790240735,C349,_,00610,1
C349__00600.1,16.279349037277765,39.793334830000006,C349,_,00600,1
C349__00590.1,16.27160351871645,39.795209365000005,C349,_,00590,1
C349__00580.1,16.261941298395136,39.79593926,C349,_,00580,1
C349__00570.1,16.269159778489787,39.800936725,C349,_,00570,1
C349__00560.1,16.264567749146664,39.80259944,C349,_,00560,1
C349__00530.1,16.218144124538895,39.80147868,C349,_,00530,1
C349__00520.1,16.28339973514538,39.80626896,C349,_,00520,1
C349__00510.1,16.27567208934073,39.808015275,C349,_,00510,1
C349__00500.1,16.26709181601816,39.812805374999996,C349,_,00500,1
C349__00490.1,16.253231401139715,39.805573855,C349,_,00490,1
C349__00480.1,16.247135285875988,39.804799935,C349,_,00480,1
C349__00460.1,16.23644208664514,39.809078775,C349,_,00460,1
C349__00450.1,16.22518021259176,39.807899570000004,C349,_,00450,1
C349__00430.1,16.200905735296708,39.806134315,C349,_,00430,1
C349__00410.1,16.280197891891255,39.81324015,C349,_,00410,1
C349__00400.1,16.266582445705357,39.81477744,C349,_,00400,1
C349__00380.1,16.23034135793172,39.818150495,C349,_,00380,1
C349__00370.1,16.223066022146135,39.819595195000005,C349,_,00370,1
C349__00360.1,16.214127032924882,39.817655020000004,C349,_,00360,1
C349__0035.1,16.202605530700694,39.811641475,C349,_,0035,1
C349__00340.1,16.19170024887655,39.81463328,C349,_,00340,1
C349__00330.1,16.259386107599394,39.822392715,C349,_,00330,1
C349__00320.1,16.25173693022702,39.82463816,C349,_,00320,1
C349__00310.1,16.24309123174225,39.823717365,C349,_,00310,1
C349__00300.1,16.235007741857203,39.82565787,C349,_,00300,1
C349__00280.1,16.20533860927879,39.819855415000006,C349,_,00280,1
C349__00260.1,16.20397921262812,39.829435845,C349,_,00260,1
C349__00250.1,16.190813019549744,39.831860615,C349,_,00250,1
C349__00240.1,16.187113781481564,39.830571625000005,C349,_,00240,1
C349__00230.1,16.182126500443523,39.828260535,C349,_,00230,1
C349__00200.1,16.209795920422806,39.83652443,C349,_,00200,1
C349__00190.1,16.196573109311224,39.84053683,C349,_,00190,1
C349__00180.1,16.18351736901341,39.843785865,C349,_,00180,1
C349__00170.1,16.244697633730166,39.853504075000004,C349,_,00170,1
C349__00160.1,16.220452884678522,39.853858955,C349,_,00160,1
C349__00150.1,16.20837207058133,39.84838352,C349,_,00150,1
C349__00140.1,16.199289262750085,39.85301811,C349,_,00140,1
C349__00130.1,16.18335195066401,39.854091874999995,C349,_,00130,1
C349__00120.1,16.247669614733727,39.869359765,C349,_,00120,1
C349__00110.1,16.22679169501272,39.874238125,C349,_,00110,1
C349__00100.1,16.203688034842386,39.86548349,C349,_,00100,1
C349__00090.1,16.195298183493904,39.873889829999996,C349,_,00090,1
C349__00080.1,16.18581357598179,39.87744329,C349,_,00080,1
C349__00070.1,16.22917010484023,39.887237235,C349,_,00070,1
C349__00060.1,16.216519389334064,39.886340095,C349,_,00060,1
C349__00050.1,16.19856027538774,39.894825960000006,C349,_,00050,1
C349__00040.1,16.187487032243304,39.90297409,C349,_,00040,1
C349__00020.1,16.224562646114656,39.89228552,C349,_,00020,1
C349__00010.10,16.25648775582927,39.89877007,C349,_,00010,10
C349__00920.10,16.27999515606023,39.751464850000005,C349,_,00920,10
C349__00900.10,16.244710778930983,39.74820819,C349,_,00900,10
C349__00880.10,16.256384744629806,39.754058580000006,C349,_,00880,10
C349__00860.10,16.238227599429663,39.75273436,C349,_,00860,10
C349__00850.10,16.232231711931398,39.75285477,C349,_,00850,10
C349__00830.10,16.283607806221674,39.765235585,C349,_,00830,10
C349__00820.10,16.28198355212982,39.7626159,C349,_,00820,10
C349__00810.10,16.26681561397276,39.764000595,C349,_,00810,10
C349__00800.10,16.24727636922726,39.765912365,C349,_,00800,10
C349__00790.10,16.25417951169146,39.77391516,C349,_,00790,10
C349__00780.10,16.25188983351474,39.771659459999995,C349,_,00780,10
C349__00760.10,16.230335130183686,39.76494616,C349,_,00760,10
C349__00740.10,16.21112267748934,39.77092529,C349,_,00740,10
C349__00730.10,16.24327987468108,39.781202730000004,C349,_,00730,10
C349__00710.10,16.228405841382294,39.779677075,C349,_,00710,10
C349__00700.10,16.281537090220922,39.77970946,C349,_,00700,10
C349__00680.10,16.2766872042221,39.7830936,C349,_,00680,10
C349__00670.10,16.257477794539994,39.783542510000004,C349,_,00670,10
C349__00660.10,16.282309612554428,39.787529175,C349,_,00660,10
C349__00650.10,16.27022535123084,39.790085555000005,C349,_,00650,10
C349__00640.10,16.258416327342474,39.78735222,C349,_,00640,10
C349__00620.10,16.23579077798382,39.794102965,C349,_,00620,10
C349__00610.10,16.22418792433406,39.79004515,C349,_,00610,10
C349__00590.10,16.269500425724726,39.79449201,C349,_,00590,10
C349__00580.10,16.263520466384946,39.794854335,C349,_,00580,10
C349__00570.10,16.26985688723758,39.8000519,C349,_,00570,10
C349__00560.10,16.264986184096347,39.800926525,C349,_,00560,10
C349__00540.10,16.237757537000608,39.7985985,C349,_,00540,10
C349__00530.10,16.221142738084858,39.800806179999995,C349,_,00530,10
C349__00520.10,16.281603232929264,39.80463486,C349,_,00520,10
C349__00510.10,16.274186145864586,39.80694061,C349,_,00510,10
C349__00500.10,16.268118290015735,39.811203004999996,C349,_,00500,10
C349__00490.10,16.258843695922067,39.798088465,C349,_,00490,10
C349__00480.10,16.25033155099983,39.79875991,C349,_,00480,10
C349__00460.10,16.237429172203164,39.808729485,C349,_,00460,10
C349__00450.10,16.227701016171032,39.80724974,C349,_,00450,10
C349__00440.10,16.22057977971689,39.806597870000004,C349,_,00440,10
C349__00430.10,16.206537383817846,39.805559285,C349,_,00430,10
C349__00420.10,16.204826577213545,39.80874732,C349,_,00420,10
C349__00410.10,16.281236289864623,39.812408024999996,C349,_,00410,10
C349__00400.10,16.26832089386683,39.814038295,C349,_,00400,10
C349__00390.10,16.25382023778479,39.810401905,C349,_,00390,10
C349__00380.10,16.232468489881434,39.817702,C349,_,00380,10
C349__00360.10,16.2160987638766,39.817387235,C349,_,00360,10
C349__0035.10,16.201879814680986,39.812045175,C349,_,0035,10
C349__00340.10,16.192633935782673,39.8141169,C349,_,00340,10
C349__00330.10,16.259550768167614,39.820344135,C349,_,00330,10
C349__00320.10,16.252969169594095,39.82025989,C349,_,00320,10
C349__00290.10,16.22268002540553,39.826980585,C349,_,00290,10
C349__00280.10,16.205058649761078,39.82123817,C349,_,00280,10
C349__00270.10,16.199353419595447,39.819629930000005,C349,_,00270,10
C349__0023.10,16.18638210735569,39.829278005,C349,_,0023,10
C349__00210.10,16.22692261216376,39.82838249,C349,_,00210,10
C349__00200.10,16.210883799803522,39.8370407,C349,_,00200,10
C349__00190.10,16.195119463805394,39.837640475,C349,_,00190,10
C349__00180.10,16.183406997080034,39.84108583,C349,_,00180,10
C349__00170.10,16.25109405506634,39.848801995,C349,_,00170,10
C349__00160.10,16.222228753662524,39.849932519999996,C349,_,00160,10
C349__00150.10,16.20404721096302,39.84123229,C349,_,00150,10
C349__00130.10,16.182971107929102,39.8527598,C349,_,00130,10
C349__00110.10,16.22608889326021,39.85738114,C349,_,00110,10
C349__00100.10,16.20822526307512,39.855447095,C349,_,00100,10
C349__00090.10,16.188429911328235,39.85520169,C349,_,00090,10
C349__00080.10,16.178828060857946,39.859693955,C349,_,00080,10
C349__00040.10,16.183582250769454,39.882263895,C349,_,00040,10
C349__00030.10,16.267631888245287,39.89049644,C349,_,00030,10
C349__00130.100,16.1842667086851,39.84762124,C349,_,00130,100
C349__00940.100,16.243591566181706,39.73053947,C349,_,00940,100
C349__00930.100,16.299587847024807,39.733076885,C349,_,00930,100
C349__00920.100,16.295330766891933,39.740357895,C349,_,00920,100
C349__00910.100,16.25117597552704,39.738921555000005,C349,_,00910,100
C349__00900.100,16.24223283769671,39.741679385,C349,_,00900,100
C349__00890.100,16.264941289807847,39.74608639,C349,_,00890,100
C349__00880.100,16.261508372553777,39.749432049999996,C349,_,00880,100
C349__00870.100,16.24351854973571,39.754241969999995,C349,_,00870,100
C349__00860.100,16.242629409649,39.749278595,C349,_,00860,100
C349__00850.100,16.23842093331431,39.745984475,C349,_,00850,100
C349__00840.100,16.23249834553525,39.753910745,C349,_,00840,100
C349__00830.100,16.291348912720586,39.75615144,C349,_,00830,100
C349__00810.100,16.25975404369266,39.75430644,C349,_,00810,100
C349__00800.100,16.24167454105666,39.758866605,C349,_,00800,100
C349__00790.100,16.25246401591828,39.77215622999999,C349,_,00790,100
C349__00780.100,16.251866180647276,39.770438185,C349,_,00780,100
C349__00770.100,16.23695390182484,39.764836095,C349,_,00770,100
C349__00740.100,16.211644203226875,39.769934785,C349,_,00740,100
C349__00730.100,16.25227019603144,39.78047841,C349,_,00730,100
C349__00720.100,16.238073467744435,39.776716265,C349,_,00720,100
C349__00710.100,16.219502796287756,39.77488829,C349,_,00710,100
C349__00690.100,16.269640229587885,39.776543685,C349,_,00690,100
C349__00640.100,16.26441888770102,39.784789945,C349,_,00640,100
C349__00630.100,16.25316117478488,39.784752839999996,C349,_,00630,100
C349__00610.100,16.224661706711878,39.786068065,C349,_,00610,100
C349__00590.100,16.27220233322266,39.792305315,C349,_,00590,100
C349__00580.100,16.255056062840627,39.791351915,C349,_,00580,100
C349__00560.100,16.26477320512683,39.79831805,C349,_,00560,100
C349__00550.100,16.250998015633975,39.794096225000004,C349,_,00550,100
C349__00520.100,16.276949990058117,39.800294725,C349,_,00520,100
C349__00510.100,16.277402140179014,39.804257715000006,C349,_,00510,100
C349__00500.100,16.267376826585654,39.804271099999994,C349,_,00500,100
C349__00490.100,16.260175917118666,39.80096747,C349,_,00490,100
C349__00470.100,16.244778608471652,39.80115274,C349,_,00470,100
C349__00460.100,16.23858006222953,39.801968224999996,C349,_,00460,100
C349__00440.100,16.210545240362688,39.806982505,C349,_,00440,100
C349__00430.100,16.2150185290866,39.801719675,C349,_,00430,100
C349__00420.100,16.202703953358593,39.806650235,C349,_,00420,100
C349__00410.100,16.281156571272554,39.81052855,C349,_,00410,100
C349__00400.100,16.26992439754759,39.810448005,C349,_,00400,100
C349__00390.100,16.253176749859698,39.80789464,C349,_,00390,100
C349__00360.100,16.221543612373075,39.81696604,C349,_,00360,100
C349__0035.100,16.203295524836456,39.81308765,C349,_,0035,100
