nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C354__00010.1,13.947586727783106,42.367706825,C354,_,00010,1
C354__00170.1,13.959322466611823,42.341104325,C354,_,00170,1
C354__00140.1,13.953348393340363,42.341260295,C354,_,00140,1
C354__00130.1,13.969473043216867,42.34991222,C354,_,00130,1
C354__00110.1,13.951224649868188,42.347164864999996,C354,_,00110,1
C354__00100.1,13.941692497270246,42.352275335,C354,_,00100,1
C354__00090.1,13.997778295300204,42.36229135000001,C354,_,00090,1
C354__00080.1,13.978837504146256,42.360284910000004,C354,_,00080,1
C354__00070.1,13.96097724808729,42.360563694999996,C354,_,00070,1
C354__00060.1,13.944688779169564,42.356541425,C354,_,00060,1
C354__00050.1,13.983100391135785,42.368849229999995,C354,_,00050,1
C354__00040.1,13.98316916803904,42.369057575,C354,_,00040,1
C354__00010.10,13.949965482045009,42.366826025,C354,_,00010,10
C354__00160.10,13.954367867872836,42.33694054,C354,_,00160,10
C354__00140.10,13.95720675306043,42.344888159999996,C354,_,00140,10
C354__00120.10,13.956458401318777,42.348543995,C354,_,00120,10
C354__00110.10,13.947757541714207,42.345912655,C354,_,00110,10
C354__00100.10,13.94094397566884,42.351560635,C354,_,00100,10
C354__00080.10,13.975603793203616,42.357396865,C354,_,00080,10
C354__00070.10,13.961544830433951,42.358909775,C354,_,00070,10
C354__00050.10,13.983097615772785,42.367091425,C354,_,00050,10
C354__00040.10,13.984696128649706,42.369271659999995,C354,_,00040,10
C354__00020.10,13.958614448542614,42.367301635000004,C354,_,00020,10
C354__00010.100,13.955580911584036,42.364310995,C354,_,00010,100
C354__00170.100,13.963688657755728,42.32974531,C354,_,00170,100
C354__00160.100,13.94685630979737,42.335298175000005,C354,_,00160,100
C354__00150.100,13.967788996797015,42.33823269,C354,_,00150,100
C354__00130.100,13.983699984744813,42.34810141,C354,_,00130,100
C354__00100.100,13.935265185983535,42.34484296,C354,_,00100,100
C354__00080.100,13.979967639567391,42.35154363,C354,_,00080,100
C354__00070.100,13.968691332194028,42.35374855,C354,_,00070,100
C354__00060.100,13.948169050131256,42.3471142,C354,_,00060,100
C354__00050.100,13.990742662493796,42.366356325,C354,_,00050,100
C354__00040.100,13.989960285747408,42.36907986,C354,_,00040,100
C354__00030.100,13.971241091496111,42.36426829,C354,_,00030,100
C354__00010.101,13.956114083084568,42.364345119999996,C354,_,00010,101
C354__00170.101,13.956245741983352,42.334560185,C354,_,00170,101
C354__00160.101,13.946923559691442,42.335144135,C354,_,00160,101
C354__00150.101,13.967988217209278,42.33859177,C354,_,00150,101
C354__00130.101,13.984200094536344,42.346955775,C354,_,00130,101
C354__00110.101,13.953181656068832,42.347379285,C354,_,00110,101
C354__00100.101,13.935864926101527,42.34509488,C354,_,00100,101
C354__00090.101,13.993093979142891,42.357591985,C354,_,00090,101
C354__00080.101,13.980685158199918,42.35148402,C354,_,00080,101
C354__00070.101,13.968832302678267,42.353786675,C354,_,00070,101
C354__00050.101,13.991165786935833,42.36638454,C354,_,00050,101
C354__00040.101,13.989552796057808,42.368757515,C354,_,00040,101
C354__00030.101,13.971472655929098,42.36407317,C354,_,00030,101
C354__00020.102,13.965824778301599,42.36004457,C354,_,00020,102
C354__00170.102,13.956516369158622,42.33403544,C354,_,00170,102
C354__00160.102,13.945585291067463,42.33458231,C354,_,00160,102
C354__00150.102,13.968180973126364,42.338591695000005,C354,_,00150,102
C354__00130.102,13.981865172571222,42.34495399,C354,_,00130,102
C354__00110.102,13.95329570737256,42.347341,C354,_,00110,102
C354__00100.102,13.93590098608665,42.3449296,C354,_,00100,102
C354__00080.102,13.980354966528026,42.352061835,C354,_,00080,102
C354__00070.102,13.968922313411293,42.353872385,C354,_,00070,102
C354__00060.102,13.949715306117264,42.3467136,C354,_,00060,102
C354__00050.102,13.99103921018592,42.36675716,C354,_,00050,102
C354__00040.102,13.990596554304794,42.36940103,C354,_,00040,102
C354__00030.102,13.96996215007961,42.362812665,C354,_,00030,102
C354__00010.103,13.957703749266225,42.360857915,C354,_,00010,103
C354__00170.103,13.956927177669535,42.33455632,C354,_,00170,103
C354__00160.103,13.94693093779231,42.334841960000006,C354,_,00160,103
C354__00150.103,13.968358982497985,42.33892134,C354,_,00150,103
C354__00130.103,13.984275990591572,42.34650132,C354,_,00130,103
C354__00120.103,13.967613404905794,42.34992209,C354,_,00120,103
C354__00110.103,13.953391067036515,42.347438205,C354,_,00110,103
C354__00100.103,13.93592543131907,42.344732445,C354,_,00100,103
C354__00090.103,14.000335091243862,42.357257705,C354,_,00090,103
C354__00080.103,13.980419153236534,42.35190341,C354,_,00080,103
C354__00070.103,13.969064100063399,42.353872385,C354,_,00070,103
C354__00060.103,13.948836081975422,42.34876438,C354,_,00060,103
C354__00050.103,13.991391734554405,42.366677394999996,C354,_,00050,103
C354__00040.103,13.989679751940754,42.368767855,C354,_,00040,103
C354__00030.103,13.971400211869462,42.36339515,C354,_,00030,103
C354__00010.104,13.956379315115743,42.364444225,C354,_,00010,104
C354__00170.104,13.957138711131929,42.334848875000006,C354,_,00170,104
C354__00160.104,13.952950716428091,42.325260485,C354,_,00160,104
C354__00150.104,13.968297576235681,42.33820947,C354,_,00150,104
C354__00130.104,13.984393683097313,42.346279734999996,C354,_,00130,104
C354__00110.104,13.95343771313378,42.347340335,C354,_,00110,104
C354__00100.104,13.939452566368852,42.3463311,C354,_,00100,104
C354__00090.104,14.000363905637496,42.357151564999995,C354,_,00090,104
C354__00080.104,13.980437120925963,42.35205543,C354,_,00080,104
C354__00070.104,13.96910736669511,42.35399267,C354,_,00070,104
C354__00060.104,13.949786245238055,42.3495578,C354,_,00060,104
C354__00050.104,13.991305106612336,42.36602081,C354,_,00050,104
C354__00040.104,13.990017011818546,42.36897669,C354,_,00040,104
C354__00030.104,13.97135581635937,42.3629734,C354,_,00030,104
C354__00020.104,13.965578712112151,42.36562105,C354,_,00020,104
C354__00010.105,13.956107324328297,42.363976715,C354,_,00010,105
C354__00170.105,13.957585614279001,42.334953084999995,C354,_,00170,105
C354__00160.105,13.941559266013357,42.33396381,C354,_,00160,105
C354__00150.105,13.968304504041477,42.337699775,C354,_,00150,105
C354__00130.105,13.984371646905345,42.34817307,C354,_,00130,105
C354__00110.105,13.953558006768079,42.347642164999996,C354,_,00110,105
C354__00100.105,13.93605312960852,42.344597875,C354,_,00100,105
C354__00090.105,14.000132746377604,42.35708898,C354,_,00090,105
C354__00080.105,13.980521067659424,42.351917545,C354,_,00080,105
C354__00070.105,13.969279421638802,42.35384518,C354,_,00070,105
C354__00050.105,13.991505773596323,42.366156090000004,C354,_,00050,105
C354__00040.105,13.990415339929339,42.369217685,C354,_,00040,105
C354__00030.105,13.969786675643846,42.362006895,C354,_,00030,105
C354__00020.105,13.961460628719454,42.363907045000005,C354,_,00020,105
C354__00010.106,13.95691075972738,42.36442949,C354,_,00010,106
C354__00170.106,13.958007614182609,42.334544155,C354,_,00170,106
C354__00150.106,13.968462085503425,42.33820947,C354,_,00150,106
C354__00140.106,13.94805273172188,42.342834765,C354,_,00140,106
C354__00130.106,13.984901412527616,42.346353465,C354,_,00130,106
C354__00120.106,13.968863667343243,42.350224825,C354,_,00120,106
C354__00110.106,13.953675405284105,42.34767706,C354,_,00110,106
C354__00100.106,13.936303016206638,42.344050304999996,C354,_,00100,106
C354__00090.106,13.994647634733997,42.357127295,C354,_,00090,106
C354__00080.106,13.980619563525618,42.35204195,C354,_,00080,106
C354__00050.106,13.991840632640713,42.365889945,C354,_,00050,106
C354__00040.106,13.989774907558617,42.368751724999996,C354,_,00040,106
C354__00030.106,13.970106025964462,42.362389789999995,C354,_,00030,106
C354__00020.106,13.962125337691901,42.36408399,C354,_,00020,106
C354__00010.107,13.957400870808026,42.36420054,C354,_,00010,107
C354__00170.107,13.958157428007873,42.334320895,C354,_,00170,107
C354__00150.107,13.968769638417747,42.33816655,C354,_,00150,107
C354__00140.107,13.946492937526019,42.342290795,C354,_,00140,107
C354__00130.107,13.984496118626879,42.34845164,C354,_,00130,107
C354__00120.107,13.969300556380706,42.35037747,C354,_,00120,107
C354__00110.107,13.950797839075133,42.346599225,C354,_,00110,107
C354__00100.107,13.935179265351191,42.343737635,C354,_,00100,107
C354__00080.107,13.980667761525948,42.351930565,C354,_,00080,107
C354__00070.107,13.969740085291543,42.354083505,C354,_,00070,107
C354__00060.107,13.950112792803335,42.348745615,C354,_,00060,107
C354__00050.107,13.991995863259401,42.366253305,C354,_,00050,107
C354__00040.107,13.990044006017266,42.368917845,C354,_,00040,107
C354__00030.107,13.970997492865884,42.362631305,C354,_,00030,107
C354__00020.107,13.962981106918392,42.364401255000004,C354,_,00020,107
C354__00010.108,13.957437631307453,42.364369595,C354,_,00010,108
C354__00170.108,13.958573223361721,42.33464849,C354,_,00170,108
C354__00140.108,13.946880128446804,42.342448435,C354,_,00140,108
C354__00130.108,13.984963044174272,42.346829,C354,_,00130,108
C354__00120.108,13.96881346868592,42.349951129999994,C354,_,00120,108
C354__00100.108,13.935714360295568,42.34392374,C354,_,00100,108
C354__00080.108,13.98116859974034,42.352131310000004,C354,_,00080,108
C354__00070.108,13.969788284227228,42.354524925,C354,_,00070,108
C354__00060.108,13.950494191280306,42.348980245,C354,_,00060,108
C354__00050.108,13.99236623479218,42.366070495,C354,_,00050,108
C354__00040.108,13.990392145433006,42.369129055,C354,_,00040,108
C354__00030.108,13.971356801372167,42.362670175000005,C354,_,00030,108
C354__00020.108,13.962370534641241,42.363812644999996,C354,_,00020,108
C354__00010.109,13.957797345496406,42.365340599999996,C354,_,00010,109
C354__00170.109,13.958705003380734,42.33466649499999,C354,_,00170,109
C354__00140.109,13.947362980563145,42.34235914,C354,_,00140,109
C354__00130.109,13.984721148096092,42.348126775,C354,_,00130,109
C354__00110.109,13.9510561221429,42.346786415,C354,_,00110,109
C354__00080.109,13.981425089941506,42.351653585,C354,_,00080,109
C354__00070.109,13.970016823700103,42.354498445000004,C354,_,00070,109
C354__00050.109,13.99266708369125,42.366078175,C354,_,00050,109
C354__00040.109,13.989818219183594,42.368709280000004,C354,_,00040,109
C354__00030.109,13.972613496533207,42.362867495,C354,_,00030,109
C354__00010.11,13.958803843665782,42.36415772,C354,_,00010,11
C354__00170.11,13.959369409586316,42.340070645,C354,_,00170,11
C354__00160.11,13.956083845155003,42.33695768,C354,_,00160,11
C354__00140.11,13.957171020310582,42.34465107,C354,_,00140,11
C354__00120.11,13.956324210122856,42.348157369999996,C354,_,00120,11
C354__00110.11,13.948133039353461,42.346022579999996,C354,_,00110,11
C354__00100.11,13.940752338378928,42.35225298,C354,_,00100,11
C354__00090.11,14.001504400630377,42.361563055000005,C354,_,00090,11
C354__00080.11,13.974539663396941,42.355044434999996,C354,_,00080,11
