nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C407__00010.1,11.465450396612631,43.58554512,C407,_,00010,1
C407__00640.1,11.482961511873707,43.488264459999996,C407,_,00640,1
C407__00630.1,11.498643216197564,43.50209358,C407,_,00630,1
C407__00600.1,11.473039574483266,43.49948888,C407,_,00600,1
C407__00590.1,11.504608806205663,43.508114285000005,C407,_,00590,1
C407__00580.1,11.493592880186341,43.500902284999995,C407,_,00580,1
C407__00570.1,11.484965989893624,43.507036755,C407,_,00570,1
C407__00530.1,11.468708758506702,43.513295060000004,C407,_,00530,1
C407__00510.1,11.480838371951329,43.520331795000004,C407,_,00510,1
C407__00500.1,11.480777629842294,43.519761270000004,C407,_,00500,1
C407__00490.1,11.470602712376547,43.520406315,C407,_,00490,1
C407__00480.1,11.497820016177233,43.530362595,C407,_,00480,1
C407__00470.1,11.491949301775056,43.53436884,C407,_,00470,1
C407__00460.1,11.467052130397509,43.52815422,C407,_,00460,1
C407__00450.1,11.46015823549554,43.52132135,C407,_,00450,1
C407__00440.1,11.441035216783785,43.52073503,C407,_,00440,1
C407__00430.1,11.505845708169513,43.538372135,C407,_,00430,1
C407__00400.1,11.45423298486098,43.53119091,C407,_,00400,1
C407__00390.1,11.443597793880151,43.529748345,C407,_,00390,1
C407__00380.1,11.429041559662364,43.526103410000005,C407,_,00380,1
C407__00370.1,11.494771471728964,43.54218931,C407,_,00370,1
C407__00360.1,11.465035149201256,43.538909285,C407,_,00360,1
C407__00350.1,11.447289301370123,43.537021695,C407,_,00350,1
C407__00340.1,11.43165673899871,43.542117004999994,C407,_,00340,1
C407__00330.1,11.4163721810338,43.534889685,C407,_,00330,1
C407__00290.1,11.464285507647665,43.550788909999994,C407,_,00290,1
C407__00280.1,11.455188441508506,43.545800475,C407,_,00280,1
C407__00270.1,11.44955512521609,43.550479015,C407,_,00270,1
C407__00260.1,11.415275574650448,43.54248262,C407,_,00260,1
C407__00250.1,11.486398870870053,43.556413570000004,C407,_,00250,1
C407__00240.1,11.471247749643734,43.555925295,C407,_,00240,1
C407__00220.1,11.433389332272693,43.549481945,C407,_,00220,1
C407__00210.1,11.414216747669954,43.55009772,C407,_,00210,1
C407__00200.1,11.405202284025002,43.548152635,C407,_,00200,1
C407__00170.1,11.453832337723714,43.5582596,C407,_,00170,1
C407__00160.1,11.437231176103216,43.557906125,C407,_,00160,1
C407__00150.1,11.428461103280197,43.5602305,C407,_,00150,1
C407__00140.1,11.426717043643267,43.55333686,C407,_,00140,1
C407__00130.1,11.406607700792383,43.556126705,C407,_,00130,1
C407__00120.1,11.488587195608138,43.56919144,C407,_,00120,1
C407__00110.1,11.491374021927166,43.572529380000006,C407,_,00110,1
C407__00090.1,11.458466134013223,43.56615988,C407,_,00090,1
C407__00080.1,11.470379864688018,43.574271135000004,C407,_,00080,1
C407__00060.1,11.435770002138385,43.56200081,C407,_,00060,1
C407__00050.1,11.48602335752485,43.581042295,C407,_,00050,1
C407__00040.1,11.470966159072224,43.573628635000006,C407,_,00040,1
C407__00030.1,11.464549881777398,43.580940035,C407,_,00030,1
C407__00020.1,11.45143162624242,43.577311715,C407,_,00020,1
C407__00010.10,11.468015066250405,43.58415197,C407,_,00010,10
C407__00640.10,11.486876850712289,43.488028514999996,C407,_,00640,10
C407__00630.10,11.503122597271322,43.50119279,C407,_,00630,10
C407__00620.10,11.491189641818004,43.499831889999996,C407,_,00620,10
C407__00610.10,11.489628137573563,43.499378899999996,C407,_,00610,10
C407__00600.10,11.476356873863686,43.497658025,C407,_,00600,10
C407__00580.10,11.49211889003405,43.500137025,C407,_,00580,10
C407__00570.10,11.47963355520079,43.504857395,C407,_,00570,10
C407__00550.10,11.486746827146224,43.509935510000005,C407,_,00550,10
C407__00530.10,11.467405709608073,43.512215565000005,C407,_,00530,10
C407__00520.10,11.497100275501321,43.52174083,C407,_,00520,10
C407__00500.10,11.481236749417672,43.51945918,C407,_,00500,10
C407__00490.10,11.475087967415616,43.520174385000004,C407,_,00490,10
C407__00480.10,11.500357154419742,43.529609914999995,C407,_,00480,10
C407__00470.10,11.492752002215262,43.532395765000004,C407,_,00470,10
C407__00460.10,11.470371324271149,43.52587228,C407,_,00460,10
C407__00450.10,11.459900744305704,43.518914335,C407,_,00450,10
C407__00440.10,11.442989341870973,43.51958140000001,C407,_,00440,10
C407__00430.10,11.503068270237055,43.53657237,C407,_,00430,10
C407__00380.10,11.437249146964826,43.52741687,C407,_,00380,10
C407__00370.10,11.503179925158985,43.544190764999996,C407,_,00370,10
C407__00360.10,11.46786889876668,43.539302809999995,C407,_,00360,10
C407__00350.10,11.450237253559564,43.53621572,C407,_,00350,10
C407__00340.10,11.434107052501702,43.541081215000005,C407,_,00340,10
C407__00330.10,11.420390109633336,43.533952285,C407,_,00330,10
C407__00320.10,11.491187077712247,43.550302345000006,C407,_,00320,10
C407__00290.10,11.472966500956048,43.54836039,C407,_,00290,10
C407__00270.10,11.448394644565596,43.549947765,C407,_,00270,10
C407__00260.10,11.420067275006113,43.542748605,C407,_,00260,10
C407__00230.10,11.464369853485062,43.556251265,C407,_,00230,10
C407__00210.10,11.415249567477602,43.54822159,C407,_,00210,10
C407__00200.10,11.411685334235557,43.54641084,C407,_,00200,10
C407__00190.10,11.485261295636189,43.566599255,C407,_,00190,10
C407__00170.10,11.45656959185328,43.55840058,C407,_,00170,10
C407__00160.10,11.439051550629824,43.557536670000005,C407,_,00160,10
C407__00150.10,11.433667585916577,43.561275515000005,C407,_,00150,10
C407__00140.10,11.410042557466,43.559163615,C407,_,00140,10
C407__00130.10,11.412684575142961,43.5524708,C407,_,00130,10
C407__00120.10,11.501219864303474,43.57394568,C407,_,00120,10
C407__00110.10,11.490248804463365,43.57196218,C407,_,00110,10
C407__00080.10,11.468226986327103,43.572456715,C407,_,00080,10
C407__00070.10,11.446929847442,43.567333175,C407,_,00070,10
C407__00060.10,11.44108826926422,43.564121535,C407,_,00060,10
C407__00030.10,11.469482393140268,43.579489425,C407,_,00030,10
C407__00020.10,11.456048551225429,43.577017375,C407,_,00020,10
C407__00050.100,11.49578139680251,43.572356835,C407,_,00050,100
C407__00630.100,11.500084398599608,43.490664390000006,C407,_,00630,100
C407__00620.100,11.490705224863161,43.491083259999996,C407,_,00620,100
C407__00610.100,11.479871218830848,43.490644790000005,C407,_,00610,100
C407__00600.100,11.477140317574978,43.486454215,C407,_,00600,100
C407__00590.100,11.495456562086472,43.501974265,C407,_,00590,100
C407__00580.100,11.49608584212121,43.50001994,C407,_,00580,100
C407__00570.100,11.491238108824941,43.501176490000006,C407,_,00570,100
C407__00560.100,11.51533754651022,43.509178344999995,C407,_,00560,100
C407__00550.100,11.488945967265035,43.510314465,C407,_,00550,100
C407__00530.100,11.46572442038579,43.50624963,C407,_,00530,100
C407__00520.100,11.508375125774883,43.52299877,C407,_,00520,100
C407__00500.100,11.48040620044187,43.512474170000004,C407,_,00500,100
C407__00480.100,11.49854790470131,43.530414335,C407,_,00480,100
C407__00470.100,11.488935583419767,43.521658795,C407,_,00470,100
C407__00450.100,11.45976725989938,43.52021505,C407,_,00450,100
C407__00440.100,11.450617168293693,43.51428717,C407,_,00440,100
