nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C553__00010.1,12.276317527276927,44.30028153,C553,_,00010,1
C553__00900.1,12.344297442736902,44.204273425,C553,_,00900,1
C553__00890.1,12.354304434440206,44.209311225,C553,_,00890,1
C553__00870.1,12.328885351573634,44.212346685,C553,_,00870,1
C553__00860.1,12.358480215201139,44.21288837,C553,_,00860,1
C553__00850.1,12.363175941759204,44.216481535,C553,_,00850,1
C553__00830.1,12.343987987278577,44.222143560000006,C553,_,00830,1
C553__00820.1,12.333879896819564,44.219747240000004,C553,_,00820,1
C553__00810.1,12.33742866129717,44.22913904,C553,_,00810,1
C553__00800.1,12.330236225089035,44.216747185,C553,_,00800,1
C553__00780.1,12.314329875924471,44.231807775,C553,_,00780,1
C553__00770.1,12.302707268933972,44.225892779999995,C553,_,00770,1
C553__00760.1,12.235639068031515,44.232684045,C553,_,00760,1
C553__0075.1,12.374641788917579,44.226758975,C553,_,0075,1
C553__00740.1,12.359719163514852,44.228764555,C553,_,00740,1
C553__00730.1,12.357541715739025,44.226996805,C553,_,00730,1
C553__00700.1,12.332808600829216,44.234991955,C553,_,00700,1
C553__00690.1,12.326366246446987,44.231553535,C553,_,00690,1
C553__00680.1,12.324504517490176,44.237570594999994,C553,_,00680,1
C553__00670.1,12.301538806146663,44.243328765,C553,_,00670,1
C553__00660.1,12.301011143536828,44.238642215,C553,_,00660,1
C553__00650.1,12.291408702422677,44.23450454,C553,_,00650,1
C553__00640.1,12.285761171140866,44.24072602,C553,_,00640,1
C553__00630.1,12.278987064655322,44.243834355,C553,_,00630,1
C553__00620.1,12.259870219313948,44.237136825,C553,_,00620,1
C553__00610.1,12.245279101255122,44.239161175,C553,_,00610,1
C553__00600.1,12.23991920712121,44.237110305,C553,_,00600,1
C553__0059.1,12.366315578950065,44.23675411,C553,_,0059,1
C553__0058.1,12.36015000153801,44.2468668,C553,_,0058,1
C553__00570.1,12.35645108964999,44.241125585,C553,_,00570,1
C553__00550.1,12.335480985068145,44.23893316,C553,_,00550,1
C553__00540.1,12.341415044323984,44.25278876,C553,_,00540,1
C553__00530.1,12.330494785937098,44.24782696,C553,_,00530,1
C553__00520.1,12.31707457949974,44.250978855,C553,_,00520,1
C553__00510.1,12.313910848361177,44.24576319,C553,_,00510,1
C553__00500.1,12.301547940293133,44.250605885,C553,_,00500,1
C553__00490.1,12.297458042627357,44.24569814,C553,_,00490,1
C553__00470.1,12.272246800863776,44.24968124,C553,_,00470,1
C553__00460.1,12.255682977956742,44.246608679999994,C553,_,00460,1
C553__00450.1,12.24412169650568,44.246264085,C553,_,00450,1
C553__00440.1,12.245614137238837,44.24676778,C553,_,00440,1
