nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C668__00010.1,13.429433248693387,37.552661654999994,C668,_,00010,1
C668__00330.1,13.416283117937088,37.466592094999996,C668,_,00330,1
C668__00320.1,13.417037972618001,37.472764905000005,C668,_,00320,1
C668__00310.1,13.412499565345883,37.472676365,C668,_,00310,1
C668__00300.1,13.40048503597379,37.47477602,C668,_,00300,1
C668__00290.1,13.389071202338005,37.475746255000004,C668,_,00290,1
C668__00280.1,13.383197401633002,37.46738217,C668,_,00280,1
C668__00270.1,13.409983819865483,37.478486005,C668,_,00270,1
C668__00260.1,13.383829608444856,37.480641355,C668,_,00260,1
C668__00250.1,13.377960283625386,37.481587794999996,C668,_,00250,1
C668__00240.1,13.409432880391154,37.484303435,C668,_,00240,1
C668__00230.1,13.40419183889154,37.488890960000006,C668,_,00230,1
C668__00220.1,13.386430198391867,37.486762915,C668,_,00220,1
C668__00210.1,13.436139809416662,37.492854605000005,C668,_,00210,1
C668__00200.1,13.422344547966762,37.497306255,C668,_,00200,1
C668__00190.1,13.42231810687764,37.490138634999994,C668,_,00190,1
C668__00180.1,13.409701132012643,37.49695188,C668,_,00180,1
C668__00170.1,13.415595252650636,37.49912801,C668,_,00170,1
C668__00160.1,13.440882576420227,37.501752045,C668,_,00160,1
C668__00150.1,13.426029146083007,37.50331428,C668,_,00150,1
C668__00140.1,13.417164200251843,37.50866903,C668,_,00140,1
C668__00130.1,13.443101241678743,37.513563805,C668,_,00130,1
C668__00120.1,13.442015645779886,37.517824295,C668,_,00120,1
C668__00100.1,13.421001865911716,37.510132525,C668,_,00100,1
C668__00090.1,13.426233507196372,37.521036390000006,C668,_,00090,1
C668__00080.1,13.40305178788595,37.51620945,C668,_,00080,1
C668__00070.1,13.435677686346741,37.525175704999995,C668,_,00070,1
C668__00060.1,13.43082193902164,37.524647285,C668,_,00060,1
C668__00050.1,13.423118082723237,37.526678385,C668,_,00050,1
C668__00040.1,13.436421311650369,37.532833835,C668,_,00040,1
C668__00030.1,13.424852013674261,37.536118525000006,C668,_,00030,1
C668__00020.1,13.423907780854602,37.5420801,C668,_,00020,1
C668__00010.10,13.427799086257274,37.551761485,C668,_,00010,10
C668__00330.10,13.409217247865655,37.462013285,C668,_,00330,10
C668__00320.10,13.427805973389692,37.464308145000004,C668,_,00320,10
C668__00310.10,13.412317704453628,37.47019829,C668,_,00310,10
C668__00300.10,13.403337947614457,37.472838620000005,C668,_,00300,10
C668__00290.10,13.389533502613064,37.470438375,C668,_,00290,10
C668__00280.10,13.384790456514963,37.466710219999996,C668,_,00280,10
C668__00270.10,13.408824501564299,37.478856390000004,C668,_,00270,10
C668__00260.10,13.390637439596366,37.480702965000006,C668,_,00260,10
C668__00250.10,13.377965773208931,37.47848946,C668,_,00250,10
C668__00240.10,13.405413233201722,37.483704325000005,C668,_,00240,10
C668__00230.10,13.40252479518967,37.48468547,C668,_,00230,10
C668__00220.10,13.390948463021825,37.486251055,C668,_,00220,10
C668__00210.10,13.440833417906324,37.47568414,C668,_,00210,10
C668__00200.10,13.425581723336698,37.488187065,C668,_,00200,10
C668__00190.10,13.422672533685095,37.48454555,C668,_,00190,10
C668__00180.10,13.406364752057527,37.49410007,C668,_,00180,10
C668__00170.10,13.41351792329269,37.49721604,C668,_,00170,10
C668__00160.10,13.442188045583334,37.501212625,C668,_,00160,10
C668__00150.10,13.43049660853346,37.50268111,C668,_,00150,10
C668__00130.10,13.442853663406034,37.51288226,C668,_,00130,10
C668__00120.10,13.443825483152098,37.51798219,C668,_,00120,10
C668__00110.10,13.43573930695942,37.513681160000004,C668,_,00110,10
C668__00100.10,13.421176586822934,37.51190775,C668,_,00100,10
C668__00080.10,13.406196981722836,37.516922210000004,C668,_,00080,10
C668__00070.10,13.436078118378644,37.52461897,C668,_,00070,10
C668__00060.10,13.43105122364656,37.524182095,C668,_,00060,10
C668__00050.10,13.424402740315552,37.525569605,C668,_,00050,10
C668__00040.10,13.43668856443546,37.53300575,C668,_,00040,10
C668__00030.10,13.426114444475857,37.53561422,C668,_,00030,10
C668__00020.10,13.42364787338935,37.54005995,C668,_,00020,10
C668__00010.100,13.427680914980442,37.547731715,C668,_,00010,100
C668__00300.100,13.409859634754323,37.4700068,C668,_,00300,100
C668__00290.100,13.392461379590703,37.463850565,C668,_,00290,100
C668__00280.100,13.388920559498146,37.458122945,C668,_,00280,100
C668__00260.100,13.395328552848,37.47674989,C668,_,00260,100
C668__00250.100,13.382147918198323,37.4803929,C668,_,00250,100
C668__00240.100,13.406519402135018,37.48346375,C668,_,00240,100
C668__00180.100,13.409889384059792,37.49493257,C668,_,00180,100
C668__00170.100,13.418982639543415,37.49541209,C668,_,00170,100
C668__00160.100,13.44309541784011,37.49702015,C668,_,00160,100
C668__00150.100,13.435569631607454,37.503160685,C668,_,00150,100
C668__00140.100,13.416085095000678,37.50410379,C668,_,00140,100
C668__00130.100,13.44638881342344,37.51082457,C668,_,00130,100
C668__00120.100,13.44332260576785,37.51443198,C668,_,00120,100
C668__00110.100,13.43904333847786,37.50856993,C668,_,00110,100
C668__00090.100,13.420328954940725,37.516904124999996,C668,_,00090,100
C668__00080.100,13.417930135888685,37.518348685,C668,_,00080,100
C668__00070.100,13.440951753535664,37.52456956,C668,_,00070,100
C668__00060.100,13.43519800117529,37.52396151,C668,_,00060,100
C668__00050.100,13.415945474969938,37.52368939,C668,_,00050,100
C668__00040.100,13.440620659344463,37.531426159999995,C668,_,00040,100
C668__00030.100,13.433518214450995,37.53367356,C668,_,00030,100
C668__00020.100,13.419929631317242,37.5363611,C668,_,00020,100
C668__00060.1000,13.430410401177294,37.522398175,C668,_,00060,1000
C668__00060.1001,13.430462166869194,37.52234288,C668,_,00060,1001
C668__00060.1002,13.430568110602808,37.521994815,C668,_,00060,1002
C668__00060.1003,13.430883682616404,37.52210106,C668,_,00060,1003
C668__00060.1004,13.430158094163351,37.52197396,C668,_,00060,1004
C668__00110.1004,13.44065861677175,37.510851200000005,C668,_,00110,1004
C668__00060.1005,13.43000328808115,37.52169817,C668,_,00060,1005
C668__00110.1005,13.440502965452623,37.51031981,C668,_,00110,1005
C668__00060.1006,13.43050359526639,37.52168852,C668,_,00060,1006
C668__00110.1006,13.441204013503855,37.515258035,C668,_,00110,1006
C668__00060.1008,13.432906298628751,37.52461134,C668,_,00060,1008
C668__00060.1009,13.431179002990973,37.52198487,C668,_,00060,1009
C668__00010.101,13.427731188267243,37.54747745,C668,_,00010,101
C668__00300.101,13.408891034176065,37.469665915,C668,_,00300,101
C668__00290.101,13.3919562180884,37.462636515,C668,_,00290,101
C668__00280.101,13.389410984941694,37.457218354999995,C668,_,00280,101
C668__00260.101,13.39595320313711,37.477990795,C668,_,00260,101
C668__00250.101,13.386311938957716,37.471441505,C668,_,00250,101
C668__00240.101,13.40730140491554,37.479247009999995,C668,_,00240,101
C668__00180.101,13.410512111609348,37.49493786,C668,_,00180,101
C668__00170.101,13.418965637184343,37.487312695,C668,_,00170,101
C668__00160.101,13.446486338094912,37.498355915000005,C668,_,00160,101
C668__00150.101,13.423440062263317,37.497948199999996,C668,_,00150,101
C668__00140.101,13.41555159149457,37.50376919,C668,_,00140,101
C668__00130.101,13.446573154905746,37.51075856,C668,_,00130,101
C668__00110.101,13.439134869849862,37.508538005000005,C668,_,00110,101
C668__00090.101,13.421329723636443,37.51687438,C668,_,00090,101
C668__00080.101,13.417618715919389,37.518038919999995,C668,_,00080,101
C668__00070.101,13.441507643804549,37.524562239999995,C668,_,00070,101
C668__00060.101,13.435160293532409,37.523708029999995,C668,_,00060,101
C668__00050.101,13.41388562934712,37.523082099999996,C668,_,00050,101
C668__00040.101,13.439942071549329,37.530903135,C668,_,00040,101
C668__00030.101,13.433858686957368,37.53317122,C668,_,00030,101
C668__00020.101,13.420730833824653,37.53576813,C668,_,00020,101
C668__00060.1010,13.434581161214286,37.520966815,C668,_,00060,1010
C668__00110.1010,13.433399461779473,37.508628075000004,C668,_,00110,1010
C668__00060.1011,13.431334925964958,37.521991315,C668,_,00060,1011
C668__00110.1011,13.440081091015834,37.51568392,C668,_,00110,1011
C668__00060.1012,13.43145988629103,37.521607544999995,C668,_,00060,1012
C668__00110.1012,13.435883750235952,37.5097873,C668,_,00110,1012
C668__00060.1013,13.431527427004802,37.52160644,C668,_,00060,1013
C668__00110.1013,13.441203566241672,37.513400755,C668,_,00110,1013
C668__00060.1014,13.431655324439166,37.521604885,C668,_,00060,1014
C668__00110.1014,13.441320642286005,37.513300685,C668,_,00110,1014
