nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C691__00020.100,10.36401848890283,46.023210115,C691,_,00020,100
C691__00010.1000,10.362118250170113,46.020088425,C691,_,00010,1000
C691__00010.1001,10.362109508042177,46.01962661,C691,_,00010,1001
C691__00010.1002,10.362049705409454,46.019333635,C691,_,00010,1002
C691__00010.1003,10.362014922033314,46.01974422,C691,_,00010,1003
C691__00010.1004,10.361911112677518,46.019453725000005,C691,_,00010,1004
C691__00010.1005,10.361576844365231,46.019489795,C691,_,00010,1005
C691__00010.1006,10.361133805022707,46.019668554999996,C691,_,00010,1006
C691__00010.1007,10.361084653644454,46.019509745,C691,_,00010,1007
C691__00010.1008,10.36036114520582,46.019373565,C691,_,00010,1008
C691__00020.101,10.365013313483992,46.024696565,C691,_,00020,101
C691__00010.1010,10.36028355806873,46.018999505,C691,_,00010,1010
C691__00010.1011,10.360085881971429,46.018899945,C691,_,00010,1011
C691__00010.1012,10.36051973372792,46.019088929999995,C691,_,00010,1012
C691__00010.1013,10.360728146507252,46.019088929999995,C691,_,00010,1013
C691__00010.1014,10.36085673383087,46.019383695,C691,_,00010,1014
C691__00010.1015,10.360950045926145,46.019404405,C691,_,00010,1015
C691__00010.1016,10.361080855368478,46.019309559999996,C691,_,00010,1016
C691__00010.1017,10.361226956646423,46.019326160000006,C691,_,00010,1017
C691__00010.1019,10.361762005146565,46.019307095,C691,_,00010,1019
C691__00020.102,10.363599183480519,46.02490594,C691,_,00020,102
C691__00010.1020,10.361751184130068,46.019217205000004,C691,_,00010,1020
C691__00010.1021,10.361708540300421,46.01897544,C691,_,00010,1021
C691__00010.1022,10.361505596338883,46.019126514999996,C691,_,00010,1022
C691__00010.1023,10.362022718328355,46.019004370000005,C691,_,00010,1023
C691__00010.1024,10.36185438885099,46.01897544,C691,_,00010,1024
C691__00010.1025,10.361825867762931,46.0185892,C691,_,00010,1025
C691__00010.1026,10.361753708996945,46.018451895,C691,_,00010,1026
C691__00010.1027,10.361554514731791,46.018463665,C691,_,00010,1027
C691__00010.1028,10.361588945193457,46.018733975,C691,_,00010,1028
C691__00010.1029,10.36132687520253,46.018505355,C691,_,00010,1029
C691__00020.103,10.36423859892233,46.022356515,C691,_,00020,103
